ref_id,raw,parsed_title,parsed_first_author,proposed_doi,proposed_title,proposed_family,proposed_year,search_error,gate_state,gate_source,gate_reason,gate_reason_name,gate_doi,hand_verdict,hand_notes
Bellettini_2002_total-variation-flow::b15,"H. Brezis, ''Operateurs Maximaux Monotones,'' North-Holland, Amsterdam, 1973.",,Brezis,10.1016/s0304-0208(08)72383-1,Chapitre II Operateurs Maximaux Monotones,,1973,,unresolved,crossref_raw_search,crossref_title_ratio (10.1016/s0304-0208(08)72383-1; ratio 0.00 < 0.85; crossref title 'Chapitre II Operateurs Maximaux Monotones'),crossref_title_ratio,,incorrect,"a chapter FOR the Brezis book, not the book itself (design report x-check: same DOI, scored wrong)"
Bellettini_2002_total-variation-flow::b18,"A. Cohen, W. Dahmen, I. Daubechies, and R. De Vore, Harmonic analysis and the space BVðR 2 Þ; preprint, 2000.",,Cohen,10.4171/rmi/345,Harmonic Analysis of the space BV,Cohen,2003,,unresolved,crossref_raw_search,crossref_title_ratio (10.4171/rmi/345; ratio 0.00 < 0.85; crossref title 'Harmonic Analysis of the space BV'),crossref_title_ratio,,correct,"the published version of the cited preprint, same authors (design report x-check: right)"
Abercrombie_2016_improving-consistency::b29,"L. Aurdal et al., ""Use of hidden Markov models and phenology for multitemporal satellite image classification: Applications to mountain vegetation classification,"" in Proc. IEEE Int. Workshop Anal. Multi- Temporal Remote Sens. Images, May 2005, pp. 220-224.",Use of hidden Markov models and phenology for multitemporal satellite image classification: Applications to mountain vegetation classification,,10.1109/amtrsi.2005.1469877,Use of hidden Markov models and phenology for multitemporal satellite image classification: applications to mountain vegetation classification,Aurdal,,,unresolved,crossref_raw_search,crossref_author_mismatch (10.1109/amtrsi.2005.1469877; crossref first author 'Aurdal' != reference ''),crossref_author_mismatch,,correct,"exact title, right paper (design report x-check: right)"
Abercrombie_2016_improving-consistency::b34,""" Project PRODES: Monitoring the Brazilian amazon forests by satellite,"" Instituto Nacional De Pesquisas Espaciais (INPE), Consolação, Brazil, 2012. [Online]. Available: http://www.dpi.inpe.br/prodesdigital/",Project PRODES: Monitoring the Brazilian amazon forests by satellite,,10.18605/2175-7275/cereus.v10n2p193-210,Análise do Desempenho de Comunicação Usando a Funcionalidade de Memória Compartilhada do MPI 3.0,Centro de Previsão de Tempo e Estudos Climáticos (CPTEC) / Instituto Nacional de Pesquisas Espaciais (INPE),2018,,unresolved,crossref_raw_search,crossref_title_ratio (10.18605/2175-7275/cereus.v10n2p193-210; ratio 0.21 < 0.85; crossref title 'Análise do Desempenho de Comunicação Usando a Funcionalidade de Memóri'),crossref_title_ratio,,incorrect,"unrelated Portuguese MPI paper (design report x-check: wrong, unrelated)"
Efron_2004_estimation-prediction-error-covariance::b4,"Hampel, F., Ronchetti, E., Rousseeuw, P., and Stahel, W. (1986), Robust Statis- tics, the Approach Based on Influence Functions, New York: Wiley.",,Hampel,10.1002/9781118186435,Robust Statistics,Hampel,2005,,unresolved,crossref_raw_search,crossref_title_ratio (10.1002/9781118186435; ratio 0.00 < 0.85; crossref title 'Robust Statistics'),crossref_title_ratio,,edition,"same book (Hampel et al Robust Statistics); Crossref's DOI is the 2005 Wiley reissue, not the 1986 printing cited"
Efron_2004_estimation-prediction-error-covariance::b5,"Hastie, T., and Tibshirani, R. (1990), Generalized Linear Models, London: Chapman & Hall.",,Hastie,10.1002/sim.4780110717,"Generalized additive models. T. J. Hastie and R. J. Tibshirani, Chapman and Hall, London, 1990. No. of Pages: xv + 335. Price: £25. ISBN: 0‐412‐34390‐8",Sasieni,1992,,unresolved,crossref_raw_search,"type_mismatch (10.1002/sim.4780110717; the reference is a book, publisher 'Chapman & Hall'; crossref says journal-article in 'Statistics in Medicine')",type_mismatch,,incorrect,"wrong book entirely -- a review of Hastie&Tibshirani's OTHER book (Generalized Additive Models, not Generalized Linear Models)"
Conley_1999_gmm-estimation-cross-sectional::b24,"Mardia, K.V., Kent, J.T., Bibby, J.M., 1979. Multivariate Analysis. Academic Press, London.",,Mardia,10.2307/3617970,"Multivariate analysis, by K. V. Mardia, J. T. Kent and J. M. Bibby. Pp 522. £14·60. 1979. ISBN 0 12 471252 5 (Academic Press)",Grey,1981,,unresolved,crossref_raw_search,"type_mismatch (10.2307/3617970; the reference is a book, publisher 'Multivariate Analysis. Academic Press'; crossref says journal-article in 'The Mathematical Gazette')",type_mismatch,,incorrect,"a book review of the cited book (Mathematical Gazette), not the book"
Guo_2018_redeveloping-urban-forest-effect::b2,"British Standards Institution. (2012). Trees in relation to design, demolition and construction - Recommendations","Trees in relation to design, demolition and construction -Recommendations",,10.3403/00258384u,"Trees in relation to design, demolition and construction. Recommendations",,,,unresolved,crossref_raw_search,crossref_year_mismatch (10.3403/00258384u; crossref 2015 != reference 2012),crossref_year_mismatch,,edition,same BSI standard (BS 5837); Crossref's entry is a later dated/amended edition than the 2012 one cited
Guo_2018_redeveloping-urban-forest-effect::b37,New Zealand Arboricultural Association. (2011). A Guideline for Tree and Bush Protection on Development Sites. Page 6.,A Guideline for Tree and Bush Protection on Development Sites,,10.1080/00037931.1973.10590387,TREE INJECTION—A NEW TECHNIQUE,Biddle,1973,,unresolved,crossref_raw_search,"type_mismatch (10.1080/00037931.1973.10590387; the reference is a book, publisher 'New Zealand Arboricultural Association'; crossref says journal-article in 'Arboricultural Association Journal')",type_mismatch,,incorrect,unrelated 1973 tree-injection article
Chrisman_1982_theory-cartographic-error-measurement::b2,reprinted~~from Journal of the Association of Surveyors of Papua New Guinea,,,10.1080/00050326.1976.10440893,Association of Surveyors of Papua New Guinea,,1976,,unresolved,crossref_raw_search,crossref_title_ratio (10.1080/00050326.1976.10440893; ratio 0.00 < 0.85; crossref title 'Association of Surveyors of Papua New Guinea'),crossref_title_ratio,,incorrect,"raw string is a truncated fragment; proposal is the bare journal container, not an article"
