row_id,class,mode,ref,ref_scheme,expected_state,expected_reason,observed_state,observed_reason,ok,refusal_codes,work_id,admission_id,file_id,run_id,attempt_statuses,route_detail,new_admissions,report,seconds,traceback,started_at,message
E01,oa-doi,execute,10.5194/isprs-annals-v-2-2022-275-2022,doi,extracted,already-extracted,extracted,already-extracted,true,,01a0c261-a50b-7541-aec3-4f8a09da2724,,01a0c261-df48-777c-8ff9-f2012c0edddd,01a0c263-3977-7483-bdb9-f483890782be,,[],0,"{""in_main"":true,""admission_state"":null,""blocks"":113}",0.17,0,2026-09-21T10:09:34Z,
E02,paywalled-doi-obtained-via-the-archive,execute,10.1016/j.isprsjprs.2013.10.007,doi,extracted,already-extracted,extracted,already-extracted,true,,01a0a857-299e-743e-938b-da4898341326,,01a0a857-9528-713f-9ee2-b3b37a398e83,01a0abcc-1afc-7091-8ab3-f8b239b1e6f2,,[],0,"{""in_main"":true,""admission_state"":null,""blocks"":140}",0.33,0,2026-09-21T10:09:34Z,
E03,unobtainable-doi,execute,10.1007/978-3-030-32248-9_57,doi,blocked,403,blocked,403,false,not-acquired,01a0a865-18e9-7b8a-9e9d-949739a51508,,,,scihub:blocked,"[{""route"":""scihub"",""status"":""blocked"",""codes"":[200,200,403,200],""exception"":""""}]",0,"{""in_main"":true,""admission_state"":null,""blocks"":0}",10.06,0,2026-09-21T10:23:01Z,
E04,held-in-another-open-workstream,execute,https://raw.githubusercontent.com/omarelhedaby/CNN-FPGA/master/Hardware%20Documentation.pdf,url,refused,admission-refused,refused,admission-refused,false,admission-refused,,01a0c371-e3b3-7c6a-950e-205dde5e92af,,,,[],1,"{""in_main"":null,""admission_state"":""refused"",""blocks"":null}",29.36,0,2026-09-21T10:09:46Z,the web source was not admitted; the checks say why.
E05,url-pdf,execute,https://www.ifla.org/wp-content/uploads/2019/05/assets/cataloguing/frbr-lrm/ifla-lrm-august-2017_rev201712.pdf,url,refused,admission-refused,refused,admission-refused,false,admission-refused,,01a0c371-243d-78fb-beb7-0aa07b882d4e,,,,[],1,"{""in_main"":null,""admission_state"":""duplicate-review"",""blocks"":null}",2.81,0,2026-09-21T10:09:24Z,the web source was not admitted; the checks say why.
E06,url-html-only,execute,https://www.crossref.org/blog/how-good-is-your-matching/,url,refused,admission-refused,refused,admission-refused,false,admission-refused,,01a0c37d-bd8d-70be-a8df-df48a70c4bd3,,,,[],1,"{""in_main"":null,""admission_state"":""duplicate-review"",""blocks"":null}",0.88,0,2026-09-21T10:23:11Z,"the web page was not admitted (duplicate-review); the checks say why. Check 2 found the identifier, or a title within the duplicate threshold, already held — in main or as another workstream's proposal; `litkb_work` says which, and admitting it again changes nothing."
E07,grey-report-with-an-html-oa-link,execute,10.17863/cam.133934,doi,blocked,403,blocked,403,false,not-acquired,01a0a85a-18f5-7ea2-9961-e86409875ef4,,,,scihub:blocked,"[{""route"":""scihub"",""status"":""blocked"",""codes"":[200,200,403,200],""exception"":""""}]",0,"{""in_main"":true,""admission_state"":null,""blocks"":0}",9.74,0,2026-09-21T10:23:12Z,
E08,scan,execute,10.1214/aos/1176345876,doi,bound-unextracted,already-bound,bound-unextracted,already-bound,true,,01a0a151-57a9-748f-b8a3-5a72c0588ff9,,01a0abe2-0e65-7028-8568-88126eeb769a,,,[],0,"{""in_main"":true,""admission_state"":null,""blocks"":0}",0.23,0,2026-09-21T10:10:27Z,
E09,alias-one-work-two-dois,execute,10.2307/2333009,doi,extracted,already-extracted,extracted,already-extracted,true,,01a0a151-f270-71e6-93fc-7cb94809847d,,01a0a154-30a7-79d9-b3d6-84d26b494111,01a0abc9-f6e1-78b6-8eb3-05259680db33,,[],0,"{""in_main"":true,""admission_state"":null,""blocks"":334}",0.14,0,2026-09-21T10:10:27Z,
E10,duplicate-admission,execute,10.1016/j.rse.2024.114099,doi,held,no-spend,held,no-spend,true,no-spend,01a0a49f-bf6d-72a0-b42d-7aa008fb71ca,,,,,[],0,"{""in_main"":true,""admission_state"":null,""blocks"":0}",0.11,0,2026-09-21T10:10:27Z,
E11,registry-mismatch,execute,10.3390/rs17112050,doi,refused,admission-refused,refused,admission-refused,false,admission-refused,,01a0c372-197c-7fc8-a2c4-977e58911482,,,,[],1,"{""in_main"":null,""admission_state"":""refused"",""blocks"":null}",1.91,0,2026-09-21T10:10:27Z,the DOI was not admitted; the checks say why.
E13,403-or-challenge,execute,10.1145/3534678.3539043,doi,blocked,403,blocked,403,false,not-acquired,01a0adc7-eab1-75c0-ad81-ba8a9569a467,,,,open_access:blocked;annas:bad-file;scihub:blocked,"[{""route"":""open_access"",""status"":""blocked"",""codes"":[403],""exception"":""""},{""route"":""annas"",""status"":""bad-file"",""codes"":[],""exception"":""""},{""route"":""scihub"",""status"":""blocked"",""codes"":[200,200,403,200],""exception"":""""}]",0,"{""in_main"":true,""admission_state"":null,""blocks"":0}",504.76,0,2026-09-21T10:10:30Z,
E18,malformed-ref,execute,not a reference,,refused,malformed-ref,refused,malformed-ref,false,malformed-ref,,,,,,[],0,"{""in_main"":null,""admission_state"":null,""blocks"":null}",0.0,0,2026-09-21T10:18:54Z,"this reference matches no shape a hunt can follow: it is not a DOI (10.NNNN/… after normalisation), not an arXiv id (YYMM.NNNNN or archive/YYMMNNN), and not a URL with a scheme and a host. If it is a TITLE, say so — --ref-scheme title with --author and --year, or drop it off first with litkb_hunt_request_add(ref_scheme='title')."
E19,unsupported-ref-scheme,execute,12345678,pmid,refused,unsupported-ref-scheme,refused,unsupported-ref-scheme,false,unsupported-ref-scheme,,,,,,[],0,"{""in_main"":null,""admission_state"":null,""blocks"":null}",0.0,0,2026-09-21T10:18:55Z,"'pmid' is a scheme litkb RECORDS (a drop-off may carry it) and a hunt cannot yet follow: hunting it needs a resolver S3 owns (LITKB_WORKPLAN.md). A hunt follows doi, arxiv, url, title. The drop-off keeps the reference either way; nothing is lost by recording it now."
