row_id,class,mode,ref,ref_scheme,expected_state,expected_reason,observed_state,observed_reason,ok,refusal_codes,work_id,admission_id,file_id,run_id,attempt_statuses,route_detail,new_admissions,report,seconds,traceback,started_at,message
E01,oa-doi,replay,10.5194/isprs-annals-v-2-2022-275-2022,doi,extracted,already-extracted,extracted,already-extracted,true,,01a0c742-cc99-79d7-928b-f2bbf0cdc592,,01a0c742-cca3-76f8-85a4-e81b1fd34884,01a0c742-cca7-728f-94fc-71190930604c,,[],0,"{""in_main"":true,""admission_state"":null,""blocks"":1}",0.17,0,2026-09-22T03:57:18Z,
E02,paywalled-doi-obtained-via-the-archive,replay,10.1016/j.isprsjprs.2013.10.007,doi,extracted,already-extracted,extracted,already-extracted,true,,01a0c742-cd8a-70dd-ae55-d01962018fd2,,01a0c742-cd8e-7727-a388-d33cd1b750a4,01a0c742-cd8f-7e5f-a0aa-8945a7389840,,[],0,"{""in_main"":true,""admission_state"":null,""blocks"":1}",0.12,0,2026-09-22T03:57:19Z,
E03,unobtainable-doi,replay,10.1007/978-3-030-32248-9_57,doi,held,not-acquired,held,not-acquired,true,not-acquired,01a0c742-ce88-7c31-84aa-c9d241c685fb,01a0c742-ce92-7a29-b9ed-4a12cf0e0cae,,,open_access:no-oa-copy;annas:not-in-archive;scihub:not-in-archive,"[{""route"":""open_access"",""status"":""no-oa-copy"",""codes"":[],""exception"":""""},{""route"":""annas"",""status"":""not-in-archive"",""codes"":[],""exception"":""""},{""route"":""scihub"",""status"":""not-in-archive"",""codes"":[],""exception"":""""}]",1,"{""in_main"":true,""admission_state"":""admitted"",""blocks"":0}",0.25,0,2026-09-22T03:57:19Z,
E04,held-in-another-open-workstream,replay,https://raw.githubusercontent.com/omarelhedaby/CNN-FPGA/master/Hardware%20Documentation.pdf,url,refused,admission-refused,refused,admission-refused,false,admission-refused,,01a0c742-d18c-70c9-95e4-b02c30a60cbd,,,,[],1,"{""in_main"":null,""admission_state"":""duplicate"",""blocks"":null}",0.27,0,2026-09-22T03:57:19Z,the web source was not admitted; the checks say why.
E05,url-pdf,replay,https://www.ifla.org/wp-content/uploads/2019/05/assets/cataloguing/frbr-lrm/ifla-lrm-august-2017_rev201712.pdf,url,extracted,fresh,extracted,fresh,true,,01a0c742-d29d-708c-88da-2f837cdc05a9,01a0c742-d2a5-7e3e-a958-31d837261c7d,01a0c742-d2a2-7e9b-9f75-e95afb1aeea6,,,[],1,"{""in_main"":false,""admission_state"":""proposed"",""blocks"":0}",0.34,0,2026-09-22T03:57:20Z,
E06,url-html-only,replay,https://www.crossref.org/blog/how-good-is-your-matching/,url,extracted,fresh,extracted,fresh,true,,01a0c742-d431-7619-a202-c77b5a3e5c29,01a0c742-d43b-7674-b6eb-a226338ce3ab,01a0c742-d437-7876-8b35-2a0602c18f39,01a0c742-d46b-7e89-95b5-05492683b6d5,,[],1,"{""in_main"":false,""admission_state"":""proposed"",""blocks"":74}",0.45,0,2026-09-22T03:57:20Z,
E07,grey-report-with-an-html-oa-link,replay,10.17863/cam.133934,doi,held,not-acquired,held,not-acquired,true,not-acquired,01a0c742-d5f2-7de5-89d2-908515bb92fd,01a0c742-d5fc-7ad1-9797-1f6263a0208e,,,open_access:bad-file;scihub:bad-file,"[{""route"":""open_access"",""status"":""bad-file"",""codes"":[200],""exception"":""""},{""route"":""scihub"",""status"":""bad-file"",""codes"":[200],""exception"":""""}]",1,"{""in_main"":true,""admission_state"":""admitted"",""blocks"":0}",0.38,0,2026-09-22T03:57:21Z,
E08,scan,replay,10.1214/aos/1176345876,doi,bound-unextracted,already-bound,bound-unextracted,already-bound,true,,01a0c742-d695-70f2-8217-76c220f54fd6,,01a0c742-d698-7522-ba8b-b4e3bd3f5378,,,[],0,"{""in_main"":true,""admission_state"":null,""blocks"":0}",0.22,0,2026-09-22T03:57:21Z,
E09,alias-one-work-two-dois,replay,10.2307/2333009,doi,extracted,already-extracted,extracted,already-extracted,true,,01a0c742-d781-7404-a2d3-c60adda0e607,,01a0c742-d785-7a97-b130-f39421a13d26,01a0c742-d787-71f4-bb80-58f4a4b2105d,,[],0,"{""in_main"":true,""admission_state"":null,""blocks"":1}",0.12,0,2026-09-22T03:57:21Z,
E10,duplicate-admission,replay,10.1016/j.rse.2024.114099,doi,held,no-spend,held,no-spend,true,no-spend,01a0c742-d813-7c29-9f60-8d33d244f2f5,,,,,[],0,"{""in_main"":true,""admission_state"":null,""blocks"":0}",0.11,0,2026-09-22T03:57:21Z,
E11,registry-mismatch,replay,10.3390/rs17112050,doi,refused,admission-refused,refused,admission-refused,false,admission-refused,,01a0c742-dcdc-7775-b8c0-5db6ce3b70f3,,,,[],1,"{""in_main"":null,""admission_state"":""refused"",""blocks"":null}",1.09,0,2026-09-22T03:57:21Z,the DOI was not admitted; the checks say why.
E12,registry-mismatch-title-gate,replay,"Recent Progress in Statistics: European Meeting of Statisticians, Budapest.",title,refused,ambiguous-title,refused,ambiguous-title,false,ambiguous-title,,,,,,[],0,"{""in_main"":null,""admission_state"":null,""blocks"":null}",0.01,0,2026-09-22T03:57:23Z,"a registry candidate was found for this title and gate 0 refused it: the title ratio, the first-author family name or the year did not agree. litkb does not admit a work it is not sure is the one asked for."
E13,403-or-challenge,replay,10.1145/3534678.3539043,doi,blocked,403,blocked,403,false,not-acquired,01a0c742-dd6b-78b7-b97b-728ef5e40a7e,01a0c742-dd75-7458-ae2b-6a9f22c92c52,,,open_access:blocked;scihub:blocked,"[{""route"":""open_access"",""status"":""blocked"",""codes"":[200,200,403,403],""exception"":""""},{""route"":""scihub"",""status"":""blocked"",""codes"":[200,200],""exception"":""""}]",1,"{""in_main"":true,""admission_state"":""admitted"",""blocks"":0}",0.27,0,2026-09-22T03:57:23Z,
E14,api-error-registry-transient,replay,2412.05728,arxiv,api-error,registry-transient,api-error,registry-transient,false,registry-transient,,,,,,[],0,"{""in_main"":null,""admission_state"":null,""blocks"":null}",0.2,0,2026-09-22T03:57:23Z,"the registry answered arxiv 406 for 2412.05728 — a transient answer, not a verdict on the record. Nothing was admitted and nothing was written; hunt the reference again."
E15,api-error-route-raised,replay,10.1007/0-387-69505-2_13,doi,api-error,route-raised,api-error,route-raised,false,not-acquired,01a0c742-dfa8-79be-afbb-47b906856a0f,01a0c742-dfb3-7aa5-91b2-ef8aabf2bddc,,,open_access:api-error;browser:manual-step,"[{""route"":""open_access"",""status"":""api-error"",""codes"":[],""exception"":""ConnectionResetError""}]",1,"{""in_main"":true,""admission_state"":""admitted"",""blocks"":0}",0.47,0,2026-09-22T03:57:23Z,
E16,quota-stop,replay,10.1016/j.rse.2021.112806,doi,blocked,quota-stop,blocked,quota-stop,false,not-acquired,01a0c742-e179-7434-805c-1641728bf773,01a0c742-e182-7e17-bffb-c013eb1f648a,,,open_access:no-oa-copy;annas:quota-stop,"[{""route"":""open_access"",""status"":""no-oa-copy"",""codes"":[],""exception"":""""},{""route"":""annas"",""status"":""quota-stop"",""codes"":[],""exception"":""""}]",1,"{""in_main"":true,""admission_state"":""admitted"",""blocks"":0}",0.34,0,2026-09-22T03:57:24Z,
E17,mid-hunt-crash,replay,10.1214/aoms/1177707039,doi,crashed,extract:RuntimeError,crashed,extract:RuntimeError,false,crashed,,,,,,[],0,"{""in_main"":null,""admission_state"":null,""blocks"":null}",0.06,0,2026-09-22T03:57:24Z,RuntimeError: the extractor died
E18,malformed-ref,replay,not a reference,,refused,malformed-ref,refused,malformed-ref,false,malformed-ref,,,,,,[],0,"{""in_main"":null,""admission_state"":null,""blocks"":null}",0.01,0,2026-09-22T03:57:24Z,"this reference matches no shape a hunt can follow: it is not a DOI (10.NNNN/… after normalisation), not an arXiv id (YYMM.NNNNN or archive/YYMMNNN), and not a URL with a scheme and a host. If it is a TITLE, say so — --ref-scheme title with --author and --year, or drop it off first with litkb_hunt_request_add(ref_scheme='title')."
E19,unsupported-ref-scheme,replay,12345678,pmid,refused,unsupported-ref-scheme,refused,unsupported-ref-scheme,false,unsupported-ref-scheme,,,,,,[],0,"{""in_main"":null,""admission_state"":null,""blocks"":null}",0.02,0,2026-09-22T03:57:24Z,"'pmid' is a scheme litkb RECORDS (a drop-off may carry it) and a hunt cannot yet follow: hunting it needs a resolver S3 owns (LITKB_WORKPLAN.md). A hunt follows doi, arxiv, url, title. The drop-off keeps the reference either way; nothing is lost by recording it now."
E20,book,replay,10.1201/9781315374321,doi,held,not-acquired,held,not-acquired,true,not-acquired,01a0c742-e346-787d-9956-0170c16e517e,01a0c742-e350-7494-997e-29b6fe7e35d5,,,open_access:no-oa-copy;annas:not-in-archive;scihub:not-in-archive,"[{""route"":""open_access"",""status"":""no-oa-copy"",""codes"":[],""exception"":""""},{""route"":""annas"",""status"":""not-in-archive"",""codes"":[],""exception"":""""},{""route"":""scihub"",""status"":""not-in-archive"",""codes"":[],""exception"":""""}]",1,"{""in_main"":true,""admission_state"":""admitted"",""blocks"":0}",0.38,0,2026-09-22T03:57:24Z,
E21,sibling-edition,replay,10.1101/357798,doi,bound-unextracted,already-bound,bound-unextracted,already-bound,true,,01a0c742-e3e4-7748-a95a-42d7904c62ef,,01a0c742-e3e7-7347-b08a-944dc33782ca,,,[],0,"{""in_main"":true,""admission_state"":null,""blocks"":0}",0.2,0,2026-09-22T03:57:24Z,
E22,duplicate-review,replay,A theory of cartographic error and its measurement,title,refused,ambiguous-title,refused,ambiguous-title,false,ambiguous-title,,,,,,[],0,"{""in_main"":null,""admission_state"":null,""blocks"":null}",0.0,0,2026-09-22T03:57:25Z,"a registry candidate was found for this title and gate 0 refused it: the title ratio, the first-author family name or the year did not agree. litkb does not admit a work it is not sure is the one asked for."
E23,held-queue-skipped-low,replay,10.3390/s8042161,doi,bound-unextracted,already-bound,bound-unextracted,already-bound,true,,01a0c742-e4d9-7390-9db7-cab553332fb1,,01a0c742-e4dc-7647-8447-3670472c3d0d,,,[],0,"{""in_main"":true,""admission_state"":null,""blocks"":0}",0.11,0,2026-09-22T03:57:25Z,
E24,held-queue-refused-check1,replay,10.1145/3347146.3359068,doi,bound-unextracted,already-bound,bound-unextracted,already-bound,true,,01a0c742-e556-74ef-9906-b03353b463f0,,01a0c742-e558-7afd-9e79-c5d6f20a0064,,,[],0,"{""in_main"":true,""admission_state"":null,""blocks"":0}",0.11,0,2026-09-22T03:57:25Z,
