row_id,class,mode,ref,ref_scheme,expected_state,expected_reason,observed_state,observed_reason,ok,refusal_codes,work_id,admission_id,file_id,run_id,attempt_statuses,route_detail,new_admissions,report,seconds,traceback,started_at,message
E01,oa-doi,replay,10.5194/isprs-annals-v-2-2022-275-2022,doi,extracted,already-extracted,extracted,already-extracted,true,,01a0c37e-10ae-7b22-a0be-c77b85d7cf26,,01a0c37e-10b9-75ca-a2c2-3c1fff409619,01a0c37e-10bc-7c5d-9ecc-b338154ee713,,[],0,"{""in_main"":true,""admission_state"":null,""blocks"":1}",0.14,0,2026-09-21T10:23:34Z,
E02,paywalled-doi-obtained-via-the-archive,replay,10.1016/j.isprsjprs.2013.10.007,doi,extracted,already-extracted,extracted,already-extracted,true,,01a0c37e-1170-7b1e-826a-b69ab6b75ff8,,01a0c37e-1174-74c9-9876-a107ebac0af2,01a0c37e-1175-78d5-8f60-ab447dcc56df,,[],0,"{""in_main"":true,""admission_state"":null,""blocks"":1}",0.12,0,2026-09-21T10:23:34Z,
E03,unobtainable-doi,replay,10.1007/978-3-030-32248-9_57,doi,held,not-acquired,held,not-acquired,true,not-acquired,01a0c37e-1276-72ca-8a59-46ddf6ca5d85,01a0c37e-127f-7e29-8cb7-5f0a3fb5c576,,,open_access:no-oa-copy;annas:not-in-archive;scihub:not-in-archive,"[{""route"":""open_access"",""status"":""no-oa-copy"",""codes"":[],""exception"":""""},{""route"":""annas"",""status"":""not-in-archive"",""codes"":[],""exception"":""""},{""route"":""scihub"",""status"":""not-in-archive"",""codes"":[],""exception"":""""}]",1,"{""in_main"":true,""admission_state"":""admitted"",""blocks"":0}",0.27,0,2026-09-21T10:23:34Z,
E04,held-in-another-open-workstream,replay,https://raw.githubusercontent.com/omarelhedaby/CNN-FPGA/master/Hardware%20Documentation.pdf,url,refused,admission-refused,refused,admission-refused,false,admission-refused,,01a0c37e-157c-7a88-9fa5-8b22520098d1,,,,[],1,"{""in_main"":null,""admission_state"":""duplicate"",""blocks"":null}",0.27,0,2026-09-21T10:23:35Z,the web source was not admitted; the checks say why.
E05,url-pdf,replay,https://www.ifla.org/wp-content/uploads/2019/05/assets/cataloguing/frbr-lrm/ifla-lrm-august-2017_rev201712.pdf,url,extracted,fresh,extracted,fresh,true,,01a0c37e-16bf-7332-be3a-504eea491d5a,01a0c37e-16c8-7dc0-ba86-6895a5073bf5,01a0c37e-16c4-7f32-90e2-68344e3aa3be,,,[],1,"{""in_main"":false,""admission_state"":""proposed"",""blocks"":0}",0.38,0,2026-09-21T10:23:35Z,
E06,url-html-only,replay,https://www.crossref.org/blog/how-good-is-your-matching/,url,extracted,fresh,extracted,fresh,true,,01a0c37e-186a-72ca-a91f-80fe472a7f38,01a0c37e-1873-7f00-8449-fb91181b62ee,01a0c37e-1870-7360-953f-a8e516c49c87,01a0c37e-18a4-7178-9993-0eeb6ebf523c,,[],1,"{""in_main"":false,""admission_state"":""proposed"",""blocks"":74}",0.58,0,2026-09-21T10:23:35Z,
E07,grey-report-with-an-html-oa-link,replay,10.17863/cam.133934,doi,held,not-acquired,held,not-acquired,true,not-acquired,01a0c37e-19cf-732b-9c60-e20384d0e60f,01a0c37e-19d9-704e-89fe-084fd874fbe1,,,open_access:bad-file;scihub:bad-file,"[{""route"":""open_access"",""status"":""bad-file"",""codes"":[200],""exception"":""""},{""route"":""scihub"",""status"":""bad-file"",""codes"":[200],""exception"":""""}]",1,"{""in_main"":true,""admission_state"":""admitted"",""blocks"":0}",0.23,0,2026-09-21T10:23:36Z,
E08,scan,replay,10.1214/aos/1176345876,doi,bound-unextracted,already-bound,bound-unextracted,already-bound,true,,01a0c37e-1a5a-7276-a93a-1b3d0c158e99,,01a0c37e-1a5d-7803-bfac-1667f1e4f7fb,,,[],0,"{""in_main"":true,""admission_state"":null,""blocks"":0}",0.11,0,2026-09-21T10:23:36Z,
E09,alias-one-work-two-dois,replay,10.2307/2333009,doi,extracted,already-extracted,extracted,already-extracted,true,,01a0c37e-1ada-7b1c-93b5-8a76d5733612,,01a0c37e-1adf-738d-a6c1-57cd63bed26d,01a0c37e-1ae0-75ba-8c51-5e28511a8b77,,[],0,"{""in_main"":true,""admission_state"":null,""blocks"":1}",0.14,0,2026-09-21T10:23:36Z,
E10,duplicate-admission,replay,10.1016/j.rse.2024.114099,doi,held,no-spend,held,no-spend,true,no-spend,01a0c37e-1b8e-7798-ab9e-75851f535b7c,,,,,[],0,"{""in_main"":true,""admission_state"":null,""blocks"":0}",0.11,0,2026-09-21T10:23:36Z,
