row_kind,key,work_id,file_id,rel_path,pages,image_pages,class,reason,evidence,quarantine_ids,current_run_id,blocks,text_chars,scope
file,Abdulkader_2020_cnn-fpga-implementation-hardware,01a0ad55-eb8d-7037-b37c-5a431107074a,01a0ad55-ebb2-7cf4-8b7d-7f4122466864,_litkb_staging/filed/Abdulkader_2020_cnn-fpga-implementation-hardware.pdf,62,0,extracted,full,"docling_regions 19435, grobid_regions 220",,01a0ad5b-16aa-7864-aba6-35cdb04e05a1,18005,3338971,main
file,Abercrombie_2016_improving-consistency-multitemporal-land,01a0a4b3-4c8d-75dd-b4b3-55f9ba685787,01a0a4b3-4c9b-7f53-9a03-4c5b186dd4a8,Validation/Abercrombie_2016_improving-consistency.pdf,11,0,extracted,full,"docling_regions 179, grobid_regions 73",,01a0abc6-8aa0-7bac-8850-e5d4facde95b,189,68395,main
file,Ahishali_2025_ada-net-attention-guided,01a0a86a-6ff1-7b0b-984b-e15b9c7cc8eb,01a0a86a-7002-7595-9e48-2edbadf52e4d,_litkb_staging/incoming/t31_Ahishali_2025_ada-net.download,14,0,extracted,full,"docling_regions 208, grobid_regions 166",,01a0abcf-419e-7116-ba37-fa59993ab1cc,230,76730,main
file,Allard_2007_total-variation-regularization-image,01a0a4c5-5508-7dad-a665-e14eb3e7bf6f,01a0a4c5-550c-74ad-8db9-26fc74fddd46,Validation/Allard_2007_total-variation-regularization-image.pdf,41,0,extracted,full,"docling_regions 1073, grobid_regions 751",,01a0abc6-9a02-772f-84ce-5454b9d75328,1133,106858,main
file,Almon_1965_distributed-lag-capital-appropriations,01a0a151-b17f-7728-8903-a3399118b2a9,01a0a151-c813-7f42-ac65-6d6cc072d8a2,Validation/Almon_1965_distributed-lag-between-capital.pdf,20,0,extracted,full,"docling_regions 398, grobid_regions 50",,01a0abc6-a226-7c5f-afc4-4be428694174,389,54103,main
file,Alwan_1988_time-series-modeling-statistical,01a0a151-9a9a-7915-b9e0-9ccedf78fa14,01a0a151-9a9c-75d0-ad52-6b6c5ddbf734,Validation/Alwan_1988_time-series-modeling-statistical-process.pdf,10,0,extracted,full,"docling_regions 185, grobid_regions 109",,01a0abc6-a7ab-7f69-a3d4-b893c4ca9d0e,191,47769,main
file,Anderson_1957_statistical-inference-about-markov,01a0a151-6350-7617-9839-6477db821f3a,01a0abe0-de10-7813-b751-d0e524f166e3,Validation/Anderson_1957_statistical-inference-about-markov.pdf,22,21,scan-needs-ocr,,"no current run; image pages 2,3,4,5,6,7,8,9,10,11,12,13,…(+9)",,,,,main
file,Angelopoulos_2022_conformal-risk-control,01a0a86e-8137-74d3-a40d-8d79169bb2a5,01a0a86e-8149-7609-91c5-506f00b117df,_litkb_staging/incoming/t120_Angelopoulos_2022_conformal-risk-control.download,19,0,extracted,full,"docling_regions 582, grobid_regions 323",,01a0abcf-2697-7460-bbeb-480e00bbd119,533,56113,main
file,Averkov_2009_confirmation-matheron-s-conjecture,01a0a4d2-2577-7a57-8166-f6f5614c2876,01a0a4d2-257b-7065-9d90-553f73a77b14,Validation/Averkov_2009_confirmation-matheron-s-conjecture.pdf,16,0,extracted,full,"docling_regions 442, grobid_regions 148",,01a0abc6-adcb-7f98-a286-80f8da20015f,352,40527,main
file,Bacry_2015_hawkes-processes-finance,01a0a861-2656-79bb-8caa-2b92d131bcf5,01a0a861-7de7-70a1-8737-86b428e3c4cf,_litkb_staging/filed/Bacry_2015_hawkes-processes-finance.pdf,59,0,extracted,full,"docling_regions 1206, grobid_regions 505",,01a0abcc-0dc1-734e-960b-aa76db7c3b20,879,150482,main
