tracker_id,group,ref,ref_scheme,hunt_state,hunt_reason,work_key,work_id,admission_id,file_bound,attempt_statuses,registry_title,registry_first_author,registry_year,tracker_first_author,tracker_year,seconds,note
2,E24-registry,10.2139/ssrn.4979539,doi,blocked,403,Schindler_2024_efficient-tree-mapping-through,01a0c71b-52a4-787a-9c01-0c8eddb602d7,01a0c71b-52b0-799b-8d38-ff37e2831a9c,n,"open_access=blocked(403); annas=not-in-archive; scihub=blocked(200,200,403,200); browser=manual-step",Efficient Tree Mapping through Deep Distance Transform (DDT) Learning,Schindler,2024,Li,2025,25.98,
10,E24-registry,10.1080/17538947.2023.2257636,doi,blocked,403,Hao_2023_co-effect-image-resolution,01a0c71b-bdcf-787f-ace6-46c6f7a2c46e,01a0c71b-bdda-73c7-92bc-3ddd132c0622,n,"open_access=blocked(403,403); annas=not-in-archive; scihub=blocked(200,200,403,200); browser=manual-step",The co-effect of image resolution and crown size on deep learning for individual tree detection and delineation,Hao,2023,Qin,2023,56.7,
20,E24-registry,10.1080/15481603.2018.1489446,doi,bound-unextracted,fresh-bound,Storey_2018_normalizing-shadows-multi-temporal,01a0c718-8eb0-7b9a-9883-7852e6e8465d,01a0c718-8eba-7e3e-9a1f-898390354602,y,open_access=blocked(403); annas=ok,Normalizing shadows in multi-temporal aerial frame imagery using relative radiometric adjustments to support near-real-time change detection,Storey,2018,Storey,2019,22.22,
22,E24-registry,10.1145/3347146.3359068,doi,bound-unextracted,fresh-bound,Liu_2019_misregistration-tolerant-change-detection,01a0c71c-a172-7005-89c4-a25aae67b3a0,01a0c71c-a17e-7a67-8bb2-c86d23328291,y,open_access=no-oa-copy; annas=ok,Towards Misregistration-Tolerant Change Detection using Deep Learning Techniques with Object-Based Image Analysis,Liu,2019,Chen,2019,29.26,
24,E24-registry,10.1016/j.rse.2021.112308,doi,bound-unextracted,fresh-bound,Liu_2021_change-detection-deep-learning,01a0c71d-1a30-764e-8139-7aa08c696f78,01a0c71d-1a3a-73df-970b-7adac3442594,y,open_access=bad-file(200); annas=ok,Change detection using deep learning approach with object-based image analysis,Liu,2021,Wang,2021,26.25,
25,E23-doi,10.3390/s8042161,doi,bound-unextracted,fresh-bound,Coulter_2008_assessment-spatial-co-registration,01a0c722-b25d-75aa-a158-80ec90f89e69,01a0c722-b267-70b2-babf-9902d6314bae,y,"open_access=blocked(403,200,403); annas=ok",Assessment of the Spatial Co-registration of Multitemporal Imagery from Large Format Digital Cameras in the Context of Detailed Change Detection,Coulter,2008,Stow,2013,30.64,tracker says Stow 2013; registry says Coulter & Stow 2008 (Stow 2nd author)
28,E23-arxiv,2507.00170,arxiv,api-error,registry-transient,,,,n,,,,,Baudchon,2025,0.78,"3 attempts; arXiv answered 406 every time (registry-transient), see the report's arXiv section; drop-off NOT linked (no work to link to)"
33,E24-registry,10.1016/j.rse.2025.115091,doi,blocked,403,Zhu_2026_scalable-sub-meter-mapping,01a0c71d-873b-7b12-92d7-40fff9513442,01a0c71d-8745-7bf6-a74c-a58dfdf544fc,n,"open_access=bad-file(200); annas=not-in-archive; scihub=blocked(200,200,403,200); browser=manual-step",Scalable sub-meter mapping of woody vegetation and structures across California’s heterogeneous landscape using deep learning,Zhu,2026,Wagner,2025,56.25,"numbers in relevance (87.1% OA, F1 83.1%) may belong to Wagner 2024, a different paper - verify at extraction"
39,E24-registry,10.3390/rs15030765,doi,blocked,403,Chen_2023_urban-tree-canopy-mapping,01a0c101-b227-7417-a60d-d932fb1b118d,,n,"open_access=blocked(403,403); annas=not-in-archive; scihub=blocked(200,200,403,200); browser=manual-step",Urban Tree Canopy Mapping Based on Double-Branch Convolutional Neural Network and Multi-Temporal High Spatial Resolution Satellite Imagery,Chen,2023,Zhou,2023,29.33,"NO admission row: the work was ALREADY in main, so the hunt answered from the database and spent on the held work (a duplicate is an answer)"
46,E24-registry,10.1080/22797254.2025.2609404,doi,blocked,403,He_2025_samois-efficient-fine-tuned,01a0c71e-e089-7ed6-b55f-399c6da02e31,01a0c71e-e093-7868-8224-425cddd77665,n,"open_access=blocked(403,403); annas=not-in-archive; scihub=blocked(200,200,403,200); browser=manual-step",SAMOIS: efficient fine-tuned SAM with multi-scale enhancement for optical remote sensing image segmentation,He,2025,Li,2025,62.09,
