id,bib_block,round,authors,year,title,venue,doi,other_dois,arxiv,grade,read_status,filed_stem,txt_on_disk,pdf_on_disk,multi_work_line,source_line,superseded_by_id,best_grade_for_work
1,"§2.3 — temporal chain, transitions, emissions",,"Abercrombie, S.P. & Friedl, M.A.",2016,Improving the Consistency of Multitemporal Land Cover Maps Using a Hidden Markov Model,IEEE TGRS,10.1109/TGRS.2015.2463689,,,PRIMARY,,,yes,,,"Abercrombie, S.P. & Friedl, M.A. (2016). Improving the Consistency of Multitemporal Land Cover Maps Using a Hidden Markov Model. *IEEE TGRS* 54(2). doi:10.1109/TGRS.2015.2463689 — **PRIMARY** (full text, Sci-Hub, verified 2026-09-11; local copy in `D:\edmonds-pipeline\Literture\Validation\`)",,PRIMARY
2,"§2.3 — temporal chain, transitions, emissions",,"Bogaert, P., Lamarche, C. & Defourny, P.",2022,Hidden Markov Models for Annual Land Cover Mapping — Increasing Temporal Consistency and Completeness,IEEE TGRS,10.1109/TGRS.2021.3123738,,,ABSTRACT,obtained-unread,Bogaert_2022_hidden-markov-models-annual-land,yes,,,"Bogaert, P., Lamarche, C. & Defourny, P. (2022). Hidden Markov Models for Annual Land Cover Mapping — Increasing Temporal Consistency and Completeness. *IEEE TGRS* 60. doi:10.1109/TGRS.2021.3123738 — **ABSTRACT** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — gra",,ABSTRACT
3,"§2.3 — temporal chain, transitions, emissions",,"Cai, S., Liu, D., Sulla-Menashe, D. & Friedl, M.A.",2014,Enhancing MODIS land cover product with a spatial–temporal modeling algorithm,RSE,10.1016/j.rse.2014.03.012,,,METADATA,,,yes,,,"Cai, S., Liu, D., Sulla-Menashe, D. & Friedl, M.A. (2014). Enhancing MODIS land cover product with a spatial–temporal modeling algorithm. *RSE* 147. doi:10.1016/j.rse.2014.03.012 — **METADATA**",243,ABSTRACT
4,"§2.3 — temporal chain, transitions, emissions",,"Gong, W., Fang, S., Yang, G. & Ge, M.",2017,Using a Hidden Markov Model for Improving the Spatial-Temporal Consistency of Time Series Land Cover Classification,ISPRS IJGI,10.3390/ijgi6100292,,,PRIMARY,,,no,,,"Gong, W., Fang, S., Yang, G. & Ge, M. (2017). Using a Hidden Markov Model for Improving the Spatial-Temporal Consistency of Time Series Land Cover Classification. *ISPRS IJGI* 6(10):292. doi:10.3390/ijgi6100292 — **PRIMARY**",,PRIMARY
5,"§2.3 — temporal chain, transitions, emissions",,"Miller, D.A.W. et al.",2013,Determining Occurrence Dynamics when False Positives Occur: Estimating the Range Dynamics of Wolves from Public Survey Data,PLOS ONE,10.1371/journal.pone.0065808,,,PRIMARY,,,no,,,"Miller, D.A.W. et al. (2013). Determining Occurrence Dynamics when False Positives Occur: Estimating the Range Dynamics of Wolves from Public Survey Data. *PLOS ONE* **8(6)**:e65808. doi:10.1371/journal.pone.0065808 — **PRIMARY** (full text, verified 2026-09-11; issue number corrected from 8(10))",,PRIMARY
6,"§2.3 — temporal chain, transitions, emissions",,"Perantoni, G., Weikmann, G. & Bruzzone, L.",2025,Bayesian Modelling of Multi-Year Crop Type Classification Using Deep Neural Networks and Hidden Markov Models,,,,2510.07008,PRIMARY,,,no,,,"Perantoni, G., Weikmann, G. & Bruzzone, L. (2025). Bayesian Modelling of Multi-Year Crop Type Classification Using Deep Neural Networks and Hidden Markov Models. arXiv:2510.07008 — **PRIMARY** (preprint)",,PRIMARY
7,"§2.3 — temporal chain, transitions, emissions",,"Sulla-Menashe, D., Gray, J.M., Abercrombie, S.P. & Friedl, M.A.",2019,Hierarchical mapping of annual global land cover 2001 to present: MODIS Collection 6,RSE,10.1016/j.rse.2018.12.013,,,PRIMARY,,,no,,,"Sulla-Menashe, D., Gray, J.M., Abercrombie, S.P. & Friedl, M.A. (2019). Hierarchical mapping of annual global land cover 2001 to present: MODIS Collection 6. *RSE* 222. doi:10.1016/j.rse.2018.12.013 — **ABSTRACT ⚠ NUMBERS** (transition figure, abstract-verbatim); its product documentation (Sulla-Men",,PRIMARY
8,"§2.3 — temporal chain, transitions, emissions",,"Wehmann, A. & Liu, D.",2015,A spatial–temporal contextual Markovian kernel method for multi-temporal land cover mapping,ISPRS J.,10.1016/j.isprsjprs.2015.04.009,,,METADATA,,,no,,,"Wehmann, A. & Liu, D. (2015). A spatial–temporal contextual Markovian kernel method for multi-temporal land cover mapping. *ISPRS J.* 107. doi:10.1016/j.isprsjprs.2015.04.009 — **METADATA**",,METADATA
9,"§2.3 — temporal chain, transitions, emissions",,"Yang, G., Fang, S., Gong, W., Zhao, Y. & Ge, M.",2020,Evaluating the reliability of time series land cover maps by exploiting the hidden Markov model,SERRA,10.1007/s00477-020-01915-9,,,ABSTRACT,obtained-unread,Yang_2020_evaluating-reliability-time-series-land,yes,,,"Yang, G., Fang, S., Gong, W., Zhao, Y. & Ge, M. (2020). Evaluating the reliability of time series land cover maps by exploiting the hidden Markov model. *SERRA* 35. doi:10.1007/s00477-020-01915-9 — **ABSTRACT** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade",,ABSTRACT
10,"§2.3 — temporal chain, transitions, emissions",,"Yuan, Y. et al.",2015,Continuous Change Detection and Classification Using Hidden Markov Model: Beijing,Remote Sensing,10.3390/rs71115318,,,METADATA,obtained-unread,Yuan_2015_continuous-change-detection,yes,,,"Yuan, Y. et al. (2015). Continuous Change Detection and Classification Using Hidden Markov Model: Beijing. *Remote Sensing* 7(11):15318. doi:10.3390/rs71115318 — **METADATA** **Obtained 2026-09-12 (acquisition pass), header-verified, unread by the reviewer — grade unchanged until read. Filed `Yuan_2",,METADATA
