use_evidence_id,block_id,group,position,baseline_quote_verified,after_normalize_quote_verified,flip,quote_still_findable,offset_shifted,original_char_start,new_found_offset
01a0baad-f27d-736f-969f-ddfbebd2126f,01a0aa23-e991-7c39-a3a6-07e7cc057479,control,control,True,True,,True,False,652,652
01a0baad-f281-7a78-b561-bbf6c2268489,01a0aa25-a961-7f42-b039-742c4f5931ff,control,control,True,True,,True,False,0,0
01a0baad-f281-7f5b-b325-c4be855d2031,01a0aa27-2f48-7361-bbff-ee8496805098,control,control,True,True,,True,False,1170,1170
01a0baad-f282-73ac-b2df-ca2d7647fd17,01a0aa26-6bae-73e0-97fa-8bf3eb8df88c,control,control,True,True,,True,False,326,326
01a0baad-f282-77b7-9418-6d73e75e4351,01a0aa25-193c-7138-9840-f194da3ca4bf,control,control,True,True,,True,False,0,0
01a0baad-f282-7b9d-ae5e-62cfb6304334,01a0aa24-e846-765f-9fe0-4e95bb8c105a,control,control,True,True,,True,False,0,0
01a0baad-f282-7f65-b532-07c482947af7,01a0abcf-143c-771b-ad01-a5db196047f2,control,control,True,True,,True,False,462,462
01a0baad-f283-70f1-bc76-40e381db0dc2,01a0abcf-143f-74e7-b48d-f5d87ff34742,control,control,True,True,,True,False,84,84
01a0baad-f283-7262-a537-b5bee975ae97,01a0abc7-4274-76f0-b1fe-24ff16c126e7,affected,before,True,True,,True,False,55,55
01a0baad-f283-73ba-b269-c54c443a8ce6,01a0abc7-4274-76f0-b1fe-24ff16c126e7,affected,spanning,True,False,True->False,False,False,67,-1
01a0baad-f283-7625-b6cf-959a9b61b281,01a0abc7-4277-7d36-a4f1-e2340cc47535,affected,before,True,True,,True,False,380,380
01a0baad-f283-779d-972e-ce7f336ef2db,01a0abc7-4277-7d36-a4f1-e2340cc47535,affected,spanning,True,False,True->False,False,False,392,-1
01a0baad-f283-7901-a674-7ddb7a98e139,01a0abc7-4277-7d36-a4f1-e2340cc47535,affected,after,True,False,True->False,True,True,405,406
01a0baad-f283-7a62-80ac-d1c1f691b562,01a0abc7-4279-7135-b9ce-dba9e4aa9c0a,affected,before,True,True,,True,False,58,58
01a0baad-f283-7bb7-92b7-027d227095c3,01a0abc7-4279-7135-b9ce-dba9e4aa9c0a,affected,spanning,True,False,True->False,False,False,70,-1
01a0baad-f283-7cff-938e-76bafe61000f,01a0abc7-427a-7049-805c-5b71a0a14683,affected,before,True,True,,True,False,113,113
01a0baad-f283-7e4a-9db2-c4221df39726,01a0abc7-427a-7049-805c-5b71a0a14683,affected,spanning,True,False,True->False,False,False,125,-1
01a0baad-f283-7f92-a3d1-9609c670792f,01a0abc7-427a-7049-805c-5b71a0a14683,affected,after,True,False,True->False,True,True,138,139
01a0baad-f284-70df-bf46-80a87fee059e,01a0abc7-427e-7eba-8dc8-5d263a7a8a5e,affected,before,True,True,,True,False,538,538
01a0baad-f284-7249-a245-6e8829b20f0e,01a0abc7-427e-7eba-8dc8-5d263a7a8a5e,affected,spanning,True,False,True->False,False,False,550,-1
01a0baad-f284-73a1-a1f1-ad69abd49c4a,01a0abc7-427e-7eba-8dc8-5d263a7a8a5e,affected,after,True,False,True->False,True,True,563,564
01a0baad-f284-74fd-b6bd-c40c84419f36,01a0abc7-4280-71e1-b41b-e4da17c04182,affected,before,True,True,,True,False,216,216
01a0baad-f284-767b-ac20-5ced0145ceee,01a0abc7-4280-71e1-b41b-e4da17c04182,affected,spanning,True,False,True->False,False,False,228,-1
01a0baad-f284-77e9-9d3a-5fd5b71aa83f,01a0abc7-4280-71e1-b41b-e4da17c04182,affected,after,True,False,True->False,True,True,241,242
01a0baad-f284-795c-a62c-c42078a9968a,01a0abc7-4281-786f-8fa9-d67863caf8f7,affected,before,True,True,,True,False,311,311
01a0baad-f284-7aaf-a37c-d65c06ef6598,01a0abc7-4281-786f-8fa9-d67863caf8f7,affected,spanning,True,False,True->False,False,False,323,-1
01a0baad-f284-7bf5-b059-167ddb2df238,01a0abc7-4281-786f-8fa9-d67863caf8f7,affected,after,True,False,True->False,True,True,336,337
01a0baad-f284-7d41-907f-6f05ab3d188d,01a0abc7-428c-7f1c-aac9-901070023ee6,affected,before,True,True,,True,False,380,380
01a0baad-f284-7e96-8bb2-c563a36f86b7,01a0abc7-428c-7f1c-aac9-901070023ee6,affected,spanning,True,False,True->False,False,False,392,-1
01a0baad-f284-7fe5-be58-b288ac6ae738,01a0abc7-428c-7f1c-aac9-901070023ee6,affected,after,True,False,True->False,True,True,405,406
01a0baad-f285-7133-97d7-1357a872ef2f,01a0abc7-428f-7432-947f-c649316a6f16,affected,before,True,True,,True,False,91,91
01a0baad-f285-7289-a6e3-afc7f3011113,01a0abc7-428f-7432-947f-c649316a6f16,affected,spanning,True,False,True->False,False,False,103,-1
01a0baad-f285-73d7-a5ae-000a0c73aa7b,01a0abc7-428f-7432-947f-c649316a6f16,affected,after,True,False,True->False,False,False,116,-1
01a0baad-f285-7522-8d45-32fc22c1e7ac,01a0abc7-429d-7a0d-b7fb-252dab0c32ec,affected,spanning,True,False,True->False,False,False,9,-1
01a0baad-f285-7673-9f7a-bd7c5c964906,01a0abc7-429f-7c47-ade5-5f2dd6182b09,affected,before,True,True,,True,False,142,142
01a0baad-f285-77b6-ae2c-00734b0809a4,01a0abc7-429f-7c47-ade5-5f2dd6182b09,affected,spanning,True,False,True->False,False,False,154,-1
01a0baad-f285-78ff-9a4c-320c40f61a57,01a0abc7-429f-7c47-ade5-5f2dd6182b09,affected,after,True,False,True->False,True,True,167,168
01a0baad-f285-7a43-86b6-1adb8d7e9062,01a0abc7-42a0-752f-b92b-ab2b5c5f51b7,affected,before,True,True,,True,False,123,123
01a0baad-f285-7b8d-8159-286c31777d32,01a0abc7-42a0-752f-b92b-ab2b5c5f51b7,affected,spanning,True,False,True->False,False,False,135,-1
01a0baad-f285-7cd5-baef-08297e3db73a,01a0abc7-42a0-752f-b92b-ab2b5c5f51b7,affected,after,True,False,True->False,True,True,148,149
01a0baad-f285-7e1f-9816-14c52ed2ba47,01a0abc7-42a4-7004-a83e-25a2857c8c1c,affected,before,True,True,,True,False,360,360
01a0baad-f285-7f68-a0ff-135224a93a6b,01a0abc7-42a4-7004-a83e-25a2857c8c1c,affected,spanning,True,False,True->False,False,False,372,-1
01a0baad-f286-70b6-8d94-947d32ce0f3a,01a0abc7-42a4-7004-a83e-25a2857c8c1c,affected,after,True,False,True->False,True,True,385,386
01a0baad-f286-720d-a126-80764b6a3e3e,01a0abc7-42a5-7e32-ba51-903e12ffc74c,affected,before,True,True,,True,False,234,234
01a0baad-f286-7359-8a15-2159672b79c0,01a0abc7-42a5-7e32-ba51-903e12ffc74c,affected,spanning,True,False,True->False,False,False,246,-1
01a0baad-f286-760d-8abc-751b42cac40e,01a0abc7-42a5-7e32-ba51-903e12ffc74c,affected,after,True,False,True->False,True,True,259,260
01a0baad-f287-711d-9145-cba0000ce914,01a0abc7-42a6-7bdb-ac77-0983dd5e375e,affected,before,True,True,,True,False,276,276
01a0baad-f287-72bc-be29-978c65fb202e,01a0abc7-42a6-7bdb-ac77-0983dd5e375e,affected,spanning,True,False,True->False,False,False,288,-1
01a0baad-f287-7420-99e7-d57db7871ffc,01a0abc7-42a6-7bdb-ac77-0983dd5e375e,affected,after,True,False,True->False,True,True,301,302
01a0baad-f287-7579-bd1c-4df737be5bc9,01a0abc7-42a7-7686-9ccd-32a2499ec015,affected,before,True,True,,True,False,266,266
01a0baad-f287-76d8-9fca-a56984371072,01a0abc7-42a7-7686-9ccd-32a2499ec015,affected,spanning,True,False,True->False,False,False,278,-1
01a0baad-f287-782f-a324-434e21de843f,01a0abc7-42a7-7686-9ccd-32a2499ec015,affected,after,True,False,True->False,True,True,291,292
01a0baad-f287-7981-a6e7-27a849ea0396,01a0abc7-42ab-733f-8490-72a4bf9692a4,affected,spanning,True,False,True->False,False,False,0,-1
01a0baad-f287-7ad4-a004-dd1c51f7fd93,01a0abc7-42ab-733f-8490-72a4bf9692a4,affected,after,True,False,True->False,True,True,11,12
01a0baad-f287-7c3f-bd4e-a4fd1b83a05c,01a0abc7-42ad-7050-b607-63aacd8a50c8,affected,before,True,True,,True,False,324,324
01a0baad-f287-7e46-9309-45d76201ecb7,01a0abc7-42ad-7050-b607-63aacd8a50c8,affected,spanning,True,False,True->False,False,False,336,-1
01a0baad-f288-703c-ae89-436400a73f91,01a0abc7-42ad-7050-b607-63aacd8a50c8,affected,after,True,False,True->False,True,True,349,350
01a0baad-f288-7228-bd0d-e802e6bf7e4d,01a0abc7-42af-77d0-be70-d5ff4d7efee3,affected,before,True,True,,True,False,221,221
01a0baad-f288-7415-b8a5-48cd72be06df,01a0abc7-42af-77d0-be70-d5ff4d7efee3,affected,spanning,True,False,True->False,False,False,233,-1
01a0baad-f288-760a-8bea-a223eeae34b2,01a0abc7-42af-77d0-be70-d5ff4d7efee3,affected,after,True,False,True->False,True,True,246,247
01a0baad-f288-7803-beac-5c7f311d4845,01a0abc7-42b9-71a4-b41b-467101552063,affected,before,True,True,,True,False,78,78
01a0baad-f288-79f9-9a26-0af9e1547cf1,01a0abc7-42b9-71a4-b41b-467101552063,affected,spanning,True,False,True->False,False,False,90,-1
01a0baad-f288-7be6-9848-4f964e6d6cfe,01a0abc7-42b9-71a4-b41b-467101552063,affected,after,True,False,True->False,True,True,103,104
01a0baad-f288-7dd1-983f-cb9eb5cb5513,01a0abc7-42d9-71e3-95b7-f3bd19e03668,affected,before,True,True,,True,False,228,228
01a0baad-f288-7fc2-a4c7-5c7198225800,01a0abc7-42d9-71e3-95b7-f3bd19e03668,affected,spanning,True,False,True->False,False,False,240,-1
01a0baad-f289-71cf-a894-71a443a33bd7,01a0abc7-42d9-71e3-95b7-f3bd19e03668,affected,after,True,False,True->False,True,True,253,254
01a0baad-f289-7410-b51b-aa5e40f5bc22,01a0abc7-42da-77b4-8caf-e8d8b1181dd4,affected,before,True,True,,True,False,445,445
01a0baad-f289-763d-a7f8-6f8ae4235776,01a0abc7-42da-77b4-8caf-e8d8b1181dd4,affected,spanning,True,False,True->False,False,False,457,-1
01a0baad-f289-77cc-86d2-f13b3f5d5743,01a0abc7-42da-77b4-8caf-e8d8b1181dd4,affected,after,True,False,True->False,True,True,470,471
01a0baad-f289-793e-9f8a-87ded2cab7cd,01a0abc7-42ea-7213-944d-8728fae4b87f,affected,before,True,True,,True,False,32,32
01a0baad-f289-7ad4-b584-9a2098658637,01a0abc7-42ea-7213-944d-8728fae4b87f,affected,spanning,True,False,True->False,False,False,44,-1
01a0baad-f289-7c2c-a0dc-e8ae6aa9103b,01a0abc7-42ea-7213-944d-8728fae4b87f,affected,after,True,False,True->False,True,True,57,58
01a0baad-f289-7d7b-adb8-73b400a88ac7,01a0abc7-42ea-7cc0-864f-f73f09aae337,affected,before,True,True,,True,False,33,33
01a0baad-f289-7ecb-aecb-d53a89578989,01a0abc7-42ea-7cc0-864f-f73f09aae337,affected,spanning,True,False,True->False,False,False,45,-1
01a0baad-f28a-7012-9a49-4fe5d4ca482d,01a0abc7-42ea-7cc0-864f-f73f09aae337,affected,after,True,False,True->False,True,True,58,59
01a0baad-f28a-715d-96ea-d6cb838d2427,01a0abc7-42f5-7814-a97d-45bbc8fbdce9,affected,before,True,True,,True,False,286,286
01a0baad-f28a-72b0-9469-05b80311df19,01a0abc7-42f5-7814-a97d-45bbc8fbdce9,affected,spanning,True,False,True->False,False,False,298,-1
01a0baad-f28a-7409-b26a-1d3acbf5ef27,01a0abc7-42f5-7814-a97d-45bbc8fbdce9,affected,after,True,False,True->False,True,True,311,312
01a0baad-f28a-757c-b7ba-b8ecc8917d8b,01a0abc7-42f6-7829-ad8e-857f6ebd03af,affected,before,True,True,,True,False,97,97
01a0baad-f28a-7724-b887-b9f59d4d311b,01a0abc7-42f6-7829-ad8e-857f6ebd03af,affected,spanning,True,False,True->False,False,False,109,-1
01a0baad-f28a-7adb-926f-7b0d905ab4e1,01a0abc7-42f6-7829-ad8e-857f6ebd03af,affected,after,True,False,True->False,True,True,122,123
01a0baad-f28a-7c8e-b0e6-7d126615b4b5,01a0abc7-42f8-765e-bbbd-2c2378ca4f55,affected,before,True,True,,True,False,192,192
01a0baad-f28a-7e0a-839f-9ed53325972e,01a0abc7-42f8-765e-bbbd-2c2378ca4f55,affected,spanning,True,False,True->False,False,False,204,-1
01a0baad-f28a-7f7a-8fa4-76f7cfbc41a1,01a0abc7-42f8-765e-bbbd-2c2378ca4f55,affected,after,True,False,True->False,True,True,217,218
01a0baad-f28b-70db-99e5-060081bf5e99,01a0abc7-4307-7a8a-b28c-2b57bd327258,affected,before,True,True,,True,False,659,659
01a0baad-f28b-726c-9e93-a1c1457c7bc5,01a0abc7-4307-7a8a-b28c-2b57bd327258,affected,spanning,True,False,True->False,False,False,671,-1
01a0baad-f28b-740d-b71d-2a94c8502add,01a0abc7-4307-7a8a-b28c-2b57bd327258,affected,after,True,False,True->False,True,True,684,685
01a0baad-f28b-75ca-b9ef-82bc7dfcad97,01a0abc7-4309-7b11-aa97-85399331e4fe,affected,before,True,True,,True,False,660,660
01a0baad-f28b-778f-9916-851bd5f096d7,01a0abc7-4309-7b11-aa97-85399331e4fe,affected,spanning,True,False,True->False,False,False,672,-1
01a0baad-f28b-790f-97f9-6698ef762c38,01a0abc7-4309-7b11-aa97-85399331e4fe,affected,after,True,False,True->False,True,True,685,686
01a0baad-f28b-7ab3-abdd-0b7e298d222c,01a0abc7-4313-72de-8fd5-2d4ddfdc32fe,affected,before,True,True,,True,False,360,360
01a0baad-f28b-7c6e-bb49-015902d57ee6,01a0abc7-4313-72de-8fd5-2d4ddfdc32fe,affected,spanning,True,False,True->False,False,False,372,-1
01a0baad-f28b-7e13-89d3-2c5984f57abf,01a0abc7-4313-72de-8fd5-2d4ddfdc32fe,affected,after,True,False,True->False,True,True,385,386
01a0baad-f28b-7fd5-8949-253fed93b56a,01a0abc7-431a-7d6e-96d6-94441c9cb3d2,affected,before,True,True,,True,False,52,52
01a0baad-f28c-713c-8c16-db5602c799c5,01a0abc7-431a-7d6e-96d6-94441c9cb3d2,affected,spanning,True,False,True->False,False,False,64,-1
01a0baad-f28c-729a-873e-a19af8069d44,01a0abc7-431b-758d-be17-bc318e5db39d,affected,before,True,True,,True,False,1011,1011
01a0baad-f28c-7419-b4de-73fe38902b8d,01a0abc7-431b-758d-be17-bc318e5db39d,affected,spanning,True,False,True->False,False,False,1023,-1
01a0baad-f28c-7592-ace7-3e376d169cc3,01a0abc7-431b-758d-be17-bc318e5db39d,affected,after,True,False,True->False,True,True,1036,1037
01a0baad-f28c-783e-a8b1-57e8b2411ce5,01a0abc7-433f-7b2f-ac90-d4353b2e3a30,affected,before,True,True,,True,False,105,105
