stem,doi,status,crossref_reference_count,crossref_list_present,grobid_biblstruct,delta,verdict
Benedek_2015_multilayer-markov-random-field-models,10.1016/j.isprsjprs.2015.02.006,200,64,64,64,0,match
Alwan_1988_time-series-modeling-statistical-process,10.1080/07350015.1988.10509640,200,14,14,14,0,match
Bellettini_2002_total-variation-flow,10.1006/jdeq.2001.4150,200,38,38,38,0,match
Abercrombie_2016_improving-consistency,10.1109/TGRS.2015.2463689,200,40,40,40,0,match
Efron_2004_estimation-prediction-error-covariance,10.1198/016214504000000692,200,5,5,14,9,differs
Conley_1999_gmm-estimation-cross-sectional,10.1016/S0304-4076(98)00084-0,200,37,37,37,0,match
Foody_2010_assessing-accuracy-land-cover-change,10.1016/j.rse.2010.05.003,200,110,110,110,0,match
Besag_1974_spatial-interaction-statistical-analysis,10.1111/j.2517-6161.1974.tb00999.x,200,49,49,49,0,match
Walton_2008_difficulties-estimating-city-wide-urban,10.1007/s11252-007-0040-9,200,14,14,12,-2,differs
Laurance_1998_rain-forest-fragmentation-dynamics,10.1890/0012-9658(1998)079[2032:rffatd]2.0.co;2,200,35,35,47,12,differs
Shi_1998_generic-statistical-approach-modelling,10.1080/136588198241923,200,0,0,8,,not-deposited
Goodchild_2004_general-framework-error-analysis,10.1007/s10109-004-0140-5,200,0,0,4,,not-deposited
Page_1954_continuous-inspection-schemes,10.2307/2333009,200,0,0,25,,not-deposited
Guo_2018_redeveloping-urban-forest-effect,10.1016/j.ufug.2018.08.012,200,61,61,57,-4,differs
Steenberg_2017_influence-building-renovation-rental,10.1080/09640568.2017.1326883,200,52,52,50,-2,differs
Burnicki_2011_spatio-temporal-errors-land-cover,10.1080/01431161.2010.524674,200,59,59,62,3,differs
Hall_1985_resampling-coverage-pattern,10.1016/0304-4149(85)90212-1,200,13,13,12,-1,differs
