stem,ref_key,mutation,original_doi,mutant_title,mutant_year,mutant_doi,title_ratio_to_original,state,doi,reason,is_kill,resolved_elsewhere,kill_fired
Abercrombie_2016_improving-consistency,b0,year+3,10.1126/science.1155121,"Forests and climate change: Forcings, feedbacks, and the climate benefits of forests",2011,,1.0,unresolved,,best=crossref:1.00:10.1126/science.1155121,True,False,True
Abercrombie_2016_improving-consistency,b0,year-3,10.1126/science.1155121,"Forests and climate change: Forcings, feedbacks, and the climate benefits of forests",2005,,1.0,unresolved,,best=crossref:1.00:10.1126/science.1155121,True,False,True
Abercrombie_2016_improving-consistency,b0,title-word,10.1126/science.1155121,"Forests and climate change: Forcings, bicycles and the climate benefits of forests",2008,,0.9193,resolved,10.1126/science.1155121,via=crossref; ratio=0.93; year=2008,False,False,False
Abercrombie_2016_improving-consistency,b0,title-wrong,10.1126/science.1155121,Rain forest fragmentation and the dynamics of Amazonian tree communities,2008,,0.4052,unresolved,,best=crossref:1.00:10.1890/0012-9658(1998)079[2032:rffatd]2.0.co;2,True,False,True
Abercrombie_2016_improving-consistency,b2,year+3,10.1175/1520-0442(2002)015<3123:tlscot>2.0.co;2,The land surface climatology of the community land model coupled to the NCAR community climate model,2005,,1.0,unresolved,,best=crossref:1.00:10.1175/1520-0442(1998)011<1307:tlscot>2.0.co;2,True,False,True
Abercrombie_2016_improving-consistency,b2,year-3,10.1175/1520-0442(2002)015<3123:tlscot>2.0.co;2,The land surface climatology of the community land model coupled to the NCAR community climate model,1999,,1.0,resolved,10.1175/1520-0442(1998)011<1307:tlscot>2.0.co;2,via=crossref; ratio=0.91; year=1998,True,True,True
Abercrombie_2016_improving-consistency,b2,title-word,10.1175/1520-0442(2002)015<3123:tlscot>2.0.co;2,The land surface bicycles of the community land model coupled to the NCAR community climate model,2002,,0.9239,resolved,10.1175/1520-0442(2002)015<3123:tlscot>2.0.co;2,via=crossref; ratio=0.92; year=2002,False,False,False
Abercrombie_2016_improving-consistency,b2,title-wrong,10.1175/1520-0442(2002)015<3123:tlscot>2.0.co;2,Rain forest fragmentation and the dynamics of Amazonian tree communities,2002,,0.2558,unresolved,,best=crossref:1.00:10.1890/0012-9658(1998)079[2032:rffatd]2.0.co;2; skipped=semanticscholar (rate-limited),True,False,True
Abercrombie_2016_improving-consistency,b3,year+3,10.1029/2002jd003296,Implementation of Noah land surface model advances in the national centers for environmental prediction operational mesoscale Eta model,2006,,1.0,unresolved,,best=crossref:1.00:10.1029/2002jd003296; skipped=semanticscholar (rate-limited),True,False,True
Abercrombie_2016_improving-consistency,b3,year-3,10.1029/2002jd003296,Implementation of Noah land surface model advances in the national centers for environmental prediction operational mesoscale Eta model,2000,,1.0,unresolved,,best=crossref:1.00:10.1029/2002jd003296; skipped=semanticscholar (rate-limited),True,False,True
Abercrombie_2016_improving-consistency,b3,title-word,10.1029/2002jd003296,bicycles of Noah land surface model advances in the national centers for environmental prediction operational mesoscale Eta model,2003,,0.9394,resolved,10.1029/2002jd003296,via=crossref; ratio=0.94; year=2003,False,False,False
Abercrombie_2016_improving-consistency,b3,title-wrong,10.1029/2002jd003296,Rain forest fragmentation and the dynamics of Amazonian tree communities,2003,,0.2512,unresolved,,best=crossref:1.00:10.1890/0012-9658(1998)079[2032:rffatd]2.0.co;2; skipped=semanticscholar (rate-limited),True,False,True
Abercrombie_2016_improving-consistency,b4,year+3,10.1029/2007gb002959,Comprehensive data set of global land cover change for land surface model applications,2011,,1.0,unresolved,,best=crossref:1.00:10.1029/2007gb002959; skipped=semanticscholar (rate-limited),True,False,True
Abercrombie_2016_improving-consistency,b4,year-3,10.1029/2007gb002959,Comprehensive data set of global land cover change for land surface model applications,2005,,1.0,unresolved,,best=crossref:1.00:10.1029/2007gb002959; skipped=semanticscholar (rate-limited),True,False,True
Abercrombie_2016_improving-consistency,b4,title-word,10.1029/2007gb002959,bicycles data set of global land cover change for land surface model applications,2008,,0.9102,resolved,10.1029/2007gb002959,via=crossref; ratio=0.90; year=2008,False,False,False
Abercrombie_2016_improving-consistency,b4,title-wrong,10.1029/2007gb002959,Rain forest fragmentation and the dynamics of Amazonian tree communities,2008,,0.1899,unresolved,,best=crossref:1.00:10.1890/0012-9658(1998)079[2032:rffatd]2.0.co;2; skipped=semanticscholar (rate-limited),True,False,True
Abercrombie_2016_improving-consistency,b5,year+3,10.1016/j.rse.2009.08.016,MODIS collection 5 global land cover: Algorithm refinements and characterization of new datasets,2013,,1.0,unresolved,,best=crossref:1.00:10.1016/j.rse.2009.08.016; skipped=semanticscholar (rate-limited),True,False,True
Abercrombie_2016_improving-consistency,b5,year-3,10.1016/j.rse.2009.08.016,MODIS collection 5 global land cover: Algorithm refinements and characterization of new datasets,2007,,1.0,unresolved,,best=crossref:1.00:10.1016/j.rse.2009.08.016; skipped=semanticscholar (rate-limited),True,False,True
Abercrombie_2016_improving-consistency,b5,title-word,10.1016/j.rse.2009.08.016,MODIS collection 5 global land cover: Algorithm refinements and bicycles of new datasets,2010,,0.9011,resolved,10.1016/j.rse.2009.08.016,via=crossref; ratio=0.88; year=2010,False,False,False
Abercrombie_2016_improving-consistency,b5,title-wrong,10.1016/j.rse.2009.08.016,Rain forest fragmentation and the dynamics of Amazonian tree communities,2010,,0.3114,unresolved,,"best=crossref:1.00:10.1890/0012-9658(1998)079[2032:rffatd]2.0.co;2; skipped=semanticscholar,arxiv (rate-limited)",True,False,True
Abercrombie_2016_improving-consistency,b6,year+3,10.1080/014311600210209,Global land cover classification at 1 km spatial resolution using a classification tree approach,2003,,1.0,unresolved,,"best=crossref:1.00:10.1080/014311600210209; skipped=semanticscholar,arxiv (rate-limited)",True,False,True
Abercrombie_2016_improving-consistency,b6,year-3,10.1080/014311600210209,Global land cover classification at 1 km spatial resolution using a classification tree approach,1997,,1.0,unresolved,,"best=crossref:1.00:10.1080/014311600210209; skipped=semanticscholar,arxiv (rate-limited)",True,False,True
Abercrombie_2016_improving-consistency,b6,title-word,10.1080/014311600210209,Global land cover bicycles at 1 km spatial resolution using a classification tree approach,2000,,0.914,resolved,10.1080/014311600210209,via=crossref; ratio=0.90; year=2000,False,False,False
Abercrombie_2016_improving-consistency,b6,title-wrong,10.1080/014311600210209,Rain forest fragmentation and the dynamics of Amazonian tree communities,2000,,0.2857,unresolved,,"best=crossref:1.00:10.1890/0012-9658(1998)079[2032:rffatd]2.0.co;2; skipped=semanticscholar,arxiv (rate-limited)",True,False,True
Abercrombie_2016_improving-consistency,b8,year+3,10.3390/rs6053965,Automated training sample extraction for global land cover mapping,2017,,1.0,unresolved,,"best=crossref:1.00:10.3390/rs6053965; skipped=semanticscholar,arxiv (rate-limited)",True,False,True
Abercrombie_2016_improving-consistency,b8,year-3,10.3390/rs6053965,Automated training sample extraction for global land cover mapping,2011,,1.0,unresolved,,"best=crossref:1.00:10.3390/rs6053965; skipped=semanticscholar,arxiv (rate-limited)",True,False,True
Abercrombie_2016_improving-consistency,b8,title-word,10.3390/rs6053965,Automated training sample bicycles for global land cover mapping,2014,,0.8769,resolved,10.3390/rs6053965,via=crossref; ratio=0.88; year=2014,False,False,False
Abercrombie_2016_improving-consistency,b8,title-wrong,10.3390/rs6053965,Rain forest fragmentation and the dynamics of Amazonian tree communities,2014,,0.3043,unresolved,,"best=crossref:1.00:10.1890/0012-9658(1998)079[2032:rffatd]2.0.co;2; skipped=semanticscholar,arxiv (rate-limited)",True,False,True
Abercrombie_2016_improving-consistency,b9,year+3,10.1016/j.isprsjprs.2014.09.002,Global land cover mapping at 30 m resolution: A POK-based operational approach,2018,,1.0,unresolved,,"best=crossref:1.00:10.1016/j.isprsjprs.2014.09.002; skipped=semanticscholar,arxiv (rate-limited)",True,False,True
Abercrombie_2016_improving-consistency,b9,year-3,10.1016/j.isprsjprs.2014.09.002,Global land cover mapping at 30 m resolution: A POK-based operational approach,2012,,1.0,unresolved,,"best=crossref:1.00:10.1016/j.isprsjprs.2014.09.002; skipped=semanticscholar,arxiv (rate-limited)",True,False,True
Abercrombie_2016_improving-consistency,b9,title-word,10.1016/j.isprsjprs.2014.09.002,Global land cover mapping at 30 m bicycles A POK-based operational approach,2015,,0.9079,resolved,10.1016/j.isprsjprs.2014.09.002,via=crossref; ratio=0.91; year=2015,False,False,False
Abercrombie_2016_improving-consistency,b9,title-wrong,10.1016/j.isprsjprs.2014.09.002,Rain forest fragmentation and the dynamics of Amazonian tree communities,2015,,0.255,unresolved,,"best=crossref:1.00:10.1890/0012-9658(1998)079[2032:rffatd]2.0.co;2; skipped=semanticscholar,arxiv (rate-limited)",True,False,True
Abercrombie_2016_improving-consistency,b10,year+3,10.1080/014311600210218,A comparison of the IGBP discover and university of Maryland 1 km global land cover products,2003,,1.0,unresolved,,"best=crossref:1.00:10.1080/014311600210218; skipped=semanticscholar,arxiv (rate-limited)",True,False,True
Abercrombie_2016_improving-consistency,b10,year-3,10.1080/014311600210218,A comparison of the IGBP discover and university of Maryland 1 km global land cover products,1997,,1.0,unresolved,,"best=crossref:1.00:10.1080/014311600210218; skipped=semanticscholar,arxiv (rate-limited)",True,False,True
Abercrombie_2016_improving-consistency,b10,title-word,10.1080/014311600210218,A bicycles of the IGBP discover and university of Maryland 1 km global land cover products,2000,,0.9231,resolved,10.1080/014311600210218,via=crossref; ratio=0.92; year=2000,False,False,False
Abercrombie_2016_improving-consistency,b10,title-wrong,10.1080/014311600210218,Rain forest fragmentation and the dynamics of Amazonian tree communities,2000,,0.3659,unresolved,,"best=crossref:1.00:10.1890/0012-9658(1998)079[2032:rffatd]2.0.co;2; skipped=semanticscholar,arxiv (rate-limited)",True,False,True
Abercrombie_2016_improving-consistency,b11,year+3,10.1016/j.rse.2004.09.005,A comparative analysis of the global land cover 2000 and MODIS land cover data sets,2008,,1.0,unresolved,,"best=crossref:1.00:10.3724/sp.j.1047.2012.00240; skipped=semanticscholar,arxiv (rate-limited)",True,False,True
Abercrombie_2016_improving-consistency,b11,year-3,10.1016/j.rse.2004.09.005,A comparative analysis of the global land cover 2000 and MODIS land cover data sets,2002,,1.0,unresolved,,"best=crossref:1.00:10.3724/sp.j.1047.2012.00240; skipped=semanticscholar,arxiv (rate-limited)",True,False,True
Abercrombie_2016_improving-consistency,b11,title-word,10.1016/j.rse.2004.09.005,A bicycles analysis of the global land cover 2000 and MODIS land cover data sets,2005,,0.908,resolved,10.1016/j.rse.2004.09.005,via=crossref; ratio=0.91; year=2005,False,False,False
