stem,status,references,resolved,ambiguous,unresolved,resolved_rate,mentions,edges,candidates,seconds
Benedek_2015_multilayer-markov-random-field-models,ok,64,50,1,13,0.7812,178,6,58,322.2
Alwan_1988_time-series-modeling-statistical-process,ok,14,3,1,10,0.2143,32,0,14,0.1
Bellettini_2002_total-variation-flow,ok,38,17,0,21,0.4474,100,0,38,0.3
Abercrombie_2016_improving-consistency,ok,40,26,1,13,0.65,50,3,37,0.2
Anderson_1957_statistical-inference-about-markov,no-tei,,,,,,,,,
Efron_2004_estimation-prediction-error-covariance,ok,14,6,1,7,0.4286,46,0,14,0.1
Conley_1999_gmm-estimation-cross-sectional,ok,37,14,1,22,0.3784,69,0,37,0.3
Chrisman_1982_theory-cartographic-error-measurement,ok,15,2,0,13,0.1333,26,0,15,0.1
Foody_2010_assessing-accuracy-land-cover-change,ok,110,87,5,18,0.7909,256,1,109,1.0
Besag_1974_spatial-interaction-statistical-analysis,ok,49,8,6,35,0.1633,112,0,49,0.3
Walton_2008_difficulties-estimating-city-wide-urban,ok,12,6,0,6,0.5,30,0,12,0.1
Laurance_1998_rain-forest-fragmentation-dynamics,ok,47,28,0,19,0.5957,111,0,47,0.4
Shi_1998_generic-statistical-approach-modelling,ok,8,0,0,8,0.0,11,0,8,0.1
Goodchild_2004_general-framework-error-analysis,ok,4,0,0,4,0.0,4,0,4,0.0
Page_1954_continuous-inspection-schemes,ok,25,0,0,25,0.0,31,0,25,0.0
Guo_2018_redeveloping-urban-forest-effect,ok,57,39,0,18,0.6842,108,2,55,0.4
Hudson_1978_natural-identity-exponential-families,no-tei,,,,,,,,,
Steenberg_2017_influence-building-renovation-rental,ok,50,42,0,8,0.84,94,0,50,0.4
Burnicki_2011_spatio-temporal-errors-land-cover,ok,62,30,1,31,0.4839,114,1,61,0.5
Hall_1985_resampling-coverage-pattern,ok,12,7,2,3,0.5833,14,0,12,0.1
