stem,codec,n_chars,sha256
Abercrombie_2016_improving-consistency,utf-8,62529,537196a5a271cb1f1de4caf1ad1b18c545b88cc03a8a2736e7e33f6a575ffacb
Allard_2007_total-variation-regularization-image,cp1252,325733,7f31e39b76bf398622dffc0be2265552b7646bbf319a0f7befd2336f1f2cf994
Almon_1965_distributed-lag-between-capital,utf-8,59157,24a5088c8e1d3a9ed0aa4a17befa8d0124d09a7e85a1380aec79b6240673fd32
Alwan_1988_time-series-modeling-statistical-process,utf-8,92190,34bced696829e995f0db6280e9d909a78f89d0e943486d90d39273963a4f9100
Averkov_2009_confirmation-matheron-s-conjecture,cp1252,38163,65e06bdba663cfa9b00844806fea205d2b9b881024e8299a141df11f562f6995
Bacry_2015_hawkes-processes-finance,cp1252,127417,047d5c7b7b33488aa0563767cb330c69b4037405a628d32621ee0c37bdc83862
Baddeley_2005_spatstat-r-package-analyzing-spatial,cp1252,90008,e837c21601452a88b9f1b149db7452213999ded8bf04c17908180ccdfe479003
Barker_2022_effects-crown-scorch-post-fire,cp1252,81782,db6ed7adda4c4a50da113c8f07332dede09c2d6e093fce67601bb064ff2b41d5
Batson_2019_noise2self-blind-denoising-self,utf-8,54282,efcb1ff627b77bbe18f778b5cd404afff7c78d0d60a29f70b7f1ed30921e230f
Begg_1983_assessment-diagnostic-tests-when-disease,utf-8,29014,acac8dc992e2b4c4048e8d212dde2931ef6c30893bd47f275939c9ef18b2dc89
Bell_1977_markov-analysis-land-use-change,utf-8,32901,74984ebd2918842ccbad0ceefbe74d47471d33b014abf2ec2f741b6873ddc840
Bellettini_2002_total-variation-flow,cp1252,124571,58b8d3b06159c1f2c3f8a3942251395ef422052316fb39e889ca50e2150e986f
Benedek_2009_change-detection-optical-aerial-images,cp1252,87260,6bcdb8989952b4b19cf50ab753a1ab77306b3a70e8c086f0b00e37fe84595273
Benedek_2015_multilayer-markov-random-field-models,cp1252,131884,03e3fe0c6cfda98e755d7dba94c2e72ba5f7b3fcbaa943cb736648cf583fc7e3
Besag_1974_spatial-interaction-statistical-analysis,cp1252,113443,c931cec9700bd084735ec4def603e2f3c629e2f38cf5b336ee33819410e592b5
Blackman_2020_detecting-long-term-urban-forest,cp1252,76684,47e446a480ce723b29d9b480f942610a1c0d804beb6f3e4f9db500239b305603
Blakemore_1984_generalisation-error-spatial,cp1252,70401,8e7ccd54c33175d013332ecd0c293d4d4a9c4702a32cc253992617f02b862041
Bloch_2012_mathematical-morphology-bipolar-fuzzy,cp1252,143229,48e17c58c055e412cd715a5b34864db0e06f1865ac3b5c439d27a035e03bce64
Bogaert_2022_hidden-markov-models-annual-land,cp1252,98015,a2258d41f1cff3dfeb3c056a4c28b76f460d36ac9747d95efdb97dc2ea984096
Boykov_2001_interactive-graph-cuts-optimal-boundary,cp1252,9854,7aeebff4e12afc048387d8cd491cae2c7420ffa5faf6590d3bbaa2a64431303f
Boykov_2003_computing-geodesics-minimal-surfaces,cp1252,9521,a36225096b500ddf0aeb37c6a07445fcd0c8176fa7ff99ebd25e263f34ee87b4
Broaddus_2020_removing-structured-noise-self,cp1252,30178,e52d6036d456dc74d622a10df3b5a23c5452f4da13fb2a7cf4344ed00277db64
Brook_1972_approach-probability-distribution-cusum,cp1252,34296,73f6477b70b80cfe590bf3a958e9501f1a5bb976342b5023fe9023d095e61242
Brown_2022_aerial-animal-detection-spatial-resolution,cp1252,52752,87b5e28bab5125912b306e85f66d15fcf05856da83f6d8860ce5b87dc434b075
Browning_2021_simple-discrete-time-self-exciting,cp1252,111762,856df7502e7de9b4fdc9c936e0365192950f05f4a28a324f3b820ffb3c899812
Bureau_2003_applications-continuous-time-hidden,cp1252,76901,239ab33efe2697dd25c973e79c4bb5ded8d2e584ac9f6920db6d55d14dd21c63
Burnicki_2007_simulating-error-propagation-land,cp1252,66583,81293ebce111a4bf7c2372573079ded32f653f8dacd8ff055f439bf74a4f968b
Burnicki_2010_propagating-error-land-cover-change,cp1252,118460,a348e24fd4f827d269111679c8e254aef459a117880dfb5fd96d3d9043063581
Burnicki_2011_spatio-temporal-errors-land-cover,cp1252,156782,c80dd3466ad48ff8b014fc3b7d8d80e6e961b6225b0e58b78ac5e04f32a86e50
Cabo_1995_line-transects-covariance-functions-set,cp1252,46821,f141b0e41ff042893d58b62eb0ad76ded2cc4efe271e80d6067aae292cb70a6c
Cai_2014_enhancing-modis-land-cover-product,cp1252,84023,34639f330d1126eb80988201f885d8af20f3b205b53d0a419c3f496871e8bb0b
Camara_2024_bayesian-inference-post-processing,cp1252,67982,1f676ceb810e2ff0c63ccb792f5b25a15e809af6a375c6b38575c6d75e6a058c
Caragea_2009_autologistic-models-interpretable,cp1252,55005,d5e2ebdea65ce8beda577c719ac2991f3c551e6cca9225771016436e0be9a266
Cardille_2016_bayesian-updating-land-cover,cp1252,95608,3b99a65f475c2e90204a17053007ed2355ddc898d01f82598d86723bbef587a7
Chakraborty_2017_effect-misclassification-due,cp1252,43424,4138e1b8c9cc780267d3203126562b14f615c5b215ab48229b19e9b1d5f071bb
Chan_2005_aspects-total-variation-regularized-l,cp1252,51033,e7435e305c6e427371aea0e23e64490b3aff9c413f5309c9dfff9f2194556d40
Charitos_2008_computing-short-interval-transition,cp1252,62343,7989061635930fc71e160bc9f8df7c082390a82987df18f8a90541289470b3e5
Chaux_2008_nonlinear-stein-based-estimator,utf-8,70044,0ce86a4fa64ddb62751842a3f0ee1767528f3e5d4d115490bfeca9139b5c5300
Chen_2018_semantic-segmentation-aerial-imagery,cp1252,66794,8fa6220447a041ed9a13d6400d17428b33e978ba7327070a3d52dd6141310d55
Chernozhukov_2018_double-debiased-machine-learning,cp1252,217829,e8a2ca81267a6199feee62712f6dbb60dee6d0ba040d6db8af40f61ae9d8f0a0
Chrisman_1982_theory-cartographic-error-measurement,cp1252,30499,2f1431a63567fc97380e15f3a41a6c7a9badf46e0222f68dcbbdc53192f472b2
Conley_1999_gmm-estimation-cross-sectional,cp1252,103291,6f58e41eba09a58061c247cb0a906a7cd12a1647e7122b9c3df6aff0bfa52bb0
Conley_2007_spatial-correlation-robust-inference,cp1252,114809,5667b79f771bc5d79b64a2ded0b2d9ab59024dd04387dca52acbe73d45ae56e0
Conway_2022_private-tree-law-s-contribution,cp1252,65719,8d17558a92fb5465a4312b8329e6c5d0b6c243b42bdbb412787752e5aee14b4b
Couprie_2011_power-watershed-unifying-graph-based,cp1252,10517,cb8f9b170da575260bfd2f1f40ed740e615977b6784ba397cdfeeed1079f1a4d
DAngelo_2004_inferred-causes-tree-mortality,cp1252,23936,4db758703d5afde567b7c9817635459bcea92178067b4464650a04ba0ac26543
Dai_1998a_effects-image-misregistration-accuracy,cp1252,63140,81cc1849755347820fbaf687189615e8d814ca0c058606d8b4e6c047e25d52c4
Dai_1998b_hierarchical-fusion-letter,cp1252,26977,ff189891661a349f439bd523301e919a76f30100952f93b4cb8d7d932578a750
Dawid_1979_maximum-likelihood-estimation-observer,utf-8,33126,353e8eb480d92a61b173d9fe2697a84d28409699d0f33cdff7791da206786a13
Duval_2009_tvl1-model-geometric-point-view,cp1252,88982,829c0b3d1009a6af4de6f0a99d135cbd5b66eec410403df084c8e5aaf6a87f15
Efron_1986_how-biased-apparent-error-rate,utf-8,108642,ac2799e5b6a4dbaf21671f308e483547bb3bf5ea348bf46cde2231b096837d77
Efron_2004_estimation-prediction-error-covariance,cp1252,156876,1ad4ea93c50a42d8587c042f05c985314a2ff68b104c7700adaff0fc706b2f63
Efron_2021_resampling-plans-estimation-prediction,cp1252,105389,0b41a60fffa7bb1e84a05e93aaea2f48e4d513eb3a2af082535ad0c6350a8d96
Eldar_2009_generalized-sure-exponential-families,utf-8,52146,93a432dbd3f63133716bac2876606a6ee283b199410c1e3bb892e3471e215ca2
Foody_2010_assessing-accuracy-land-cover-change,cp1252,115273,9ba034c37953ea02c04497291e08a6526fa3af5f3d5312df40210fdbcc3f1f1b
Galerne_2011_computation-perimeter-measurable-sets,cp1252,45882,fd6ccb49dcb057c08ac359fde8b39869c93a958dedfcbc0bb621540699250fcf
Gallagher_1981_theoretical-analysis-properties,utf-8,36501,9c4bb4f4bcfe7f87dcf934d11865344c8cb522c8cfc343af9a199e0e4f37a185
Gasparrini_2010_distributed-lag-non-linear-models,cp1252,47749,f216883a667f6f0ee76996338582c54875e1c8250d90eb49956c14ca12ee83a0
Gasparrini_2011_distributed-lag-linear-non-linear,cp1252,58132,f5c89de35ae6fd5e3449c1c71fa686adf5e87ba8fe2e727a0e6d7d9cb7c61482
Gasparrini_2014_modeling-exposure-lag-response,cp1252,95048,9cba5981617920b6c25bb1685692bcf5372bc18102db43291c8d3a96eb5f9398
Gasparrini_2017_penalized-framework-distributed-lag,cp1252,78672,6793f560e56e853f82e8298d733b7470bcd28cc3d3249e7d0fe69cfecf1e57d5
Geyer_1992_constrained-monte-carlo-maximum,cp1252,92122,ec678b43b553fb60e174bbd647202b9edd8b382e90d24c1bcf2423ac137a3884
Girard_2019a_aligning-updating-cadaster-maps-aerial,cp1252,38615,bb062eedd4349bd79082508b2dd9ba6213b22f66f67b932baef304906eb03277
Girard_2019b_noisy-supervision-correcting,cp1252,21608,06396d4a8ed8b40342b062c4b4af94a6319deec05f2666c74e332996b18c62bc
Goodchild_2004_general-framework-error-analysis,cp1252,4556,88b7f93c38ea458bdd1b04d96dcf59881f30cad7f372a15acd050fe52d9d15d5
