model,query_id,kind,source_stem,n_gold_chunks,gold_chunk_words_max,gold_chunk_subwords_max,subword_per_word_max,anchor_beyond_cap,referee_damaged,rank_vector,rank_lexical,vector_miss_at_20,lexical_miss_at_20
bge-m3,g001,paraphrase,Abercrombie_2016_improving-consistency,1,968,1502,1.55,0,0,,3,1,0
bge-m3,g002,paraphrase,Verbyla_2000_bias-land-cover-change-estimates,1,379,564,1.49,0,0,,1,1,0
bge-m3,g003,paraphrase,Foody_2010_assessing-accuracy-land-cover-change,2,390,503,1.33,0,0,1,1,0,0
bge-m3,g004,paraphrase,Olofsson_2013_making-better-use-accuracy-data,2,497,758,1.53,0,0,1,2,0,0
bge-m3,g005,paraphrase,Stehman_2019_key-issues-rigorous-accuracy,2,346,543,1.57,0,0,3,1,0,0
bge-m3,g006,paraphrase,Radoux_2020b_about-pitfall-erroneous-validation,1,328,499,1.52,0,0,9,36,0,1
bge-m3,g007,paraphrase,Batson_2019_noise2self-blind-denoising-self,1,8761,16124,1.84,0,0,2,1,0,0
bge-m3,g008,paraphrase,Warfield_2004_simultaneous-truth-performance-level,1,854,1312,1.54,0,0,45,1,1,0
bge-m3,g009,paraphrase,Krahenbuhl_2011_efficient-inference-fully-connected,12,486,772,1.59,0,0,1,1,0,0
bge-m3,g010,paraphrase,Zhao_2017_pyramid-scene-parsing-network,2,417,658,1.58,0,1,5,1,0,0
bge-m3,g011,paraphrase,Lee_2015_deeply-supervised-nets,1,512,823,1.61,0,1,,,1,1
bge-m3,g012,paraphrase,Touvron_2019_fixing-train-test-resolution,2,400,605,1.51,0,0,16,,0,1
bge-m3,g013,paraphrase,Brown_2022_aerial-animal-detection-spatial-resolution,2,419,665,1.66,0,0,6,1,0,0
bge-m3,g014,paraphrase,MacFaden_2012_high-resolution-tree-canopy-mapping,1,426,702,1.65,0,0,13,25,0,1
bge-m3,g015,paraphrase,Nowak_2012_tree-impervious-cover-change-u,1,264,387,1.47,0,0,3,,0,1
bge-m3,g016,paraphrase,Walton_2008_difficulties-estimating-city-wide-urban,1,326,510,1.56,0,0,6,19,0,0
bge-m3,g017,paraphrase,Guo_2018_redeveloping-urban-forest-effect,2,372,615,1.65,0,0,5,8,0,0
bge-m3,g018,paraphrase,Hauer_1994_street-tree-decline-construction-damage,1,286,420,1.47,0,0,1,1,0,0
bge-m3,g019,paraphrase,Hilbert_2019_urban-tree-mortality-literature-review,2,470,753,1.7,0,0,5,2,0,0
bge-m3,g020,paraphrase,Roman_2022_construction-proactive-management-led,2,346,623,1.8,0,0,8,4,0,0
bge-m3,g021,paraphrase,Melgani_2003_markov-random-field-approach-spatio,2,482,686,1.42,0,1,2,,0,1
bge-m3,g022,paraphrase,Kaiser_2017_learning-aerial-image-segmentation,1,1025,1599,1.56,0,0,2,1,0,0
bge-m3,g023,paraphrase,Yang_2021_30m-annual-land-cover-china,1,601,991,1.65,0,1,,15,1,0
bge-m3,g024,paraphrase,Ratner_2017_snorkel-rapid-training-data-creation,1,1788,2762,1.54,0,0,45,5,1,0
bge-m3,g025,paraphrase,Raykar_2010_learning-crowds,1,330,592,1.79,0,0,32,,1,1
bge-m3,g026,paraphrase,Gros_2021_softseg-advantages-soft-versus-binary,2,439,829,1.89,0,0,19,36,0,1
bge-m3,g027,paraphrase,Ock_2024_drivers-tree-canopy-loss-mid,1,285,485,1.7,0,0,,,1,1
bge-m3,g028,paraphrase,Locke_2025_sub-parcel-scale-analysis-needed,1,1319,2155,1.63,0,0,11,47,0,1
bge-m3,g029,paraphrase,Morgenroth_2017_redevelopment-urban-forest-study,2,346,546,1.58,0,0,3,,0,1
bge-m3,g030,paraphrase,Pauls_2025_capturing-temporal-dynamics-large-scale,1,577,974,1.69,0,0,1,49,0,1
bge-m3,g031,conceptual,Kalbfleisch_1985_analysis-panel-data-markov,1,279,487,1.75,0,1,,,1,1
