citing_work_key,ref_key,doi,reference_title,crossref_title,ratio,crossref_first_author,reference_first_author,crossref_year,reference_year,verdict,why
Benedek_2015_multilayer-markov-random-field-models,b19,10.1109/cvpr.2005.177,Histograms of oriented gradients for human detection,Histograms of Oriented Gradients for Human Detection,1.0,Dalal,Dalal,2005,2005,yes,
Benedek_2015_multilayer-markov-random-field-models,b24,10.1109/tpami.1984.4767596,"Stochastic relaxation, gibbs distributions, and the bayesian restoration of images","Stochastic Relaxation, Gibbs Distributions, and the Bayesian Restoration of Images",1.0,Geman,Geman,1984,1984,yes,
Benedek_2015_multilayer-markov-random-field-models,b35,10.1109/icpr.2002.1044836,Multicue MRF image segmentation: combining texture and color,Multicue MRF image segmentation: combining texture and color features,0.9291,Kato,Kato,2003,2002,yes,
Benedek_2015_multilayer-markov-random-field-models,b36,10.1007/3-540-47977-5_21,Factorial Markov random fields,Factorial Markov Random Fields,1.0,Kim,Kim,2002,2002,yes,
Benedek_2015_multilayer-markov-random-field-models,b48,10.1017/s0305004100027419,Some generalized order-disorder transformation,Some generalized order-disorder transformations,0.9892,Potts,Potts,1952,1952,yes,
Benedek_2015_multilayer-markov-random-field-models,b57,10.1007/11744047_2,A comparative study of energy minimization methods for Markov Random Fields,A Comparative Study of Energy Minimization Methods for Markov Random Fields,1.0,Szeliski,Szeliski,2006,2006,yes,
Benedek_2015_multilayer-markov-random-field-models,b61,10.1109/tnn.2005.845141,Survey of clustering algorithms,Survey of Clustering Algorithms,1.0,Xu,Xu,2005,2005,yes,
Alwan_1988_time-series-modeling-statistical-process,b6,10.1002/j.1538-7305.1981.tb00239.x,The Quality Measurement Plan,The Quality Measurement Plan (QMP),0.9333,Hoadley,Hoadley,1981,1981,yes,
Alwan_1988_time-series-modeling-statistical-process,b13,10.2307/1269348,Modern Methods for Quality Control and Improvement,Modern Methods for Quality Control and Improvement,1.0,Sylwester,Wadsworth,1987,1986,no,first author differs
Bellettini_2002_total-variation-flow,b3,10.1006/jfan.2000.3698,The Dirichlet problem for the total variational flow,The Dirichlet Problem for the Total Variation Flow,0.9804,Andreu,Andreu,2001,2001,yes,
Abercrombie_2016_improving-consistency,b1,10.1126/science.1111772,Global consequences of land use,Global Consequences of Land Use,1.0,Foley,Foley,2005,2005,yes,
Abercrombie_2016_improving-consistency,b15,10.1080/0143116031000139863,Change detection techniques,Change detection techniques,1.0,Lu,Lu,2004,2004,yes,
Abercrombie_2016_improving-consistency,b16,10.1109/tsmc.1978.4309889,Bayesian classification in a time-varying environment,Bayesian Classification in a Time-Varying Environment,1.0,,Swain,1978,1978,no,first author differs
Abercrombie_2016_improving-consistency,b26,10.1016/s0034-4257(02)00091-3,"First operational BRDF, albedo nadir reflectance products from MODIS","First operational BRDF, albedo nadir reflectance products from MODIS",1.0,Schaaf,Schaaf,2002,2002,yes,
Efron_2004_estimation-prediction-error-covariance,b0,10.1007/978-1-4612-0919-5_38,Information Theory and an Extension of the Maximum Likelihood Principle,Information Theory and an Extension of the Maximum Likelihood Principle,1.0,Akaike,Akaike,1992,1973,yes,
Efron_2004_estimation-prediction-error-covariance,b10,10.1198/016214502753479356,Adaptive Model Selection,Adaptive Model Selection,1.0,Shen,Shen,2002,2002,yes,
Conley_1999_gmm-estimation-cross-sectional,b31,10.1086/261120,"Wages, rent, and the quality of life","Wages, Rents, and the Quality of Life",0.9855,Roback,Roback,1982,1982,yes,
Guo_2018_redeveloping-urban-forest-effect,b21,10.1007/978-1-4614-7138-7,An introduction to statistical learning,An Introduction to Statistical Learning,1.0,James,James,2013,2013,yes,
Chrisman_1982_theory-cartographic-error-measurement,b6,10.2307/2529186,Statistical methods for rates and proportions,Statistical Methods for Rates and Proportions.,1.0,D.,Fleiss,1973,1973,no,first author differs
Foody_2010_assessing-accuracy-land-cover-change,b14,10.1093/oxfordjournals.aje.a120609,Comparison of a screening test and a reference test in epidemiologic studies. I Indices of agreement and their relations,COMPARISON OF A SCREENING TEST AND A REFERENCE TEST IN EPIDEMIOLOGIC STUDIES,0.717,BUCK,Buck,1966,1966,no,ratio 0.72
Foody_2010_assessing-accuracy-land-cover-change,b38,10.1093/oxfordjournals.aje.a120610,Comparison of a screening test and a reference test in epidemiologic studies: II a probabilistic model for the compariso,COMPARISON OF A SCREENING TEST AND A REFERENCE TEST IN EPIDEMIOLOGIC STUDIES,0.7037,GART,Gart,1966,1966,no,ratio 0.70
Foody_2010_assessing-accuracy-land-cover-change,b58,10.1016/b978-0-08-044894-7.01340-3,Latent class models,Latent Class Models,1.0,Vermunt,Magidson,2010,2004,no,first author differs
Foody_2010_assessing-accuracy-land-cover-change,b76,10.1142/9789814329804_0014,The use of latent class analysis in medical diagnosis,The Use of Latent Class Analysis in Medical Diagnosis,1.0,Rindskopf,Rindskopf,2011,2002,yes,
Foody_2010_assessing-accuracy-land-cover-change,b91,10.1016/s0305-9006(03)00064-3,Remote-sensing for mapping and monitoring land-cover and land-use change-An introduction,Remote sensing for mapping and monitoring land-cover and land-use change—an introduction,0.9886,Treitz,Treitz,2004,2004,yes,
Besag_1974_spatial-interaction-statistical-analysis,b14,10.1017/s0020268100035435,An application of the Poisson distribution,An application of the Poisson distribution,1.0,Clarke,Clarke,1946,1946,yes,
Besag_1974_spatial-interaction-statistical-analysis,b33,10.1017/s002185960000160x,The experimental error of field trials,The Experimental Error of Field Trials,1.0,Mercer,Mercer,1911,1911,yes,
Walton_2008_difficulties-estimating-city-wide-urban,b1,10.14358/pers.70.7.829,Development of a 2001 National Land Cover Database for the United States,Development of a 2001 National Land-Cover Database for the United States,1.0,Homer,Homer,2004,2004,yes,
Burnicki_2011_spatio-temporal-errors-land-cover,b12,10.1201/b12612-12,Modelling error in overlaid categorical maps,Modeling error in overlaid categorical maps,0.9885,,Chrisman,1989,1989,no,first author differs
Burnicki_2011_spatio-temporal-errors-land-cover,b17,10.1201/9781420048568,Assessing the Accuracy of Remotely Sensed Data: Principles and Practices,Assessing the Accuracy of Remotely Sensed Data,1.0,Congalton,Congalton,1998,1999,yes,
