ref_id,resolver_state,resolver_doi,resolver_reason,splink_top_candidate,splink_top_doi,splink_match_weight,splink_match_probability,agrees_with_resolver
Benedek_2015_multilayer-markov-random-field-models::b0,resolved,10.3390/rs1030122,via=crossref; ratio=1.00; year=2009,cr::10.3390/rs1030122,10.3390/rs1030122,26.45099277950844,0.9999999890992155,True
Benedek_2015_multilayer-markov-random-field-models::b1,resolved,10.1109/lgrs.2013.2284297,via=crossref; ratio=1.00; year=2014,cr::10.1109/lgrs.2013.2284297,10.1109/lgrs.2013.2284297,24.35441251663491,0.9999999533779587,True
Benedek_2015_multilayer-markov-random-field-models::b2,resolved,10.1109/tgrs.2004.842441,via=crossref; ratio=1.00; year=2005,cr::10.1109/tgrs.2004.842441,10.1109/tgrs.2004.842441,24.161767438692515,0.9999999467176673,True
Benedek_2015_multilayer-markov-random-field-models::b3,resolved,10.1109/tgrs.2004.842441,via=crossref; ratio=1.00; year=2005,cr::10.1109/tgrs.2004.842441,10.1109/tgrs.2004.842441,24.161767438692515,0.9999999467176673,True
Benedek_2015_multilayer-markov-random-field-models::b4,unresolved,,best=crossref:0.50:10.5194/egusphere-egu23-13357,cr::10.1109/icip.2007.4379541,10.1109/icip.2007.4379541,-1.9881664842572337,0.20131560884807226,False
Benedek_2015_multilayer-markov-random-field-models::b5,resolved,10.1109/tgrs.2009.2022633,via=crossref; ratio=1.00; year=2009,cr::10.1109/tgrs.2009.2022633,10.1109/tgrs.2009.2022633,23.46132772055142,0.9999999134162123,True
Benedek_2015_multilayer-markov-random-field-models::b6,resolved,10.1109/tip.2009.2025808,via=crossref; ratio=0.99; year=2009,cr::10.1109/tip.2009.2025808,10.1109/tip.2009.2025808,22.705688137984747,0.9999998538136796,True
Benedek_2015_multilayer-markov-random-field-models::b7,resolved,10.1109/tpami.2011.94,via=crossref; ratio=1.00; year=2012,cr::10.1109/tpami.2011.94,10.1109/tpami.2011.94,22.46132772055142,0.9999998268324397,True
Benedek_2015_multilayer-markov-random-field-models::b8,resolved,10.1111/j.2517-6161.1986.tb01412.x,via=crossref; ratio=0.91; year=1986,cr::10.1111/j.2517-6161.1986.tb01412.x,10.1111/j.2517-6161.1986.tb01412.x,18.249087488538414,0.9999967902154783,True
Benedek_2015_multilayer-markov-random-field-models::b9,resolved,10.1109/tgrs.2008.916643,via=crossref; ratio=1.00; year=2008,cr::10.1109/tgrs.2008.916643,10.1109/tgrs.2008.916643,24.313770532137564,0.9999999520459003,True
