id	status	http_status	content_type	bytes	sha256	requested_url	final_url	saved_raw	saved_text	fetched_at_utc	method	note
dnr-lidar-portal	ok	200	text/plain	26789	ba2dd000d04771869d4656104277712896788027e2df27feceaa872ec3833af5	https://lidarportal.dnr.wa.gov/	https://lidarportal.dnr.wa.gov/	Reports/sources/raw/dnr-lidar-portal.txt	Reports/sources/text/dnr-lidar-portal.txt	2026-09-09T22:11:38Z	browser	UNVERIFIED. WA DNR lidar portal. Cross-check the S3-derived inventory and look for any 2026 planned acquisition.
dnr-portal-snohoco-footprints	ok	200	text/plain	2849	32b9820d2ad4d69230b21837ea5511164f7f7c4bcecb25215300694a0e901364	https://lidarportal.dnr.wa.gov/arcgis/rest/services/lidar/wadnr_composite_locator/GeocodeServer/findAddressCandidates	https://lidarportal.dnr.wa.gov/arcgis/rest/services/lidar/wadnr_composite_locator/GeocodeServer/findAddressCandidates		Reports/sources/text/dnr-portal-snohoco-footprints.txt	2026-09-09T22:48:48Z	http	WA DNR lidar portal GeocodeServer bbox check for Snohoco Southwest 2003 and Snohoco West 2006 (leads from report Sec 10.6) against the Edmonds bounding box. Bbox-level only (no vector footprint layer found), not tile-verified. Both projects' extents substantially overlap Edmonds; both have DSM+DTM (genuine lidar) layers per the portal's own project list.
dnr-ucf-grants	ok	200	application/pdf	6322503	298b15b151606d4b96dc7ddcd203e71312e2a16826eb4654ee02c8e5845c411b	https://dnr.wa.gov/sites/default/files/2025-03/rp_urban_arbor_day_coloring.pdf	https://dnr.wa.gov/sites/default/files/2025-03/rp_urban_arbor_day_coloring.pdf	Reports/sources/raw/dnr-ucf-grants.pdf	Reports/sources/text/dnr-ucf-grants.txt	2026-09-09T22:02:29Z	http	UNVERIFIED. WA DNR Urban & Community Forestry program. Grant funding was searched by ZERO of the ten channels, and it is the best explanation for funding with no appropriation and no council action. Look for FY2024-FY2026 award lists naming Edmonds, including IRA pass-through subawards.
edmonds-bids-page	ok	200	text/html; charset=utf-8	113077	cff5e594445b423ebf61e235897f7499b27dc6f64ff19e1bc36e841faf95f18d	https://www.edmondswa.gov/doing_business/bids_rfp_s_and_rfq_s	https://www.edmondswa.gov/doing_business/bids_rfp_s_and_rfq_s	Reports/sources/raw/edmonds-bids-page.html	Reports/sources/text/edmonds-bids-page.txt	2026-09-09T22:01:32Z	http	UNVERIFIED. City bids/RFP/RFQ index. Look for the RFP 18-26 packet, addenda, and any award notice.
edmonds-gis-basemap	ok	200	application/json;charset=UTF-8	668	484dba0d5e4790749385b5cad9ed58777737390f764976ab0bd3a133ecd0799e	https://maps.edmondswa.gov/gis/rest/services/Basemap?f=json	https://maps.edmondswa.gov/gis/rest/services/Basemap?f=json	Reports/sources/raw/edmonds-gis-basemap.json	Reports/sources/text/edmonds-gis-basemap.txt	2026-09-09T22:02:10Z	http	UNVERIFIED. The City's own GIS service list. Two questions: does a 2026_Aerial_Cached service now exist alongside 2020/2022/2024, and is there ANY lidar, DEM, DSM, hillshade or canopy-height service?
everett-lidar-costshare	ok	200	application/pdf	974726	dacc74c2a6e41fad616fd6159a3de1d4697fbf9680754bd77e660815fdadd84a	https://www.everettwa.gov/AgendaCenter/ViewFile/Item/17287?fileID=97375	https://www.everettwa.gov/AgendaCenter/ViewFile/Item/17287?fileID=97375	Reports/sources/raw/everett-lidar-costshare.pdf	Reports/sources/text/everett-lidar-costshare.txt	2026-09-09T22:02:13Z	http	"UNVERIFIED. Everett council item cost-sharing into an NV5 lidar collection under a WA DNR work order covering ""Thurston, Adams, and Snohomish Counties and the Cities of Marysville and Everett"". Already identified as WA_LidarGaps_C22, whose tiles were proven not to reach Edmonds - fetch to confirm the AOI wording and the cost-share mechanism."
ila-1462454	ok	200	application/pdf	11405777	2682cb46c4a5a6197ea6212e9e230af7be48e178a6b6a5f3f7f34235b7d8eb68	https://weblink.edmondswa.gov/WebLink/0/edoc/1462454/document.pdf	https://weblink.edmondswa.gov/WebLink/0/edoc/1462454/document.pdf	Reports/sources/raw/ila-1462454.pdf	Reports/sources/text/ila-1462454.txt	2026-09-09T22:48:48Z	ocr	OCR'd 2026-09-09 with qc/ocr_scanned_pdf.py (PyMuPDF render at 220 DPI + Windows OCR engine via winocr) after pypdf returned only 1152 chars of form-label text. sha256 re-verified against the original manifest entry (same document). Confirms p.14/21 verbatim: 'Upon completion of the 2020, 2022 and 2024 EagleView regional aerial imagery acquisition projects and receipt of imagery by County, County will provide Edmonds with orthogonal imagery...' -- resolves report Sec 4's circularity. No elevation/DSM/DTM/contour/point-cloud deliverable anywhere in the ILA or its SWO 20-01 Exhibit A; the whole document concerns EagleView orthoimagery and general IT/network services. Contract Routing Form (p.1) gives Completion Date 01/27/2026 (5-year term from 01/27/2021 effective date) -- this ILA has already expired as of the investigation date; no amendment or renewal found in it. The 2026 lidar work is a SEPARATE, newly executed ILA (ila-3106507), not a successor to this one.
ila-3106507	ok	200	application/pdf	1939166	9a3396f40391f267dc432ab85115b76c6348def3e5a23ef1ce9559620a9de47f	https://weblink.edmondswa.gov/WebLink/0/edoc/3106507/document.pdf	https://weblink.edmondswa.gov/WebLink/0/edoc/3106507/document.pdf	Reports/sources/raw/ila-3106507.pdf	Reports/sources/text/ila-3106507.txt	2026-09-09T22:43:09Z	http	Snohomish County 26-27 ILA - Urban Tree Canopy Mapping Project (Contract/Project IS-20260720-SNOCOTRMAP), found via the weblink-search-lidar/nv5/photogrammetric full-text searches, doc id 3106507. Born-digital PDF, clean pypdf text extraction (16 pages, 39781 chars). THE authorizing record for the staff email's 'we've funded LIDAR imagery from summer 2026 fly-overs' claim -- see report Sec 1/4/10.8.
kc2015-aerials-ila-1465848	ok	200	application/pdf	2396671	25e8a6e09c33b09772a6055ac585258d8af37647cba6581c07a86403afd5777c	https://weblink.edmondswa.gov/WebLink/0/edoc/1465848/document.pdf	https://weblink.edmondswa.gov/WebLink/0/edoc/1465848/document.pdf	Reports/sources/raw/kc2015-aerials-ila-1465848.pdf	Reports/sources/text/kc2015-aerials-ila-1465848.txt	2026-09-09T22:48:48Z	ocr	OCR'd 2026-09-09 with qc/ocr_scanned_pdf.py (same method as ila-1462454). CONFIRMS the report's $3,696.21 Edmonds figure verbatim from the primary contract's Section 25 Counterparts signature page: Standard Deliverables $1,945.41 + Supplemental Deliverables $0.00 + Shared Participant Costs $1,699.57 + Individual Participant costs $51.23 = TOTAL $3,696.21. Edmonds' Supplemental Deliverables (the only component that could include DTM/contours, itself photogrammetrically derived, not lidar) commitment is $0.00 -- Edmonds paid for imagery only. No mention of lidar anywhere in the 103,041-char OCR text.
myedmondsnews-june-2026	ok	200	application/pdf	14100270	edc39c0deea28b0eccb88d35cfab5a13efc412e6759e69da43d830434f34e237	https://dpa730eaqha29.cloudfront.net/myedmondsnews/wp-content/uploads/2026/06/mini-packet_City-Council-Study-Session_2026061114133716.pdf	https://dpa730eaqha29.cloudfront.net/myedmondsnews/wp-content/uploads/2026/06/mini-packet_City-Council-Study-Session_2026061114133716.pdf	Reports/sources/raw/myedmondsnews-june-2026.pdf	Reports/sources/text/myedmondsnews-june-2026.txt	2026-09-09T22:02:23Z	http	"UNVERIFIED. The only reported staff statement about lidar, and every account of it is a search-engine paraphrase. The verb tense is the whole argument: the paraphrase is prospective (""will work with lidar teams"") where the September email is past tense (""we've funded"")."
primegov-portal	ok	200	text/html; charset=utf-8	247934	aea062b908527850b9c78c09db5ea950c46ddc0d3a256b8a3e1ffe8dda8a2115	https://edmondswa.primegov.com/public/portal	https://edmondswa.primegov.com/public/portal	Reports/sources/raw/primegov-portal.html	Reports/sources/text/primegov-portal.txt	2026-09-09T22:02:37Z	http	UNVERIFIED. Council agenda portal. JS application - likely needs a browser. Target the June 2026 tree-code study session: minutes, packet, and the video captions.
rfp-18-26-djc	ok	200	text/html; charset=utf-8	34473	498f7901f291ca90543ca5a0d772fe7347398f5b9d8f15046594d8e2bfd36f9f	https://www.djc.com/my/myDownloads.php	https://www.djc.com/my/myDownloads.php	Reports/sources/raw/rfp-18-26-djc.html	Reports/sources/text/rfp-18-26-djc.txt	2026-09-09T22:01:27Z	http	"UNVERIFIED. Legal advertisement for ""2026 Tree Canopy Assessment (RFP 18-26)"". Should carry the scope summary. THE decisive question: does the 2026 work buy a FLIGHT or a desk analysis of existing data?"
rfp-18-26-highergov	ok	200	text/html; charset=utf-8	99992	b883ea3e68989ea77313293863e323822fa2bc7ae11c78707ed591a482ff27ae	https://www.highergov.com/sl/contract-opportunity/wa-2026-tree-canopy-assessment-63770355/	https://www.highergov.com/sl/contract-opportunity/wa-2026-tree-canopy-assessment-63770355/	Reports/sources/raw/rfp-18-26-highergov.html	Reports/sources/text/rfp-18-26-highergov.txt	2026-09-09T22:01:29Z	http	UNVERIFIED. Aggregator listing for the same RFP. Also confirms whether the issuing jurisdiction is actually Edmonds.
savatree-2022	ok	200	application/pdf	5962267	39ca23710e75e5e7d7bc1aa3b8dd12d814303180452e20ea7c5319b8262557c1	https://cdnsm5-hosted.civiclive.com/UserFiles/Servers/Server_16494932/File/Government/Departments/Planning%20and%20Development/Planning%20Division/Code%20Updates/Tree%20Code%20Updates/Edmonds-Tree-Canopy-Assessment-2015-2020_FINAL.pdf	https://cdnsm5-hosted.civiclive.com/UserFiles/Servers/Server_16494932/File/Government/Departments/Planning%20and%20Development/Planning%20Division/Code%20Updates/Tree%20Code%20Updates/Edmonds-Tree-Canopy-Assessment-2015-2020_FINAL.pdf	Reports/sources/raw/savatree-2022.pdf	Reports/sources/text/savatree-2022.txt	2026-09-09T22:01:54Z	http	"VERIFIED (Reports/inventory.csv). SavATree/UVM Tree Canopy Assessment 2015-2020. Read its data-sources table for exactly how the ""2017 LiDAR"" and the ""City of Edmonds"" source credit are worded."
scopi-imagery	ok	200	text/html; charset=utf-8	100019	e15451c7607a8bc3cea6590312989875f76db1ef2b9749d2abd1dccc547b0d61	https://snohomishcountywa.gov/5414/Interactive-Map-SCOPI	https://snohomishcountywa.gov/5414/Interactive-Map-SCOPI	Reports/sources/raw/scopi-imagery.html	Reports/sources/text/scopi-imagery.txt	2026-09-09T22:02:07Z	http	"UNVERIFIED. Snohomish County's own description of the even-year 2020/2022/2024 acquisitions. Needed as a live citation for the ""aerial photos, 3-inch urban / 9-inch rural"" quote currently sourced only to our QC ledger."
ufmp-2019	ok	200	application/pdf	6879554	254c61c17650a5066c673970faed3218435a38374db2741756b9cc93e3a4cd14	https://cdnsm5-hosted.civiclive.com/UserFiles/Servers/Server_16494932/File/Government/Departments/Development%20Services/Planning%20Division/Tree%20Code%20Updates/EdmondsWA_UFMP_2019_MidResolution.pdf	https://cdnsm5-hosted.civiclive.com/UserFiles/Servers/Server_16494932/File/Government/Departments/Development%20Services/Planning%20Division/Tree%20Code%20Updates/EdmondsWA_UFMP_2019_MidResolution.pdf	Reports/sources/raw/ufmp-2019.pdf	Reports/sources/text/ufmp-2019.txt	2026-09-09T22:02:00Z	http	VERIFIED (Reports/inventory.csv). 2019 Davey Urban Forest Management Plan. The planning channel that was assigned this never ran. Search for lidar, aerial, imagery.
utc-2018	ok	200	application/pdf	4473875	cdc2312d69e3795e70765f05fbb7936aaa522675ba8a0e0cda279ca74db66ebb	https://cdnsm5-hosted.civiclive.com/UserFiles/Servers/Server_16494932/File/Government/Departments/Development%20Services/Planning%20Division/Urban%20Forest%20Mgmt%20Plan/Edmonds-UTC-Assessment---FINAL-no-watermark-20180308.pdf	https://cdnsm5-hosted.civiclive.com/UserFiles/Servers/Server_16494932/File/Government/Departments/Development%20Services/Planning%20Division/Urban%20Forest%20Mgmt%20Plan/Edmonds-UTC-Assessment---FINAL-no-watermark-20180308.pdf	Reports/sources/raw/utc-2018.pdf	Reports/sources/text/utc-2018.txt	2026-09-09T22:02:05Z	http	UNVERIFIED. A 2018-dated Urban Tree Canopy Assessment that appears in no project document and that nobody has ever opened. Source of the 30.3% benchmark the UFMP inherited.
watech-imagery-rfp	ok	200	application/pdf	402119	dd7170c4bb14e1513ad1cc0e0310aebbb73a3bf3a57f0c89f7c65733798445c8	https://watech.wa.gov/sites/default/files/2026-04/26-RFP-004%20FINAL.pdf	https://watech.wa.gov/sites/default/files/2026-04/26-RFP-004%20FINAL.pdf	Reports/sources/raw/watech-imagery-rfp.pdf	Reports/sources/text/watech-imagery-rfp.txt	2026-09-09T22:02:35Z	http	UNVERIFIED. WaTech Statewide Imagery Consortium 2026 RFP. Establishes what the 2026 regional aerial acquisition actually is and who has bought in.
weblink-search-aerial-imagery	ok	200	text/plain	1255	3da547540429f6735cc66da37b3dfca4a3aa71e9d05511a539013ba07cc6e324	https://weblink.edmondswa.gov/WebLink/Search.aspx?dbid=0&repo=Edmonds	https://weblink.edmondswa.gov/WebLink/Search.aspx?dbid=0&repo=Edmonds		Reports/sources/text/weblink-search-aerial-imagery.txt	2026-09-09T22:43:09Z	browser-manual	Manually driven browser search. 127 results; top hit is King County 2015 Regional Aerials Funding Interlocal Agreement (doc id 1465848) -- see kc2015-aerials-ila-1465848 row. Resolves the report's previously-unsourced $3,696.21 consortium figure to a primary contract record (pending OCR -- scanned PDF, no text layer).
weblink-search-eagleview	ok	200	text/plain	722	5b6ff69ea9706675b763aa1b1285a0b15190f8a56823f01bfab92bb1eb8e55b7	https://weblink.edmondswa.gov/WebLink/Search.aspx?dbid=0&repo=Edmonds	https://weblink.edmondswa.gov/WebLink/Search.aspx?dbid=0&repo=Edmonds		Reports/sources/text/weblink-search-eagleview.txt	2026-09-09T22:43:09Z	browser-manual	Manually driven browser search. 16 results: permit boilerplate plus 2026-02-03 Council Packet and two 2023 Hearing Examiner packets (not opened, flagged for follow-up). No EagleView contract/invoice record.
weblink-search-lidar	ok	200	text/plain	4426	086250f0b7a928878f5efda4785d1971fc3e1b76aa3cf39d5b65b8419d987383	https://weblink.edmondswa.gov/WebLink/Search.aspx?dbid=0&repo=Edmonds	https://weblink.edmondswa.gov/WebLink/Search.aspx?dbid=0&repo=Edmonds		Reports/sources/text/weblink-search-lidar.txt	2026-09-09T22:43:09Z	browser-manual	CORRECTED 2026-09-09: the automated --browser run again returned a false ok (empty-form page, 420B, no echoed term, slipped past the UNEXECUTED_SEARCH guard). Manually driven via Claude-in-Chrome: typed 'lidar' into the Search terms box, clicked Submit, confirmed 'Results 1 - 20 of 549'. Surfaced the decisive hit: Snohomish County 26-27 ILA - Urban Tree Canopy Mapping Project (doc id 3106507) -- see ila-3106507 row. This overturns the report's core 'no city-funded lidar' conclusion.
weblink-search-nv5	ok	200	text/plain	734	6ecd9d0e0746dc0e541aa316601dceef52118b9a27b66db2d3b35ae75d5623a1	https://weblink.edmondswa.gov/WebLink/Search.aspx?dbid=0&repo=Edmonds	https://weblink.edmondswa.gov/WebLink/Search.aspx?dbid=0&repo=Edmonds		Reports/sources/text/weblink-search-nv5.txt	2026-09-09T22:43:09Z	browser-manual	Manually driven browser search. 13 results, top hit is the Snohomish County 26-27 ILA (confirms NV5 is named inside it). Remaining 12 unrelated permit records. No separate direct Edmonds-NV5 contract.
