site,lat,lon,az,el,amp,z,ratio_anti,ground_frac,date,az_dist_to_window,hit,time,el_truth,d_el,el_pinned,status
N_B1_47.8300_-122.3620,47.83,-122.362,183.51,42.0,21.237,8.91,8.92,0.234,2012-03-23,0.0,True,13:26:00,43.59,-1.59,False,ok
N_B2_47.8420_-122.3450,47.842,-122.345,192.64,39.0,17.634,7.74,3.36,0.378,2012-03-23,2.26,False,13:52:40,42.97,-3.97,False,ok
N_B7_47.8210_-122.3630,47.821,-122.363,92.39,35.5,8.581,3.14,1.21,0.357,2012-04-07,58.54,False,11:44:00,45.34,,True,ok
N_B8_47.8264_-122.3482,47.8264,-122.3482,183.22,41.5,16.689,12.73,4.29,0.231,2012-03-23,0.08,True,13:25:20,43.59,-2.09,False,ok
N_B9_47.8315_-122.3329,47.8315,-122.3329,188.04,30.0,21.295,6.53,3.93,0.208,2012-03-23,0.0,True,13:39:20,43.36,,True,ok
N_B10_47.8367_-122.3559,47.8367,-122.3559,190.62,30.0,22.794,4.25,1.94,0.365,2012-03-23,0.24,True,13:46:40,43.17,,True,ok
N_B11_47.8520_-122.3329,47.852,-122.3329,182.01,40.5,15.897,8.72,2.59,0.177,2012-03-23,1.29,True,13:21:40,43.62,-3.12,False,ok
S_A5_47.7900_-122.3760,47.79,-122.376,178.48,40.0,17.742,5.87,1.88,0.149,2012-04-07,0.0,True,13:07:20,49.41,-9.41,False,ok
S_A6_47.7830_-122.3700,47.783,-122.37,159.64,34.0,20.945,7.53,4.7,0.143,2012-04-07,0.0,True,12:17:00,47.78,-13.78,False,ok
S_A7_47.7870_-122.3620,47.787,-122.362,184.6,40.5,11.947,5.31,5.79,0.121,2012-03-23,0.0,True,13:29:20,43.55,-3.05,False,ok
