site,lat,lon,az,az_fine,el,step_el,amp,z,ratio_anti,el_at_ceiling,el_at_floor,ground_frac,img_lum,pass_gate,t_2020-04-13,eltrack_2020-04-13,t_2020-06-21,eltrack_2020-06-21,t_2020-07-13,eltrack_2020-07-13
lkBallinger_47.7800_-122.3245,47.78,-122.3245,272.0,272.5,30.5,30.0,5.331,0.96,10.46,True,True,0.583,109.8,False,,,,,,
g8_15_47.8572_-122.3329,47.85716,-122.33294,116.9,114.27,42.0,68.0,17.219,2.72,2.14,False,False,0.332,139.5,False,,,,,,
g6_0_47.7803_-122.3482,47.78025,-122.34821,236.23,235.11,55.5,66.5,6.388,3.51,3.47,True,False,0.266,110.7,False,,,,,,
g8_14_47.8520_-122.3329,47.85203,-122.33294,149.12,147.6,47.0,65.0,16.688,5.13,10.05,False,False,0.179,123.5,True,11:48,47.91,12:13,62.99,12:13,61.02
g7_0_47.7803_-122.3406,47.78025,-122.34057,225.21,222.69,55.5,60.5,7.951,4.57,2.8,False,False,0.171,103.5,False,,,,,,
g7_12_47.8418_-122.3406,47.84179,-122.34057,94.73,99.31,40.5,53.0,8.671,4.84,2.0,True,False,0.225,125.1,False,,,,,,
g8_0_47.7803_-122.3329,47.78025,-122.33294,157.29,151.23,30.0,30.0,12.701,4.0,9.05,False,True,0.576,110.7,True,12:11,49.66,12:29,64.2,12:31,62.38
g5_11_47.8367_-122.3559,47.83666,-122.35585,209.69,207.85,63.0,30.0,17.961,2.96,1.6,True,False,0.351,123.3,False,,,,,,
g3_1_47.7854_-122.3711,47.78538,-122.37112,189.59,185.76,49.0,62.0,10.008,3.62,1.23,False,False,0.295,112.3,False,,,,,,
g8_10_47.8315_-122.3329,47.83154,-122.33294,133.1,131.55,37.0,50.0,14.609,6.86,3.01,False,False,0.21,116.8,True,10:58,42.62,11:34,58.87,11:34,56.9
g7_1_47.7854_-122.3406,47.78538,-122.34057,242.8,246.92,30.0,39.5,6.093,4.56,1.35,False,True,0.245,114.7,False,,,,,,
hwy99N_47.8270_-122.3300,47.827,-122.33,136.5,134.97,46.5,54.5,15.038,7.75,5.92,False,False,0.297,113.0,True,11:09,43.94,11:43,59.95,11:43,57.97
g8_1_47.7854_-122.3329,47.78538,-122.33294,114.55,118.74,51.0,30.0,6.965,2.66,16.85,False,False,0.491,115.0,False,,,,,,
g6_9_47.8264_-122.3482,47.82641,-122.34821,120.83,128.09,47.0,65.0,18.214,3.87,7.85,False,False,0.231,110.0,True,10:12,36.45,10:58,54.04,10:56,51.81
hwy99S_47.7900_-122.3265,47.79,-122.3265,232.16,228.42,58.5,66.5,4.478,1.2,1.66,True,False,0.387,119.5,False,,,,,,
g7_8_47.8213_-122.3406,47.82128,-122.34057,165.63,164.17,54.5,63.5,9.194,8.52,2.89,False,False,0.183,113.8,False,,,,,,
g4_2_47.7905_-122.3635,47.79051,-122.36348,198.75,200.71,30.0,30.5,5.425,0.95,1.0,False,True,0.222,116.7,False,,,,,,
g6_8_47.8213_-122.3482,47.82128,-122.34821,130.94,137.11,54.5,66.5,6.866,5.22,2.95,False,False,0.21,120.5,False,,,,,,
g8_2_47.7905_-122.3329,47.79051,-122.33294,240.76,238.07,34.0,38.5,5.205,5.99,1.78,False,False,0.221,114.6,False,,,,,,
g4_8_47.8213_-122.3635,47.82128,-122.36348,139.18,140.1,48.0,65.5,6.344,6.69,1.91,False,False,0.348,121.6,False,,,,,,
g4_3_47.7956_-122.3635,47.79564,-122.36348,209.01,208.72,63.0,68.0,4.453,6.21,3.21,True,False,0.184,111.9,False,,,,,,
g3_8_47.8213_-122.3711,47.82128,-122.37112,150.81,151.43,61.0,67.5,6.816,3.59,5.15,False,False,0.347,122.5,False,,,,,,
g8_3_47.7956_-122.3329,47.79564,-122.33294,114.75,118.89,53.5,30.5,10.616,3.07,1.31,True,False,0.381,127.8,False,,,,,,
g6_7_47.8162_-122.3482,47.81616,-122.34821,161.9,158.99,52.0,62.0,16.984,9.22,2.61,False,False,0.223,120.8,True,12:24,50.43,12:38,64.73,12:40,62.91
seaview_47.7985_-122.3730,47.7985,-122.373,196.91,195.95,62.5,66.5,6.177,6.03,2.4,False,False,0.177,112.5,False,,,,,,
g5_7_47.8162_-122.3559,47.81616,-122.35585,167.32,165.59,55.0,68.0,14.285,12.03,2.92,False,False,0.227,118.4,True,12:38,51.05,12:48,65.18,12:51,63.4
hospital_47.7995_-122.3330,47.7995,-122.333,209.53,209.71,43.5,30.0,4.732,2.77,2.44,False,False,0.521,129.2,False,,,,,,
g4_7_47.8162_-122.3635,47.81616,-122.36348,154.26,158.03,43.5,68.0,4.482,4.27,3.25,False,False,0.215,113.7,False,,,,,,
g2_4_47.8008_-122.3787,47.80077,-122.37875,192.51,185.98,51.5,68.0,12.31,11.43,3.83,False,False,0.225,119.3,True,13:42,51.05,13:34,65.22,13:39,63.43
g3_7_47.8162_-122.3711,47.81616,-122.37112,160.99,157.78,53.0,67.5,7.906,12.89,5.81,False,False,0.257,118.5,False,,,,,,
g3_4_47.8008_-122.3711,47.80077,-122.37112,178.16,173.61,65.5,68.0,5.384,6.05,4.75,True,False,0.229,109.8,False,,,,,,
fiveCorners_47.8145_-122.3565,47.8145,-122.3565,154.81,156.4,54.0,62.0,13.447,9.51,3.82,False,False,0.195,111.7,True,12:04,49.18,12:24,63.86,12:26,62.05
g4_4_47.8008_-122.3635,47.80077,-122.36348,182.63,187.33,58.5,63.5,12.134,11.17,3.89,False,False,0.225,112.2,True,13:16,51.62,13:16,65.61,13:20,63.84
