mode,sun_floor,cloud_cut_ft,min_run_h,ctrl_TPR,ctrl,c2017,frameTPR,miss,2020_coe,2022_coe,2024_coe,2021_snoh,2016_snoh
strict,0,ANY,2,100.0,46/46,5/5,100.0,,66/92,67/97,38/62,97/140,2/2
strict,0,ANY,3,97.8,45/46,5/5,94.4,2023-04-26,57/92,62/97,35/62,87/140,2/2
strict,0,8000,2,100.0,46/46,5/5,100.0,,69/92,74/97,42/62,106/140,2/2
strict,0,8000,3,100.0,46/46,5/5,100.0,,62/92,67/97,39/62,96/140,2/2
strict,0,5000,2,100.0,46/46,5/5,100.0,,75/92,84/97,51/62,117/140,2/2
strict,0,5000,3,100.0,46/46,5/5,100.0,,69/92,74/97,46/62,110/140,2/2
strict,0,3000,2,100.0,46/46,5/5,100.0,,84/92,92/97,54/62,125/140,2/2
strict,0,3000,3,100.0,46/46,5/5,100.0,,80/92,84/97,50/62,123/140,2/2
strict,0,OFF,2,100.0,46/46,5/5,100.0,,92/92,96/97,62/62,138/140,2/2
strict,0,OFF,3,100.0,46/46,5/5,100.0,,90/92,94/97,59/62,137/140,2/2
strict,15,ANY,2,91.3,42/46,4/5,93.1,"2015-02-18,2017-05-08,2023-04-26,2023-05-07",61/92,63/97,38/62,91/140,2/2
strict,15,ANY,3,89.1,41/46,4/5,92.2,"2015-02-18,2017-05-08,2023-04-19,2023-04-26,2023-05-07",48/92,54/97,34/62,81/140,2/2
strict,15,8000,2,95.7,44/46,5/5,99.4,"2015-02-18,2023-05-07",64/92,72/97,42/62,100/140,2/2
strict,15,8000,3,91.3,42/46,5/5,92.9,"2015-02-18,2023-04-19,2023-04-26,2023-05-07",56/92,61/97,37/62,88/140,2/2
strict,15,5000,2,97.8,45/46,5/5,99.9,2015-02-18,71/92,80/97,51/62,109/140,2/2
strict,15,5000,3,93.5,43/46,5/5,98.6,"2015-02-18,2023-04-19,2023-05-07",66/92,72/97,44/62,100/140,2/2
strict,15,3000,2,100.0,46/46,5/5,100.0,,81/92,88/97,54/62,122/140,2/2
strict,15,3000,3,97.8,45/46,5/5,99.9,2015-02-18,77/92,81/97,47/62,113/140,2/2
strict,15,OFF,2,100.0,46/46,5/5,100.0,,92/92,94/97,59/62,136/140,2/2
strict,15,OFF,3,100.0,46/46,5/5,100.0,,88/92,92/97,58/62,132/140,2/2
strict,20,ANY,2,91.3,42/46,4/5,93.1,"2015-02-18,2017-05-08,2023-04-26,2023-05-07",57/92,63/97,36/62,90/140,2/2
strict,20,ANY,3,87.0,40/46,4/5,91.0,"2015-02-18,2017-05-08,2023-04-19,2023-04-20,2023-04-26,2023-05-07",45/92,51/97,33/62,80/140,2/2
strict,20,8000,2,93.5,43/46,5/5,93.8,"2015-02-18,2023-04-26,2023-05-07",63/92,72/97,39/62,98/140,2/2
strict,20,8000,3,91.3,42/46,5/5,92.9,"2015-02-18,2023-04-19,2023-04-26,2023-05-07",52/92,58/97,36/62,85/140,2/2
strict,20,5000,2,97.8,45/46,5/5,99.9,2015-02-18,71/92,79/97,49/62,107/140,2/2
strict,20,5000,3,93.5,43/46,5/5,98.6,"2015-02-18,2023-04-19,2023-05-07",64/92,70/97,41/62,98/140,2/2
strict,20,3000,2,100.0,46/46,5/5,100.0,,81/92,88/97,52/62,117/140,2/2
strict,20,3000,3,97.8,45/46,5/5,99.9,2015-02-18,77/92,80/97,45/62,108/140,2/2
strict,20,OFF,2,100.0,46/46,5/5,100.0,,92/92,94/97,59/62,132/140,2/2
strict,20,OFF,3,100.0,46/46,5/5,100.0,,88/92,91/97,58/62,130/140,2/2
strict,25,ANY,2,91.3,42/46,4/5,93.1,"2015-02-18,2017-05-08,2023-04-26,2023-05-07",55/92,59/97,36/62,83/140,2/2
strict,25,ANY,3,87.0,40/46,4/5,91.0,"2015-02-18,2017-05-08,2023-04-19,2023-04-20,2023-04-26,2023-05-07",44/92,50/97,33/62,76/140,2/2
strict,25,8000,2,93.5,43/46,5/5,93.8,"2015-02-18,2023-04-26,2023-05-07",61/92,68/97,39/62,90/140,2/2
strict,25,8000,3,89.1,41/46,4/5,92.2,"2015-02-18,2017-05-08,2023-04-19,2023-04-26,2023-05-07",51/92,56/97,36/62,81/140,2/2
strict,25,5000,2,95.7,44/46,5/5,99.4,"2015-02-18,2023-05-07",70/92,78/97,48/62,100/140,2/2
