date,target_window,known_flight_day,frames_over_city,n_obs,max_sun_elev_deg,R1_primary_run_h,R1_primary_start,R1_primary_end,R1_primary_pass,R2_maxelim_run_h,R2_maxelim_start,R2_maxelim_end,R2_maxelim_pass,R3_lowcloud_run_h,R3_lowcloud_start,R3_lowcloud_end,R3_lowcloud_pass,SPEC_asasked_run_h,SPEC_asasked_start,SPEC_asasked_end,SPEC_asasked_pass,n_rules_passed_of_3,blk_lowcloud_hrs,blk_precip_hrs,blk_vis_hrs,worst_sky_sunhrs,R1_KPAE_run_h,R1_KPAE_pass,R1_KPAE_start,R1_KPAE_end,R1_KSEA_run_h,R1_KSEA_pass,R1_KSEA_start,R1_KSEA_end,R1_KBFI_run_h,R1_KBFI_pass,R1_KBFI_start,R1_KBFI_end,n_stations,n_stations_pass,R1_3station_verdict,R1_unanimous_flyable
2007-06-28,,,,24,65.15,3,05:53,07:53,1,1,07:53,07:53,0,3,05:53,07:53,1,2,10:53,11:53,0,2,2,5,0,BKN2500;BKN9000;CLR,3,1,05:53,07:53,,,,,,,,,1,1,FLYABLE,1
2007-06-29,,,,24,65.09,5,03:53,07:53,1,3,13:53,15:53,1,6,02:53,07:53,1,3,13:53,15:53,1,3,7,0,0,BKN2100;BKN2400/BKN3200/OVC4700;CLR,5,1,03:53,07:53,,,,,,,,,1,1,FLYABLE,1
2007-06-30,,2007K,252,24,65.03,12,12:53,23:53,1,12,12:53,23:53,1,21,03:53,23:53,1,6,12:53,17:53,1,3,1,0,0,BKN5500;CLR;FEW4500,12,1,12:53,23:53,,,,,,,,,1,1,FLYABLE,1
2007-07-01,,,,24,64.96,24,00:53,23:53,1,24,00:53,23:53,1,24,00:53,23:53,1,10,08:53,17:53,1,3,0,0,0,CLR,24,1,00:53,23:53,,,,,,,,,1,1,FLYABLE,1
2007-07-02,,,,24,64.88,18,06:53,23:53,1,18,06:53,23:53,1,19,05:53,23:53,1,10,08:53,17:53,1,3,0,0,0,CLR;FEW3500;SCT20000,18,1,06:53,23:53,,,,,,,,,1,1,FLYABLE,1
2007-07-03,,,,24,64.8,23,01:53,23:53,1,23,01:53,23:53,1,24,00:53,23:53,1,10,08:53,17:53,1,3,0,0,0,CLR;FEW12000;SCT12000,23,1,01:53,23:53,,,,,,,,,1,1,FLYABLE,1
2007-07-04,,,,24,64.7,24,00:53,23:53,1,24,00:53,23:53,1,24,00:53,23:53,1,10,08:53,17:53,1,3,0,0,0,CLR,24,1,00:53,23:53,,,,,,,,,1,1,FLYABLE,1
2007-07-05,,,,24,64.61,24,00:53,23:53,1,24,00:53,23:53,1,24,00:53,23:53,1,10,08:53,17:53,1,3,0,0,0,CLR,24,1,00:53,23:53,,,,,,,,,1,1,FLYABLE,1
2007-07-06,,,,24,64.5,24,00:53,23:53,1,24,00:53,23:53,1,24,00:53,23:53,1,10,08:53,17:53,1,3,0,0,0,CLR,24,1,00:53,23:53,,,,,,,,,1,1,FLYABLE,1
2007-07-07,,2007K,481,24,64.4,13,07:53,19:53,1,13,07:53,19:53,1,17,07:53,23:53,1,10,08:53,17:53,1,3,0,0,0,CLR,13,1,07:53,19:53,,,,,,,,,1,1,FLYABLE,1
