curve_id,year,run_tag,ref,prob,canopy_def,eval_scope,policy,k,thresh,recall,precision,f1,tp,fn,fp,population,pr_auc,n_cuts,n_eligible_cuts,source,curve_file
43fd21d3446a,2000,,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2000_xsensor_rgb.tif,forest_wetland,,scored_live,,0.5133,0.6303,0.7745,0.695,46496194,27267965,13533993,87298152,,,,qc_indep_report.csv,
46efaa1131f8,2000,,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2000_xsensor_rgb.tif,forest_only,,scored_live,,0.5133,0.6274,0.7635,0.6888,45830356,27214861,14199831,87245048,,,,qc_indep_report.csv,
4b2e845b61f3,2000,,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2000_citywide_rgb.tif,forest_wetland_scrub,,scored_live,,0.5133,0.5187,0.8662,0.6489,66686565,61878158,10304121,138868844,,,,qc_indep_report.csv,
92cb7750f3a7,2000,,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2000_citywide_rgb.tif,forest_only,,scored_live,,0.5133,0.5443,0.8387,0.6602,64569283,54053232,12421403,131043918,,,,qc_indep_report.csv,
a1a7e84b48c8,2000,,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2000_xsensor_rgb.tif,forest_wetland_scrub,,scored_live,,0.5133,0.5975,0.7948,0.6822,47713773,32143972,12316414,92174159,,,,qc_indep_report.csv,
d33d07250426,2000,,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2000_citywide_rgb.tif,forest_wetland,,scored_live,,0.5133,0.548,0.8534,0.6674,65701037,54199517,11289649,131190203,,,,qc_indep_report.csv,
0a94fc7ec3d3,2000,fullext_sectors_v1,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2000_fullext_sectors_v1.tif,forest_wetland_scrub,,scored_live,,0.5,0.5425,0.9276,0.6846,11256093,9494190,879013,21629296,,,,qc_indep_report.csv,
9a942a862942,2000,fullext_sectors_v1,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2000_fullext_sectors_v1.tif,forest_only,,scored_live,,0.5,0.5868,0.9072,0.7126,11009494,7752213,1125612,19887319,,,,qc_indep_report.csv,
c0783e8d2239,2000,fullext_sectors_v1,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2000_fullext_sectors_v1.tif,forest_wetland,,scored_live,,0.5,0.5895,0.9196,0.7184,11159655,7771755,975451,19906861,,,,qc_indep_report.csv,
0beeb9e637b8,2002,,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2002_citywide_rgb.tif,forest_only,,scored_live,,0.4988,0.6102,0.8237,0.7011,72615815,46388447,15543628,134547890,,,,qc_indep_report.csv,
1f815bb1fa1d,2002,,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2002_xsensor_rgb.tif,forest_only,,scored_live,,0.57,0.5039,0.8245,0.6255,36908833,36343216,7857173,81109222,,,,qc_indep_report.csv,
3878ae870ae1,2002,,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2002_citywide_rgb.tif,forest_wetland_scrub,,scored_live,,0.4988,0.5815,0.8506,0.6908,74986508,53970884,13172935,142130327,,,,qc_indep_report.csv,
3dd68eab7432,2002,,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2002_citywide_rgb.tif,forest_wetland,,scored_live,,0.4988,0.6136,0.8372,0.7082,73809301,46477239,14350142,134636682,,,,qc_indep_report.csv,
3df97d1fdcc2,2002,,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2002_xsensor_rgb.tif,forest_wetland_scrub,,scored_live,,0.57,0.4756,0.8507,0.6101,38081841,41991572,6684165,86757578,,,,qc_indep_report.csv,
674cb6e74dfe,2002,,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2002_xsensor_rgb.tif,forest_wetland,,scored_live,,0.57,0.5069,0.8377,0.6316,37501009,36474012,7264997,81240018,,,,qc_indep_report.csv,
d166841f2f57,2003s,,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2003s_sectors_v1.tif,forest_wetland_scrub,,scored_live,,0.5,0.3166,0.8314,0.4586,12159051,26250781,2465847,40875679,,,,qc_indep_report.csv,
d34dd2a88025,2003s,,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2003s_sectors_v1.tif,forest_only,,scored_live,,0.5,0.3369,0.8019,0.4745,11727150,23084363,2897748,37709261,,,,qc_indep_report.csv,
f775a201e2c5,2003s,,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2003s_sectors_v1.tif,forest_wetland,,scored_live,,0.5,0.3399,0.8153,0.4798,11923213,23156372,2701685,37781270,,,,qc_indep_report.csv,
1ba5a99a6d67,2005,,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2005_citywide_rgb.tif,forest_only,,scored_live,,0.4659,0.6323,0.9041,0.7442,297675723,173074620,31586467,502336810,,,,qc_indep_report.csv,
76fc5baf49ca,2005,,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2005_citywide_rgb.tif,forest_wetland,,scored_live,,0.4659,0.6346,0.9166,0.75,301814233,173781951,27447957,503044141,,,,qc_indep_report.csv,
ee4b454fa3c1,2005,,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2005_citywide_rgb.tif,forest_wetland_scrub,,scored_live,,0.4659,0.5942,0.9203,0.7221,303004126,206952941,26258064,536215131,,,,qc_indep_report.csv,
b13b0dd6c401,2006s,,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2006s_sectors_v1.tif,forest_only,,scored_live,,0.5,0.6426,0.4405,0.5227,2990013,1663217,3797016,8450246,,,,qc_indep_report.csv,
b20359b23ea6,2006s,,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2006s_sectors_v1.tif,forest_wetland_scrub,,scored_live,,0.5,0.6261,0.4726,0.5386,3207768,1915888,3579261,8702917,,,,qc_indep_report.csv,
be540cd16de7,2006s,,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2006s_sectors_v1.tif,forest_wetland,,scored_live,,0.5,0.6378,0.4415,0.5218,2996337,1701855,3790692,8488884,,,,qc_indep_report.csv,
76260a965f19,2006s,hy_e3_2006s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_hy_e3_2006s.tif,forest_wetland,,best_f1,37,0.145669,0.7855,0.6423,0.7067,8741650,2387013,4869169,15997832,0.7567,254,223,qc_indep_sweep_2006s_hy_e3_2006s_ccap_2021_hires_lc.csv,phase4/qc/curves/76260a965f19.csv
cb367abc8825,2006s,hy_e3_2006s,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2006s_hy_e3_2006s.tif,forest_wetland,,best_f1,28,0.110236,0.8193,0.6722,0.7385,9756607,2151662,4758633,16666902,0.7957,254,223,qc_indep_sweep_2006s_hy_e3_2006s_ccap_2016_hires_lc.csv,phase4/qc/curves/cb367abc8825.csv
f3f65fa1c8fd,2006s,hy_e3_2006s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_hy_e3_2006s.tif,forest_wetland,sample-test,best_f1,27,0.106299,0.779,0.6468,0.7068,467267,132532,255192,854991,0.7676,254,205,qc_indep_sweep_2006s_hy_e3_2006s_ccap_2021_hires_lc_sample-test.csv,phase4/qc/curves/f3f65fa1c8fd.csv
76260a965f19,2006s,hy_e3_2006s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2006s_hy_e3_2006s.tif,forest_wetland,,matched_p50,22,0.086614,0.8693,0.5703,0.6888,9674323,1454340,7288837,18417500,0.7567,254,202,qc_indep_sweep_2006s_hy_e3_2006s_ccap_2021_hires_lc.csv,phase4/qc/curves/76260a965f19.csv
cb367abc8825,2006s,hy_e3_2006s,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2006s_hy_e3_2006s.tif,forest_wetland,,matched_p50,21,0.082677,0.9038,0.5173,0.658,10763195,1145074,10043376,21951645,0.7957,254,203,qc_indep_sweep_2006s_hy_e3_2006s_ccap_2016_hires_lc.csv,phase4/qc/curves/cb367abc8825.csv
