product,n_flat_cells,fp_cells,fp_rate,note
ccap_2016_hires_lc.tif,581096,1741,0.003,reference product itself
ccap_2021_hires_lc.tif,581096,6814,0.01173,reference product itself
edmonds_canopy_prob_2006s_t1_2006s_add05.tif,234467,16618,0.07088,t1 arm @ policy-C 0.248031 (AOI-restricted prob; small n)
edmonds_canopy_prob_2006s_t1_2006s_add16.tif,234467,87797,0.37445,t1 arm @ policy-C 0.444881 (AOI-restricted prob; small n)
edmonds_canopy_prob_2006s_t1_2006s_base.tif,234467,28347,0.1209,t1 arm @ policy-C 0.251968 (AOI-restricted prob; small n)
edmonds_canopy_prob_2006s_t1_2006s_in05.tif,234467,21061,0.08983,t1 arm @ policy-C 0.248031 (AOI-restricted prob; small n)
edmonds_canopy_prob_2006s_t1_2006s_in16.tif,234467,20632,0.088,t1 arm @ policy-C 0.271653 (AOI-restricted prob; small n)
edmonds_canopy_prob_2011s_t1_2011s_add05.tif,131613,16240,0.12339,t1 arm @ policy-C 0.248031 (AOI-restricted prob; small n)
edmonds_canopy_prob_2011s_t1_2011s_add16.tif,131613,17447,0.13256,t1 arm @ policy-C 0.220472 (AOI-restricted prob; small n)
edmonds_canopy_prob_2011s_t1_2011s_base.tif,131613,15256,0.11592,t1 arm @ policy-C 0.224409 (AOI-restricted prob; small n)
edmonds_canopy_prob_2011s_t1_2011s_base_s2.tif,131613,15518,0.11791,t1 arm @ policy-C 0.263779 (AOI-restricted prob; small n)
edmonds_canopy_prob_2011s_t1_2011s_base_s3.tif,131613,16772,0.12743,t1 arm @ policy-C 0.259842 (AOI-restricted prob; small n)
edmonds_canopy_prob_2011s_t1_2011s_cor05.tif,131613,14755,0.11211,t1 arm @ policy-C 0.240157 (AOI-restricted prob; small n)
edmonds_canopy_prob_2011s_t1_2011s_cor10.tif,131613,13775,0.10466,t1 arm @ policy-C 0.228346 (AOI-restricted prob; small n)
edmonds_canopy_prob_2011s_t1_2011s_in05.tif,131613,11816,0.08978,t1 arm @ policy-C 0.216535 (AOI-restricted prob; small n)
edmonds_canopy_prob_2011s_t1_2011s_in16.tif,131613,11939,0.09071,t1 arm @ policy-C 0.212598 (AOI-restricted prob; small n)
edmonds_canopy_prob_2016_t1_2016_add05.tif,131643,16791,0.12755,t1 arm @ policy-C 0.220472 (AOI-restricted prob; small n)
edmonds_canopy_prob_2016_t1_2016_add16.tif,131643,18751,0.14244,t1 arm @ policy-C 0.224409 (AOI-restricted prob; small n)
edmonds_canopy_prob_2016_t1_2016_base.tif,131643,26830,0.20381,t1 arm @ policy-C 0.405511 (AOI-restricted prob; small n)
edmonds_canopy_prob_2016_t1_2016_in05.tif,131643,18448,0.14014,t1 arm @ policy-C 0.145669 (AOI-restricted prob; small n)
edmonds_canopy_prob_2016_t1_2016_in16.tif,131643,21259,0.16149,t1 arm @ policy-C 0.133858 (AOI-restricted prob; small n)
edmonds_canopy_prob_2016_t1_2016_nir.tif,131643,19050,0.14471,t1 arm @ policy-C 0.165354 (AOI-restricted prob; small n)
edmonds_canopy_prob_2019n_t1_2019n_base.tif,157258,18299,0.11636,t1 arm @ policy-C 0.488188 (AOI-restricted prob; small n)
edmonds_canopy_prob_2019n_t1_2019n_nir.tif,157258,18657,0.11864,t1 arm @ policy-C 0.417322 (AOI-restricted prob; small n)
edmonds_canopy_prob_2020_t1_2020_add05.tif,96048,13793,0.14361,t1 arm @ policy-C 0.11811 (AOI-restricted prob; small n)
edmonds_canopy_prob_2020_t1_2020_add16.tif,96048,9470,0.0986,t1 arm @ policy-C 0.110236 (AOI-restricted prob; small n)
edmonds_canopy_prob_2020_t1_2020_base.tif,96048,24563,0.25574,t1 arm @ policy-C 0.102362 (AOI-restricted prob; small n)
edmonds_canopy_prob_2020_t1_2020_in05.tif,96048,11201,0.11662,t1 arm @ policy-C 0.07874 (AOI-restricted prob; small n)
edmonds_canopy_prob_2020_t1_2020_in16.tif,96048,3506,0.0365,t1 arm @ policy-C 0.070866 (AOI-restricted prob; small n)
edmonds_canopy_prob_2016_fullext_sectors_v1.tif,152761,2135,0.01398,citywide @ 0.5223: 2016 fullext (sample_2016 design thresh)
edmonds_canopy_prob_2023n.tif,590227,4659,0.00789,citywide @ 0.404: 2023n live row
