a,b,d_auroc,ci_lo,ci_hi,resolving_power,sign_stable,d_pr_auc,verdict,epoch_handicapped
chm,chm2,+0.063375,+0.059909,+0.066875,0.003483,1.0000,+0.052791,BETTER,0
chm,chm2005,+0.103931,+0.098704,+0.109316,0.005306,1.0000,+0.105643,BETTER,1
chm,max2(chm2),+0.011851,+0.010863,+0.012786,0.000961,1.0000,+0.012763,BETTER,0
chm,max1(chm2005),+0.070784,+0.066640,+0.074811,0.004085,1.0000,+0.079878,BETTER,0
chm,"max(chm2,chm2005)",+0.057908,+0.054243,+0.061433,0.003595,1.0000,+0.060483,BETTER,0
chm2,chm2005,+0.040556,+0.037304,+0.043541,0.003118,1.0000,+0.052852,BETTER,1
chm2,max2(chm2),-0.051524,-0.054200,-0.048732,0.002734,1.0000,-0.040029,WORSE,0
chm2,max1(chm2005),+0.007409,+0.004179,+0.010109,0.002965,1.0000,+0.027086,BETTER,0
chm2,"max(chm2,chm2005)",-0.005468,-0.007363,-0.003630,0.001866,1.0000,+0.007692,WORSE,0
chm2005,max2(chm2),-0.092080,-0.096879,-0.087451,0.004714,1.0000,-0.092881,WORSE,1
chm2005,max1(chm2005),-0.033147,-0.034674,-0.031591,0.001541,1.0000,-0.025766,WORSE,1
chm2005,"max(chm2,chm2005)",-0.046024,-0.048454,-0.043877,0.002288,1.0000,-0.045160,WORSE,1
max2(chm2),max1(chm2005),+0.058933,+0.055399,+0.062393,0.003497,1.0000,+0.067115,BETTER,0
max2(chm2),"max(chm2,chm2005)",+0.046057,+0.043155,+0.048814,0.002829,1.0000,+0.047720,BETTER,0
max1(chm2005),"max(chm2,chm2005)",-0.012876,-0.014454,-0.011207,0.001624,1.0000,-0.019395,WORSE,0
