a,b,d_auroc,ci_lo,ci_hi,resolving_power,sign_stable,d_pr_auc,verdict,epoch_handicapped
chm,chm2,+0.063028,+0.059749,+0.066365,0.003308,1.0000,+0.052678,BETTER,0
chm,max1(chm2),+0.021651,+0.020045,+0.023422,0.001689,1.0000,+0.016542,BETTER,0
chm,max2(chm2),+0.011031,+0.010097,+0.012025,0.000964,1.0000,+0.011279,BETTER,0
chm,smooth1(max1(chm2)),+0.009483,+0.008198,+0.010833,0.001317,1.0000,+0.004577,BETTER,0
chm,smooth2(max2(chm2)),-0.001415,-0.001989,-0.000707,0.000641,1.0000,-0.003305,WORSE,0
chm2,max1(chm2),-0.041376,-0.043341,-0.039508,0.001916,1.0000,-0.036136,WORSE,0
chm2,max2(chm2),-0.051997,-0.054670,-0.049396,0.002637,1.0000,-0.041399,WORSE,0
chm2,smooth1(max1(chm2)),-0.053545,-0.055861,-0.051367,0.002247,1.0000,-0.048101,WORSE,0
chm2,smooth2(max2(chm2)),-0.064443,-0.067632,-0.061539,0.003046,1.0000,-0.055983,WORSE,0
max1(chm2),max2(chm2),-0.010621,-0.011518,-0.009690,0.000914,1.0000,-0.005263,WORSE,0
max1(chm2),smooth1(max1(chm2)),-0.012169,-0.012655,-0.011689,0.000483,1.0000,-0.011965,WORSE,0
max1(chm2),smooth2(max2(chm2)),-0.023067,-0.024444,-0.021642,0.001401,1.0000,-0.019847,WORSE,0
max2(chm2),smooth1(max1(chm2)),-0.001548,-0.002275,-0.000878,0.000698,1.0000,-0.006702,WORSE,0
max2(chm2),smooth2(max2(chm2)),-0.012446,-0.013046,-0.011789,0.000629,1.0000,-0.014584,WORSE,0
smooth1(max1(chm2)),smooth2(max2(chm2)),-0.010898,-0.011912,-0.009820,0.001046,1.0000,-0.007882,WORSE,0
