a,b,d_auroc,ci_lo,ci_hi,resolving_power,sign_stable,d_pr_auc,verdict,epoch_handicapped
chm,chm2,+0.063053,+0.059809,+0.066452,0.003321,1.0000,+0.052632,BETTER,0
chm,chm@-2E+0N,+0.003735,+0.003078,+0.004406,0.000664,1.0000,+0.005143,BETTER,0
chm,chm2@-2E+0N,+0.056386,+0.053480,+0.059376,0.002948,1.0000,+0.045338,BETTER,0
chm,chm@-4E+0N,+0.019158,+0.017774,+0.020648,0.001437,1.0000,+0.023997,BETTER,0
chm,chm2@-4E+0N,+0.069778,+0.066446,+0.073097,0.003326,1.0000,+0.058766,BETTER,0
chm2,chm@-2E+0N,-0.059317,-0.063083,-0.055850,0.003616,1.0000,-0.047489,WORSE,0
chm2,chm2@-2E+0N,-0.006667,-0.007864,-0.005518,0.001173,1.0000,-0.007294,WORSE,0
chm2,chm@-4E+0N,-0.043895,-0.047718,-0.040653,0.003532,1.0000,-0.028635,WORSE,0
chm2,chm2@-4E+0N,+0.006725,+0.005028,+0.008172,0.001572,1.0000,+0.006134,BETTER,0
chm@-2E+0N,chm2@-2E+0N,+0.052651,+0.049791,+0.055669,0.002939,1.0000,+0.040195,BETTER,0
chm@-2E+0N,chm@-4E+0N,+0.015423,+0.014489,+0.016472,0.000992,1.0000,+0.018853,BETTER,0
chm@-2E+0N,chm2@-4E+0N,+0.066043,+0.062684,+0.069279,0.003297,1.0000,+0.053623,BETTER,0
chm2@-2E+0N,chm@-4E+0N,-0.037228,-0.040060,-0.034631,0.002714,1.0000,-0.021341,WORSE,0
chm2@-2E+0N,chm2@-4E+0N,+0.013392,+0.012482,+0.014241,0.000879,1.0000,+0.013428,BETTER,0
chm@-4E+0N,chm2@-4E+0N,+0.050620,+0.047725,+0.053413,0.002844,1.0000,+0.034770,BETTER,0
