a,b,d_auroc,ci_lo,ci_hi,resolving_power,sign_stable,d_pr_auc,verdict,epoch_handicapped
chm2,chm2@+2E+0N,+0.021655,+0.020193,+0.023301,0.001554,1.0000,+0.023126,BETTER,0
chm2,chm2@-2E+0N,-0.006366,-0.007488,-0.005272,0.001108,1.0000,-0.006823,WORSE,0
chm2,chm2@+0E+2N,+0.002331,+0.001908,+0.002720,0.000406,1.0000,+0.001649,BETTER,0
chm2,chm2@+0E-2N,+0.017280,+0.016309,+0.018189,0.000940,1.0000,+0.019303,BETTER,0
chm2@+2E+0N,chm2@-2E+0N,-0.028022,-0.030610,-0.025612,0.002499,1.0000,-0.029949,WORSE,0
chm2@+2E+0N,chm2@+0E+2N,-0.019324,-0.020790,-0.018015,0.001388,1.0000,-0.021477,WORSE,0
chm2@+2E+0N,chm2@+0E-2N,-0.004375,-0.005384,-0.003459,0.000962,1.0000,-0.003823,WORSE,0
chm2@-2E+0N,chm2@+0E+2N,+0.008698,+0.007461,+0.010014,0.001276,1.0000,+0.008472,BETTER,0
chm2@-2E+0N,chm2@+0E-2N,+0.023647,+0.021983,+0.025379,0.001698,1.0000,+0.026126,BETTER,0
chm2@+0E+2N,chm2@+0E-2N,+0.014949,+0.014044,+0.015807,0.000881,1.0000,+0.017654,BETTER,0
