a,b,d_auroc,ci_lo,ci_hi,resolving_power,sign_stable,d_pr_auc,verdict,epoch_handicapped
chm,chm2,+0.063028,+0.059749,+0.066365,0.003308,1.0000,+0.052678,BETTER,0
chm,max1(chm2),+0.021651,+0.020045,+0.023422,0.001689,1.0000,+0.016542,BETTER,0
chm,max2(chm2),+0.011031,+0.010097,+0.012025,0.000964,1.0000,+0.011279,BETTER,0
chm,max1(chm),+0.004203,+0.003536,+0.004907,0.000686,1.0000,+0.009977,BETTER,0
chm2,max1(chm2),-0.041376,-0.043341,-0.039508,0.001916,1.0000,-0.036136,WORSE,0
chm2,max2(chm2),-0.051997,-0.054670,-0.049396,0.002637,1.0000,-0.041399,WORSE,0
chm2,max1(chm),-0.058824,-0.062343,-0.055397,0.003473,1.0000,-0.042700,WORSE,0
max1(chm2),max2(chm2),-0.010621,-0.011518,-0.009690,0.000914,1.0000,-0.005263,WORSE,0
max1(chm2),max1(chm),-0.017448,-0.019314,-0.015459,0.001928,1.0000,-0.006564,WORSE,0
max2(chm2),max1(chm),-0.006828,-0.008039,-0.005642,0.001199,1.0000,-0.001301,WORSE,0
