label,vs,n_tried,n_used,median_dx_m,median_dy_m,p68_mag_m,p95_mag_m,support_m,chip_ground_m,systematic,measured_utc,note
2000,2020s,90,61,0.638,-1.596,6.153,7.807,0.4016,63.9,0,2026-09-01T17:28:23Z,
2002,2020s,90,67,0.065,-0.29,6.721,7.928,0.3,63.9,0,2026-09-01T17:28:23Z,
2002s,2020s,90,64,0.081,-0.494,5.165,8.117,0.3047,64.0,0,2026-09-01T17:28:23Z,
2003s,2020s,90,71,-0.004,0.342,4.752,7.727,0.3047,64.0,0,2026-09-01T17:28:23Z,
2005,2020s,90,64,0.313,-0.92,5.171,8.301,0.2008,64.1,0,2026-09-01T17:28:23Z,
2006s,2020s,90,62,-0.1,-0.704,5.463,9.171,0.9997,64.0,0,2026-09-01T17:28:23Z,
2007,2020s,90,72,0.428,0.073,6.179,8.576,0.2008,64.1,0,2026-09-01T17:28:23Z,
2007s,2020s,90,66,-0.577,-0.013,2.514,6.722,0.3047,64.0,0,2026-09-01T17:28:23Z,
2009,2020s,90,72,-0.032,0.042,3.802,7.762,0.2008,64.1,0,2026-09-01T17:28:23Z,
2009s,2020s,90,65,0.527,0.875,4.94,8.535,0.3047,64.0,0,2026-09-01T17:28:23Z,
2011s,2020s,90,74,0.596,0.77,1.735,5.235,0.3047,64.0,0,2026-09-01T17:28:23Z,
2012s,2020s,90,76,0.941,0.442,4.216,7.686,0.2285,64.0,0,2026-09-01T17:28:23Z,
2013,2020s,90,77,-0.083,-0.115,3.942,7.242,0.1004,51.4,0,2026-09-01T17:28:23Z,
2013s,2020s,90,60,1.951,1.013,4.308,8.217,0.9999,64.0,0,2026-09-01T17:28:23Z,
2015,2020s,90,81,-0.077,0.105,3.928,7.902,0.1004,51.4,0,2026-09-01T17:28:23Z,
2015n,2020s,90,63,-0.673,0.039,3.655,7.269,1.0,64.0,0,2026-09-01T17:28:23Z,
2015s,2020s,90,69,0.305,-0.302,3.578,7.893,0.3047,64.0,0,2026-09-01T17:28:23Z,
2016,2020s,90,70,0.493,0.011,2.031,5.992,0.3047,64.0,0,2026-09-01T17:28:23Z,
2017,2020s,30,28,-0.014,0.223,2.778,7.348,0.0762,39.0,0,2026-09-01T17:28:23Z,
2017n,2020s,90,70,0.136,-0.167,1.983,5.904,1.0,64.0,0,2026-09-01T17:28:23Z,
2017s,2020s,90,70,0.123,-0.641,1.263,6.046,0.3047,64.0,0,2026-09-01T17:28:23Z,
2018s,2020s,90,71,0.519,-0.146,2.925,8.206,0.1524,64.0,0,2026-09-01T17:28:23Z,
2019,2020s,90,87,0.105,-0.128,1.105,5.365,0.1004,51.4,0,2026-09-01T17:28:23Z,
2019n,2020s,90,72,-0.01,-0.476,1.935,6.742,0.6,64.2,0,2026-09-01T17:28:23Z,
2019s,2020s,90,77,0.151,-0.376,1.768,5.904,0.3047,64.0,0,2026-09-01T17:28:23Z,
2020,2020s,30,29,0.005,-0.011,0.013,0.014,0.0762,39.0,0,2026-09-01T17:28:23Z,
2021,2020s,90,83,0.1,-0.104,0.857,5.733,0.1004,51.4,0,2026-09-01T17:28:23Z,
2021n,2020s,90,75,0.069,-0.014,1.497,7.507,0.6,64.2,0,2026-09-01T17:28:23Z,
2021s,2020s,90,80,0.093,-0.087,1.73,6.425,0.1524,64.0,0,2026-09-01T17:28:23Z,
2022,2020s,30,28,0.009,-0.034,2.129,5.634,0.0762,39.0,0,2026-09-01T17:28:23Z,
2022s,2020s,90,87,0.009,-0.013,1.103,5.93,0.0762,39.0,0,2026-09-01T17:28:23Z,
2023,2020s,90,84,0.122,-0.125,2.553,6.387,0.1004,51.4,0,2026-09-01T17:28:23Z,
2023n,2020s,90,71,0.062,0.07,2.472,7.022,0.6,64.2,0,2026-09-01T17:28:23Z,
2024,2020s,30,29,1.065,0.533,2.918,6.018,0.0762,39.0,0,2026-09-01T17:28:23Z,
2024s,2020s,90,85,0.017,-0.02,2.432,5.11,0.0762,39.0,0,2026-09-01T17:28:23Z,
