crown_id,crown_idx,n_observed,first_seen_idx,first_seen_year,first_lo_idx,first_lo_year,first_seen_width,last_seen_idx,last_seen_year,last_hi_idx,last_hi_year,last_seen_width,obs_pattern,posterior_pattern,viterbi_pattern
EDM_0000000,1,0,0,2009,-1,,1,11,2024,12,,1,xxxxxxxxxxxx,CCCCCCCCCCCC,CCCCCCCCCCCC
EDM_0000001,2,11,0,2009,-1,,1,11,2024,12,,1,..C.x...C...,CCCCCCCCCCCC,CCCCCCCCCCCC
EDM_0000002,3,12,0,2009,-1,,1,11,2024,12,,1,..C....C....,CCCCCCCCCCCC,CCCCCCCCCCCC
EDM_0000003,4,12,0,2009,-1,,1,11,2024,12,,1,..C....C....,CCCCCCCCCCCC,CCCCCCCCCCCC
EDM_0000004,5,0,0,2009,-1,,1,11,2024,12,,1,xxxxxxxxxxxx,CCCCCCCCCCCC,CCCCCCCCCCCC
EDM_0000005,6,12,0,2009,-1,,1,11,2024,12,,1,..C....C....,CCCCCCCCCCCC,CCCCCCCCCCCC
EDM_0000006,7,12,0,2009,-1,,1,11,2024,12,,1,..C....C....,CCCCCCCCCCCC,CCCCCCCCCCCC
EDM_0000007,8,11,0,2009,-1,,1,11,2024,12,,1,..x....CC...,CCCCCCCCCCCC,CCCCCCCCCCCC
EDM_0000008,9,12,0,2009,-1,,1,11,2024,12,,1,..C....C....,CCCCCCCCCCCC,CCCCCCCCCCCC
EDM_0000009,10,12,0,2009,-1,,1,11,2024,12,,1,..C....C....,CCCCCCCCCCCC,CCCCCCCCCCCC
EDM_0000010,11,12,0,2009,-1,,1,11,2024,12,,1,.......C....,CCCCCCCCCCCC,CCCCCCCCCCCC
EDM_0000011,12,12,0,2009,-1,,1,11,2024,12,,1,..C....C....,CCCCCCCCCCCC,CCCCCCCCCCCC
EDM_0000012,13,12,0,2009,-1,,1,11,2024,12,,1,..C.C..C....,CCCCCCCCCCCC,CCCCCCCCCCCC
EDM_0000013,14,12,0,2009,-1,,1,11,2024,12,,1,..C....C....,CCCCCCCCCCCC,CCCCCCCCCCCC
EDM_0000014,15,12,0,2009,-1,,1,11,2024,12,,1,....C..C....,CCCCCCCCCCCC,CCCCCCCCCCCC
