seed,assignment,permutation,k2_fixed,k2_raw_all,k2_share,k1_laundered,k1_loss_points,offcrown_n,secs
-1,true,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",111,327,0.3394,12,3,726,
1,shuffled,"[8, 11, 4, 7, 5, 0, 1, 9, 2, 10, 6, 3]",111,327,0.3394,27,9,726,98
2,shuffled,"[2, 0, 9, 10, 11, 7, 5, 6, 3, 4, 8, 1]",111,327,0.3394,27,9,726,100
3,shuffled,"[11, 7, 2, 10, 0, 1, 4, 6, 9, 5, 3, 8]",111,327,0.3394,27,9,726,99
4,shuffled,"[1, 0, 8, 2, 10, 9, 7, 6, 4, 3, 5, 11]",111,327,0.3394,13,4,726,100
5,shuffled,"[9, 11, 1, 3, 2, 4, 6, 7, 0, 10, 5, 8]",111,327,0.3394,27,9,726,100
6,shuffled,"[10, 4, 8, 2, 11, 6, 3, 9, 0, 5, 7, 1]",111,327,0.3394,27,9,726,100
7,shuffled,"[4, 6, 10, 0, 1, 3, 8, 7, 2, 5, 9, 11]",111,327,0.3394,17,5,726,101
8,shuffled,"[7, 3, 8, 0, 1, 10, 6, 11, 5, 9, 2, 4]",111,327,0.3394,27,9,726,101
9,shuffled,"[7, 2, 6, 10, 9, 3, 5, 11, 8, 4, 0, 1]",111,327,0.3394,27,9,726,101
10,shuffled,"[1, 3, 11, 9, 2, 4, 7, 10, 5, 6, 0, 8]",111,327,0.3394,27,9,726,100
11,shuffled,"[2, 10, 8, 1, 6, 9, 4, 5, 11, 3, 7, 0]",111,327,0.3394,27,9,726,102
12,shuffled,"[4, 1, 10, 9, 6, 5, 7, 0, 3, 2, 11, 8]",111,327,0.3394,27,9,726,102
13,shuffled,"[6, 1, 5, 0, 4, 7, 2, 8, 3, 10, 11, 9]",111,327,0.3394,8,3,726,102
14,shuffled,"[9, 6, 4, 11, 0, 3, 5, 7, 8, 10, 1, 2]",111,327,0.3394,27,9,726,101
15,shuffled,"[3, 0, 5, 7, 6, 2, 10, 8, 11, 4, 9, 1]",111,327,0.3394,27,9,726,103
16,shuffled,"[0, 9, 4, 6, 8, 10, 5, 7, 3, 1, 11, 2]",111,327,0.3394,27,9,726,102
17,shuffled,"[8, 4, 6, 11, 1, 0, 10, 7, 9, 2, 5, 3]",111,327,0.3394,22,6,726,105
18,shuffled,"[10, 5, 0, 2, 6, 7, 4, 8, 1, 9, 11, 3]",111,327,0.3394,20,6,726,114
19,shuffled,"[9, 8, 7, 4, 0, 10, 5, 2, 11, 1, 3, 6]",111,327,0.3394,27,9,726,110
20,shuffled,"[9, 8, 4, 0, 6, 11, 3, 7, 2, 1, 5, 10]",111,327,0.3394,23,7,726,108
# k3_true,111
# k3_p95,111
# k3_p95_rule,nearest_rank_19_of_20
# k3_max,111
# k3_min,111
# k3_n_draws_ge_true,20
# k3_true_above_p95,0
# k3_n_draws,20
# k1_true,12
# k1_shuffled_min,8
# k1_shuffled_max,27
# k1_shuffled_median,27
# note,"K2 is identical in all 20 draws and in the true assignment; a shuffle cannot move a metric a degenerate model already saturates."
# npz_true,D:\edmonds-pipeline\treedata\phase4\qc\crown_state_posterior.npz
# stack,D:\edmonds-pipeline\heal_stack_2m.npz
