seed,permutation,nochange_triples_fixed,nochange_triples_raw,loss_laundered,loss_laundered_points,loss_has_terminal_absence,loss_laundered_crown_obs0,offcrown_n
1,"[8, 11, 4, 7, 5, 0, 1, 9, 2, 10, 6, 3]",111,111,33,11,11,26,726
2,"[2, 0, 9, 10, 11, 7, 5, 6, 3, 4, 8, 1]",111,111,33,11,11,26,726
3,"[11, 7, 2, 10, 0, 1, 4, 6, 9, 5, 3, 8]",111,111,33,11,11,26,726
4,"[1, 0, 8, 2, 10, 9, 7, 6, 4, 3, 5, 11]",111,111,33,11,11,26,726
5,"[9, 11, 1, 3, 2, 4, 6, 7, 0, 10, 5, 8]",111,111,33,11,11,26,726
6,"[10, 4, 8, 2, 11, 6, 3, 9, 0, 5, 7, 1]",111,111,33,11,11,26,726
7,"[4, 6, 10, 0, 1, 3, 8, 7, 2, 5, 9, 11]",111,111,33,11,11,26,726
8,"[7, 3, 8, 0, 1, 10, 6, 11, 5, 9, 2, 4]",111,111,33,11,11,26,726
9,"[7, 2, 6, 10, 9, 3, 5, 11, 8, 4, 0, 1]",111,111,21,8,11,14,726
10,"[1, 3, 11, 9, 2, 4, 7, 10, 5, 6, 0, 8]",111,111,33,11,11,26,726
11,"[2, 10, 8, 1, 6, 9, 4, 5, 11, 3, 7, 0]",111,111,33,11,11,26,726
12,"[4, 1, 10, 9, 6, 5, 7, 0, 3, 2, 11, 8]",111,111,33,11,11,26,726
13,"[6, 1, 5, 0, 4, 7, 2, 8, 3, 10, 11, 9]",111,111,33,11,11,26,726
14,"[9, 6, 4, 11, 0, 3, 5, 7, 8, 10, 1, 2]",111,111,33,11,11,26,726
15,"[3, 0, 5, 7, 6, 2, 10, 8, 11, 4, 9, 1]",111,111,33,11,11,26,726
16,"[0, 9, 4, 6, 8, 10, 5, 7, 3, 1, 11, 2]",111,111,33,11,11,26,726
17,"[8, 4, 6, 11, 1, 0, 10, 7, 9, 2, 5, 3]",111,111,33,11,11,26,726
18,"[10, 5, 0, 2, 6, 7, 4, 8, 1, 9, 11, 3]",111,111,33,11,11,26,726
19,"[9, 8, 7, 4, 0, 10, 5, 2, 11, 1, 3, 6]",111,111,33,11,11,26,726
20,"[9, 8, 4, 0, 6, 11, 3, 7, 2, 1, 5, 10]",111,111,33,11,11,26,726
# k3_true,111
# k3_p95,111.0
# k3_true_above_p95,0
# k3_n_draws_ge_true,20
# k3_n_draws,20
# k3_draw_min,111
# k3_draw_max,111
# k1_true_laundered,33
# k1_draw_min,21
# k1_draw_max,33
# k1_draw_median,33.0
# true_vs_gold,D:\edmonds-pipeline\treedata\phase4\qc\crown_state_v2_vs_gold.csv
# emission_plugin,pixel
