point_id,label,crown_idx,crown_id,offcrown,off_grid,terminal_absent_epochs,terminal_laundered,terminal_laundered_posterior,terminal_censored,laundered_crown_obs1,laundered_crown_obs0,laundered_crown_missing,raw_trajectory,viterbi_trajectory,posterior_trajectory,crown_obs,n_epochs_touched,impossible_triples_raw,impossible_triples_healed,impossible_triples_posterior,healed_to_canopy,healed_to_ignore
1,nochange,0,,1,0,0,0,0,0,0,0,0,CCCCCCCCCCCC,,,,0,0,0,0,0,0
10,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
100,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1000,nochange,0,,1,0,0,0,0,0,0,0,0,CCCCCCC.CCCC,,,,0,1,0,0,0,0
1001,nochange,0,,1,0,0,0,0,0,0,0,0,.C..C...CC..,,,,0,0,0,0,0,0
1002,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1003,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1004,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1005,nochange,0,,1,0,0,0,0,0,0,0,0,...C........,,,,0,0,0,0,0,0
1006,nochange,0,,1,0,0,0,0,0,0,0,0,.x..........,,,,0,0,0,0,0,0
1007,nochange,0,,1,0,0,0,0,0,0,0,0,....C.......,,,,0,0,0,0,0,0
1008,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1009,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
101,nochange,184357,EDM_0184356,0,0,0,0,0,0,0,0,0,CCCCCCCCCCCC,CCCCCCCCCCCC,CCCCCCCCCCCC,CCCCCCCCCCCC,0,0,0,0,0,0
1010,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1011,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1012,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1013,nochange,57695,EDM_0057694,0,0,0,0,0,0,0,0,0,CCCCCCCCC..C,CCCCCCCCCCCC,CCCCCCCCCCCC,CCCCCCCCCCCC,2,0,0,0,2,0
1014,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1015,nochange,0,,1,0,0,0,0,0,0,0,0,CCCCCCCCCC.C,,,,0,1,0,0,0,0
1016,nochange,2310,EDM_0002309,0,0,0,0,0,0,0,0,0,CCCCCCCCCCCC,CCCCCCCCCCCC,CCCCCCCCCCCC,CCCCCCCCCCCC,0,0,0,0,0,0
1017,nochange,0,,1,0,0,0,0,0,0,0,0,..CCC.C.....,,,,0,1,0,0,0,0
1018,loss,0,,1,0,0,0,0,0,0,0,0,CCCCCC..C.C.,,,,0,1,0,0,0,0
1019,nochange,0,,1,0,0,0,0,0,0,0,0,.CCC......CC,,,,0,0,0,0,0,0
102,nochange,99345,EDM_0099344,0,0,0,0,0,0,0,0,0,CCCCCCCCCCCC,CCCCCCCCCCCC,CCCCCCCCCCCC,CCCCCCCCCCCC,0,0,0,0,0,0
1020,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1021,nochange,0,,1,0,0,0,0,0,0,0,0,CCC.C......C,,,,0,1,0,0,0,0
1022,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1024,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1025,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1026,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1027,nochange,0,,1,0,0,0,0,0,0,0,0,CC....C.C...,,,,0,1,0,0,0,0
1028,nochange,0,,1,0,0,0,0,0,0,0,0,.CC.........,,,,0,0,0,0,0,0
1029,nochange,202102,EDM_0202101,0,0,0,0,0,0,0,0,0,CCC.CCCCCCCC,CCCCCCCCCCCC,CCCCCCCCCCCC,CCCCCCCCCCCC,1,1,0,0,1,0
103,nochange,55066,EDM_0055065,0,0,0,0,0,0,0,0,0,CCCCCCCCCCCC,CCCCCCCCCCCC,CCCCCCCCCCCC,CCCCCCCCCCCC,0,0,0,0,0,0
1030,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1031,nochange,0,,1,0,0,0,0,0,0,0,0,CC.C.......C,,,,0,1,0,0,0,0
1032,nochange,0,,1,0,0,0,0,0,0,0,0,........C...,,,,0,0,0,0,0,0
1033,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1034,nochange,0,,1,0,0,0,0,0,0,0,0,CCCCC.C.CCCC,,,,0,2,0,0,0,0
1035,nochange,0,,1,0,0,0,0,0,0,0,0,.C..........,,,,0,0,0,0,0,0
1036,nochange,202501,EDM_0202500,0,0,3,3,3,0,3,0,0,...C..CCC...,CCCCCCCCCCCC,CCCCCCCCCCCC,CCCCCCCCCCCC,8,0,0,0,8,0
1037,nochange,0,,1,0,0,0,0,0,0,0,0,.....CC.CC..,,,,0,1,0,0,0,0
1038,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1039,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1040,nochange,0,,1,0,0,0,0,0,0,0,0,CCCCCCC.CC.C,,,,0,2,0,0,0,0
1041,nochange,0,,1,0,0,0,0,0,0,0,0,.......x....,,,,0,0,0,0,0,0
1042,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1043,nochange,0,,1,0,0,0,0,0,0,0,0,..C.........,,,,0,0,0,0,0,0
1044,nochange,0,,1,0,0,0,0,0,0,0,0,.C..........,,,,0,0,0,0,0,0
1045,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1046,nochange,140547,EDM_0140546,0,0,2,2,2,0,1,0,1,CCCCCCCCCC..,CCCCCCCCCCCC,CCCCCCCCCCCC,CCCCCCCCCCxC,2,0,0,0,2,0
1047,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
1048,nochange,0,,1,0,0,0,0,0,0,0,0,............,,,,0,0,0,0,0,0
