crown_id,diameter_m,raw_states,healed_states,valid_from,valid_to,class,confidence,epochs_healed
2,4.8,AAPA?APA,AAPA?APA,2013,2021,LOST,TERMINAL,
3,4.38,AAPAAAAA,AAPAAAAA,2013,2013,LOST,RAW,
4,10.82,AAPAAAAA,AAPAAAAA,2013,2013,LOST,RAW,
6,2.61,AAPAAAAA,AAPAAAAA,2013,2013,LOST,RAW,
7,8.56,AAPAAAAA,AAPAAAAA,2013,2013,LOST,RAW,
8,9.19,AA?AAAPA,AA?AAAPA,2021,2021,LOST,TERMINAL,
9,6.89,AAPAAAAA,AAPAAAAA,2013,2013,LOST,RAW,
10,4.57,AAPAAAAA,AAPAAAAA,2013,2013,LOST,RAW,
12,5.2,AAPAAAAA,AAPAAAAA,2013,2013,LOST,RAW,
13,6.77,AAPAPAAA,AAPAPAAA,2013,2016,LOST,RAW,
14,9.23,AAPAAAAA,AAPAAAAA,2013,2013,LOST,RAW,
15,6.76,AAAAPAAA,AAAAPAAA,2016,2016,LOST,RAW,
16,11.23,AAPAAAAA,AAPAAAAA,2013,2013,LOST,RAW,
19,17.49,PPPPPPPA,PPPPPPPA,2009,2021,LOST,TERMINAL,
20,11.75,A?PPPPPA,A?PPPPPA,2013,2021,LOST,TERMINAL,
21,13.82,PPPPPPPA,PPPPPPPA,2009,2021,LOST,TERMINAL,
22,9.17,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
23,12.16,PPPPPPPA,PPPPPPPA,2009,2021,LOST,TERMINAL,
24,17.53,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
25,7.85,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
26,8.19,PPPPA?PA,PPPPA?PA,2009,2021,LOST,TERMINAL,
27,8.5,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
28,8.89,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
29,10.95,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
30,7.67,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
31,9.57,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
32,12.84,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
33,15.13,PPPPAPPP,PPPPAPPP,2009,2024,FLICKERING,RAW,
34,13.88,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
35,14.96,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
36,17.46,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
37,12.74,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
38,5.0,PAAAAPPA,PAAAAPPA,2009,2021,LOST,TERMINAL,
39,7.71,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
40,12.59,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
41,5.52,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
42,11.7,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
43,12.0,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
44,10.15,PPPPAPPP,PPPPAPPP,2009,2024,FLICKERING,RAW,
45,12.79,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
46,14.96,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
47,14.13,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
48,7.02,PPPPAPPP,PPPP?PPP,2009,2024,PERSISTENT,BLIND,2016
49,13.11,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
50,7.54,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
51,12.04,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
52,12.82,PPPPAPPP,PPPPAPPP,2009,2024,FLICKERING,RAW,
53,8.24,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
54,11.98,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
55,7.61,PAPPAPP?,PAPP?PP?,2009,2021,FLICKERING,BLIND,2016
56,11.64,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
57,9.97,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
69,19.76,AAAPPPPP,AAAPPPPP,2015,2024,GAINED,RAW,
72,13.33,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
73,12.49,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
74,5.35,APAPPPPP,APAPPPPP,2011s,2024,GAINED,RAW,
75,9.68,PP?PPPPA,PP?PPPPA,2009,2021,LOST,TERMINAL,
76,13.86,PPPPPPPA,PPPPPPPA,2009,2021,LOST,TERMINAL,
77,5.55,PPPPPPPA,PPPPPPPA,2009,2021,LOST,TERMINAL,
78,9.75,PPPPPPPA,PPPPPPPA,2009,2021,LOST,TERMINAL,
79,15.25,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
80,10.23,PPPPPPPA,PPPPPPPA,2009,2021,LOST,TERMINAL,
81,11.32,PPPPPPPA,PPPPPPPA,2009,2021,LOST,TERMINAL,
82,17.03,PPPPPPPA,PPPPPPPA,2009,2021,LOST,TERMINAL,
83,15.56,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
84,16.13,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
85,15.99,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
86,9.36,PPPPPPPA,PPPPPPPA,2009,2021,LOST,TERMINAL,
87,8.39,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
88,10.67,PPPPPPP?,PPPPPPP?,2009,2021,PERSISTENT,RAW,
89,7.44,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
90,12.48,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
91,13.86,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
92,7.58,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
93,16.74,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
94,20.48,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
95,4.93,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
96,7.79,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
97,5.94,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
