k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,1757186,2748,3254558,0.9984,0.3506,0.519
2,0.007874,1748563,11371,2979945,0.9935,0.3698,0.539
3,0.011811,1737250,22684,2704371,0.9871,0.3911,0.5603
4,0.015748,1725055,34879,2481014,0.9802,0.4101,0.5783
5,0.019685,1711989,47945,2293250,0.9728,0.4274,0.5939
6,0.023622,1699546,60388,2137138,0.9657,0.443,0.6073
7,0.027559,1687150,72784,1993931,0.9586,0.4583,0.6202
8,0.031496,1674921,85013,1867052,0.9517,0.4729,0.6318
9,0.035433,1662917,97017,1755786,0.9449,0.4864,0.6422
10,0.03937,1651467,108467,1658119,0.9384,0.499,0.6515
11,0.043307,1640520,119414,1574844,0.9321,0.5102,0.6595
12,0.047244,1629911,130023,1501110,0.9261,0.5206,0.6665
13,0.051181,1619865,140069,1439470,0.9204,0.5295,0.6722
14,0.055118,1609828,150106,1384528,0.9147,0.5376,0.6772
15,0.059055,1600221,159713,1335218,0.9093,0.5451,0.6816
16,0.062992,1591110,168824,1291170,0.9041,0.552,0.6855
17,0.066929,1582144,177790,1251439,0.899,0.5584,0.6889
18,0.070866,1573275,186659,1215853,0.8939,0.5641,0.6917
19,0.074803,1564619,195315,1182280,0.889,0.5696,0.6943
20,0.07874,1556534,203400,1152707,0.8844,0.5745,0.6966
21,0.082677,1548790,211144,1124574,0.88,0.5793,0.6987
22,0.086614,1541147,218787,1097861,0.8757,0.584,0.7007
23,0.090551,1534075,225859,1073793,0.8717,0.5882,0.7024
24,0.094488,1527217,232717,1051369,0.8678,0.5923,0.704
25,0.098425,1520136,239798,1029506,0.8637,0.5962,0.7055
26,0.102362,1513476,246458,1009367,0.86,0.5999,0.7068
27,0.106299,1507311,252623,990405,0.8565,0.6035,0.708
28,0.110236,1501407,258527,972816,0.8531,0.6068,0.7092
29,0.114173,1495799,264135,956633,0.8499,0.6099,0.7102
30,0.11811,1490272,269662,940580,0.8468,0.6131,0.7112
31,0.122047,1484926,275008,925718,0.8437,0.616,0.7121
32,0.125984,1479628,280306,911444,0.8407,0.6188,0.7129
33,0.129921,1474683,285251,898017,0.8379,0.6215,0.7137
34,0.133858,1469602,290332,884776,0.835,0.6242,0.7144
35,0.137795,1464672,295262,872379,0.8322,0.6267,0.715
36,0.141732,1459944,299990,860537,0.8295,0.6292,0.7156
37,0.145669,1455261,304673,849025,0.8269,0.6315,0.7161
38,0.149606,1450665,309269,838197,0.8243,0.6338,0.7166
39,0.153543,1445973,313961,827332,0.8216,0.6361,0.717
40,0.15748,1441422,318512,816906,0.819,0.6383,0.7174
41,0.161417,1437023,322911,806802,0.8165,0.6404,0.7178
42,0.165354,1432463,327471,796971,0.8139,0.6425,0.7181
43,0.169291,1428110,331824,787250,0.8115,0.6446,0.7185
44,0.173228,1423693,336241,777922,0.8089,0.6467,0.7188
45,0.177165,1419469,340465,768841,0.8065,0.6487,0.719
46,0.181102,1415123,344811,759816,0.8041,0.6506,0.7193
47,0.185039,1410908,349026,751243,0.8017,0.6525,0.7195
48,0.188976,1406709,353225,742705,0.7993,0.6545,0.7197
49,0.192913,1402613,357321,734519,0.797,0.6563,0.7198
50,0.19685,1398343,361591,726291,0.7945,0.6582,0.7199
51,0.200787,1394170,365764,718542,0.7922,0.6599,0.72
52,0.204724,1390016,369918,710825,0.7898,0.6616,0.7201
53,0.208661,1385837,374097,702942,0.7874,0.6635,0.7202
54,0.212598,1381545,378389,695119,0.785,0.6653,0.7202
55,0.216535,1377330,382604,687618,0.7826,0.667,0.7202
56,0.220472,1373161,386773,679998,0.7802,0.6688,0.7202
57,0.224409,1369050,390884,673010,0.7779,0.6704,0.7202
58,0.228346,1364889,395045,665781,0.7755,0.6721,0.7201
59,0.232283,1360767,399167,658752,0.7732,0.6738,0.7201
60,0.23622,1356615,403319,651840,0.7708,0.6755,0.72
61,0.240157,1352640,407294,645166,0.7686,0.6771,0.7199
62,0.244094,1348628,411306,638455,0.7663,0.6787,0.7198
63,0.248031,1344603,415331,631769,0.764,0.6803,0.7197
64,0.251968,1340314,419620,625296,0.7616,0.6819,0.7195
65,0.255905,1336370,423564,618933,0.7593,0.6835,0.7194
66,0.259842,1332456,427478,612656,0.7571,0.685,0.7193
67,0.263779,1328592,431342,606346,0.7549,0.6866,0.7192
68,0.267716,1324557,435377,599998,0.7526,0.6882,0.719
69,0.271653,1320552,439382,593787,0.7503,0.6898,0.7188
70,0.27559,1316459,443475,587830,0.748,0.6913,0.7185
71,0.279527,1312403,447531,581917,0.7457,0.6928,0.7183
72,0.283464,1308274,451660,576052,0.7434,0.6943,0.718
73,0.287401,1304149,455785,570233,0.741,0.6958,0.7177
74,0.291338,1300127,459807,564435,0.7387,0.6973,0.7174
75,0.295275,1295835,464099,558808,0.7363,0.6987,0.717
76,0.299212,1291709,468225,553429,0.734,0.7001,0.7166
77,0.303149,1287508,472426,548017,0.7316,0.7014,0.7162
78,0.307086,1283402,476532,542621,0.7292,0.7028,0.7158
79,0.311023,1279307,480627,537285,0.7269,0.7042,0.7154
80,0.31496,1275294,484640,532187,0.7246,0.7056,0.715
81,0.318897,1271044,488890,526695,0.7222,0.707,0.7145
82,0.322834,1266964,492970,521472,0.7199,0.7084,0.7141
83,0.326771,1262732,497202,516281,0.7175,0.7098,0.7136
84,0.330708,1258556,501378,511178,0.7151,0.7112,0.7131
85,0.334645,1254127,505807,505933,0.7126,0.7125,0.7126
86,0.338582,1249896,510038,500731,0.7102,0.714,0.7121
87,0.342519,1245578,514356,495555,0.7077,0.7154,0.7115
88,0.346456,1241069,518865,490388,0.7052,0.7168,0.7109
89,0.350393,1236696,523238,485358,0.7027,0.7182,0.7103
90,0.35433,1232311,527623,480479,0.7002,0.7195,0.7097
91,0.358267,1227841,532093,475569,0.6977,0.7208,0.709
92,0.362204,1223315,536619,470569,0.6951,0.7222,0.7084
93,0.366141,1218696,541238,465676,0.6925,0.7235,0.7077
