k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,235209649,3254080,439803680,0.9864,0.3485,0.515
2,0.007874,187981217,50482512,81335336,0.7883,0.698,0.7404
3,0.011811,176992387,61471342,54879421,0.7422,0.7633,0.7526
4,0.015748,172935638,65528091,50909635,0.7252,0.7726,0.7481
5,0.019685,170291916,68171813,48613086,0.7141,0.7779,0.7447
6,0.023622,168391837,70071892,47081579,0.7062,0.7815,0.7419
7,0.027559,166879121,71584608,45914328,0.6998,0.7842,0.7396
8,0.031496,165666804,72796925,44990767,0.6947,0.7864,0.7377
9,0.035433,164621135,73842594,44209369,0.6903,0.7883,0.7361
10,0.03937,163707963,74755766,43544157,0.6865,0.7899,0.7346
11,0.043307,162866602,75597127,42958107,0.683,0.7913,0.7332
12,0.047244,162061027,76402702,42418041,0.6796,0.7926,0.7317
13,0.051181,161313332,77150397,41927987,0.6765,0.7937,0.7304
14,0.055118,160578481,77885248,41455662,0.6734,0.7948,0.7291
15,0.059055,159879472,78584257,41007974,0.6705,0.7959,0.7278
16,0.062992,159222020,79241709,40588372,0.6677,0.7969,0.7266
17,0.066929,158586968,79876761,40187735,0.665,0.7978,0.7254
18,0.070866,157978384,80485345,39804913,0.6625,0.7987,0.7243
19,0.074803,157377240,81086489,39429331,0.66,0.7997,0.7231
20,0.07874,156800384,81663345,39074345,0.6575,0.8005,0.722
21,0.082677,156227543,82236186,38722945,0.6551,0.8014,0.7209
22,0.086614,155657389,82806340,38376194,0.6528,0.8022,0.7198
23,0.090551,155110653,83353076,38048290,0.6505,0.803,0.7187
24,0.094488,154568122,83895607,37724101,0.6482,0.8038,0.7177
25,0.098425,154002012,84461717,37389382,0.6458,0.8046,0.7165
26,0.102362,153433518,85030211,37059739,0.6434,0.8055,0.7154
27,0.106299,152868583,85595146,36736261,0.6411,0.8062,0.7142
28,0.110236,152312316,86151413,36420462,0.6387,0.807,0.7131
29,0.114173,151771934,86691795,36115068,0.6365,0.8078,0.712
30,0.11811,151220902,87242827,35805087,0.6341,0.8086,0.7108
31,0.122047,150667246,87796483,35493691,0.6318,0.8093,0.7096
32,0.125984,150123568,88340161,35189680,0.6295,0.8101,0.7085
33,0.129921,149598825,88864904,34898896,0.6273,0.8108,0.7074
34,0.133858,149065463,89398266,34604829,0.6251,0.8116,0.7062
35,0.137795,148539643,89924086,34317134,0.6229,0.8123,0.7051
36,0.141732,148024754,90438975,34036065,0.6207,0.8131,0.704
37,0.145669,147521057,90942672,33765138,0.6186,0.8137,0.7029
38,0.149606,147031300,91432429,33503230,0.6166,0.8144,0.7018
39,0.153543,146538404,91925325,33244134,0.6145,0.8151,0.7007
40,0.15748,146061137,92402592,32994181,0.6125,0.8157,0.6997
41,0.161417,145598885,92864844,32755271,0.6106,0.8163,0.6986
42,0.165354,145134558,93329171,32518914,0.6086,0.817,0.6976
43,0.169291,144684135,93779594,32291876,0.6067,0.8175,0.6965
44,0.173228,144231320,94232409,32066465,0.6048,0.8181,0.6955
45,0.177165,143791839,94671890,31848265,0.603,0.8187,0.6945
46,0.181102,143349871,95113858,31630901,0.6011,0.8192,0.6934
47,0.185039,142916997,95546732,31421861,0.5993,0.8198,0.6924
48,0.188976,142476444,95987285,31211396,0.5975,0.8203,0.6914
49,0.192913,142045325,96418404,31007595,0.5957,0.8208,0.6904
50,0.19685,141610037,96853692,30802856,0.5938,0.8213,0.6893
51,0.200787,141190861,97272868,30604456,0.5921,0.8219,0.6883
52,0.204724,140773468,97690261,30406550,0.5903,0.8224,0.6873
53,0.208661,140358541,98105188,30210454,0.5886,0.8229,0.6863
54,0.212598,139949012,98514717,30017649,0.5869,0.8234,0.6853
55,0.216535,139560672,98903057,29835761,0.5852,0.8239,0.6844
56,0.220472,139177212,99286517,29657628,0.5836,0.8243,0.6834
57,0.224409,138816561,99647168,29490039,0.5821,0.8248,0.6825
58,0.228346,138459989,100003740,29325856,0.5806,0.8252,0.6816
59,0.232283,138110653,100353076,29163458,0.5792,0.8257,0.6808
60,0.23622,137766496,100697233,29004680,0.5777,0.8261,0.6799
61,0.240157,137441827,101021902,28854576,0.5764,0.8265,0.6791
62,0.244094,137121470,101342259,28706645,0.575,0.8269,0.6783
63,0.248031,136806709,101657020,28561222,0.5737,0.8273,0.6775
64,0.251968,136496129,101967600,28416543,0.5724,0.8277,0.6768
65,0.255905,136202897,102260832,28280105,0.5712,0.8281,0.676
66,0.259842,135913634,102550095,28145251,0.57,0.8284,0.6753
67,0.263779,135628549,102835180,28011311,0.5688,0.8288,0.6746
68,0.267716,135349451,103114278,27880233,0.5676,0.8292,0.6739
69,0.271653,135076533,103387196,27751260,0.5664,0.8296,0.6732
70,0.27559,134805557,103658172,27623441,0.5653,0.8299,0.6725
71,0.279527,134543010,103920719,27499682,0.5642,0.8303,0.6719
72,0.283464,134283627,104180102,27376742,0.5631,0.8307,0.6712
73,0.287401,134026204,104437525,27254783,0.562,0.831,0.6706
74,0.291338,133775753,104687976,27137447,0.561,0.8314,0.6699
75,0.295275,133520310,104943419,27017381,0.5599,0.8317,0.6693
76,0.299212,133278624,105185105,26904363,0.5589,0.832,0.6687
77,0.303149,133031638,105432091,26788857,0.5579,0.8324,0.668
78,0.307086,132792352,105671377,26677098,0.5569,0.8327,0.6674
79,0.311023,132554012,105909717,26565505,0.5559,0.833,0.6668
80,0.31496,132321305,106142424,26457441,0.5549,0.8334,0.6662
81,0.318897,132082610,106381119,26347241,0.5539,0.8337,0.6656
82,0.322834,131851363,106612366,26239873,0.5529,0.834,0.665
83,0.326771,131619890,106843839,26133706,0.5519,0.8343,0.6644
84,0.330708,131394286,107069443,26029880,0.551,0.8347,0.6638
85,0.334645,131161627,107302102,25923126,0.55,0.835,0.6632
86,0.338582,130934056,107529673,25818957,0.5491,0.8353,0.6626
87,0.342519,130704788,107758941,25715186,0.5481,0.8356,0.662
88,0.346456,130475457,107988272,25611768,0.5472,0.8359,0.6614
89,0.350393,130245134,108218595,25507304,0.5462,0.8362,0.6608
90,0.35433,130018431,108445298,25406594,0.5452,0.8365,0.6602
91,0.358267,129789581,108674148,25304661,0.5443,0.8368,0.6596
92,0.362204,129558114,108905615,25202275,0.5433,0.8372,0.659
93,0.366141,129323174,109140555,25098901,0.5423,0.8375,0.6583
94,0.370078,129084257,109379472,24994872,0.5413,0.8378,0.6577
95,0.374015,128847817,109615912,24892150,0.5403,0.8381,0.657
96,0.377952,128602214,109861515,24786560,0.5393,0.8384,0.6564
97,0.381889,128358272,110105457,24681775,0.5383,0.8387,0.6557
98,0.385826,128109271,110354458,24575969,0.5372,0.839,0.655
99,0.389763,127855904,110607825,24468886,0.5362,0.8394,0.6543
100,0.3937,127598062,110865667,24360472,0.5351,0.8397,0.6536
101,0.397637,127336574,111127155,24250973,0.534,0.84,0.6529
102,0.401574,127074471,111389258,24141992,0.5329,0.8403,0.6522
103,0.405511,126808221,111655508,24031514,0.5318,0.8407,0.6515
104,0.409448,126537297,111926432,23920584,0.5306,0.841,0.6507
105,0.413385,126261842,112201887,23808284,0.5295,0.8414,0.6499
