k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,969292,0,1413088,1.0,0.4069,0.5784
2,0.007874,969292,0,1413088,1.0,0.4069,0.5784
3,0.011811,969292,0,1413088,1.0,0.4069,0.5784
4,0.015748,969292,0,1413088,1.0,0.4069,0.5784
5,0.019685,969292,0,1413088,1.0,0.4069,0.5784
6,0.023622,969292,0,1413088,1.0,0.4069,0.5784
7,0.027559,969292,0,1413088,1.0,0.4069,0.5784
8,0.031496,969292,0,1413088,1.0,0.4069,0.5784
9,0.035433,969292,0,1413088,1.0,0.4069,0.5784
10,0.03937,969292,0,1413088,1.0,0.4069,0.5784
11,0.043307,969292,0,1413088,1.0,0.4069,0.5784
12,0.047244,969292,0,1413088,1.0,0.4069,0.5784
13,0.051181,969292,0,1413088,1.0,0.4069,0.5784
14,0.055118,969292,0,1413088,1.0,0.4069,0.5784
15,0.059055,969292,0,1413088,1.0,0.4069,0.5784
16,0.062992,969292,0,1413088,1.0,0.4069,0.5784
17,0.066929,969292,0,1413088,1.0,0.4069,0.5784
18,0.070866,969292,0,1413088,1.0,0.4069,0.5784
19,0.074803,969292,0,1413088,1.0,0.4069,0.5784
20,0.07874,969292,0,1413088,1.0,0.4069,0.5784
21,0.082677,969292,0,1413088,1.0,0.4069,0.5784
22,0.086614,969292,0,1413088,1.0,0.4069,0.5784
23,0.090551,969292,0,1413088,1.0,0.4069,0.5784
24,0.094488,969292,0,1413079,1.0,0.4069,0.5784
25,0.098425,969292,0,1412741,1.0,0.4069,0.5785
26,0.102362,969292,0,1411786,1.0,0.4071,0.5786
27,0.106299,969292,0,1409187,1.0,0.4075,0.5791
28,0.110236,969283,9,1405303,1.0,0.4082,0.5797
29,0.114173,969260,32,1398630,1.0,0.4093,0.5809
30,0.11811,969177,115,1388146,0.9999,0.4111,0.5827
31,0.122047,968983,309,1373475,0.9997,0.4137,0.5852
32,0.125984,968668,624,1350715,0.9994,0.4176,0.5891
33,0.129921,968094,1198,1321452,0.9988,0.4228,0.5941
34,0.133858,967050,2242,1278729,0.9977,0.4306,0.6016
35,0.137795,965352,3940,1223192,0.9959,0.4411,0.6114
36,0.141732,962789,6503,1158482,0.9933,0.4539,0.6231
37,0.145669,959160,10132,1092133,0.9895,0.4676,0.6351
38,0.149606,954353,14939,1026280,0.9846,0.4818,0.647
39,0.153543,948534,20758,962976,0.9786,0.4962,0.6585
40,0.15748,941812,27480,902517,0.9716,0.5107,0.6695
41,0.161417,934064,35228,843654,0.9637,0.5254,0.6801
42,0.165354,924847,44445,785722,0.9541,0.5407,0.6902
43,0.169291,914929,54363,731529,0.9439,0.5557,0.6996
44,0.173228,904739,64553,684335,0.9334,0.5693,0.7073
45,0.177165,894857,74435,644593,0.9232,0.5813,0.7134
46,0.181102,885156,84136,609836,0.9132,0.5921,0.7184
47,0.185039,876283,93009,580988,0.904,0.6013,0.7222
48,0.188976,868031,101261,556281,0.8955,0.6094,0.7253
49,0.192913,860784,108508,535953,0.8881,0.6163,0.7276
50,0.19685,854472,114820,518965,0.8815,0.6221,0.7295
51,0.200787,849267,120025,505203,0.8762,0.627,0.7309
