k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6439544,17911,11605057,0.9972,0.3569,0.5256
2,0.007874,6360493,96962,8611974,0.985,0.4248,0.5936
3,0.011811,6278980,178475,7175652,0.9724,0.4667,0.6307
4,0.015748,6209839,247616,6372467,0.9617,0.4935,0.6523
5,0.019685,6147851,309604,5830832,0.9521,0.5132,0.6669
6,0.023622,6093176,364279,5435038,0.9436,0.5285,0.6776
7,0.027559,6043013,414442,5114710,0.9358,0.5416,0.6861
8,0.031496,5997737,459718,4851123,0.9288,0.5528,0.6931
9,0.035433,5955813,501642,4622359,0.9223,0.563,0.6992
10,0.03937,5917041,540414,4424947,0.9163,0.5721,0.7044
11,0.043307,5880375,577080,4248770,0.9106,0.5805,0.7091
12,0.047244,5845162,612293,4085794,0.9052,0.5886,0.7133
13,0.051181,5811754,645701,3940537,0.9,0.5959,0.7171
14,0.055118,5778813,678642,3800557,0.8949,0.6033,0.7207
15,0.059055,5746765,710690,3670506,0.8899,0.6102,0.724
16,0.062992,5716148,741307,3550313,0.8852,0.6169,0.7271
17,0.066929,5685927,771528,3438249,0.8805,0.6232,0.7298
18,0.070866,5656583,800872,3334567,0.876,0.6291,0.7323
19,0.074803,5627152,830303,3235220,0.8714,0.6349,0.7346
20,0.07874,5598757,858698,3144732,0.867,0.6403,0.7366
21,0.082677,5570832,886623,3057402,0.8627,0.6457,0.7386
22,0.086614,5543451,914004,2974892,0.8585,0.6508,0.7403
23,0.090551,5517940,939515,2901210,0.8545,0.6554,0.7418
24,0.094488,5493568,963887,2832522,0.8507,0.6598,0.7432
25,0.098425,5468913,988542,2765963,0.8469,0.6641,0.7445
26,0.102362,5445622,1011833,2704036,0.8433,0.6682,0.7456
27,0.106299,5423029,1034426,2647358,0.8398,0.672,0.7466
28,0.110236,5401613,1055842,2594427,0.8365,0.6755,0.7474
29,0.114173,5381351,1076104,2545965,0.8334,0.6788,0.7482
30,0.11811,5360636,1096819,2499026,0.8301,0.682,0.7488
31,0.122047,5340402,1117053,2454019,0.827,0.6852,0.7494
32,0.125984,5320897,1136558,2412028,0.824,0.6881,0.7499
33,0.129921,5302335,1155120,2372644,0.8211,0.6909,0.7504
34,0.133858,5283513,1173942,2333796,0.8182,0.6936,0.7508
35,0.137795,5264894,1192561,2296370,0.8153,0.6963,0.7511
36,0.141732,5246652,1210803,2260892,0.8125,0.6989,0.7514
37,0.145669,5229354,1228101,2226973,0.8098,0.7013,0.7517
38,0.149606,5212302,1245153,2195185,0.8072,0.7037,0.7519
39,0.153543,5195546,1261909,2163827,0.8046,0.706,0.7521
40,0.15748,5179177,1278278,2134496,0.802,0.7081,0.7522
41,0.161417,5163135,1294320,2106558,0.7996,0.7102,0.7523
42,0.165354,5147115,1310340,2079025,0.7971,0.7123,0.7523
43,0.169291,5131693,1325762,2052801,0.7947,0.7143,0.7523
44,0.173228,5116218,1341237,2026766,0.7923,0.7163,0.7524
45,0.177165,5101143,1356312,2001945,0.79,0.7182,0.7524
46,0.181102,5086124,1371331,1977976,0.7876,0.72,0.7523
47,0.185039,5071481,1385974,1955007,0.7854,0.7218,0.7522
48,0.188976,5056571,1400884,1932211,0.7831,0.7235,0.7521
49,0.192913,5042385,1415070,1910759,0.7809,0.7252,0.752
50,0.19685,5028301,1429154,1889905,0.7787,0.7268,0.7519
51,0.200787,5014611,1442844,1870458,0.7766,0.7283,0.7517
52,0.204724,5001199,1456256,1851405,0.7745,0.7298,0.7515
53,0.208661,4988052,1469403,1832903,0.7724,0.7313,0.7513
54,0.212598,4975040,1482415,1814729,0.7704,0.7327,0.7511
55,0.216535,4962541,1494914,1798152,0.7685,0.734,0.7509
56,0.220472,4950160,1507295,1781824,0.7666,0.7353,0.7506
57,0.224409,4938635,1518820,1766735,0.7648,0.7365,0.7504
58,0.228346,4927256,1530199,1751693,0.763,0.7377,0.7502
59,0.232283,4915995,1541460,1737077,0.7613,0.7389,0.7499
60,0.23622,4904931,1552524,1722946,0.7596,0.74,0.7497
61,0.240157,4894315,1563140,1709642,0.7579,0.7411,0.7494
62,0.244094,4883748,1573707,1696695,0.7563,0.7422,0.7492
63,0.248031,4873410,1584045,1683915,0.7547,0.7432,0.7489
64,0.251968,4863109,1594346,1671423,0.7531,0.7442,0.7486
65,0.255905,4853272,1604183,1659866,0.7516,0.7452,0.7484
66,0.259842,4843545,1613910,1648411,0.7501,0.7461,0.7481
67,0.263779,4834019,1623436,1637241,0.7486,0.747,0.7478
68,0.267716,4824342,1633113,1626100,0.7471,0.7479,0.7475
69,0.271653,4815285,1642170,1615637,0.7457,0.7488,0.7472
70,0.27559,4805966,1651489,1604995,0.7443,0.7496,0.7469
71,0.279527,4796765,1660690,1594743,0.7428,0.7505,0.7466
72,0.283464,4787720,1669735,1584505,0.7414,0.7513,0.7464
73,0.287401,4778581,1678874,1574509,0.74,0.7522,0.746
74,0.291338,4769692,1687763,1564807,0.7386,0.753,0.7457
75,0.295275,4760794,1696661,1554978,0.7373,0.7538,0.7454
76,0.299212,4752262,1705193,1545841,0.7359,0.7546,0.7451
77,0.303149,4743392,1714063,1536378,0.7346,0.7553,0.7448
78,0.307086,4734815,1722640,1527198,0.7332,0.7561,0.7445
79,0.311023,4726275,1731180,1518137,0.7319,0.7569,0.7442
80,0.31496,4718021,1739434,1509228,0.7306,0.7576,0.7439
81,0.318897,4709628,1747827,1500106,0.7293,0.7584,0.7436
82,0.322834,4701323,1756132,1491423,0.728,0.7592,0.7433
83,0.326771,4693144,1764311,1482784,0.7268,0.7599,0.743
84,0.330708,4685163,1772292,1474351,0.7255,0.7606,0.7427
85,0.334645,4676740,1780715,1465869,0.7242,0.7614,0.7423
86,0.338582,4668808,1788647,1457893,0.723,0.762,0.742
87,0.342519,4660723,1796732,1449807,0.7218,0.7627,0.7417
88,0.346456,4652633,1804822,1441661,0.7205,0.7634,0.7414
89,0.350393,4644463,1812992,1433773,0.7192,0.7641,0.741
90,0.35433,4636458,1820997,1425970,0.718,0.7648,0.7407
91,0.358267,4628662,1828793,1418258,0.7168,0.7655,0.7403
92,0.362204,4620670,1836785,1410563,0.7156,0.7661,0.74
93,0.366141,4612879,1844576,1402899,0.7143,0.7668,0.7396
94,0.370078,4604906,1852549,1395512,0.7131,0.7674,0.7393
95,0.374015,4597339,1860116,1388221,0.7119,0.7681,0.7389
96,0.377952,4589480,1867975,1380739,0.7107,0.7687,0.7386
97,0.381889,4581685,1875770,1373335,0.7095,0.7694,0.7382
98,0.385826,4574074,1883381,1366041,0.7083,0.77,0.7379
99,0.389763,4566360,1891095,1358650,0.7071,0.7707,0.7376
100,0.3937,4558577,1898878,1351363,0.7059,0.7713,0.7372
101,0.397637,4550578,1906877,1344080,0.7047,0.772,0.7368
102,0.401574,4542918,1914537,1336916,0.7035,0.7726,0.7365
103,0.405511,4535013,1922442,1329689,0.7023,0.7733,0.7361
104,0.409448,4526966,1930489,1322424,0.701,0.7739,0.7357
105,0.413385,4519004,1938451,1315331,0.6998,0.7746,0.7353
106,0.417322,4511065,1946390,1308287,0.6986,0.7752,0.7349
107,0.421259,4502918,1954537,1300933,0.6973,0.7759,0.7345
108,0.425196,4494807,1962648,1293941,0.6961,0.7765,0.7341
109,0.429133,4486616,1970839,1286950,0.6948,0.7771,0.7336
110,0.43307,4478580,1978875,1280067,0.6936,0.7777,0.7332
111,0.437007,4470332,1987123,1273116,0.6923,0.7783,0.7328
112,0.440944,4461974,1995481,1266058,0.691,0.779,0.7323
113,0.444881,4453710,2003745,1259073,0.6897,0.7796,0.7319
114,0.448818,4445412,2012043,1251954,0.6884,0.7803,0.7315
115,0.452755,4437155,2020300,1245013,0.6871,0.7809,0.731
116,0.456692,4428740,2028715,1237955,0.6858,0.7815,0.7306
117,0.460629,4420126,2037329,1230998,0.6845,0.7822,0.7301
118,0.464566,4411550,2045905,1224009,0.6832,0.7828,0.7296
119,0.468503,4403068,2054387,1217053,0.6819,0.7834,0.7291
120,0.47244,4394707,2062748,1209992,0.6806,0.7841,0.7287
121,0.476377,4386070,2071385,1203140,0.6792,0.7847,0.7282
122,0.480314,4377493,2079962,1196104,0.6779,0.7854,0.7277
123,0.484251,4368729,2088726,1189060,0.6765,0.7861,0.7272
124,0.488188,4360135,2097320,1181985,0.6752,0.7867,0.7267
125,0.492125,4351233,2106222,1174841,0.6738,0.7874,0.7262
126,0.496062,4342437,2115018,1167939,0.6725,0.788,0.7257
127,0.5,4333584,2123871,1160823,0.6711,0.7887,0.7252
128,0.503937,4324560,2132895,1153794,0.6697,0.7894,0.7246
129,0.507874,4315523,2141932,1146714,0.6683,0.7901,0.7241
130,0.511811,4306473,2150982,1139673,0.6669,0.7907,0.7236
131,0.515748,4297201,2160254,1132661,0.6655,0.7914,0.723
132,0.519685,4288124,2169331,1125720,0.6641,0.7921,0.7224
133,0.523622,4278734,2178721,1118706,0.6626,0.7927,0.7219
134,0.527559,4269213,2188242,1111648,0.6611,0.7934,0.7213
135,0.531496,4259640,2197815,1104767,0.6596,0.7941,0.7206
136,0.535433,4249839,2207616,1097777,0.6581,0.7947,0.72
137,0.53937,4240250,2217205,1090730,0.6566,0.7954,0.7194
138,0.543307,4230334,2227121,1083660,0.6551,0.7961,0.7187
139,0.547244,4220419,2237036,1076669,0.6536,0.7967,0.7181
140,0.551181,4210367,2247088,1069629,0.652,0.7974,0.7174
141,0.555118,4200129,2257326,1062465,0.6504,0.7981,0.7167
142,0.559055,4189878,2267577,1055235,0.6488,0.7988,0.7161
143,0.562992,4179428,2278027,1048115,0.6472,0.7995,0.7153
144,0.566929,4168810,2288645,1040856,0.6456,0.8002,0.7146
145,0.570866,4157856,2299599,1033326,0.6439,0.8009,0.7139
146,0.574803,4146991,2310464,1026094,0.6422,0.8016,0.7131
147,0.57874,4135685,2321770,1018715,0.6405,0.8024,0.7123
148,0.582677,4124338,2333117,1011355,0.6387,0.8031,0.7115
149,0.586614,4112581,2344874,1003809,0.6369,0.8038,0.7107
150,0.590551,4100729,2356726,996210,0.635,0.8045,0.7098
151,0.594488,4088436,2369019,988584,0.6331,0.8053,0.7089
152,0.598425,4075916,2381539,980588,0.6312,0.8061,0.708
153,0.602362,4063227,2394228,972564,0.6292,0.8069,0.7071
154,0.606299,4049912,2407543,964483,0.6272,0.8077,0.7061
155,0.610236,4036258,2421197,955956,0.6251,0.8085,0.705
156,0.614173,4022148,2435307,947467,0.6229,0.8093,0.704
157,0.61811,4007874,2449581,938852,0.6207,0.8102,0.7029
158,0.622047,3993141,2464314,930119,0.6184,0.8111,0.7017
159,0.625984,3977859,2479596,921113,0.616,0.812,0.7005
160,0.629921,3961532,2495923,911874,0.6135,0.8129,0.6992
161,0.633858,3945030,2512425,902630,0.6109,0.8138,0.6979
162,0.637795,3927372,2530083,893123,0.6082,0.8147,0.6965
163,0.641732,3908744,2548711,883233,0.6053,0.8157,0.6949
164,0.645669,3889293,2568162,872914,0.6023,0.8167,0.6933
165,0.649606,3869062,2588393,862236,0.5992,0.8178,0.6916
166,0.653543,3847612,2609843,851583,0.5958,0.8188,0.6897
167,0.65748,3824122,2633333,840049,0.5922,0.8199,0.6877
168,0.661417,3799493,2657962,827878,0.5884,0.8211,0.6855
169,0.665354,3773517,2683938,815353,0.5844,0.8223,0.6832
170,0.669291,3746251,2711204,802321,0.5801,0.8236,0.6808
171,0.673228,3716819,2740636,788494,0.5756,0.825,0.6781
172,0.677165,3686529,2770926,774104,0.5709,0.8265,0.6753
173,0.681102,3653717,2803738,758889,0.5658,0.828,0.6723
174,0.685039,3619425,2838030,742878,0.5605,0.8297,0.669
175,0.688976,3581711,2875744,725726,0.5547,0.8315,0.6654
176,0.692913,3541744,2915711,708039,0.5485,0.8334,0.6616
177,0.69685,3496953,2960502,688609,0.5415,0.8355,0.6571
178,0.700787,3448141,3009314,667696,0.534,0.8378,0.6522
179,0.704724,3394305,3063150,644881,0.5256,0.8403,0.6467
180,0.708661,3339330,3118125,621745,0.5171,0.843,0.641
181,0.712598,3278670,3178785,596448,0.5077,0.8461,0.6346
182,0.716535,3217824,3239631,571409,0.4983,0.8492,0.6281
183,0.720472,3152472,3304983,545212,0.4882,0.8526,0.6209
184,0.724409,3086048,3371407,519508,0.4779,0.8559,0.6133
185,0.728346,3018330,3439125,494314,0.4674,0.8593,0.6055
186,0.732283,2947449,3510006,468633,0.4564,0.8628,0.597
187,0.73622,2872496,3584959,442081,0.4448,0.8666,0.5879
188,0.740157,2797046,3660409,416294,0.4331,0.8704,0.5785
189,0.744094,2720016,3737439,391081,0.4212,0.8743,0.5685
190,0.748031,2642645,3814810,366726,0.4092,0.8781,0.5583
191,0.751968,2564503,3892952,342752,0.3971,0.8821,0.5477
192,0.755905,2482908,3974547,318015,0.3845,0.8865,0.5364
193,0.759842,2400013,4057442,294625,0.3717,0.8907,0.5245
194,0.763779,2318456,4138999,272211,0.359,0.8949,0.5125
195,0.767716,2237300,4220155,251430,0.3465,0.899,0.5002
196,0.771653,2153049,4304406,231436,0.3334,0.9029,0.487
197,0.77559,2069285,4388170,212538,0.3204,0.9069,0.4736
198,0.779527,1988184,4469271,195354,0.3079,0.9105,0.4602
199,0.783464,1909395,4548060,179320,0.2957,0.9141,0.4468
200,0.787401,1828301,4629154,163761,0.2831,0.9178,0.4328
201,0.791338,1749441,4708014,149085,0.2709,0.9215,0.4187
202,0.795275,1670328,4787127,134916,0.2587,0.9253,0.4043
203,0.799212,1594336,4863119,121979,0.2469,0.9289,0.3901
204,0.803149,1521655,4935800,110027,0.2356,0.9326,0.3762
205,0.807086,1451527,5005928,99289,0.2248,0.936,0.3625
206,0.811023,1381099,5076356,89336,0.2139,0.9392,0.3484
207,0.81496,1312475,5144980,80256,0.2032,0.9424,0.3344
208,0.818897,1244649,5212806,71603,0.1927,0.9456,0.3202
209,0.822834,1180514,5276941,63692,0.1828,0.9488,0.3066
210,0.826771,1117120,5340335,56352,0.173,0.952,0.2928
211,0.830708,1056358,5401097,50112,0.1636,0.9547,0.2793
212,0.834645,997139,5460316,44740,0.1544,0.9571,0.2659
213,0.838582,940856,5516599,40001,0.1457,0.9592,0.253
214,0.842519,885329,5572126,35501,0.1371,0.9614,0.24
