k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6456574,0,13356617,1.0,0.3259,0.4916
2,0.007874,6456574,0,13356617,1.0,0.3259,0.4916
3,0.011811,6456574,0,13356617,1.0,0.3259,0.4916
4,0.015748,6456574,0,13356617,1.0,0.3259,0.4916
5,0.019685,6456574,0,13356617,1.0,0.3259,0.4916
6,0.023622,6456574,0,13356617,1.0,0.3259,0.4916
7,0.027559,6456574,0,13356617,1.0,0.3259,0.4916
8,0.031496,6456574,0,13356617,1.0,0.3259,0.4916
9,0.035433,6456574,0,13356617,1.0,0.3259,0.4916
10,0.03937,6456574,0,13356617,1.0,0.3259,0.4916
11,0.043307,6456574,0,13356617,1.0,0.3259,0.4916
12,0.047244,6456574,0,13356617,1.0,0.3259,0.4916
13,0.051181,6456574,0,13356617,1.0,0.3259,0.4916
14,0.055118,6456574,0,13356617,1.0,0.3259,0.4916
15,0.059055,6456574,0,13356617,1.0,0.3259,0.4916
16,0.062992,6456574,0,13356617,1.0,0.3259,0.4916
17,0.066929,6456574,0,13356617,1.0,0.3259,0.4916
18,0.070866,6456574,0,13356617,1.0,0.3259,0.4916
19,0.074803,6456574,0,13356617,1.0,0.3259,0.4916
20,0.07874,6456574,0,13356617,1.0,0.3259,0.4916
21,0.082677,6456574,0,13356617,1.0,0.3259,0.4916
22,0.086614,6456574,0,13356617,1.0,0.3259,0.4916
23,0.090551,6456574,0,13356617,1.0,0.3259,0.4916
24,0.094488,6456574,0,13356617,1.0,0.3259,0.4916
25,0.098425,6456574,0,13356617,1.0,0.3259,0.4916
26,0.102362,6456574,0,13356617,1.0,0.3259,0.4916
27,0.106299,6456574,0,13356617,1.0,0.3259,0.4916
28,0.110236,6456574,0,13356617,1.0,0.3259,0.4916
29,0.114173,6456574,0,13356617,1.0,0.3259,0.4916
30,0.11811,6456574,0,13356617,1.0,0.3259,0.4916
31,0.122047,6456574,0,13355958,1.0,0.3259,0.4916
32,0.125984,6456574,0,13353623,1.0,0.3259,0.4916
33,0.129921,6456568,6,13349574,1.0,0.326,0.4917
34,0.133858,6456548,26,13339914,1.0,0.3261,0.4919
35,0.137795,6456486,88,13315538,1.0,0.3265,0.4923
36,0.141732,6456092,482,13247990,0.9999,0.3277,0.4936
37,0.145669,6454626,1948,13062409,0.9997,0.3307,0.497
38,0.149606,6450604,5970,12647804,0.9991,0.3378,0.5048
39,0.153543,6441345,15229,11857458,0.9976,0.352,0.5204
40,0.15748,6422613,33961,10732683,0.9947,0.3744,0.544
41,0.161417,6390332,66242,9410928,0.9897,0.4044,0.5742
42,0.165354,6338120,118454,8107101,0.9817,0.4388,0.6065
43,0.169291,6265925,190649,6978539,0.9705,0.4731,0.6361
44,0.173228,6168121,288453,5983362,0.9553,0.5076,0.663
45,0.177165,6055575,400999,5150860,0.9379,0.5404,0.6857
46,0.181102,5926853,529721,4429254,0.918,0.5723,0.705
47,0.185039,5794334,662240,3843300,0.8974,0.6012,0.7201
48,0.188976,5661304,795270,3362676,0.8768,0.6274,0.7314
49,0.192913,5535708,920866,2987111,0.8574,0.6495,0.7391
50,0.19685,5416031,1040543,2677885,0.8388,0.6691,0.7444
51,0.200787,5308048,1148526,2430001,0.8221,0.686,0.7479
52,0.204724,5207737,1248837,2223216,0.8066,0.7008,0.75
53,0.208661,5116837,1339737,2051276,0.7925,0.7138,0.7511
54,0.212598,5035021,1421553,1910785,0.7798,0.7249,0.7514
55,0.216535,4965801,1490773,1799131,0.7691,0.7341,0.7512
56,0.220472,4906564,1550010,1708201,0.7599,0.7418,0.7507
57,0.224409,4858030,1598544,1638355,0.7524,0.7478,0.7501
58,0.228346,4817454,1639120,1582044,0.7461,0.7528,0.7494
59,0.232283,4784039,1672535,1537554,0.741,0.7568,0.7488
60,0.23622,4755848,1700726,1502011,0.7366,0.76,0.7481
61,0.240157,4732318,1724256,1473110,0.7329,0.7626,0.7475
62,0.244094,4711358,1745216,1447662,0.7297,0.765,0.7469
63,0.248031,4692216,1764358,1424819,0.7267,0.7671,0.7464
64,0.251968,4674414,1782160,1404124,0.724,0.769,0.7458
65,0.255905,4658324,1798250,1385735,0.7215,0.7707,0.7453
66,0.259842,4643422,1813152,1368675,0.7192,0.7723,0.7448
67,0.263779,4629385,1827189,1352546,0.717,0.7739,0.7444
68,0.267716,4615627,1840947,1336987,0.7149,0.7754,0.7439
69,0.271653,4603294,1853280,1323180,0.713,0.7767,0.7435
70,0.27559,4590827,1865747,1309434,0.711,0.7781,0.743
71,0.279527,4579285,1877289,1296668,0.7092,0.7793,0.7426
72,0.283464,4567889,1888685,1284295,0.7075,0.7805,0.7422
73,0.287401,4557019,1899555,1272470,0.7058,0.7817,0.7418
74,0.291338,4546818,1909756,1261566,0.7042,0.7828,0.7414
75,0.295275,4536411,1920163,1250406,0.7026,0.7839,0.741
76,0.299212,4526959,1929615,1240134,0.7011,0.785,0.7407
77,0.303149,4516872,1939702,1229579,0.6996,0.786,0.7403
