k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,119791164,0,331878554,1.0,0.2652,0.4192
2,0.007874,119791164,0,331878554,1.0,0.2652,0.4192
3,0.011811,119791164,0,331878554,1.0,0.2652,0.4192
4,0.015748,119791164,0,331878554,1.0,0.2652,0.4192
5,0.019685,119791164,0,331878554,1.0,0.2652,0.4192
6,0.023622,119791164,0,331878554,1.0,0.2652,0.4192
7,0.027559,119791164,0,331878554,1.0,0.2652,0.4192
8,0.031496,119791164,0,331878554,1.0,0.2652,0.4192
9,0.035433,119791164,0,331878273,1.0,0.2652,0.4192
10,0.03937,119791151,13,331864336,1.0,0.2652,0.4193
11,0.043307,119790879,285,331739229,1.0,0.2653,0.4193
12,0.047244,119788878,2286,331213672,1.0,0.2656,0.4197
13,0.051181,119781950,9214,329977406,0.9999,0.2663,0.4206
14,0.055118,119767785,23379,327431420,0.9998,0.2678,0.4225
15,0.059055,119732864,58300,323160689,0.9995,0.2703,0.4256
16,0.062992,119667988,123176,316952301,0.999,0.2741,0.4301
17,0.066929,119550656,240508,308680427,0.998,0.2792,0.4363
18,0.070866,119372257,418907,298449050,0.9965,0.2857,0.4441
19,0.074803,119106970,684194,282423073,0.9943,0.2966,0.4569
20,0.07874,118747586,1043578,258194521,0.9913,0.315,0.4781
21,0.082677,118270192,1520972,220373092,0.9873,0.3492,0.516
22,0.086614,117666173,2124991,175080347,0.9823,0.4019,0.5705
23,0.090551,116956915,2834249,151342079,0.9763,0.4359,0.6027
24,0.094488,116096937,3694227,135640374,0.9692,0.4612,0.625
25,0.098425,115051573,4739591,121425813,0.9604,0.4865,0.6459
26,0.102362,113874832,5916332,108848917,0.9506,0.5113,0.6649
27,0.106299,112581230,7209934,97696042,0.9398,0.5354,0.6822
28,0.110236,111184084,8607080,87887349,0.9281,0.5585,0.6974
29,0.114173,109710254,10080910,79372280,0.9158,0.5802,0.7104
30,0.11811,108088816,11702348,71633377,0.9023,0.6014,0.7218
31,0.122047,106327186,13463978,64584089,0.8876,0.6221,0.7315
32,0.125984,104562509,15228655,58614243,0.8729,0.6408,0.739
33,0.129921,102786335,17004829,53449351,0.858,0.6579,0.7448
