k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6456574,0,13356617,1.0,0.3259,0.4916
2,0.007874,6456574,0,13356617,1.0,0.3259,0.4916
3,0.011811,6456574,0,13356617,1.0,0.3259,0.4916
4,0.015748,6456574,0,13356617,1.0,0.3259,0.4916
5,0.019685,6456574,0,13356617,1.0,0.3259,0.4916
6,0.023622,6456574,0,13356617,1.0,0.3259,0.4916
7,0.027559,6456574,0,13356617,1.0,0.3259,0.4916
8,0.031496,6456574,0,13356617,1.0,0.3259,0.4916
9,0.035433,6456574,0,13356617,1.0,0.3259,0.4916
10,0.03937,6456574,0,13356617,1.0,0.3259,0.4916
11,0.043307,6456574,0,13356617,1.0,0.3259,0.4916
12,0.047244,6456574,0,13356617,1.0,0.3259,0.4916
13,0.051181,6456574,0,13356617,1.0,0.3259,0.4916
14,0.055118,6456574,0,13356617,1.0,0.3259,0.4916
15,0.059055,6456574,0,13356617,1.0,0.3259,0.4916
16,0.062992,6456574,0,13356617,1.0,0.3259,0.4916
17,0.066929,6456574,0,13356617,1.0,0.3259,0.4916
18,0.070866,6456574,0,13356617,1.0,0.3259,0.4916
19,0.074803,6456574,0,13356617,1.0,0.3259,0.4916
20,0.07874,6456574,0,13356617,1.0,0.3259,0.4916
21,0.082677,6456574,0,13356617,1.0,0.3259,0.4916
22,0.086614,6456574,0,13356617,1.0,0.3259,0.4916
23,0.090551,6456574,0,13356617,1.0,0.3259,0.4916
24,0.094488,6456574,0,13356617,1.0,0.3259,0.4916
25,0.098425,6456574,0,13356617,1.0,0.3259,0.4916
26,0.102362,6456574,0,13356380,1.0,0.3259,0.4916
27,0.106299,6456574,0,13355068,1.0,0.3259,0.4916
28,0.110236,6456574,0,13351483,1.0,0.326,0.4917
29,0.114173,6456553,21,13344201,1.0,0.3261,0.4918
30,0.11811,6456503,71,13322316,1.0,0.3264,0.4922
31,0.122047,6456344,230,13266236,1.0,0.3274,0.4932
32,0.125984,6455641,933,13161840,0.9999,0.3291,0.4952
33,0.129921,6454429,2145,13014145,0.9997,0.3315,0.4979
34,0.133858,6452026,4548,12816747,0.9993,0.3348,0.5016
35,0.137795,6447836,8738,12546946,0.9986,0.3395,0.5067
36,0.141732,6441056,15518,12135161,0.9976,0.3467,0.5146
37,0.145669,6431244,25330,11540573,0.9961,0.3579,0.5265
38,0.149606,6415623,40951,10774042,0.9937,0.3732,0.5426
39,0.153543,6392780,63794,9830185,0.9901,0.3941,0.5637
40,0.15748,6361446,95128,8857619,0.9853,0.418,0.587
41,0.161417,6321169,135405,7960753,0.979,0.4426,0.6096
42,0.165354,6271146,185428,7168273,0.9713,0.4666,0.6304
43,0.169291,6214608,241966,6499301,0.9625,0.4888,0.6484
44,0.173228,6151169,305405,5927040,0.9527,0.5093,0.6637
45,0.177165,6083533,373041,5441199,0.9422,0.5279,0.6767
46,0.181102,6013244,443330,5007825,0.9313,0.5456,0.6881
47,0.185039,5941734,514840,4636387,0.9203,0.5617,0.6976
48,0.188976,5868595,587979,4303289,0.9089,0.5769,0.7058
49,0.192913,5794879,661695,4010758,0.8975,0.591,0.7127
50,0.19685,5719458,737116,3740438,0.8858,0.6046,0.7187
51,0.200787,5645780,810794,3502320,0.8744,0.6172,0.7236
52,0.204724,5572360,884214,3284992,0.8631,0.6291,0.7278
53,0.208661,5500928,955646,3087486,0.852,0.6405,0.7313
54,0.212598,5432468,1024106,2911049,0.8414,0.6511,0.7341
55,0.216535,5369873,1086701,2759615,0.8317,0.6605,0.7363
56,0.220472,5312258,1144316,2626614,0.8228,0.6691,0.738
57,0.224409,5261790,1194784,2517510,0.815,0.6764,0.7392
58,0.228346,5216326,1240248,2424640,0.8079,0.6827,0.74
59,0.232283,5176774,1279800,2346876,0.8018,0.6881,0.7406
60,0.23622,5142689,1313885,2283697,0.7965,0.6925,0.7409
61,0.240157,5115531,1341043,2234166,0.7923,0.696,0.741
62,0.244094,5092161,1364413,2192615,0.7887,0.699,0.7411
63,0.248031,5071346,1385228,2157346,0.7855,0.7016,0.7411
64,0.251968,5052759,1403815,2126418,0.7826,0.7038,0.7411
65,0.255905,5036561,1420013,2099951,0.7801,0.7057,0.741
66,0.259842,5021568,1435006,2075706,0.7777,0.7075,0.741
67,0.263779,5007558,1449016,2053386,0.7756,0.7092,0.7409
68,0.267716,4994341,1462233,2032531,0.7735,0.7107,0.7408
69,0.271653,4981737,1474837,2012633,0.7716,0.7122,0.7407
70,0.27559,4970433,1486141,1995050,0.7698,0.7136,0.7406
71,0.279527,4959566,1497008,1978349,0.7681,0.7148,0.7405
72,0.283464,4948935,1507639,1962325,0.7665,0.7161,0.7404
73,0.287401,4938562,1518012,1947039,0.7649,0.7172,0.7403
74,0.291338,4928910,1527664,1932487,0.7634,0.7184,0.7402
75,0.295275,4919056,1537518,1918063,0.7619,0.7195,0.7401
76,0.299212,4910110,1546464,1904781,0.7605,0.7205,0.7399
77,0.303149,4901167,1555407,1891970,0.7591,0.7215,0.7398
