k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,3761329,0,5480139,1.0,0.407,0.5785
2,0.007874,3761329,0,5480139,1.0,0.407,0.5785
3,0.011811,3761329,0,5480139,1.0,0.407,0.5785
4,0.015748,3761329,0,5480139,1.0,0.407,0.5785
5,0.019685,3761329,0,5480139,1.0,0.407,0.5785
6,0.023622,3761329,0,5480139,1.0,0.407,0.5785
7,0.027559,3761329,0,5480139,1.0,0.407,0.5785
8,0.031496,3761329,0,5480139,1.0,0.407,0.5785
9,0.035433,3761329,0,5480139,1.0,0.407,0.5785
10,0.03937,3761329,0,5480139,1.0,0.407,0.5785
11,0.043307,3761329,0,5480139,1.0,0.407,0.5785
12,0.047244,3761329,0,5480139,1.0,0.407,0.5785
13,0.051181,3761329,0,5480139,1.0,0.407,0.5785
14,0.055118,3761329,0,5480139,1.0,0.407,0.5785
15,0.059055,3761329,0,5480139,1.0,0.407,0.5785
16,0.062992,3761329,0,5480139,1.0,0.407,0.5785
17,0.066929,3761329,0,5480139,1.0,0.407,0.5785
18,0.070866,3761329,0,5480139,1.0,0.407,0.5785
19,0.074803,3761329,0,5480139,1.0,0.407,0.5785
20,0.07874,3761329,0,5480139,1.0,0.407,0.5785
21,0.082677,3761329,0,5480139,1.0,0.407,0.5785
22,0.086614,3761329,0,5480139,1.0,0.407,0.5785
23,0.090551,3761329,0,5480139,1.0,0.407,0.5785
24,0.094488,3761329,0,5480139,1.0,0.407,0.5785
25,0.098425,3761329,0,5480139,1.0,0.407,0.5785
26,0.102362,3761329,0,5480139,1.0,0.407,0.5785
27,0.106299,3761329,0,5480139,1.0,0.407,0.5785
28,0.110236,3761329,0,5480139,1.0,0.407,0.5785
29,0.114173,3761329,0,5480139,1.0,0.407,0.5785
30,0.11811,3761329,0,5480139,1.0,0.407,0.5785
31,0.122047,3761329,0,5480073,1.0,0.407,0.5785
32,0.125984,3761329,0,5479377,1.0,0.407,0.5786
33,0.129921,3761329,0,5477544,1.0,0.4071,0.5787
34,0.133858,3761287,42,5472831,1.0,0.4073,0.5789
35,0.137795,3761110,219,5463216,0.9999,0.4077,0.5793
36,0.141732,3760833,496,5448501,0.9999,0.4084,0.5799
37,0.145669,3760449,880,5425285,0.9998,0.4094,0.5809
38,0.149606,3759848,1481,5388821,0.9996,0.411,0.5825
39,0.153543,3758648,2681,5330711,0.9993,0.4135,0.585
40,0.15748,3756706,4623,5247439,0.9988,0.4172,0.5886
41,0.161417,3753087,8242,5133701,0.9978,0.4223,0.5935
42,0.165354,3748014,13315,4988118,0.9965,0.429,0.5998
43,0.169291,3741243,20086,4821204,0.9947,0.4369,0.6072
44,0.173228,3731789,29540,4627264,0.9921,0.4464,0.6158
45,0.177165,3720372,40957,4423012,0.9891,0.4569,0.625
46,0.181102,3705646,55683,4205944,0.9852,0.4684,0.6349
47,0.185039,3687457,73872,3989629,0.9804,0.4803,0.6447
48,0.188976,3666209,95120,3775180,0.9747,0.4927,0.6545
49,0.192913,3642128,119201,3570136,0.9683,0.505,0.6638
50,0.19685,3614399,146930,3372851,0.9609,0.5173,0.6725
51,0.200787,3585636,175693,3188874,0.9533,0.5293,0.6807
52,0.204724,3554309,207020,3011598,0.945,0.5413,0.6883
53,0.208661,3519578,241751,2840982,0.9357,0.5533,0.6954
54,0.212598,3482519,278810,2675347,0.9259,0.5655,0.7022
55,0.216535,3445310,316019,2525673,0.916,0.577,0.708
56,0.220472,3406809,354520,2383670,0.9057,0.5883,0.7133
57,0.224409,3369788,391541,2257216,0.8959,0.5989,0.7179
58,0.228346,3332329,429000,2141726,0.8859,0.6087,0.7216
59,0.232283,3294909,466420,2035718,0.876,0.6181,0.7248
60,0.23622,3258291,503038,1938894,0.8663,0.6269,0.7274
61,0.240157,3224642,536687,1856117,0.8573,0.6347,0.7294
62,0.244094,3193168,568161,1783285,0.8489,0.6417,0.7309
63,0.248031,3165345,595984,1722391,0.8415,0.6476,0.732
64,0.251968,3141638,619691,1672816,0.8352,0.6525,0.7327
65,0.255905,3122686,638643,1635242,0.8302,0.6563,0.7331
66,0.259842,3106821,654508,1605573,0.826,0.6593,0.7333
67,0.263779,3093095,668234,1580875,0.8223,0.6618,0.7334
68,0.267716,3081215,680114,1559855,0.8192,0.6639,0.7334
69,0.271653,3071078,690251,1541856,0.8165,0.6658,0.7335
70,0.27559,3061034,700295,1524938,0.8138,0.6675,0.7334
71,0.279527,3051884,709445,1509634,0.8114,0.6691,0.7334
72,0.283464,3043349,717980,1495695,0.8091,0.6705,0.7333
73,0.287401,3035357,725972,1482680,0.807,0.6718,0.7332
74,0.291338,3027689,733640,1470383,0.805,0.6731,0.7331
75,0.295275,3020219,741110,1458648,0.803,0.6743,0.733
76,0.299212,3013150,748179,1447995,0.8011,0.6754,0.7329
77,0.303149,3006290,755039,1437269,0.7993,0.6766,0.7328
78,0.307086,2999650,761679,1427203,0.7975,0.6776,0.7327
79,0.311023,2993112,768217,1417299,0.7958,0.6786,0.7326
80,0.31496,2987051,774278,1408018,0.7941,0.6796,0.7324
81,0.318897,2980970,780359,1398565,0.7925,0.6807,0.7323
82,0.322834,2974980,786349,1389708,0.7909,0.6816,0.7322
83,0.326771,2969273,792056,1380994,0.7894,0.6825,0.7321
84,0.330708,2963720,797609,1372799,0.7879,0.6834,0.732
85,0.334645,2958018,803311,1364484,0.7864,0.6843,0.7318
86,0.338582,2952611,808718,1356598,0.785,0.6852,0.7317
87,0.342519,2947312,814017,1348909,0.7836,0.686,0.7316
88,0.346456,2941960,819369,1341462,0.7822,0.6868,0.7314
89,0.350393,2936611,824718,1333869,0.7807,0.6877,0.7312
90,0.35433,2931618,829711,1326812,0.7794,0.6884,0.7311
91,0.358267,2926532,834797,1319843,0.7781,0.6892,0.7309
92,0.362204,2921567,839762,1312920,0.7767,0.6899,0.7308
93,0.366141,2916579,844750,1306041,0.7754,0.6907,0.7306
94,0.370078,2911597,849732,1299454,0.7741,0.6914,0.7304
95,0.374015,2906690,854639,1293021,0.7728,0.6921,0.7302
96,0.377952,2901794,859535,1286504,0.7715,0.6928,0.73
97,0.381889,2897071,864258,1280283,0.7702,0.6935,0.7299
98,0.385826,2892251,869078,1273954,0.7689,0.6942,0.7297
99,0.389763,2887462,873867,1267797,0.7677,0.6949,0.7295
100,0.3937,2882682,878647,1261654,0.7664,0.6956,0.7293
101,0.397637,2877869,883460,1255500,0.7651,0.6963,0.7291
102,0.401574,2873110,888219,1249526,0.7639,0.6969,0.7288
103,0.405511,2868302,893027,1243576,0.7626,0.6976,0.7286
104,0.409448,2863543,897786,1237610,0.7613,0.6982,0.7284
105,0.413385,2858645,902684,1231568,0.76,0.6989,0.7282
106,0.417322,2853785,907544,1225634,0.7587,0.6996,0.7279
107,0.421259,2848822,912507,1219525,0.7574,0.7002,0.7277
108,0.425196,2843899,917430,1213508,0.7561,0.7009,0.7275
109,0.429133,2838954,922375,1207481,0.7548,0.7016,0.7272
110,0.43307,2833983,927346,1201515,0.7535,0.7023,0.727
111,0.437007,2828733,932596,1195363,0.7521,0.7029,0.7267
112,0.440944,2823498,937831,1189155,0.7507,0.7036,0.7264
113,0.444881,2818301,943028,1183080,0.7493,0.7043,0.7261
114,0.448818,2812910,948419,1176941,0.7479,0.705,0.7258
115,0.452755,2807467,953862,1170658,0.7464,0.7057,0.7255
116,0.456692,2801892,959437,1164464,0.7449,0.7064,0.7252
117,0.460629,2796182,965147,1158007,0.7434,0.7071,0.7248
118,0.464566,2790341,970988,1151356,0.7418,0.7079,0.7245
119,0.468503,2784289,977040,1144656,0.7402,0.7087,0.7241
120,0.47244,2777930,983399,1137653,0.7386,0.7095,0.7237
121,0.476377,2771279,990050,1130338,0.7368,0.7103,0.7233
122,0.480314,2763971,997358,1122539,0.7348,0.7112,0.7228
123,0.484251,2755911,1005418,1114182,0.7327,0.7121,0.7223
124,0.488188,2747222,1014107,1104907,0.7304,0.7132,0.7217
125,0.492125,2737279,1024050,1094512,0.7277,0.7144,0.721
126,0.496062,2725329,1036000,1082346,0.7246,0.7157,0.7201
127,0.5,2710191,1051138,1066938,0.7205,0.7175,0.719
128,0.503937,2688159,1073170,1044486,0.7147,0.7202,0.7174
129,0.507874,2625709,1135620,972008,0.6981,0.7298,0.7136
130,0.511811,2484912,1276417,829813,0.6606,0.7497,0.7023
131,0.515748,2390308,1371021,754568,0.6355,0.7601,0.6922
132,0.519685,2328277,1433052,709618,0.619,0.7664,0.6849
133,0.523622,2277259,1484070,674886,0.6054,0.7714,0.6784
134,0.527559,2230677,1530652,643445,0.5931,0.7761,0.6724
135,0.531496,2186190,1575139,614314,0.5812,0.7806,0.6663
136,0.535433,2142650,1618679,586270,0.5697,0.7852,0.6603
137,0.53937,2100714,1660615,560412,0.5585,0.7894,0.6542
138,0.543307,2058568,1702761,536034,0.5473,0.7934,0.6478
139,0.547244,2016119,1745210,511919,0.536,0.7975,0.6411
140,0.551181,1972526,1788803,488584,0.5244,0.8015,0.634
141,0.555118,1926785,1834544,465370,0.5123,0.8055,0.6262
142,0.559055,1880272,1881057,443156,0.4999,0.8093,0.618
143,0.562992,1832563,1928766,421105,0.4872,0.8131,0.6093
144,0.566929,1783054,1978275,398578,0.474,0.8173,0.6001
145,0.570866,1731050,2030279,376126,0.4602,0.8215,0.5899
146,0.574803,1677577,2083752,354334,0.446,0.8256,0.5791
147,0.57874,1622020,2139309,332419,0.4312,0.8299,0.5676
148,0.582677,1565820,2195509,311507,0.4163,0.8341,0.5554
149,0.586614,1508465,2252864,291563,0.401,0.838,0.5425
150,0.590551,1450476,2310853,272954,0.3856,0.8416,0.5289
151,0.594488,1389416,2371913,255158,0.3694,0.8448,0.514
152,0.598425,1326933,2434396,237720,0.3528,0.8481,0.4983
153,0.602362,1263090,2498239,221421,0.3358,0.8508,0.4816
154,0.606299,1199601,2561728,205759,0.3189,0.8536,0.4644
155,0.610236,1133716,2627613,190985,0.3014,0.8558,0.4458
156,0.614173,1067676,2693653,176954,0.2839,0.8578,0.4266
157,0.61811,1001260,2760069,163590,0.2662,0.8596,0.4065
158,0.622047,934987,2826342,150929,0.2486,0.861,0.3858
159,0.625984,868753,2892576,138494,0.231,0.8625,0.3644
160,0.629921,802502,2958827,126355,0.2134,0.864,0.3422
161,0.633858,736746,3024583,114716,0.1959,0.8653,0.3194
162,0.637795,671740,3089589,103654,0.1786,0.8663,0.2961
163,0.641732,609758,3151571,93438,0.1621,0.8671,0.2732
164,0.645669,550959,3210370,83932,0.1465,0.8678,0.2507
165,0.649606,496373,3264956,75427,0.132,0.8681,0.2291
166,0.653543,445105,3316224,67138,0.1183,0.8689,0.2083
167,0.65748,395907,3365422,59601,0.1053,0.8692,0.1878
168,0.661417,349953,3411376,52899,0.093,0.8687,0.1681
169,0.665354,306191,3455138,46870,0.0814,0.8672,0.1488
170,0.669291,266376,3494953,41425,0.0708,0.8654,0.1309
171,0.673228,229655,3531674,36281,0.0611,0.8636,0.1141
172,0.677165,198178,3563151,31955,0.0527,0.8611,0.0993
173,0.681102,169347,3591982,28185,0.045,0.8573,0.0856
174,0.685039,145012,3616317,24718,0.0386,0.8544,0.0738
175,0.688976,123833,3637496,21667,0.0329,0.8511,0.0634
176,0.692913,105946,3655383,19189,0.0282,0.8467,0.0545
177,0.69685,90361,3670968,16845,0.024,0.8429,0.0467
178,0.700787,76953,3684376,14767,0.0205,0.839,0.0399
179,0.704724,64889,3696440,12431,0.0173,0.8392,0.0338
180,0.708661,54670,3706659,10196,0.0145,0.8428,0.0286
181,0.712598,45738,3715591,8265,0.0122,0.847,0.024
182,0.716535,38093,3723236,6544,0.0101,0.8534,0.02
183,0.720472,31282,3730047,4778,0.0083,0.8675,0.0165
184,0.724409,25047,3736282,3428,0.0067,0.8796,0.0132
185,0.728346,19638,3741691,2428,0.0052,0.89,0.0104
186,0.732283,14977,3746352,1762,0.004,0.8947,0.0079
187,0.73622,11178,3750151,1296,0.003,0.8961,0.0059
188,0.740157,8307,3753022,917,0.0022,0.9006,0.0044
189,0.744094,6044,3755285,617,0.0016,0.9074,0.0032
190,0.748031,4370,3756959,476,0.0012,0.9018,0.0023
191,0.751968,3205,3758124,381,0.0009,0.8938,0.0017
192,0.755905,2284,3759045,298,0.0006,0.8846,0.0012
193,0.759842,1611,3759718,225,0.0004,0.8775,0.0009
194,0.763779,1149,3760180,168,0.0003,0.8724,0.0006
195,0.767716,778,3760551,123,0.0002,0.8635,0.0004
196,0.771653,503,3760826,74,0.0001,0.8718,0.0003
197,0.77559,311,3761018,27,0.0001,0.9201,0.0002
198,0.779527,152,3761177,0,0.0,1.0,0.0001
199,0.783464,72,3761257,0,0.0,1.0,0.0
200,0.787401,37,3761292,0,0.0,1.0,0.0
201,0.791338,0,3761329,0,0.0,nan,
202,0.795275,0,3761329,0,0.0,nan,
203,0.799212,0,3761329,0,0.0,nan,
204,0.803149,0,3761329,0,0.0,nan,
205,0.807086,0,3761329,0,0.0,nan,
206,0.811023,0,3761329,0,0.0,nan,
207,0.81496,0,3761329,0,0.0,nan,
208,0.818897,0,3761329,0,0.0,nan,
209,0.822834,0,3761329,0,0.0,nan,
210,0.826771,0,3761329,0,0.0,nan,
211,0.830708,0,3761329,0,0.0,nan,
212,0.834645,0,3761329,0,0.0,nan,
213,0.838582,0,3761329,0,0.0,nan,
214,0.842519,0,3761329,0,0.0,nan,
215,0.846456,0,3761329,0,0.0,nan,
216,0.850393,0,3761329,0,0.0,nan,
217,0.85433,0,3761329,0,0.0,nan,
218,0.858267,0,3761329,0,0.0,nan,
219,0.862204,0,3761329,0,0.0,nan,
220,0.866141,0,3761329,0,0.0,nan,
221,0.870078,0,3761329,0,0.0,nan,
222,0.874015,0,3761329,0,0.0,nan,
223,0.877952,0,3761329,0,0.0,nan,
224,0.881889,0,3761329,0,0.0,nan,
225,0.885826,0,3761329,0,0.0,nan,
226,0.889763,0,3761329,0,0.0,nan,
227,0.8937,0,3761329,0,0.0,nan,
228,0.897637,0,3761329,0,0.0,nan,
229,0.901574,0,3761329,0,0.0,nan,
230,0.905511,0,3761329,0,0.0,nan,
231,0.909448,0,3761329,0,0.0,nan,
232,0.913385,0,3761329,0,0.0,nan,
233,0.917322,0,3761329,0,0.0,nan,
234,0.921259,0,3761329,0,0.0,nan,
235,0.925196,0,3761329,0,0.0,nan,
236,0.929133,0,3761329,0,0.0,nan,
237,0.93307,0,3761329,0,0.0,nan,
238,0.937007,0,3761329,0,0.0,nan,
239,0.940944,0,3761329,0,0.0,nan,
240,0.944881,0,3761329,0,0.0,nan,
241,0.948818,0,3761329,0,0.0,nan,
242,0.952755,0,3761329,0,0.0,nan,
243,0.956692,0,3761329,0,0.0,nan,
244,0.960629,0,3761329,0,0.0,nan,
245,0.964566,0,3761329,0,0.0,nan,
246,0.968503,0,3761329,0,0.0,nan,
247,0.97244,0,3761329,0,0.0,nan,
248,0.976377,0,3761329,0,0.0,nan,
249,0.980314,0,3761329,0,0.0,nan,
250,0.984251,0,3761329,0,0.0,nan,
251,0.988188,0,3761329,0,0.0,nan,
252,0.992125,0,3761329,0,0.0,nan,
253,0.996062,0,3761329,0,0.0,nan,
254,1.0,0,3761329,0,0.0,nan,
