k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6451386,5188,12673846,0.9992,0.3373,0.5044
2,0.007874,6412824,43750,10309849,0.9932,0.3835,0.5533
3,0.011811,6349297,107277,8307402,0.9834,0.4332,0.6015
4,0.015748,6277340,179234,6993310,0.9722,0.473,0.6364
5,0.019685,6200034,256540,6081335,0.9603,0.5048,0.6618
6,0.023622,6123355,333219,5408790,0.9484,0.531,0.6808
7,0.027559,6046572,410002,4874163,0.9365,0.5537,0.6959
8,0.031496,5972318,484256,4437850,0.925,0.5737,0.7082
9,0.035433,5899045,557529,4067752,0.9136,0.5919,0.7184
10,0.03937,5830185,626389,3760557,0.903,0.6079,0.7266
11,0.043307,5763969,692605,3499931,0.8927,0.6222,0.7333
12,0.047244,5700302,756272,3274407,0.8829,0.6352,0.7388
13,0.051181,5641218,815356,3083598,0.8737,0.6466,0.7432
14,0.055118,5582826,873748,2912190,0.8647,0.6572,0.7468
15,0.059055,5528155,928419,2761396,0.8562,0.6669,0.7498
16,0.062992,5477559,979015,2631207,0.8484,0.6755,0.7521
17,0.066929,5429087,1027487,2515997,0.8409,0.6833,0.754
18,0.070866,5384092,1072482,2413237,0.8339,0.6905,0.7555
19,0.074803,5340700,1115874,2321993,0.8272,0.697,0.7565
20,0.07874,5301267,1155307,2241924,0.8211,0.7028,0.7573
21,0.082677,5263409,1193165,2169115,0.8152,0.7082,0.7579
22,0.086614,5227223,1229351,2103372,0.8096,0.7131,0.7583
23,0.090551,5195045,1261529,2045801,0.8046,0.7175,0.7585
24,0.094488,5164497,1292077,1992991,0.7999,0.7216,0.7587
25,0.098425,5134196,1322378,1942390,0.7952,0.7255,0.7588
26,0.102362,5105822,1350752,1896603,0.7908,0.7292,0.7587
27,0.106299,5079137,1377437,1854329,0.7867,0.7326,0.7586
28,0.110236,5053929,1402645,1815693,0.7828,0.7357,0.7585
29,0.114173,5029799,1426775,1780085,0.779,0.7386,0.7583
30,0.11811,5006182,1450392,1745766,0.7754,0.7414,0.758
31,0.122047,4983068,1473506,1712201,0.7718,0.7443,0.7578
32,0.125984,4960912,1495662,1681062,0.7684,0.7469,0.7575
33,0.129921,4940307,1516267,1652388,0.7652,0.7494,0.7572
34,0.133858,4920064,1536510,1624570,0.762,0.7518,0.7569
35,0.137795,4900408,1556166,1598426,0.759,0.754,0.7565
36,0.141732,4881158,1575416,1573919,0.756,0.7562,0.7561
37,0.145669,4862850,1593724,1550788,0.7532,0.7582,0.7557
38,0.149606,4845423,1611151,1529144,0.7505,0.7601,0.7553
39,0.153543,4828271,1628303,1507713,0.7478,0.762,0.7549
40,0.15748,4811408,1645166,1487937,0.7452,0.7638,0.7544
41,0.161417,4795380,1661194,1469158,0.7427,0.7655,0.7539
42,0.165354,4779400,1677174,1450976,0.7402,0.7671,0.7534
43,0.169291,4764144,1692430,1433847,0.7379,0.7687,0.753
44,0.173228,4749197,1707377,1417245,0.7356,0.7702,0.7525
45,0.177165,4734808,1721766,1401395,0.7333,0.7716,0.752
46,0.181102,4720729,1735845,1386223,0.7312,0.773,0.7515
47,0.185039,4707104,1749470,1371850,0.729,0.7743,0.751
