k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6456574,0,13356617,1.0,0.3259,0.4916
2,0.007874,6456574,0,13356617,1.0,0.3259,0.4916
3,0.011811,6456574,0,13356617,1.0,0.3259,0.4916
4,0.015748,6456574,0,13356617,1.0,0.3259,0.4916
5,0.019685,6456574,0,13356617,1.0,0.3259,0.4916
6,0.023622,6456574,0,13356617,1.0,0.3259,0.4916
7,0.027559,6456574,0,13356617,1.0,0.3259,0.4916
8,0.031496,6456574,0,13356617,1.0,0.3259,0.4916
9,0.035433,6456574,0,13356617,1.0,0.3259,0.4916
10,0.03937,6456574,0,13356617,1.0,0.3259,0.4916
11,0.043307,6456574,0,13356617,1.0,0.3259,0.4916
12,0.047244,6456574,0,13356617,1.0,0.3259,0.4916
13,0.051181,6456574,0,13356617,1.0,0.3259,0.4916
14,0.055118,6456574,0,13356617,1.0,0.3259,0.4916
15,0.059055,6456574,0,13356617,1.0,0.3259,0.4916
16,0.062992,6456574,0,13356617,1.0,0.3259,0.4916
17,0.066929,6456574,0,13356617,1.0,0.3259,0.4916
18,0.070866,6456574,0,13356617,1.0,0.3259,0.4916
19,0.074803,6456574,0,13356617,1.0,0.3259,0.4916
20,0.07874,6456574,0,13356617,1.0,0.3259,0.4916
21,0.082677,6456574,0,13356617,1.0,0.3259,0.4916
22,0.086614,6456574,0,13356617,1.0,0.3259,0.4916
23,0.090551,6456574,0,13356617,1.0,0.3259,0.4916
24,0.094488,6456574,0,13356617,1.0,0.3259,0.4916
25,0.098425,6456574,0,13356617,1.0,0.3259,0.4916
26,0.102362,6456574,0,13356588,1.0,0.3259,0.4916
27,0.106299,6456574,0,13354451,1.0,0.3259,0.4916
28,0.110236,6456573,1,13346629,1.0,0.326,0.4917
29,0.114173,6456556,18,13325429,1.0,0.3264,0.4921
30,0.11811,6456450,124,13279033,1.0,0.3271,0.493
31,0.122047,6456156,418,13192702,0.9999,0.3286,0.4946
32,0.125984,6455484,1090,13053835,0.9998,0.3309,0.4972
33,0.129921,6454169,2405,12895430,0.9996,0.3336,0.5002
34,0.133858,6451856,4718,12677436,0.9993,0.3373,0.5043
35,0.137795,6447164,9410,12326119,0.9985,0.3434,0.5111
36,0.141732,6438585,17989,11737761,0.9972,0.3542,0.5228
37,0.145669,6424784,31790,10927455,0.9951,0.3703,0.5397
38,0.149606,6404552,52022,9937993,0.9919,0.3919,0.5618
39,0.153543,6374160,82414,8860282,0.9872,0.4184,0.5877
40,0.15748,6334453,122121,7889006,0.9811,0.4454,0.6126
41,0.161417,6285085,171489,7053568,0.9734,0.4712,0.635
42,0.165354,6225265,231309,6325715,0.9642,0.496,0.655
43,0.169291,6156374,300200,5717982,0.9535,0.5185,0.6717
44,0.173228,6079077,377497,5192605,0.9415,0.5393,0.6858
45,0.177165,6000391,456183,4744261,0.9293,0.5585,0.6977
46,0.181102,5916890,539684,4348291,0.9164,0.5764,0.7077
47,0.185039,5833977,622597,4005305,0.9036,0.5929,0.716
48,0.188976,5751362,705212,3699655,0.8908,0.6085,0.7231
49,0.192913,5672107,784467,3436838,0.8785,0.6227,0.7288
50,0.19685,5592913,863661,3202824,0.8662,0.6359,0.7334
51,0.200787,5518004,938570,3003092,0.8546,0.6476,0.7368
52,0.204724,5446648,1009926,2826497,0.8436,0.6584,0.7395
53,0.208661,5379350,1077224,2671680,0.8332,0.6682,0.7416
54,0.212598,5317346,1139228,2538803,0.8236,0.6768,0.743
55,0.216535,5262258,1194316,2428429,0.815,0.6842,0.7439
56,0.220472,5211985,1244589,2333494,0.8072,0.6907,0.7445
57,0.224409,5168561,1288013,2255397,0.8005,0.6962,0.7447
58,0.228346,5129606,1326968,2188301,0.7945,0.701,0.7448
59,0.232283,5096067,1360507,2130487,0.7893,0.7052,0.7449
60,0.23622,5066737,1389837,2082092,0.7847,0.7088,0.7448
61,0.240157,5042559,1414015,2043796,0.781,0.7116,0.7447
62,0.244094,5021624,1434950,2011168,0.7778,0.714,0.7445
63,0.248031,5003008,1453566,1982865,0.7749,0.7162,0.7444
64,0.251968,4985758,1470816,1957819,0.7722,0.718,0.7441
65,0.255905,4970475,1486099,1935671,0.7698,0.7197,0.7439
66,0.259842,4956248,1500326,1915286,0.7676,0.7213,0.7437
67,0.263779,4943144,1513430,1896211,0.7656,0.7228,0.7436
68,0.267716,4930318,1526256,1878482,0.7636,0.7241,0.7433
69,0.271653,4918852,1537722,1862540,0.7618,0.7253,0.7431
70,0.27559,4907690,1548884,1846945,0.7601,0.7266,0.743
71,0.279527,4897145,1559429,1832060,0.7585,0.7277,0.7428
72,0.283464,4886648,1569926,1818068,0.7568,0.7288,0.7426
73,0.287401,4876474,1580100,1804391,0.7553,0.7299,0.7424
74,0.291338,4866951,1589623,1791584,0.7538,0.7309,0.7422
75,0.295275,4857376,1599198,1778754,0.7523,0.732,0.742
76,0.299212,4848507,1608067,1766882,0.7509,0.7329,0.7418
77,0.303149,4839617,1616957,1755041,0.7496,0.7339,0.7416
