k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,128176504,0,283264504,1.0,0.3115,0.4751
2,0.007874,128176504,0,283264504,1.0,0.3115,0.4751
3,0.011811,128176504,0,283264504,1.0,0.3115,0.4751
4,0.015748,128176504,0,283251834,1.0,0.3115,0.4751
5,0.019685,128174827,1677,282506060,1.0,0.3121,0.4757
6,0.023622,128141659,34845,277356316,0.9997,0.316,0.4802
7,0.027559,127976442,200062,262874502,0.9984,0.3274,0.4931
8,0.031496,127626821,549683,240628142,0.9957,0.3466,0.5142
9,0.035433,127077178,1099326,210742055,0.9914,0.3762,0.5454
10,0.03937,126346487,1830017,177322016,0.9857,0.4161,0.5851
11,0.043307,125439602,2736902,140944051,0.9786,0.4709,0.6358
12,0.047244,124344648,3831856,113698292,0.9701,0.5224,0.6791
13,0.051181,123126168,5050336,97407527,0.9606,0.5583,0.7062
14,0.055118,121764553,6411951,85443522,0.95,0.5876,0.7261
15,0.059055,120339077,7837427,75993842,0.9389,0.6129,0.7417
16,0.062992,118906300,9270204,68352831,0.9277,0.635,0.7539
17,0.066929,117453212,10723292,61931492,0.9163,0.6548,0.7638
18,0.070866,116005171,12171333,56484641,0.905,0.6725,0.7717
19,0.074803,114534351,13642153,51705214,0.8936,0.689,0.778
20,0.07874,113116488,15060016,47651718,0.8825,0.7036,0.783
21,0.082677,111727832,16448672,44112485,0.8717,0.7169,0.7868
22,0.086614,110400618,17775886,41063370,0.8613,0.7289,0.7896
23,0.090551,109211868,18964636,38584958,0.852,0.7389,0.7915
24,0.094488,108150076,20026428,36541551,0.8438,0.7475,0.7927
25,0.098425,107189740,20986764,34820482,0.8363,0.7548,0.7934
26,0.102362,106376595,21799909,33457421,0.8299,0.7607,0.7938
27,0.106299,105695619,22480885,32386032,0.8246,0.7655,0.7939
28,0.110236,105122615,23053889,31523390,0.8201,0.7693,0.7939
29,0.114173,104628100,23548404,30804328,0.8163,0.7725,0.7938
30,0.11811,104170473,24006031,30160855,0.8127,0.7755,0.7937
31,0.122047,103748234,24428270,29584485,0.8094,0.7781,0.7935
32,0.125984,103365861,24810643,29073676,0.8064,0.7805,0.7932
33,0.129921,103020660,25155844,28621836,0.8037,0.7826,0.793
34,0.133858,102691091,25485413,28196895,0.8012,0.7846,0.7928
35,0.137795,102380988,25795516,27807774,0.7988,0.7864,0.7925
36,0.141732,102089948,26086556,27446985,0.7965,0.7881,0.7923
37,0.145669,101815208,26361296,27111423,0.7943,0.7897,0.792
38,0.149606,101555797,26620707,26799252,0.7923,0.7912,0.7918
39,0.153543,101302499,26874005,26497395,0.7903,0.7927,0.7915
40,0.15748,101063111,27113393,26216532,0.7885,0.794,0.7912
41,0.161417,100835574,27340930,25954090,0.7867,0.7953,0.791
42,0.165354,100612188,27564316,25699449,0.785,0.7965,0.7907
43,0.169291,100400392,27776112,25460646,0.7833,0.7977,0.7904
44,0.173228,100191736,27984768,25227769,0.7817,0.7989,0.7902
45,0.177165,99993237,28183267,25009069,0.7801,0.7999,0.7899
46,0.181102,99798261,28378243,24795531,0.7786,0.801,0.7896
47,0.185039,99612236,28564268,24594368,0.7771,0.802,0.7894
48,0.188976,99428851,28747653,24397017,0.7757,0.803,0.7891
49,0.192913,99253327,28923177,24211525,0.7743,0.8039,0.7888
50,0.19685,99081353,29095151,24029178,0.773,0.8048,0.7886
51,0.200787,98916181,29260323,23857660,0.7717,0.8057,0.7883
52,0.204724,98752493,29424011,23689160,0.7704,0.8065,0.7881
53,0.208661,98591289,29585215,23523860,0.7692,0.8074,0.7878
54,0.212598,98431018,29745486,23361660,0.7679,0.8082,0.7875
55,0.216535,98278922,29897582,23208687,0.7667,0.809,0.7873
56,0.220472,98127938,30048566,23057696,0.7656,0.8097,0.787
57,0.224409,97984983,30191521,22915295,0.7645,0.8105,0.7868
58,0.228346,97842935,30333569,22775305,0.7633,0.8112,0.7865
59,0.232283,97701912,30474592,22637395,0.7622,0.8119,0.7863
60,0.23622,97561370,30615134,22501179,0.7611,0.8126,0.786
61,0.240157,97428465,30748039,22372486,0.7601,0.8133,0.7858
62,0.244094,97296133,30880371,22245660,0.7591,0.8139,0.7855
63,0.248031,97164730,31011774,22120686,0.7581,0.8146,0.7853
64,0.251968,97034209,31142295,21996319,0.757,0.8152,0.785
65,0.255905,96909583,31266921,21878785,0.7561,0.8158,0.7848
66,0.259842,96785239,31391265,21763497,0.7551,0.8164,0.7846
67,0.263779,96662053,31514451,21648386,0.7541,0.817,0.7843
68,0.267716,96538562,31637942,21535393,0.7532,0.8176,0.7841
69,0.271653,96416105,31760399,21423582,0.7522,0.8182,0.7838
70,0.27559,96297777,31878727,21315960,0.7513,0.8188,0.7836
71,0.279527,96181511,31994993,21210195,0.7504,0.8193,0.7833
72,0.283464,96065641,32110863,21105479,0.7495,0.8199,0.7831
73,0.287401,95948806,32227698,21001453,0.7486,0.8204,0.7829
74,0.291338,95835244,32341260,20901023,0.7477,0.821,0.7826
75,0.295275,95718494,32458010,20797640,0.7468,0.8215,0.7824
76,0.299212,95607408,32569096,20700976,0.7459,0.822,0.7821
77,0.303149,95494383,32682121,20601976,0.745,0.8225,0.7819
78,0.307086,95382604,32793900,20505513,0.7442,0.8231,0.7816
79,0.311023,95271469,32905035,20409645,0.7433,0.8236,0.7814
80,0.31496,95162064,33014440,20316419,0.7424,0.8241,0.7811
81,0.318897,95050293,33126211,20221561,0.7416,0.8246,0.7809
82,0.322834,94941175,33235329,20129277,0.7407,0.8251,0.7806
83,0.326771,94831500,33345004,20037161,0.7399,0.8256,0.7804
84,0.330708,94724819,33451685,19947841,0.739,0.826,0.7801
85,0.334645,94613831,33562673,19855776,0.7382,0.8265,0.7799
86,0.338582,94505365,33671139,19766081,0.7373,0.827,0.7796
87,0.342519,94395990,33780514,19676332,0.7365,0.8275,0.7793
88,0.346456,94286605,33889899,19586756,0.7356,0.828,0.7791
89,0.350393,94176283,34000221,19497650,0.7347,0.8285,0.7788
90,0.35433,94068543,34107961,19410134,0.7339,0.829,0.7785
91,0.358267,93959940,34216564,19322581,0.7331,0.8294,0.7783
92,0.362204,93850688,34325816,19234866,0.7322,0.8299,0.778
93,0.366141,93740031,34436473,19146970,0.7313,0.8304,0.7777
94,0.370078,93628978,34547526,19059455,0.7305,0.8309,0.7774
95,0.374015,93519745,34656759,18973791,0.7296,0.8313,0.7772
96,0.377952,93406210,34770294,18885079,0.7287,0.8318,0.7769
97,0.381889,93294835,34881669,18798850,0.7279,0.8323,0.7766
98,0.385826,93182326,34994178,18712063,0.727,0.8328,0.7763
99,0.389763,93068700,35107804,18624408,0.7261,0.8333,0.776
100,0.3937,92953189,35223315,18536689,0.7252,0.8337,0.7757
101,0.397637,92836518,35339986,18448021,0.7243,0.8342,0.7754
102,0.401574,92719918,35456586,18360292,0.7234,0.8347,0.7751
103,0.405511,92602009,35574495,18272199,0.7225,0.8352,0.7747
104,0.409448,92481785,35694719,18182841,0.7215,0.8357,0.7744
105,0.413385,92359406,35817098,18091925,0.7206,0.8362,0.7741
106,0.417322,92237204,35939300,18002435,0.7196,0.8367,0.7737
107,0.421259,92110715,36065789,17910528,0.7186,0.8372,0.7734
108,0.425196,91983967,36192537,17818489,0.7176,0.8377,0.773
109,0.429133,91854630,36321874,17725031,0.7166,0.8382,0.7727
110,0.43307,91723838,36452666,17631116,0.7156,0.8388,0.7723
111,0.437007,91588896,36587608,17534610,0.7146,0.8393,0.7719
112,0.440944,91449397,36727107,17436229,0.7135,0.8399,0.7715
113,0.444881,91306438,36870066,17335263,0.7123,0.8404,0.7711
114,0.448818,91159944,37016560,17232946,0.7112,0.841,0.7707
115,0.452755,91006898,37169606,17126290,0.71,0.8416,0.7702
116,0.456692,90848625,37327879,17016846,0.7088,0.8422,0.7698
117,0.460629,90683728,37492776,16903598,0.7075,0.8429,0.7693
118,0.464566,90510106,37666398,16785472,0.7061,0.8436,0.7688
119,0.468503,90328186,37848318,16662595,0.7047,0.8443,0.7682
120,0.47244,90134021,38042483,16531712,0.7032,0.845,0.7676
121,0.476377,89927848,38248656,16393715,0.7016,0.8458,0.767
122,0.480314,89706448,38470056,16247116,0.6999,0.8467,0.7663
123,0.484251,89467279,38709225,16090441,0.698,0.8476,0.7655
124,0.488188,89205359,38971145,15919870,0.696,0.8486,0.7647
125,0.492125,88909064,39267440,15729349,0.6936,0.8497,0.7638
126,0.496062,88569887,39606617,15514399,0.691,0.8509,0.7627
127,0.5,88166960,40009544,15262065,0.6879,0.8524,0.7614
128,0.503937,87652426,40524078,14944991,0.6838,0.8543,0.7596
129,0.507874,86910038,41266466,14489411,0.678,0.8571,0.7571
130,0.511811,85952479,42224025,13931224,0.6706,0.8605,0.7538
131,0.515748,84973788,43202716,13387366,0.6629,0.8639,0.7502
132,0.519685,84006169,44170335,12872688,0.6554,0.8671,0.7465
133,0.523622,83046833,45129671,12382254,0.6479,0.8702,0.7428
134,0.527559,82107129,46069375,11918703,0.6406,0.8732,0.739
135,0.531496,81218974,46957530,11496607,0.6336,0.876,0.7354
136,0.535433,80396822,47779682,11118361,0.6272,0.8785,0.7319
137,0.53937,79636990,48539514,10779953,0.6213,0.8808,0.7286
138,0.543307,78912037,49264467,10468186,0.6157,0.8829,0.7254
139,0.547244,78221693,49954811,10179579,0.6103,0.8848,0.7223
140,0.551181,77561330,50615174,9911743,0.6051,0.8867,0.7193
141,0.555118,76924701,51251803,9660486,0.6001,0.8884,0.7164
142,0.559055,76317842,51858662,9427011,0.5954,0.8901,0.7135
143,0.562992,75728814,52447690,9207755,0.5908,0.8916,0.7107
144,0.566929,75158768,53017736,9001474,0.5864,0.893,0.7079
145,0.570866,74596030,53580474,8801819,0.582,0.8945,0.7052
146,0.574803,74055728,54120776,8613278,0.5778,0.8958,0.7025
147,0.57874,73511712,54664792,8429091,0.5735,0.8971,0.6997
148,0.582677,72977869,55198635,8251460,0.5694,0.8984,0.697
149,0.586614,72441570,55734934,8076877,0.5652,0.8997,0.6942
150,0.590551,71919280,56257224,7908788,0.5611,0.9009,0.6915
151,0.594488,71392786,56783718,7742680,0.557,0.9022,0.6887
152,0.598425,70868336,57308168,7581369,0.5529,0.9034,0.686
153,0.602362,70344407,57832097,7423773,0.5488,0.9045,0.6831
154,0.606299,69819588,58356916,7268118,0.5447,0.9057,0.6803
155,0.610236,69282593,58893911,7112628,0.5405,0.9069,0.6773
156,0.614173,68739569,59436935,6959467,0.5363,0.9081,0.6743
157,0.61811,68192323,59984181,6807430,0.532,0.9092,0.6713
158,0.622047,67636227,60540277,6656715,0.5277,0.9104,0.6681
159,0.625984,67064508,61111996,6504826,0.5232,0.9116,0.6648
160,0.629921,66470784,61705720,6351943,0.5186,0.9128,0.6614
161,0.633858,65890040,62286464,6205660,0.5141,0.9139,0.658
162,0.637795,65280758,62895746,6056354,0.5093,0.9151,0.6544
163,0.641732,64660200,63516304,5907402,0.5045,0.9163,0.6507
164,0.645669,64028448,64148056,5758736,0.4995,0.9175,0.6469
165,0.649606,63384532,64791972,5610951,0.4945,0.9187,0.6429
166,0.653543,62724672,65451832,5463891,0.4894,0.9199,0.6389
167,0.65748,62031554,66144950,5311773,0.484,0.9211,0.6345
168,0.661417,61321184,66855320,5159801,0.4784,0.9224,0.63
169,0.665354,60593944,67582560,5007559,0.4727,0.9237,0.6254
170,0.669291,59848890,68327614,4855949,0.4669,0.925,0.6206
171,0.673228,59064354,69112150,4700986,0.4608,0.9263,0.6154
172,0.677165,58277730,69898774,4550260,0.4547,0.9276,0.6102
173,0.681102,57442046,70734458,4393373,0.4481,0.929,0.6046
174,0.685039,56569156,71607348,4235075,0.4413,0.9303,0.5987
175,0.688976,55628439,72548065,4070388,0.434,0.9318,0.5922
176,0.692913,54660703,73515801,3907125,0.4264,0.9333,0.5854
177,0.69685,53605050,74571454,3735545,0.4182,0.9349,0.5779
178,0.700787,52475644,75700860,3558911,0.4094,0.9365,0.5697
179,0.704724,51225698,76950806,3371373,0.3996,0.9382,0.5605
180,0.708661,49907063,78269441,3183276,0.3894,0.94,0.5506
181,0.712598,48405202,79771302,2978701,0.3776,0.942,0.5392
