k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,3761880,0,5479590,1.0,0.4071,0.5786
2,0.007874,3761880,0,5479590,1.0,0.4071,0.5786
3,0.011811,3761880,0,5479590,1.0,0.4071,0.5786
4,0.015748,3761880,0,5479590,1.0,0.4071,0.5786
5,0.019685,3761880,0,5479590,1.0,0.4071,0.5786
6,0.023622,3761880,0,5479590,1.0,0.4071,0.5786
7,0.027559,3761880,0,5479590,1.0,0.4071,0.5786
8,0.031496,3761880,0,5479590,1.0,0.4071,0.5786
9,0.035433,3761880,0,5479590,1.0,0.4071,0.5786
10,0.03937,3761880,0,5479590,1.0,0.4071,0.5786
11,0.043307,3761880,0,5479590,1.0,0.4071,0.5786
12,0.047244,3761880,0,5479590,1.0,0.4071,0.5786
13,0.051181,3761880,0,5479590,1.0,0.4071,0.5786
14,0.055118,3761880,0,5479590,1.0,0.4071,0.5786
15,0.059055,3761880,0,5479590,1.0,0.4071,0.5786
16,0.062992,3761880,0,5479590,1.0,0.4071,0.5786
17,0.066929,3761880,0,5479590,1.0,0.4071,0.5786
18,0.070866,3761880,0,5479590,1.0,0.4071,0.5786
19,0.074803,3761880,0,5479590,1.0,0.4071,0.5786
20,0.07874,3761880,0,5479590,1.0,0.4071,0.5786
21,0.082677,3761880,0,5479590,1.0,0.4071,0.5786
22,0.086614,3761880,0,5479590,1.0,0.4071,0.5786
23,0.090551,3761880,0,5479590,1.0,0.4071,0.5786
24,0.094488,3761880,0,5479590,1.0,0.4071,0.5786
25,0.098425,3761880,0,5479107,1.0,0.4071,0.5786
26,0.102362,3761866,14,5476060,1.0,0.4072,0.5788
27,0.106299,3761840,40,5468325,1.0,0.4076,0.5791
28,0.110236,3761709,171,5452897,1.0,0.4082,0.5798
29,0.114173,3761383,497,5426968,0.9999,0.4094,0.5809
30,0.11811,3760790,1090,5374589,0.9997,0.4117,0.5832
31,0.122047,3759495,2385,5277481,0.9994,0.416,0.5875
32,0.125984,3756801,5079,5129843,0.9986,0.4227,0.594
33,0.129921,3751608,10272,4923096,0.9973,0.4325,0.6033
34,0.133858,3742418,19462,4638707,0.9948,0.4465,0.6164
35,0.137795,3727901,33979,4326042,0.991,0.4629,0.631
36,0.141732,3709429,52451,4009832,0.9861,0.4805,0.6462
37,0.145669,3685532,76348,3701947,0.9797,0.4989,0.6611
38,0.149606,3656607,105273,3417285,0.972,0.5169,0.6749
39,0.153543,3622128,139752,3137879,0.9629,0.5358,0.6885
40,0.15748,3584138,177742,2873749,0.9528,0.555,0.7014
41,0.161417,3542717,219163,2632835,0.9417,0.5737,0.713
42,0.165354,3496618,265262,2410694,0.9295,0.5919,0.7232
43,0.169291,3448171,313709,2216374,0.9166,0.6087,0.7316
44,0.173228,3397120,364760,2043120,0.903,0.6244,0.7383
45,0.177165,3346003,415877,1894383,0.8894,0.6385,0.7434
46,0.181102,3294961,466919,1761324,0.8759,0.6517,0.7473
47,0.185039,3246048,515832,1645735,0.8629,0.6636,0.7502
48,0.188976,3197773,564107,1541019,0.85,0.6748,0.7524
49,0.192913,3151329,610551,1449201,0.8377,0.685,0.7537
50,0.19685,3105355,656525,1364644,0.8255,0.6947,0.7545
51,0.200787,3062839,699041,1291147,0.8142,0.7035,0.7548
52,0.204724,3022406,739474,1224243,0.8034,0.7117,0.7548
53,0.208661,2984181,777699,1166449,0.7933,0.719,0.7543
54,0.212598,2948698,813182,1116495,0.7838,0.7254,0.7535
55,0.216535,2917152,844728,1074809,0.7755,0.7308,0.7524
56,0.220472,2888990,872890,1038911,0.768,0.7355,0.7514
57,0.224409,2864518,897362,1009521,0.7615,0.7394,0.7503
58,0.228346,2843266,918614,984758,0.7558,0.7428,0.7492
59,0.232283,2824335,937545,964387,0.7508,0.7455,0.7481
60,0.23622,2807981,953899,947433,0.7464,0.7477,0.7471
61,0.240157,2794021,967859,933413,0.7427,0.7496,0.7461
62,0.244094,2781758,980122,920986,0.7395,0.7513,0.7453
63,0.248031,2770317,991563,909738,0.7364,0.7528,0.7445
64,0.251968,2759883,1001997,899469,0.7336,0.7542,0.7438
65,0.255905,2750430,1011450,890251,0.7311,0.7555,0.7431
66,0.259842,2741556,1020324,881943,0.7288,0.7566,0.7424
67,0.263779,2733141,1028739,873915,0.7265,0.7577,0.7418
68,0.267716,2724996,1036884,866366,0.7244,0.7588,0.7412
69,0.271653,2717578,1044302,859419,0.7224,0.7597,0.7406
70,0.27559,2710058,1051822,852570,0.7204,0.7607,0.74
71,0.279527,2703115,1058765,846433,0.7186,0.7615,0.7394
72,0.283464,2696346,1065534,840277,0.7168,0.7624,0.7389
73,0.287401,2689588,1072292,834502,0.715,0.7632,0.7383
74,0.291338,2683429,1078451,828944,0.7133,0.764,0.7378
75,0.295275,2677240,1084640,823359,0.7117,0.7648,0.7373
76,0.299212,2671387,1090493,818155,0.7101,0.7655,0.7368
77,0.303149,2665394,1096486,813114,0.7085,0.7662,0.7363
78,0.307086,2659844,1102036,808314,0.7071,0.7669,0.7358
79,0.311023,2654339,1107541,803666,0.7056,0.7676,0.7353
80,0.31496,2648918,1112962,799301,0.7041,0.7682,0.7348
81,0.318897,2643679,1118201,794774,0.7028,0.7689,0.7343
82,0.322834,2638343,1123537,790540,0.7013,0.7694,0.7338
83,0.326771,2633291,1128589,786351,0.7,0.77,0.7334
84,0.330708,2628315,1133565,782199,0.6987,0.7707,0.7329
85,0.334645,2623147,1138733,778053,0.6973,0.7712,0.7324
86,0.338582,2618304,1143576,774153,0.696,0.7718,0.7319
87,0.342519,2613444,1148436,770343,0.6947,0.7723,0.7315
88,0.346456,2608646,1153234,766477,0.6934,0.7729,0.731
89,0.350393,2603794,1158086,762515,0.6922,0.7735,0.7306
90,0.35433,2599294,1162586,758732,0.691,0.7741,0.7301
91,0.358267,2594622,1167258,755061,0.6897,0.7746,0.7297
92,0.362204,2589905,1171975,751390,0.6885,0.7751,0.7292
93,0.366141,2585257,1176623,747666,0.6872,0.7757,0.7288
94,0.370078,2580506,1181374,744017,0.686,0.7762,0.7283
95,0.374015,2576092,1185788,740478,0.6848,0.7767,0.7279
96,0.377952,2571430,1190450,736775,0.6835,0.7773,0.7274
97,0.381889,2566864,1195016,733282,0.6823,0.7778,0.7269
98,0.385826,2562315,1199565,729713,0.6811,0.7783,0.7265
99,0.389763,2557702,1204178,726213,0.6799,0.7789,0.726
100,0.3937,2553110,1208770,722815,0.6787,0.7794,0.7255
101,0.397637,2548365,1213515,719299,0.6774,0.7799,0.725
102,0.401574,2543857,1218023,715939,0.6762,0.7804,0.7246
103,0.405511,2539221,1222659,712414,0.675,0.7809,0.7241
104,0.409448,2534468,1227412,709036,0.6737,0.7814,0.7236
105,0.413385,2529657,1232223,705595,0.6724,0.7819,0.7231
106,0.417322,2525007,1236873,702248,0.6712,0.7824,0.7226
107,0.421259,2520282,1241598,698709,0.67,0.7829,0.7221
108,0.425196,2515555,1246325,695235,0.6687,0.7835,0.7215
109,0.429133,2510622,1251258,691672,0.6674,0.784,0.721
110,0.43307,2505627,1256253,688145,0.6661,0.7845,0.7205
111,0.437007,2500512,1261368,684602,0.6647,0.7851,0.7199
112,0.440944,2495355,1266525,680961,0.6633,0.7856,0.7193
113,0.444881,2490118,1271762,677282,0.6619,0.7862,0.7187
114,0.448818,2484706,1277174,673557,0.6605,0.7867,0.7181
115,0.452755,2479178,1282702,669680,0.659,0.7873,0.7175
116,0.456692,2473288,1288592,665603,0.6575,0.7879,0.7168
117,0.460629,2467257,1294623,661549,0.6559,0.7886,0.7161
118,0.464566,2460842,1301038,657236,0.6542,0.7892,0.7154
119,0.468503,2454152,1307728,652829,0.6524,0.7899,0.7146
120,0.47244,2447031,1314849,648027,0.6505,0.7906,0.7137
121,0.476377,2439292,1322588,642975,0.6484,0.7914,0.7128
122,0.480314,2430548,1331332,637524,0.6461,0.7922,0.7117
123,0.484251,2420944,1340936,631494,0.6435,0.7931,0.7105
124,0.488188,2409781,1352099,624519,0.6406,0.7942,0.7092
125,0.492125,2396062,1365818,616239,0.6369,0.7954,0.7074
