k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,3761329,0,5480139,1.0,0.407,0.5785
2,0.007874,3761329,0,5480139,1.0,0.407,0.5785
3,0.011811,3761329,0,5480139,1.0,0.407,0.5785
4,0.015748,3761329,0,5480139,1.0,0.407,0.5785
5,0.019685,3761329,0,5480139,1.0,0.407,0.5785
6,0.023622,3761329,0,5480139,1.0,0.407,0.5785
7,0.027559,3761329,0,5480139,1.0,0.407,0.5785
8,0.031496,3761329,0,5480139,1.0,0.407,0.5785
9,0.035433,3761329,0,5480139,1.0,0.407,0.5785
10,0.03937,3761329,0,5480139,1.0,0.407,0.5785
11,0.043307,3761329,0,5480139,1.0,0.407,0.5785
12,0.047244,3761329,0,5480139,1.0,0.407,0.5785
13,0.051181,3761329,0,5480067,1.0,0.407,0.5785
14,0.055118,3761276,53,5477870,1.0,0.4071,0.5786
15,0.059055,3761123,206,5463914,0.9999,0.4077,0.5792
16,0.062992,3760706,623,5435466,0.9998,0.4089,0.5805
17,0.066929,3760014,1315,5379133,0.9997,0.4114,0.5829
18,0.070866,3758423,2906,5260965,0.9992,0.4167,0.5881
19,0.074803,3754050,7279,5030952,0.9981,0.4273,0.5984
20,0.07874,3745041,16288,4699083,0.9957,0.4435,0.6137
21,0.082677,3728915,32414,4303931,0.9914,0.4642,0.6323
22,0.086614,3703757,57572,3874912,0.9847,0.4887,0.6532
23,0.090551,3669821,91508,3430045,0.9757,0.5169,0.6758
24,0.094488,3626460,134869,3012593,0.9641,0.5462,0.6974
25,0.098425,3571256,190073,2646323,0.9495,0.5744,0.7158
26,0.102362,3508536,252793,2346723,0.9328,0.5992,0.7297
27,0.106299,3442238,319091,2099872,0.9152,0.6211,0.74
28,0.110236,3376412,384917,1900045,0.8977,0.6399,0.7472
29,0.114173,3311278,450051,1735901,0.8803,0.6561,0.7518
30,0.11811,3246871,514458,1594453,0.8632,0.6707,0.7549
31,0.122047,3183054,578275,1472837,0.8463,0.6837,0.7563
32,0.125984,3124573,636756,1373266,0.8307,0.6947,0.7566
33,0.129921,3070075,691254,1288297,0.8162,0.7044,0.7562
34,0.133858,3018833,742496,1210757,0.8026,0.7137,0.7556
35,0.137795,2971995,789334,1143108,0.7901,0.7222,0.7547
36,0.141732,2930820,830509,1085320,0.7792,0.7298,0.7537
37,0.145669,2893998,867331,1036928,0.7694,0.7362,0.7524
38,0.149606,2861603,899726,995394,0.7608,0.7419,0.7512
39,0.153543,2833036,928293,958021,0.7532,0.7473,0.7502
40,0.15748,2808480,952849,927413,0.7467,0.7518,0.7492
41,0.161417,2787834,973495,902253,0.7412,0.7555,0.7483
42,0.165354,2769708,991621,880672,0.7364,0.7587,0.7474
43,0.169291,2754544,1006785,863065,0.7323,0.7614,0.7466
44,0.173228,2740706,1020623,848421,0.7287,0.7636,0.7457
45,0.177165,2728642,1032687,836075,0.7254,0.7655,0.7449
46,0.181102,2717383,1043946,824624,0.7225,0.7672,0.7441
47,0.185039,2707143,1054186,814386,0.7197,0.7687,0.7434
48,0.188976,2697777,1063552,805165,0.7172,0.7701,0.7428
49,0.192913,2688875,1072454,796641,0.7149,0.7714,0.7421
50,0.19685,2680338,1080991,788664,0.7126,0.7727,0.7414
51,0.200787,2672517,1088812,781320,0.7105,0.7738,0.7408
52,0.204724,2664918,1096411,774297,0.7085,0.7749,0.7402
53,0.208661,2657539,1103790,767546,0.7065,0.7759,0.7396
54,0.212598,2650256,1111073,760987,0.7046,0.7769,0.739
55,0.216535,2643540,1117789,755039,0.7028,0.7778,0.7384
56,0.220472,2637225,1124104,749316,0.7011,0.7787,0.7379
57,0.224409,2631301,1130028,743959,0.6996,0.7796,0.7374
58,0.228346,2625570,1135759,738615,0.698,0.7804,0.7369
59,0.232283,2619829,1141500,733452,0.6965,0.7813,0.7365
60,0.23622,2614285,1147044,728466,0.695,0.7821,0.736
61,0.240157,2609050,1152279,723797,0.6937,0.7828,0.7355
62,0.244094,2603796,1157533,719242,0.6923,0.7836,0.7351
63,0.248031,2598659,1162670,714782,0.6909,0.7843,0.7346
64,0.251968,2593495,1167834,710443,0.6895,0.785,0.7342
65,0.255905,2588653,1172676,706385,0.6882,0.7856,0.7337
66,0.259842,2583903,1177426,702293,0.687,0.7863,0.7333
67,0.263779,2579393,1181936,698379,0.6858,0.7869,0.7329
68,0.267716,2574714,1186615,694480,0.6845,0.7876,0.7324
69,0.271653,2570092,1191237,690677,0.6833,0.7882,0.732
70,0.27559,2565742,1195587,687047,0.6821,0.7888,0.7316
71,0.279527,2561401,1199928,683617,0.681,0.7893,0.7312
72,0.283464,2557033,1204296,680092,0.6798,0.7899,0.7307
73,0.287401,2552739,1208590,676768,0.6787,0.7904,0.7303
74,0.291338,2548557,1212772,673507,0.6776,0.791,0.7299
75,0.295275,2544276,1217053,670063,0.6764,0.7915,0.7295
76,0.299212,2540345,1220984,666863,0.6754,0.7921,0.7291
77,0.303149,2536181,1225148,663591,0.6743,0.7926,0.7287
78,0.307086,2532177,1229152,660495,0.6732,0.7931,0.7283
79,0.311023,2528171,1233158,657318,0.6721,0.7937,0.7279
80,0.31496,2524250,1237079,654261,0.6711,0.7942,0.7275
81,0.318897,2520330,1240999,651264,0.6701,0.7947,0.7271
82,0.322834,2516465,1244864,648279,0.669,0.7952,0.7267
83,0.326771,2512463,1248866,645262,0.668,0.7957,0.7262
84,0.330708,2508629,1252700,642331,0.667,0.7961,0.7258
85,0.334645,2504764,1256565,639370,0.6659,0.7966,0.7254
86,0.338582,2500950,1260379,636555,0.6649,0.7971,0.725
87,0.342519,2497157,1264172,633687,0.6639,0.7976,0.7246
88,0.346456,2493279,1268050,630865,0.6629,0.7981,0.7242
89,0.350393,2489380,1271949,627986,0.6618,0.7986,0.7238
90,0.35433,2485603,1275726,625189,0.6608,0.799,0.7234
91,0.358267,2481796,1279533,622461,0.6598,0.7995,0.723
92,0.362204,2477984,1283345,619696,0.6588,0.7999,0.7225
93,0.366141,2474189,1287140,616975,0.6578,0.8004,0.7221
94,0.370078,2470256,1291073,614185,0.6568,0.8009,0.7217
95,0.374015,2466468,1294861,611507,0.6557,0.8013,0.7213
96,0.377952,2462558,1298771,608876,0.6547,0.8018,0.7208
97,0.381889,2458728,1302601,606233,0.6537,0.8022,0.7204
98,0.385826,2454791,1306538,603517,0.6526,0.8027,0.7199
99,0.389763,2450787,1310542,600922,0.6516,0.8031,0.7194
100,0.3937,2446791,1314538,598167,0.6505,0.8036,0.719
101,0.397637,2442827,1318502,595447,0.6495,0.804,0.7185
102,0.401574,2438841,1322488,592866,0.6484,0.8044,0.718
103,0.405511,2434823,1326506,590153,0.6473,0.8049,0.7176
104,0.409448,2430642,1330687,587479,0.6462,0.8053,0.7171
105,0.413385,2426530,1334799,584795,0.6451,0.8058,0.7166
106,0.417322,2422363,1338966,582108,0.644,0.8063,0.7161
107,0.421259,2418072,1343257,579316,0.6429,0.8067,0.7155
108,0.425196,2413792,1347537,576529,0.6417,0.8072,0.715
109,0.429133,2409418,1351911,573782,0.6406,0.8077,0.7145
110,0.43307,2405087,1356242,570999,0.6394,0.8081,0.7139
111,0.437007,2400528,1360801,568203,0.6382,0.8086,0.7134
112,0.440944,2396017,1365312,565212,0.637,0.8091,0.7128
113,0.444881,2391276,1370053,562248,0.6358,0.8096,0.7122
114,0.448818,2386461,1374868,559304,0.6345,0.8101,0.7116
115,0.452755,2381357,1379972,556144,0.6331,0.8107,0.711
116,0.456692,2375956,1385373,552926,0.6317,0.8112,0.7103
117,0.460629,2370373,1390956,549622,0.6302,0.8118,0.7096
118,0.464566,2364708,1396621,546049,0.6287,0.8124,0.7088
119,0.468503,2358573,1402756,542491,0.6271,0.813,0.708
120,0.47244,2351894,1409435,538530,0.6253,0.8137,0.7072
121,0.476377,2344902,1416427,534397,0.6234,0.8144,0.7062
122,0.480314,2337288,1424041,529967,0.6214,0.8152,0.7052
123,0.484251,2329132,1432197,525210,0.6192,0.816,0.7041
124,0.488188,2319747,1441582,520078,0.6167,0.8169,0.7028
125,0.492125,2309000,1452329,514014,0.6139,0.8179,0.7014
126,0.496062,2296544,1464785,507096,0.6106,0.8191,0.6996
127,0.5,2280119,1481210,498361,0.6062,0.8206,0.6973
128,0.503937,2253970,1507359,484315,0.5992,0.8231,0.6936
129,0.507874,2213787,1547542,464474,0.5886,0.8266,0.6876
130,0.511811,2164276,1597053,440352,0.5754,0.8309,0.68
131,0.515748,2121636,1639693,420633,0.5641,0.8345,0.6732
132,0.519685,2085573,1675756,404986,0.5545,0.8374,0.6672
133,0.523622,2053590,1707739,391824,0.546,0.8398,0.6617
134,0.527559,2024996,1736333,380435,0.5384,0.8418,0.6567
135,0.531496,1998541,1762788,369989,0.5313,0.8438,0.6521
136,0.535433,1973838,1787491,360446,0.5248,0.8456,0.6476
137,0.53937,1950230,1811099,351656,0.5185,0.8472,0.6433
138,0.543307,1927001,1834328,343460,0.5123,0.8487,0.6389
139,0.547244,1904792,1856537,335779,0.5064,0.8501,0.6347
140,0.551181,1883152,1878177,328554,0.5007,0.8514,0.6306
141,0.555118,1861558,1899771,321625,0.4949,0.8527,0.6263
142,0.559055,1840397,1920932,314902,0.4893,0.8539,0.6221
143,0.562992,1819142,1942187,308433,0.4836,0.855,0.6178
144,0.566929,1797589,1963740,302167,0.4779,0.8561,0.6134
145,0.570866,1776099,1985230,296174,0.4722,0.8571,0.6089
146,0.574803,1754990,2006339,290223,0.4666,0.8581,0.6045
147,0.57874,1733343,2027986,284341,0.4608,0.8591,0.5999
148,0.582677,1711439,2049890,278666,0.455,0.86,0.5951
149,0.586614,1689183,2072146,273048,0.4491,0.8608,0.5903
150,0.590551,1667209,2094120,267449,0.4432,0.8618,0.5854
151,0.594488,1644680,2116649,261993,0.4373,0.8626,0.5803
152,0.598425,1622213,2139116,256548,0.4313,0.8634,0.5752
153,0.602362,1599254,2162075,251083,0.4252,0.8643,0.57
154,0.606299,1575901,2185428,245623,0.419,0.8652,0.5646
155,0.610236,1551827,2209502,240028,0.4126,0.866,0.5589
156,0.614173,1527040,2234289,234363,0.406,0.8669,0.553
157,0.61811,1501212,2260117,228787,0.3991,0.8678,0.5468
158,0.622047,1474633,2286696,223256,0.3921,0.8685,0.5402
159,0.625984,1447117,2314212,217610,0.3847,0.8693,0.5334
160,0.629921,1417679,2343650,211749,0.3769,0.87,0.526
161,0.633858,1387943,2373386,206010,0.369,0.8708,0.5183
162,0.637795,1356072,2405257,199982,0.3605,0.8715,0.5101
163,0.641732,1322020,2439309,193745,0.3515,0.8722,0.501
164,0.645669,1286805,2474524,187496,0.3421,0.8728,0.4916
165,0.649606,1249219,2512110,181021,0.3321,0.8734,0.4812
166,0.653543,1209706,2551623,174534,0.3216,0.8739,0.4702
167,0.65748,1166657,2594672,168016,0.3102,0.8741,0.4579
168,0.661417,1121256,2640073,161221,0.2981,0.8743,0.4446
169,0.665354,1073793,2687536,154362,0.2855,0.8743,0.4304
170,0.669291,1024073,2737256,147339,0.2723,0.8742,0.4152
171,0.673228,972485,2788844,139911,0.2585,0.8742,0.3991
172,0.677165,922965,2838364,132367,0.2454,0.8746,0.3832
173,0.681102,871394,2889935,124340,0.2317,0.8751,0.3664
174,0.685039,818999,2942330,115277,0.2177,0.8766,0.3488
175,0.688976,764191,2997138,105795,0.2032,0.8784,0.33
176,0.692913,712958,3048371,96976,0.1895,0.8803,0.3119
177,0.69685,661711,3099618,88642,0.1759,0.8819,0.2933
178,0.700787,610702,3150627,80709,0.1624,0.8833,0.2743
179,0.704724,559874,3201455,73145,0.1489,0.8845,0.2548
180,0.708661,511957,3249372,66315,0.1361,0.8853,0.2359
181,0.712598,465188,3296141,59440,0.1237,0.8867,0.2171
182,0.716535,422249,3339080,52772,0.1123,0.8889,0.1993
183,0.720472,380803,3380526,46525,0.1012,0.8911,0.1818
184,0.724409,342659,3418670,41055,0.0911,0.893,0.1653
185,0.728346,307995,3453334,36233,0.0819,0.8947,0.15
186,0.732283,276165,3485164,31887,0.0734,0.8965,0.1357
187,0.73622,248384,3512945,28144,0.066,0.8982,0.123
188,0.740157,221291,3540038,24543,0.0588,0.9002,0.1104
189,0.744094,197053,3564276,21597,0.0524,0.9012,0.099
190,0.748031,174300,3587029,18969,0.0463,0.9019,0.0882
191,0.751968,153745,3607584,16470,0.0409,0.9032,0.0782
192,0.755905,133752,3627577,14097,0.0356,0.9047,0.0684
193,0.759842,115566,3645763,12016,0.0307,0.9058,0.0594
194,0.763779,99196,3662133,10279,0.0264,0.9061,0.0513
195,0.767716,84741,3676588,8814,0.0225,0.9058,0.044
196,0.771653,71432,3689897,7533,0.019,0.9046,0.0372
197,0.77559,59687,3701642,6235,0.0159,0.9054,0.0312
198,0.779527,49572,3711757,5246,0.0132,0.9043,0.026
199,0.783464,41090,3720239,4446,0.0109,0.9024,0.0216
200,0.787401,33294,3728035,3769,0.0089,0.8983,0.0175
201,0.791338,26471,3734858,3124,0.007,0.8944,0.014
202,0.795275,20556,3740773,2536,0.0055,0.8902,0.0109
203,0.799212,15558,3745771,2106,0.0041,0.8808,0.0082
204,0.803149,12039,3749290,1801,0.0032,0.8699,0.0064
205,0.807086,9178,3752151,1558,0.0024,0.8549,0.0049
206,0.811023,6720,3754609,1331,0.0018,0.8347,0.0036
207,0.81496,4965,3756364,1137,0.0013,0.8137,0.0026
208,0.818897,3741,3757588,926,0.001,0.8016,0.002
209,0.822834,2836,3758493,740,0.0008,0.7931,0.0015
210,0.826771,2196,3759133,554,0.0006,0.7985,0.0012
211,0.830708,1743,3759586,380,0.0005,0.821,0.0009
212,0.834645,1303,3760026,256,0.0003,0.8358,0.0007
213,0.838582,925,3760404,188,0.0002,0.8311,0.0005
214,0.842519,596,3760733,125,0.0002,0.8266,0.0003
215,0.846456,372,3760957,62,0.0001,0.8571,0.0002
216,0.850393,129,3761200,1,0.0,0.9923,0.0001
217,0.85433,5,3761324,0,0.0,1.0,0.0
218,0.858267,0,3761329,0,0.0,nan,
219,0.862204,0,3761329,0,0.0,nan,
220,0.866141,0,3761329,0,0.0,nan,
221,0.870078,0,3761329,0,0.0,nan,
222,0.874015,0,3761329,0,0.0,nan,
223,0.877952,0,3761329,0,0.0,nan,
224,0.881889,0,3761329,0,0.0,nan,
225,0.885826,0,3761329,0,0.0,nan,
226,0.889763,0,3761329,0,0.0,nan,
227,0.8937,0,3761329,0,0.0,nan,
228,0.897637,0,3761329,0,0.0,nan,
229,0.901574,0,3761329,0,0.0,nan,
230,0.905511,0,3761329,0,0.0,nan,
231,0.909448,0,3761329,0,0.0,nan,
232,0.913385,0,3761329,0,0.0,nan,
233,0.917322,0,3761329,0,0.0,nan,
234,0.921259,0,3761329,0,0.0,nan,
235,0.925196,0,3761329,0,0.0,nan,
236,0.929133,0,3761329,0,0.0,nan,
237,0.93307,0,3761329,0,0.0,nan,
238,0.937007,0,3761329,0,0.0,nan,
239,0.940944,0,3761329,0,0.0,nan,
240,0.944881,0,3761329,0,0.0,nan,
241,0.948818,0,3761329,0,0.0,nan,
242,0.952755,0,3761329,0,0.0,nan,
243,0.956692,0,3761329,0,0.0,nan,
244,0.960629,0,3761329,0,0.0,nan,
245,0.964566,0,3761329,0,0.0,nan,
246,0.968503,0,3761329,0,0.0,nan,
247,0.97244,0,3761329,0,0.0,nan,
248,0.976377,0,3761329,0,0.0,nan,
249,0.980314,0,3761329,0,0.0,nan,
250,0.984251,0,3761329,0,0.0,nan,
251,0.988188,0,3761329,0,0.0,nan,
252,0.992125,0,3761329,0,0.0,nan,
253,0.996062,0,3761329,0,0.0,nan,
254,1.0,0,3761329,0,0.0,nan,
