k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,3761880,0,5479590,1.0,0.4071,0.5786
2,0.007874,3761880,0,5479590,1.0,0.4071,0.5786
3,0.011811,3761880,0,5479590,1.0,0.4071,0.5786
4,0.015748,3761880,0,5479590,1.0,0.4071,0.5786
5,0.019685,3761880,0,5479590,1.0,0.4071,0.5786
6,0.023622,3761880,0,5479590,1.0,0.4071,0.5786
7,0.027559,3761880,0,5479590,1.0,0.4071,0.5786
8,0.031496,3761880,0,5479590,1.0,0.4071,0.5786
9,0.035433,3761880,0,5479590,1.0,0.4071,0.5786
10,0.03937,3761880,0,5479590,1.0,0.4071,0.5786
11,0.043307,3761880,0,5479590,1.0,0.4071,0.5786
12,0.047244,3761880,0,5479590,1.0,0.4071,0.5786
13,0.051181,3761880,0,5479590,1.0,0.4071,0.5786
14,0.055118,3761880,0,5479590,1.0,0.4071,0.5786
15,0.059055,3761880,0,5479590,1.0,0.4071,0.5786
16,0.062992,3761880,0,5479590,1.0,0.4071,0.5786
17,0.066929,3761880,0,5479590,1.0,0.4071,0.5786
18,0.070866,3761880,0,5479590,1.0,0.4071,0.5786
19,0.074803,3761880,0,5479590,1.0,0.4071,0.5786
20,0.07874,3761880,0,5479590,1.0,0.4071,0.5786
21,0.082677,3761880,0,5479590,1.0,0.4071,0.5786
22,0.086614,3761880,0,5479590,1.0,0.4071,0.5786
23,0.090551,3761880,0,5479590,1.0,0.4071,0.5786
24,0.094488,3761880,0,5479590,1.0,0.4071,0.5786
25,0.098425,3761880,0,5479590,1.0,0.4071,0.5786
26,0.102362,3761880,0,5479590,1.0,0.4071,0.5786
27,0.106299,3761880,0,5479590,1.0,0.4071,0.5786
28,0.110236,3761880,0,5479475,1.0,0.4071,0.5786
29,0.114173,3761865,15,5477002,1.0,0.4072,0.5787
30,0.11811,3761849,31,5470373,1.0,0.4075,0.579
31,0.122047,3761702,178,5452143,1.0,0.4083,0.5798
32,0.125984,3761331,549,5413128,0.9999,0.41,0.5815
33,0.129921,3760619,1261,5343065,0.9997,0.4131,0.5846
34,0.133858,3758490,3390,5188542,0.9991,0.4201,0.5915
35,0.137795,3753026,8854,4928599,0.9976,0.4323,0.6032
36,0.141732,3742781,19099,4558712,0.9949,0.4509,0.6205
37,0.145669,3726977,34903,4153434,0.9907,0.4729,0.6402
38,0.149606,3704295,57585,3765460,0.9847,0.4959,0.6596
39,0.153543,3673839,88041,3395548,0.9766,0.5197,0.6784
40,0.15748,3635490,126390,3052428,0.9664,0.5436,0.6958
41,0.161417,3592002,169878,2745000,0.9548,0.5668,0.7114
42,0.165354,3541273,220607,2465573,0.9414,0.5895,0.725
43,0.169291,3485267,276613,2227016,0.9265,0.6101,0.7357
44,0.173228,3426223,335657,2019160,0.9108,0.6292,0.7442
45,0.177165,3367208,394672,1842746,0.8951,0.6463,0.7506
46,0.181102,3307287,454593,1683354,0.8792,0.6627,0.7557
47,0.185039,3248787,513093,1546795,0.8636,0.6775,0.7593
48,0.188976,3190939,570941,1423099,0.8482,0.6916,0.7619
49,0.192913,3136838,625042,1319350,0.8338,0.7039,0.7634
50,0.19685,3085320,676560,1229625,0.8202,0.715,0.764
51,0.200787,3038360,723520,1155693,0.8077,0.7244,0.7638
52,0.204724,2995057,766823,1093779,0.7962,0.7325,0.763
53,0.208661,2955539,806341,1041758,0.7857,0.7394,0.7618
54,0.212598,2920132,841748,997464,0.7762,0.7454,0.7605
55,0.216535,2890128,871752,961913,0.7683,0.7503,0.7592
56,0.220472,2864118,897762,932555,0.7614,0.7544,0.7578
57,0.224409,2842587,919293,909559,0.7556,0.7576,0.7566
58,0.228346,2824298,937582,890721,0.7508,0.7602,0.7555
59,0.232283,2808436,953444,874938,0.7466,0.7625,0.7544
60,0.23622,2794326,967554,861549,0.7428,0.7643,0.7534
61,0.240157,2782404,979476,850271,0.7396,0.7659,0.7526
62,0.244094,2771230,990650,839993,0.7367,0.7674,0.7517
63,0.248031,2760837,1001043,830682,0.7339,0.7687,0.7509
64,0.251968,2751161,1010719,822149,0.7313,0.7699,0.7501
65,0.255905,2742557,1019323,814293,0.729,0.7711,0.7495
66,0.259842,2734046,1027834,806840,0.7268,0.7721,0.7488
67,0.263779,2726079,1035801,799855,0.7247,0.7732,0.7481
68,0.267716,2718422,1043458,793096,0.7226,0.7741,0.7475
69,0.271653,2711266,1050614,787076,0.7207,0.775,0.7469
70,0.27559,2704116,1057764,781167,0.7188,0.7759,0.7463
71,0.279527,2697257,1064623,775640,0.717,0.7767,0.7456
72,0.283464,2690741,1071139,770167,0.7153,0.7775,0.7451
73,0.287401,2684344,1077536,764957,0.7136,0.7782,0.7445
74,0.291338,2678112,1083768,759786,0.7119,0.779,0.7439
75,0.295275,2672010,1089870,754890,0.7103,0.7797,0.7434
76,0.299212,2666250,1095630,750212,0.7088,0.7804,0.7429
77,0.303149,2660699,1101181,745508,0.7073,0.7811,0.7424
78,0.307086,2655231,1106649,741177,0.7058,0.7818,0.7419
79,0.311023,2649902,1111978,736918,0.7044,0.7824,0.7414
80,0.31496,2644824,1117056,732832,0.7031,0.783,0.7409
81,0.318897,2639709,1122171,728612,0.7017,0.7837,0.7404
82,0.322834,2634667,1127213,724744,0.7004,0.7843,0.7399
83,0.326771,2629730,1132150,720660,0.699,0.7849,0.7395
84,0.330708,2624948,1136932,716921,0.6978,0.7855,0.739
85,0.334645,2620108,1141772,713242,0.6965,0.786,0.7386
86,0.338582,2615375,1146505,709763,0.6952,0.7865,0.7381
87,0.342519,2610676,1151204,706123,0.694,0.7871,0.7376
88,0.346456,2605968,1155912,702643,0.6927,0.7876,0.7371
89,0.350393,2601220,1160660,699155,0.6915,0.7882,0.7367
90,0.35433,2596660,1165220,695828,0.6903,0.7887,0.7362
91,0.358267,2591968,1169912,692492,0.689,0.7892,0.7357
92,0.362204,2587367,1174513,689111,0.6878,0.7897,0.7352
93,0.366141,2582819,1179061,685835,0.6866,0.7902,0.7347
94,0.370078,2578199,1183681,682389,0.6853,0.7907,0.7343
95,0.374015,2573709,1188171,679167,0.6842,0.7912,0.7338
96,0.377952,2569093,1192787,675715,0.6829,0.7918,0.7333
97,0.381889,2564396,1197484,672332,0.6817,0.7923,0.7328
98,0.385826,2559856,1202024,668982,0.6805,0.7928,0.7324
99,0.389763,2555393,1206487,665780,0.6793,0.7933,0.7319
100,0.3937,2550829,1211051,662489,0.6781,0.7938,0.7314
101,0.397637,2546241,1215639,659188,0.6769,0.7944,0.7309
102,0.401574,2541662,1220218,656082,0.6756,0.7948,0.7304
103,0.405511,2537114,1224766,652919,0.6744,0.7953,0.7299
104,0.409448,2532461,1229419,649722,0.6732,0.7958,0.7294
105,0.413385,2527667,1234213,646460,0.6719,0.7963,0.7289
106,0.417322,2522912,1238968,643404,0.6707,0.7968,0.7283
107,0.421259,2518056,1243824,640185,0.6694,0.7973,0.7277
108,0.425196,2513217,1248663,636911,0.6681,0.7978,0.7272
109,0.429133,2508079,1253801,633574,0.6667,0.7983,0.7266
110,0.43307,2503271,1258609,630324,0.6654,0.7988,0.7261
111,0.437007,2498126,1263754,627045,0.6641,0.7994,0.7255
112,0.440944,2492946,1268934,623766,0.6627,0.7999,0.7248
113,0.444881,2487595,1274285,620358,0.6613,0.8004,0.7242
114,0.448818,2482130,1279750,616855,0.6598,0.8009,0.7236
115,0.452755,2476429,1285451,613249,0.6583,0.8015,0.7229
116,0.456692,2470704,1291176,609530,0.6568,0.8021,0.7222
117,0.460629,2464663,1297217,605750,0.6552,0.8027,0.7215
118,0.464566,2458233,1303647,601891,0.6535,0.8033,0.7207
119,0.468503,2451686,1310194,597815,0.6517,0.804,0.7199
120,0.47244,2444628,1317252,593477,0.6498,0.8047,0.719
121,0.476377,2437060,1324820,588949,0.6478,0.8054,0.7181
122,0.480314,2429076,1332804,584104,0.6457,0.8062,0.7171
123,0.484251,2420147,1341733,578858,0.6433,0.807,0.7159
124,0.488188,2409868,1352012,572955,0.6406,0.8079,0.7146
125,0.492125,2397743,1364137,566287,0.6374,0.8089,0.713
