k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6447172,10283,12098277,0.9984,0.3476,0.5157
2,0.007874,6392608,64847,9117353,0.99,0.4122,0.582
3,0.011811,6326949,130506,7562109,0.9798,0.4555,0.6219
4,0.015748,6263215,194240,6695380,0.9699,0.4833,0.6452
5,0.019685,6203823,253632,6105526,0.9607,0.504,0.6611
6,0.023622,6149938,307517,5670851,0.9524,0.5203,0.6729
7,0.027559,6099605,357850,5309710,0.9446,0.5346,0.6828
8,0.031496,6052802,404653,5005356,0.9373,0.5474,0.6911
9,0.035433,6007289,450166,4734236,0.9303,0.5593,0.6986
10,0.03937,5964366,493089,4498618,0.9236,0.57,0.705
11,0.043307,5923203,534252,4288048,0.9173,0.5801,0.7107
12,0.047244,5882548,574907,4092931,0.911,0.5897,0.7159
13,0.051181,5843024,614431,3914243,0.9048,0.5988,0.7207
14,0.055118,5802655,654800,3740617,0.8986,0.608,0.7253
15,0.059055,5762438,695017,3580098,0.8924,0.6168,0.7294
16,0.062992,5722653,734802,3432433,0.8862,0.6251,0.7331
17,0.066929,5683366,774089,3292390,0.8801,0.6332,0.7365
18,0.070866,5643994,813461,3160361,0.874,0.641,0.7396
19,0.074803,5604295,853160,3032080,0.8679,0.6489,0.7426
20,0.07874,5565175,892280,2914020,0.8618,0.6563,0.7452
21,0.082677,5526003,931452,2803754,0.8558,0.6634,0.7474
22,0.086614,5486982,970473,2701144,0.8497,0.6701,0.7493
23,0.090551,5450561,1006894,2611249,0.8441,0.6761,0.7508
24,0.094488,5415340,1042115,2529882,0.8386,0.6816,0.752
25,0.098425,5380270,1077185,2453063,0.8332,0.6868,0.753
26,0.102362,5346851,1110604,2382164,0.828,0.6918,0.7538
27,0.106299,5314408,1143047,2317139,0.823,0.6964,0.7544
28,0.110236,5283616,1173839,2258179,0.8182,0.7006,0.7548
29,0.114173,5254575,1202880,2204338,0.8137,0.7045,0.7552
30,0.11811,5225916,1231539,2152566,0.8093,0.7083,0.7554
31,0.122047,5198020,1259435,2103012,0.805,0.712,0.7556
32,0.125984,5171228,1286227,2057478,0.8008,0.7154,0.7557
33,0.129921,5145638,1311817,2016299,0.7969,0.7185,0.7556
34,0.133858,5120307,1337148,1976698,0.7929,0.7215,0.7555
35,0.137795,5095984,1361471,1939118,0.7892,0.7244,0.7554
36,0.141732,5072423,1385032,1904459,0.7855,0.727,0.7551
37,0.145669,5049418,1408037,1871616,0.782,0.7296,0.7549
38,0.149606,5027549,1429906,1840354,0.7786,0.732,0.7546
39,0.153543,5005697,1451758,1809796,0.7752,0.7345,0.7543
40,0.15748,4984026,1473429,1781063,0.7718,0.7367,0.7539
41,0.161417,4963516,1493939,1753516,0.7686,0.7389,0.7535
42,0.165354,4943044,1514411,1726549,0.7655,0.7411,0.7531
43,0.169291,4923014,1534441,1700892,0.7624,0.7432,0.7527
44,0.173228,4903510,1553945,1676279,0.7594,0.7452,0.7522
45,0.177165,4884720,1572735,1653068,0.7564,0.7472,0.7518
46,0.181102,4866261,1591194,1630249,0.7536,0.7491,0.7513
47,0.185039,4848858,1608597,1608898,0.7509,0.7509,0.7509
48,0.188976,4831305,1626150,1588164,0.7482,0.7526,0.7504
49,0.192913,4814825,1642630,1569031,0.7456,0.7542,0.7499
50,0.19685,4798629,1658826,1550401,0.7431,0.7558,0.7494
51,0.200787,4783344,1674111,1532969,0.7407,0.7573,0.7489
52,0.204724,4768310,1689145,1516155,0.7384,0.7587,0.7484
53,0.208661,4753636,1703819,1499786,0.7361,0.7602,0.748
54,0.212598,4739019,1718436,1483892,0.7339,0.7615,0.7475
55,0.216535,4725290,1732165,1469006,0.7318,0.7628,0.747
56,0.220472,4711567,1745888,1454340,0.7296,0.7641,0.7465
57,0.224409,4698928,1758527,1440914,0.7277,0.7653,0.746
58,0.228346,4686355,1771100,1427434,0.7257,0.7665,0.7456
59,0.232283,4674059,1783396,1414265,0.7238,0.7677,0.7451
60,0.23622,4661596,1795859,1401303,0.7219,0.7689,0.7446
61,0.240157,4650132,1807323,1389377,0.7201,0.77,0.7442
62,0.244094,4638630,1818825,1377511,0.7183,0.771,0.7438
63,0.248031,4626915,1830540,1366031,0.7165,0.7721,0.7433
64,0.251968,4615497,1841958,1354543,0.7148,0.7731,0.7428
65,0.255905,4604765,1852690,1343714,0.7131,0.7741,0.7423
66,0.259842,4593995,1863460,1333206,0.7114,0.7751,0.7419
67,0.263779,4583149,1874306,1322851,0.7097,0.776,0.7414
68,0.267716,4572368,1885087,1312447,0.7081,0.777,0.7409
69,0.271653,4561961,1895494,1302508,0.7065,0.7779,0.7405
70,0.27559,4551665,1905790,1292626,0.7049,0.7788,0.74
71,0.279527,4541522,1915933,1282938,0.7033,0.7797,0.7395
72,0.283464,4531344,1926111,1273382,0.7017,0.7806,0.7391
73,0.287401,4521248,1936207,1264116,0.7002,0.7815,0.7386
74,0.291338,4511536,1945919,1255108,0.6987,0.7824,0.7381
75,0.295275,4501545,1955910,1245713,0.6971,0.7833,0.7377
76,0.299212,4491860,1965595,1236983,0.6956,0.7841,0.7372
77,0.303149,4482067,1975388,1228190,0.6941,0.7849,0.7367
78,0.307086,4472345,1985110,1219663,0.6926,0.7857,0.7362
79,0.311023,4462738,1994717,1211236,0.6911,0.7865,0.7357
80,0.31496,4453348,2004107,1203055,0.6896,0.7873,0.7352
81,0.318897,4443779,2013676,1194607,0.6882,0.7881,0.7348
82,0.322834,4434432,2023023,1186479,0.6867,0.7889,0.7343
83,0.326771,4424908,2032547,1178248,0.6852,0.7897,0.7338
84,0.330708,4415819,2041636,1170429,0.6838,0.7905,0.7333
85,0.334645,4406327,2051128,1162395,0.6824,0.7913,0.7328
86,0.338582,4397074,2060381,1154568,0.6809,0.792,0.7323
87,0.342519,4387774,2069681,1146968,0.6795,0.7928,0.7318
88,0.346456,4378677,2078778,1139312,0.6781,0.7935,0.7313
89,0.350393,4369462,2087993,1131901,0.6767,0.7943,0.7308
