k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6442986,14469,11874020,0.9978,0.3517,0.5201
2,0.007874,6407376,50079,10575247,0.9922,0.3773,0.5467
3,0.011811,6377078,80377,9814197,0.9876,0.3939,0.5631
4,0.015748,6350106,107349,9245948,0.9834,0.4072,0.5759
5,0.019685,6323047,134408,8757338,0.9792,0.4193,0.5872
6,0.023622,6296431,161024,8341147,0.9751,0.4302,0.597
7,0.027559,6270759,186696,7963050,0.9711,0.4406,0.6061
8,0.031496,6246214,211241,7623930,0.9673,0.4503,0.6146
9,0.035433,6220893,236562,7315012,0.9634,0.4596,0.6223
10,0.03937,6195471,261984,7045565,0.9594,0.4679,0.629
11,0.043307,6170353,287102,6802612,0.9555,0.4756,0.6351
12,0.047244,6145234,312221,6581727,0.9516,0.4829,0.6406
13,0.051181,6121077,336378,6386386,0.9479,0.4894,0.6455
14,0.055118,6096685,360770,6200043,0.9441,0.4958,0.6502
15,0.059055,6072290,385165,6025315,0.9404,0.5019,0.6545
16,0.062992,6049215,408240,5865233,0.9368,0.5077,0.6585
17,0.066929,6026671,430784,5714556,0.9333,0.5133,0.6623
18,0.070866,6003867,453588,5575464,0.9298,0.5185,0.6657
19,0.074803,5980962,476493,5441657,0.9262,0.5236,0.669
20,0.07874,5958501,498954,5316129,0.9227,0.5285,0.6721
21,0.082677,5935730,521725,5194750,0.9192,0.5333,0.675
22,0.086614,5912632,544823,5078146,0.9156,0.538,0.6777
23,0.090551,5890441,567014,4970235,0.9122,0.5424,0.6803
24,0.094488,5867863,589592,4866587,0.9087,0.5466,0.6826
25,0.098425,5843808,613647,4760702,0.905,0.5511,0.685
26,0.102362,5819504,637951,4658823,0.9012,0.5554,0.6872
27,0.106299,5795219,662236,4561129,0.8974,0.5596,0.6893
28,0.110236,5771054,686401,4467036,0.8937,0.5637,0.6913
29,0.114173,5746806,710649,4377092,0.8899,0.5676,0.6932
30,0.11811,5721993,735462,4285660,0.8861,0.5718,0.695
31,0.122047,5697255,760200,4198767,0.8823,0.5757,0.6968
32,0.125984,5671994,785461,4113283,0.8784,0.5796,0.6984
33,0.129921,5647528,809927,4032411,0.8746,0.5834,0.6999
34,0.133858,5622301,835154,3952042,0.8707,0.5872,0.7014
35,0.137795,5597133,860322,3873496,0.8668,0.591,0.7028
36,0.141732,5571445,886010,3797091,0.8628,0.5947,0.7041
37,0.145669,5545876,911579,3722482,0.8588,0.5984,0.7053
38,0.149606,5519858,937597,3648602,0.8548,0.602,0.7065
39,0.153543,5492997,964458,3574237,0.8506,0.6058,0.7076
40,0.15748,5465677,991778,3502184,0.8464,0.6095,0.7087
41,0.161417,5438552,1018903,3431919,0.8422,0.6131,0.7096
42,0.165354,5410426,1047029,3360030,0.8379,0.6169,0.7106
43,0.169291,5381692,1075763,3289336,0.8334,0.6207,0.7115
44,0.173228,5351427,1106028,3218595,0.8287,0.6244,0.7122
45,0.177165,5322302,1135153,3151509,0.8242,0.6281,0.7129
46,0.181102,5292702,1164753,3085756,0.8196,0.6317,0.7135
47,0.185039,5263475,1193980,3022945,0.8151,0.6352,0.714
48,0.188976,5233201,1224254,2961721,0.8104,0.6386,0.7143
49,0.192913,5203084,1254371,2903652,0.8057,0.6418,0.7145
50,0.19685,5172296,1285159,2845720,0.801,0.6451,0.7146
51,0.200787,5141800,1315655,2790582,0.7963,0.6482,0.7146
52,0.204724,5110696,1346759,2734503,0.7914,0.6514,0.7147
53,0.208661,5078347,1379108,2678585,0.7864,0.6547,0.7145
54,0.212598,5045147,1412308,2622241,0.7813,0.658,0.7144
55,0.216535,5012460,1444995,2568882,0.7762,0.6612,0.7141
56,0.220472,4979122,1478333,2516109,0.7711,0.6643,0.7137
57,0.224409,4946540,1510915,2466116,0.766,0.6673,0.7133
58,0.228346,4913800,1543655,2417152,0.7609,0.6703,0.7127
59,0.232283,4881209,1576246,2369621,0.7559,0.6732,0.7122
60,0.23622,4847904,1609551,2323091,0.7507,0.676,0.7114
61,0.240157,4816412,1641043,2279596,0.7459,0.6787,0.7107
62,0.244094,4785733,1671722,2237233,0.7411,0.6814,0.71
63,0.248031,4755868,1701587,2196854,0.7365,0.684,0.7093
64,0.251968,4727292,1730163,2157683,0.7321,0.6866,0.7086
65,0.255905,4700868,1756587,2122218,0.728,0.689,0.7079
