k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,238463729,0,493343217,1.0,0.3259,0.4915
2,0.007874,238463729,0,493343217,1.0,0.3259,0.4915
3,0.011811,238463729,0,493343217,1.0,0.3259,0.4915
4,0.015748,238463729,0,493343217,1.0,0.3259,0.4915
5,0.019685,238463729,0,493343217,1.0,0.3259,0.4915
6,0.023622,238463729,0,493343217,1.0,0.3259,0.4915
7,0.027559,238463729,0,493343217,1.0,0.3259,0.4915
8,0.031496,238463729,0,493343217,1.0,0.3259,0.4915
9,0.035433,238463729,0,493343217,1.0,0.3259,0.4915
10,0.03937,238463729,0,493343217,1.0,0.3259,0.4915
11,0.043307,238463729,0,493343217,1.0,0.3259,0.4915
12,0.047244,238463729,0,493343217,1.0,0.3259,0.4915
13,0.051181,238463729,0,493343217,1.0,0.3259,0.4915
14,0.055118,238463729,0,493343217,1.0,0.3259,0.4915
15,0.059055,238463729,0,493343217,1.0,0.3259,0.4915
16,0.062992,238463729,0,493343217,1.0,0.3259,0.4915
17,0.066929,238463729,0,493343217,1.0,0.3259,0.4915
18,0.070866,238463729,0,493343217,1.0,0.3259,0.4915
19,0.074803,238463729,0,493343217,1.0,0.3259,0.4915
20,0.07874,238463729,0,493343217,1.0,0.3259,0.4915
21,0.082677,238463729,0,493343217,1.0,0.3259,0.4915
22,0.086614,238463729,0,493343217,1.0,0.3259,0.4915
23,0.090551,238463729,0,493343217,1.0,0.3259,0.4915
24,0.094488,238463729,0,493343217,1.0,0.3259,0.4915
25,0.098425,238463729,0,493343217,1.0,0.3259,0.4915
26,0.102362,238463729,0,493342650,1.0,0.3259,0.4915
27,0.106299,238293561,170168,483854356,0.9993,0.33,0.4961
28,0.110236,235451475,3012254,375849523,0.9874,0.3852,0.5542
29,0.114173,215222837,23240892,152982420,0.9025,0.5845,0.7095
30,0.11811,185669778,52793951,72706024,0.7786,0.7186,0.7474
31,0.122047,163849284,74614445,43845809,0.6871,0.7889,0.7345
32,0.125984,154190262,84273467,36690588,0.6466,0.8078,0.7183
33,0.129921,149717322,88746407,33981591,0.6278,0.815,0.7093
34,0.133858,146843491,91620238,32322955,0.6158,0.8196,0.7032
35,0.137795,145335741,93127988,31474785,0.6095,0.822,0.7
36,0.141732,144523604,93940125,31035355,0.6061,0.8232,0.6981
37,0.145669,143946681,94517048,30726693,0.6036,0.8241,0.6968
38,0.149606,143490432,94973297,30484004,0.6017,0.8248,0.6958
39,0.153543,143096647,95367082,30276734,0.6001,0.8254,0.6949
40,0.15748,142759781,95703948,30099204,0.5987,0.8259,0.6941
41,0.161417,142463720,96000009,29944258,0.5974,0.8263,0.6935
42,0.165354,142192279,96271450,29801853,0.5963,0.8267,0.6928
43,0.169291,141948045,96515684,29674489,0.5953,0.8271,0.6923
44,0.173228,141718138,96745591,29555353,0.5943,0.8274,0.6918
45,0.177165,141507668,96956061,29446145,0.5934,0.8278,0.6913
46,0.181102,141306727,97157002,29342520,0.5926,0.8281,0.6908
47,0.185039,141121207,97342522,29246532,0.5918,0.8283,0.6904
48,0.188976,140942462,97521267,29154596,0.591,0.8286,0.6899
49,0.192913,140777551,97686178,29070034,0.5904,0.8288,0.6896
50,0.19685,140618355,97845374,28987854,0.5897,0.8291,0.6892
51,0.200787,140469286,97994443,28912116,0.5891,0.8293,0.6888
52,0.204724,140324543,98139186,28839323,0.5885,0.8295,0.6885
53,0.208661,140183665,98280064,28768288,0.5879,0.8297,0.6882
54,0.212598,140047722,98416007,28698768,0.5873,0.8299,0.6878
55,0.216535,139919339,98544390,28633993,0.5868,0.8301,0.6875
56,0.220472,139794576,98669153,28570966,0.5862,0.8303,0.6872
57,0.224409,139677737,98785992,28512193,0.5857,0.8305,0.687
58,0.228346,139562504,98901225,28454697,0.5853,0.8306,0.6867
59,0.232283,139449837,99013892,28398438,0.5848,0.8308,0.6864
60,0.23622,139338980,99124749,28342821,0.5843,0.831,0.6862
61,0.240157,139234240,99229489,28290830,0.5839,0.8311,0.6859
62,0.244094,139130949,99332780,28239493,0.5834,0.8313,0.6857
63,0.248031,139029059,99434670,28189122,0.583,0.8314,0.6854
64,0.251968,138928103,99535626,28138846,0.5826,0.8316,0.6852
65,0.255905,138832734,99630995,28092048,0.5822,0.8317,0.6849
66,0.259842,138738401,99725328,28045528,0.5818,0.8318,0.6847
67,0.263779,138645535,99818194,27999121,0.5814,0.832,0.6845
68,0.267716,138553058,99910671,27953651,0.581,0.8321,0.6843
69,0.271653,138465506,99998223,27911107,0.5807,0.8322,0.684
70,0.27559,138377719,100086010,27867875,0.5803,0.8324,0.6838
71,0.279527,138292014,100171715,27825468,0.5799,0.8325,0.6836
72,0.283464,138206253,100257476,27784096,0.5796,0.8326,0.6834
73,0.287401,138121274,100342455,27742451,0.5792,0.8327,0.6832
74,0.291338,138038641,100425088,27702151,0.5789,0.8329,0.683
75,0.295275,137954202,100509527,27661090,0.5785,0.833,0.6828
76,0.299212,137874516,100589213,27622360,0.5782,0.8331,0.6826
77,0.303149,137792896,100670833,27582700,0.5778,0.8332,0.6824
78,0.307086,137713101,100750628,27543987,0.5775,0.8333,0.6822
79,0.311023,137633461,100830268,27505391,0.5772,0.8334,0.682
80,0.31496,137556107,100907622,27467668,0.5768,0.8336,0.6818
81,0.318897,137476824,100986905,27429170,0.5765,0.8337,0.6816
82,0.322834,137399188,101064541,27391862,0.5762,0.8338,0.6815
83,0.326771,137321755,101141974,27354374,0.5759,0.8339,0.6813
84,0.330708,137246382,101217347,27318218,0.5755,0.834,0.6811
85,0.334645,137168667,101295062,27280753,0.5752,0.8341,0.6809
86,0.338582,137092298,101371431,27244785,0.5749,0.8342,0.6807
87,0.342519,137015896,101447833,27208872,0.5746,0.8343,0.6805
88,0.346456,136939020,101524709,27172373,0.5743,0.8344,0.6803
89,0.350393,136861969,101601760,27135758,0.5739,0.8345,0.6801
90,0.35433,136786675,101677054,27100234,0.5736,0.8346,0.6799
91,0.358267,136710803,101752926,27064422,0.5733,0.8347,0.6797
92,0.362204,136635034,101828695,27028895,0.573,0.8349,0.6796
93,0.366141,136558557,101905172,26992766,0.5727,0.835,0.6794
94,0.370078,136481808,101981921,26956779,0.5723,0.8351,0.6792
95,0.374015,136406773,102056956,26921827,0.572,0.8352,0.679
96,0.377952,136329381,102134348,26885855,0.5717,0.8353,0.6788
97,0.381889,136252889,102210840,26850742,0.5714,0.8354,0.6786
98,0.385826,136176131,102287598,26815177,0.5711,0.8355,0.6784
99,0.389763,136098692,102365037,26779571,0.5707,0.8356,0.6782
100,0.3937,136020235,102443494,26743574,0.5704,0.8357,0.678
101,0.397637,135941749,102521980,26706658,0.5701,0.8358,0.6778
102,0.401574,135862398,102601331,26670104,0.5697,0.8359,0.6776
103,0.405511,135781896,102681833,26633010,0.5694,0.836,0.6774
104,0.409448,135700522,102763207,26595294,0.5691,0.8361,0.6772
105,0.413385,135617176,102846553,26557277,0.5687,0.8362,0.677
106,0.417322,135533705,102930024,26518949,0.5684,0.8364,0.6768
107,0.421259,135446642,103017087,26479474,0.568,0.8365,0.6766
108,0.425196,135359632,103104097,26439446,0.5676,0.8366,0.6764
