k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,599799,0,1240914,1.0,0.3259,0.4915
2,0.007874,599799,0,1240914,1.0,0.3259,0.4915
3,0.011811,599799,0,1240914,1.0,0.3259,0.4915
4,0.015748,599799,0,1240914,1.0,0.3259,0.4915
5,0.019685,599799,0,1240914,1.0,0.3259,0.4915
6,0.023622,599799,0,1240914,1.0,0.3259,0.4915
7,0.027559,599799,0,1240914,1.0,0.3259,0.4915
8,0.031496,599799,0,1240914,1.0,0.3259,0.4915
9,0.035433,599799,0,1240914,1.0,0.3259,0.4915
10,0.03937,599799,0,1240914,1.0,0.3259,0.4915
11,0.043307,599799,0,1240914,1.0,0.3259,0.4915
12,0.047244,599799,0,1240914,1.0,0.3259,0.4915
13,0.051181,599799,0,1240914,1.0,0.3259,0.4915
14,0.055118,599799,0,1240914,1.0,0.3259,0.4915
15,0.059055,599799,0,1240914,1.0,0.3259,0.4915
16,0.062992,599799,0,1240914,1.0,0.3259,0.4915
17,0.066929,599799,0,1240914,1.0,0.3259,0.4915
18,0.070866,599799,0,1240914,1.0,0.3259,0.4915
19,0.074803,599799,0,1240914,1.0,0.3259,0.4915
20,0.07874,599799,0,1240914,1.0,0.3259,0.4915
21,0.082677,599799,0,1240914,1.0,0.3259,0.4915
22,0.086614,599799,0,1240914,1.0,0.3259,0.4915
23,0.090551,599799,0,1240914,1.0,0.3259,0.4915
24,0.094488,599799,0,1240914,1.0,0.3259,0.4915
25,0.098425,599799,0,1240914,1.0,0.3259,0.4915
26,0.102362,599799,0,1240914,1.0,0.3259,0.4915
27,0.106299,599799,0,1240914,1.0,0.3259,0.4915
28,0.110236,599799,0,1240914,1.0,0.3259,0.4915
29,0.114173,599799,0,1240914,1.0,0.3259,0.4915
30,0.11811,599799,0,1240914,1.0,0.3259,0.4915
31,0.122047,599799,0,1240914,1.0,0.3259,0.4915
32,0.125984,599799,0,1240914,1.0,0.3259,0.4915
33,0.129921,599799,0,1240914,1.0,0.3259,0.4915
34,0.133858,599799,0,1240914,1.0,0.3259,0.4915
35,0.137795,599799,0,1240914,1.0,0.3259,0.4915
36,0.141732,599799,0,1240914,1.0,0.3259,0.4915
37,0.145669,599799,0,1240914,1.0,0.3259,0.4915
38,0.149606,599799,0,1240914,1.0,0.3259,0.4915
39,0.153543,599799,0,1240914,1.0,0.3259,0.4915
40,0.15748,599799,0,1240914,1.0,0.3259,0.4915
41,0.161417,599799,0,1240914,1.0,0.3259,0.4915
42,0.165354,599799,0,1240744,1.0,0.3259,0.4916
43,0.169291,599799,0,1240427,1.0,0.3259,0.4916
44,0.173228,599799,0,1238439,1.0,0.3263,0.492
45,0.177165,599780,19,1234561,1.0,0.327,0.4928
46,0.181102,599643,156,1230195,0.9997,0.3277,0.4936
47,0.185039,599244,555,1223433,0.9991,0.3288,0.4947
48,0.188976,598453,1346,1214311,0.9978,0.3301,0.4961
49,0.192913,597744,2055,1203498,0.9966,0.3319,0.4979
50,0.19685,597064,2735,1184868,0.9954,0.3351,0.5014
51,0.200787,596380,3419,1161910,0.9943,0.3392,0.5058
52,0.204724,595456,4343,1131777,0.9928,0.3447,0.5118
53,0.208661,594266,5533,1089080,0.9908,0.353,0.5206
54,0.212598,592480,7319,1033906,0.9878,0.3643,0.5323
55,0.216535,589991,9808,971357,0.9836,0.3779,0.546
56,0.220472,586587,13212,899717,0.978,0.3947,0.5624
57,0.224409,581983,17816,825588,0.9703,0.4135,0.5798
58,0.228346,576426,23373,749837,0.961,0.4346,0.5986
59,0.232283,569042,30757,676155,0.9487,0.457,0.6168
60,0.23622,560117,39682,604596,0.9338,0.4809,0.6349
61,0.240157,550107,49692,539257,0.9172,0.505,0.6513
62,0.244094,539187,60612,478781,0.8989,0.5297,0.6666
63,0.248031,527437,72362,425010,0.8794,0.5538,0.6796
64,0.251968,515366,84433,378926,0.8592,0.5763,0.6899
65,0.255905,503392,96407,339985,0.8393,0.5969,0.6976
66,0.259842,491155,108644,307049,0.8189,0.6153,0.7027
67,0.263779,479769,120030,279814,0.7999,0.6316,0.7059
68,0.267716,469166,130633,257707,0.7822,0.6455,0.7073
69,0.271653,460293,139506,240744,0.7674,0.6566,0.7077
70,0.27559,452478,147321,226387,0.7544,0.6665,0.7077
71,0.279527,446016,153783,215150,0.7436,0.6746,0.7074
72,0.283464,440678,159121,206402,0.7347,0.681,0.7068
73,0.287401,436388,163411,199540,0.7276,0.6862,0.7063
74,0.291338,433040,166759,194203,0.722,0.6904,0.7058
75,0.295275,429990,169809,189472,0.7169,0.6941,0.7053
76,0.299212,427382,172417,185516,0.7125,0.6973,0.7048
77,0.303149,424894,174905,181718,0.7084,0.7004,0.7044
78,0.307086,422634,177165,178455,0.7046,0.7031,0.7039
79,0.311023,420477,179322,175387,0.701,0.7057,0.7033
80,0.31496,418550,181249,172630,0.6978,0.708,0.7029
81,0.318897,416603,183196,169887,0.6946,0.7103,0.7024
82,0.322834,414738,185061,167520,0.6915,0.7123,0.7017
83,0.326771,412971,186828,165165,0.6885,0.7143,0.7012
84,0.330708,411379,188420,163040,0.6859,0.7162,0.7007
85,0.334645,409694,190105,160932,0.6831,0.718,0.7001
86,0.338582,408068,191731,159012,0.6803,0.7196,0.6994
87,0.342519,406585,193214,157101,0.6779,0.7213,0.6989
88,0.346456,405076,194723,155238,0.6754,0.7229,0.6983
89,0.350393,403531,196268,153387,0.6728,0.7246,0.6977
90,0.35433,402154,197645,151544,0.6705,0.7263,0.6973
91,0.358267,400718,199081,149835,0.6681,0.7278,0.6967
92,0.362204,399302,200497,148167,0.6657,0.7294,0.6961
93,0.366141,397947,201852,146633,0.6635,0.7307,0.6955
94,0.370078,396585,203214,145083,0.6612,0.7322,0.6949
95,0.374015,395298,204501,143614,0.6591,0.7335,0.6943
96,0.377952,393905,205894,142182,0.6567,0.7348,0.6936
97,0.381889,392515,207284,140693,0.6544,0.7361,0.6929
98,0.385826,391230,208569,139266,0.6523,0.7375,0.6923
99,0.389763,389958,209841,137880,0.6501,0.7388,0.6916
100,0.3937,388677,211122,136488,0.648,0.7401,0.691
101,0.397637,387408,212391,135187,0.6459,0.7413,0.6903
102,0.401574,386139,213660,133903,0.6438,0.7425,0.6896
103,0.405511,384803,214996,132644,0.6416,0.7437,0.6888
104,0.409448,383583,216216,131328,0.6395,0.745,0.6882
105,0.413385,382325,217474,130006,0.6374,0.7462,0.6876
106,0.417322,380967,218832,128647,0.6352,0.7476,0.6868
107,0.421259,379691,220108,127296,0.633,0.7489,0.6861
108,0.425196,378348,221451,125996,0.6308,0.7502,0.6853
109,0.429133,377019,222780,124660,0.6286,0.7515,0.6846
110,0.43307,375688,224111,123346,0.6264,0.7528,0.6838
111,0.437007,374307,225492,121975,0.6241,0.7542,0.683
112,0.440944,372956,226843,120658,0.6218,0.7556,0.6822
113,0.444881,371481,228318,119304,0.6193,0.7569,0.6813
114,0.448818,370015,229784,118008,0.6169,0.7582,0.6803
115,0.452755,368519,231280,116643,0.6144,0.7596,0.6793
116,0.456692,366984,232815,115210,0.6118,0.7611,0.6783
117,0.460629,365380,234419,113785,0.6092,0.7625,0.6773
118,0.464566,363743,236056,112355,0.6064,0.764,0.6762
119,0.468503,362074,237725,110884,0.6037,0.7656,0.675
120,0.47244,360369,239430,109315,0.6008,0.7673,0.6739
121,0.476377,358393,241406,107644,0.5975,0.769,0.6725
122,0.480314,356289,243510,105932,0.594,0.7708,0.671
123,0.484251,354088,245711,104043,0.5903,0.7729,0.6694
124,0.488188,351489,248310,101958,0.586,0.7751,0.6674
125,0.492125,348313,251486,99554,0.5807,0.7777,0.6649
126,0.496062,344453,255346,96672,0.5743,0.7809,0.6618
127,0.5,339486,260313,93206,0.566,0.7846,0.6576
128,0.503937,332037,267762,88094,0.5536,0.7903,0.6511
129,0.507874,316406,283393,77339,0.5275,0.8036,0.6369
130,0.511811,295139,304660,63216,0.4921,0.8236,0.6161
131,0.515748,278108,321691,53421,0.4637,0.8389,0.5972
132,0.519685,265505,334294,47069,0.4427,0.8494,0.582
133,0.523622,256035,343764,42465,0.4269,0.8577,0.57
134,0.527559,247870,351929,38935,0.4133,0.8642,0.5591
135,0.531496,240408,359391,36006,0.4008,0.8697,0.5487
136,0.535433,233928,365871,33495,0.39,0.8747,0.5395
137,0.53937,227787,372012,31225,0.3798,0.8794,0.5305
138,0.543307,221936,377863,29254,0.37,0.8835,0.5216
139,0.547244,216233,383566,27286,0.3605,0.888,0.5128
140,0.551181,210615,389184,25519,0.3511,0.8919,0.5039
141,0.555118,204723,395076,23915,0.3413,0.8954,0.4942
142,0.559055,198956,400843,22388,0.3317,0.8989,0.4846
143,0.562992,193044,406755,20914,0.3218,0.9023,0.4745
144,0.566929,187053,412746,19549,0.3119,0.9054,0.4639
145,0.570866,181375,418424,18164,0.3024,0.909,0.4538
146,0.574803,175676,424123,16905,0.2929,0.9122,0.4434
147,0.57874,170003,429796,15670,0.2834,0.9156,0.4329
148,0.582677,164376,435423,14497,0.2741,0.919,0.4222
149,0.586614,158896,440903,13361,0.2649,0.9224,0.4116
150,0.590551,153414,446385,12250,0.2558,0.9261,0.4008
151,0.594488,148146,451653,11197,0.247,0.9297,0.3903
152,0.598425,143040,456759,10214,0.2385,0.9334,0.3799
153,0.602362,138009,461790,9368,0.2301,0.9364,0.3694
154,0.606299,133091,466708,8560,0.2219,0.9396,0.359
155,0.610236,128059,471740,7777,0.2135,0.9427,0.3482
156,0.614173,123068,476731,7159,0.2052,0.945,0.3372
157,0.61811,117999,481800,6535,0.1967,0.9475,0.3258
158,0.622047,113042,486757,6004,0.1885,0.9496,0.3145
159,0.625984,108193,491606,5493,0.1804,0.9517,0.3033
160,0.629921,103339,496460,4965,0.1723,0.9542,0.2919
161,0.633858,98757,501042,4445,0.1647,0.9569,0.281
162,0.637795,93915,505884,3914,0.1566,0.96,0.2692
163,0.641732,88839,510960,3442,0.1481,0.9627,0.2567
164,0.645669,83652,516147,3017,0.1395,0.9652,0.2437
165,0.649606,78531,521268,2591,0.1309,0.9681,0.2307
166,0.653543,73141,526658,2233,0.1219,0.9704,0.2167
167,0.65748,67845,531954,1908,0.1131,0.9726,0.2027
168,0.661417,62544,537255,1575,0.1043,0.9754,0.1884
169,0.665354,57410,542389,1302,0.0957,0.9778,0.1744
170,0.669291,52537,547262,1087,0.0876,0.9797,0.1608
171,0.673228,47602,552197,885,0.0794,0.9817,0.1469
172,0.677165,42991,556808,733,0.0717,0.9832,0.1336
173,0.681102,38343,561456,579,0.0639,0.9851,0.1201
174,0.685039,34013,565786,453,0.0567,0.9869,0.1073
175,0.688976,29944,569855,362,0.0499,0.9881,0.095
176,0.692913,26324,573475,293,0.0439,0.989,0.084
177,0.69685,22669,577130,229,0.0378,0.99,0.0728
178,0.700787,19579,580220,174,0.0326,0.9912,0.0632
179,0.704724,16763,583036,131,0.0279,0.9922,0.0544
180,0.708661,14307,585492,83,0.0239,0.9942,0.0466
181,0.712598,12109,587690,47,0.0202,0.9961,0.0396
182,0.716535,10210,589589,28,0.017,0.9973,0.0335
183,0.720472,8594,591205,20,0.0143,0.9977,0.0283
184,0.724409,7047,592752,13,0.0117,0.9982,0.0232
185,0.728346,5678,594121,0,0.0095,1.0,0.0188
186,0.732283,4504,595295,0,0.0075,1.0,0.0149
187,0.73622,3503,596296,0,0.0058,1.0,0.0116
188,0.740157,2731,597068,0,0.0046,1.0,0.0091
189,0.744094,2095,597704,0,0.0035,1.0,0.007
190,0.748031,1553,598246,0,0.0026,1.0,0.0052
191,0.751968,1154,598645,0,0.0019,1.0,0.0038
192,0.755905,754,599045,0,0.0013,1.0,0.0025
193,0.759842,470,599329,0,0.0008,1.0,0.0016
194,0.763779,270,599529,0,0.0005,1.0,0.0009
195,0.767716,146,599653,0,0.0002,1.0,0.0005
196,0.771653,52,599747,0,0.0001,1.0,0.0002
197,0.77559,16,599783,0,0.0,1.0,0.0001
198,0.779527,0,599799,0,0.0,nan,
199,0.783464,0,599799,0,0.0,nan,
200,0.787401,0,599799,0,0.0,nan,
201,0.791338,0,599799,0,0.0,nan,
202,0.795275,0,599799,0,0.0,nan,
203,0.799212,0,599799,0,0.0,nan,
204,0.803149,0,599799,0,0.0,nan,
205,0.807086,0,599799,0,0.0,nan,
206,0.811023,0,599799,0,0.0,nan,
207,0.81496,0,599799,0,0.0,nan,
208,0.818897,0,599799,0,0.0,nan,
209,0.822834,0,599799,0,0.0,nan,
210,0.826771,0,599799,0,0.0,nan,
211,0.830708,0,599799,0,0.0,nan,
212,0.834645,0,599799,0,0.0,nan,
213,0.838582,0,599799,0,0.0,nan,
214,0.842519,0,599799,0,0.0,nan,
215,0.846456,0,599799,0,0.0,nan,
216,0.850393,0,599799,0,0.0,nan,
217,0.85433,0,599799,0,0.0,nan,
218,0.858267,0,599799,0,0.0,nan,
219,0.862204,0,599799,0,0.0,nan,
220,0.866141,0,599799,0,0.0,nan,
221,0.870078,0,599799,0,0.0,nan,
222,0.874015,0,599799,0,0.0,nan,
223,0.877952,0,599799,0,0.0,nan,
224,0.881889,0,599799,0,0.0,nan,
225,0.885826,0,599799,0,0.0,nan,
226,0.889763,0,599799,0,0.0,nan,
227,0.8937,0,599799,0,0.0,nan,
228,0.897637,0,599799,0,0.0,nan,
229,0.901574,0,599799,0,0.0,nan,
230,0.905511,0,599799,0,0.0,nan,
231,0.909448,0,599799,0,0.0,nan,
232,0.913385,0,599799,0,0.0,nan,
233,0.917322,0,599799,0,0.0,nan,
234,0.921259,0,599799,0,0.0,nan,
235,0.925196,0,599799,0,0.0,nan,
236,0.929133,0,599799,0,0.0,nan,
237,0.93307,0,599799,0,0.0,nan,
238,0.937007,0,599799,0,0.0,nan,
239,0.940944,0,599799,0,0.0,nan,
240,0.944881,0,599799,0,0.0,nan,
241,0.948818,0,599799,0,0.0,nan,
242,0.952755,0,599799,0,0.0,nan,
243,0.956692,0,599799,0,0.0,nan,
244,0.960629,0,599799,0,0.0,nan,
245,0.964566,0,599799,0,0.0,nan,
246,0.968503,0,599799,0,0.0,nan,
247,0.97244,0,599799,0,0.0,nan,
248,0.976377,0,599799,0,0.0,nan,
249,0.980314,0,599799,0,0.0,nan,
250,0.984251,0,599799,0,0.0,nan,
251,0.988188,0,599799,0,0.0,nan,
252,0.992125,0,599799,0,0.0,nan,
253,0.996062,0,599799,0,0.0,nan,
254,1.0,0,599799,0,0.0,nan,
