k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6454321,2253,12987287,0.9997,0.332,0.4984
2,0.007874,6429521,27053,11173254,0.9958,0.3653,0.5345
3,0.011811,6376743,79831,9222166,0.9876,0.4088,0.5782
4,0.015748,6315148,141426,7794508,0.9781,0.4476,0.6141
5,0.019685,6250931,205643,6780847,0.9681,0.4797,0.6415
6,0.023622,6185853,270721,6047378,0.9581,0.5057,0.6619
7,0.027559,6120097,336477,5477155,0.9479,0.5277,0.678
8,0.031496,6055513,401061,5027245,0.9379,0.5464,0.6905
9,0.035433,5991319,465255,4651549,0.9279,0.5629,0.7008
10,0.03937,5930624,525950,4339177,0.9185,0.5775,0.7091
11,0.043307,5872256,584318,4072152,0.9095,0.5905,0.7161
12,0.047244,5814618,641956,3836718,0.9006,0.6025,0.722
13,0.051181,5761171,695403,3633779,0.8923,0.6132,0.7269
14,0.055118,5708672,747902,3447532,0.8842,0.6235,0.7313
15,0.059055,5658858,797716,3280372,0.8764,0.633,0.7351
16,0.062992,5612094,844480,3131801,0.8692,0.6418,0.7384
17,0.066929,5566885,889689,2997404,0.8622,0.65,0.7412
18,0.070866,5523626,932948,2876392,0.8555,0.6576,0.7436
19,0.074803,5481539,975035,2765378,0.849,0.6647,0.7456
20,0.07874,5442151,1014423,2666073,0.8429,0.6712,0.7473
21,0.082677,5403664,1052910,2573914,0.8369,0.6774,0.7487
22,0.086614,5366301,1090273,2488990,0.8311,0.6831,0.7499
23,0.090551,5331960,1124614,2413235,0.8258,0.6884,0.7509
24,0.094488,5298848,1157726,2343677,0.8207,0.6933,0.7517
25,0.098425,5266290,1190284,2277191,0.8156,0.6981,0.7523
26,0.102362,5235648,1220926,2216374,0.8109,0.7026,0.7529
27,0.106299,5206833,1249741,2160483,0.8064,0.7067,0.7533
28,0.110236,5179685,1276889,2109697,0.8022,0.7106,0.7536
29,0.114173,5154322,1302252,2063211,0.7983,0.7141,0.7539
30,0.11811,5129096,1327478,2019130,0.7944,0.7175,0.754
31,0.122047,5104477,1352097,1977174,0.7906,0.7208,0.7541
32,0.125984,5081148,1375426,1938829,0.787,0.7238,0.7541
33,0.129921,5059348,1397226,1903761,0.7836,0.7266,0.754
34,0.133858,5037858,1418716,1870176,0.7803,0.7293,0.7539
35,0.137795,5017117,1439457,1838733,0.7771,0.7318,0.7537
36,0.141732,4996874,1459700,1809183,0.7739,0.7342,0.7535
37,0.145669,4977816,1478758,1781152,0.771,0.7365,0.7533
38,0.149606,4959613,1496961,1754827,0.7681,0.7386,0.7531
39,0.153543,4941464,1515110,1729418,0.7653,0.7408,0.7528
40,0.15748,4924088,1532486,1705710,0.7626,0.7427,0.7526
41,0.161417,4907787,1548787,1683487,0.7601,0.7446,0.7523
42,0.165354,4891721,1564853,1661894,0.7576,0.7464,0.752
43,0.169291,4876218,1580356,1641323,0.7552,0.7482,0.7517
44,0.173228,4860796,1595778,1621395,0.7528,0.7499,0.7514
45,0.177165,4846229,1610345,1602400,0.7506,0.7515,0.7511
46,0.181102,4831418,1625156,1583557,0.7483,0.7531,0.7507
47,0.185039,4817358,1639216,1565836,0.7461,0.7547,0.7504
48,0.188976,4803418,1653156,1548634,0.744,0.7562,0.75
49,0.192913,4790049,1666525,1532269,0.7419,0.7576,0.7497
50,0.19685,4776850,1679724,1516303,0.7398,0.7591,0.7493
51,0.200787,4764170,1692404,1501157,0.7379,0.7604,0.749
52,0.204724,4751155,1705419,1486128,0.7359,0.7617,0.7486
53,0.208661,4738633,1717941,1471427,0.7339,0.7631,0.7482
54,0.212598,4725946,1730628,1456638,0.732,0.7644,0.7478
55,0.216535,4713833,1742741,1442612,0.7301,0.7657,0.7475
56,0.220472,4701787,1754787,1428758,0.7282,0.7669,0.7471
57,0.224409,4689958,1766616,1415674,0.7264,0.7681,0.7467
58,0.228346,4678267,1778307,1402717,0.7246,0.7693,0.7463
59,0.232283,4666237,1790337,1389851,0.7227,0.7705,0.7458
60,0.23622,4654410,1802164,1376899,0.7209,0.7717,0.7454
61,0.240157,4643065,1813509,1364658,0.7191,0.7728,0.745
62,0.244094,4631884,1824690,1352469,0.7174,0.774,0.7446
63,0.248031,4620502,1836072,1340332,0.7156,0.7751,0.7442
64,0.251968,4609143,1847431,1328128,0.7139,0.7763,0.7438
65,0.255905,4598198,1858376,1316727,0.7122,0.7774,0.7434
66,0.259842,4587211,1869363,1305315,0.7105,0.7785,0.7429
67,0.263779,4575989,1880585,1293903,0.7087,0.7796,0.7425
68,0.267716,4564640,1891934,1282749,0.707,0.7806,0.742
