k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6822519,0,12990671,1.0,0.3443,0.5123
2,0.007874,6822519,0,12990671,1.0,0.3443,0.5123
3,0.011811,6822519,0,12990671,1.0,0.3443,0.5123
4,0.015748,6822519,0,12990671,1.0,0.3443,0.5123
5,0.019685,6822519,0,12990671,1.0,0.3443,0.5123
6,0.023622,6822519,0,12990671,1.0,0.3443,0.5123
7,0.027559,6822519,0,12990671,1.0,0.3443,0.5123
8,0.031496,6822519,0,12990671,1.0,0.3443,0.5123
9,0.035433,6822519,0,12990671,1.0,0.3443,0.5123
10,0.03937,6822519,0,12990671,1.0,0.3443,0.5123
11,0.043307,6822519,0,12990671,1.0,0.3443,0.5123
12,0.047244,6822519,0,12990671,1.0,0.3443,0.5123
13,0.051181,6822519,0,12990671,1.0,0.3443,0.5123
14,0.055118,6822519,0,12990671,1.0,0.3443,0.5123
15,0.059055,6822519,0,12990671,1.0,0.3443,0.5123
16,0.062992,6822519,0,12990671,1.0,0.3443,0.5123
17,0.066929,6822519,0,12990671,1.0,0.3443,0.5123
18,0.070866,6822519,0,12990671,1.0,0.3443,0.5123
19,0.074803,6822519,0,12990671,1.0,0.3443,0.5123
20,0.07874,6822519,0,12990671,1.0,0.3443,0.5123
21,0.082677,6822519,0,12990671,1.0,0.3443,0.5123
22,0.086614,6822519,0,12990671,1.0,0.3443,0.5123
23,0.090551,6822519,0,12990671,1.0,0.3443,0.5123
24,0.094488,6822519,0,12990671,1.0,0.3443,0.5123
25,0.098425,6822519,0,12990671,1.0,0.3443,0.5123
26,0.102362,6822519,0,12990671,1.0,0.3443,0.5123
27,0.106299,6822519,0,12990671,1.0,0.3443,0.5123
28,0.110236,6822519,0,12990671,1.0,0.3443,0.5123
29,0.114173,6822519,0,12990671,1.0,0.3443,0.5123
30,0.11811,6822519,0,12990670,1.0,0.3443,0.5123
31,0.122047,6822519,0,12990190,1.0,0.3444,0.5123
32,0.125984,6822519,0,12988184,1.0,0.3444,0.5123
33,0.129921,6822496,23,12981307,1.0,0.3445,0.5125
34,0.133858,6822287,232,12957280,1.0,0.3449,0.5129
35,0.137795,6821837,682,12905404,0.9999,0.3458,0.5139
36,0.141732,6819983,2536,12813236,0.9996,0.3474,0.5156
37,0.145669,6817046,5473,12674953,0.9992,0.3497,0.5181
38,0.149606,6813720,8799,12499216,0.9987,0.3528,0.5214
39,0.153543,6808663,13856,12272987,0.998,0.3568,0.5257
40,0.15748,6800991,21528,11985746,0.9968,0.362,0.5311
41,0.161417,6790163,32356,11613519,0.9953,0.369,0.5383
42,0.165354,6776011,46508,11151022,0.9932,0.378,0.5476
43,0.169291,6759832,62687,10601089,0.9908,0.3894,0.559
44,0.173228,6738888,83631,9979167,0.9877,0.4031,0.5725
45,0.177165,6712147,110372,9338996,0.9838,0.4182,0.5869
46,0.181102,6680035,142484,8681554,0.9791,0.4349,0.6022
47,0.185039,6643169,179350,8053628,0.9737,0.452,0.6174
48,0.188976,6600958,221561,7464412,0.9675,0.4693,0.632
49,0.192913,6555560,266959,6940168,0.9609,0.4858,0.6453
50,0.19685,6504827,317692,6447597,0.9534,0.5022,0.6579
51,0.200787,6452197,370322,6002459,0.9457,0.5181,0.6694
52,0.204724,6395401,427118,5589080,0.9374,0.5336,0.6801
53,0.208661,6336040,486479,5207848,0.9287,0.5489,0.69
54,0.212598,6273275,549244,4857539,0.9195,0.5636,0.6988
55,0.216535,6210932,611587,4546844,0.9104,0.5773,0.7066
56,0.220472,6147943,674576,4265148,0.9011,0.5904,0.7134
57,0.224409,6088943,733576,4017215,0.8925,0.6025,0.7194
58,0.228346,6031916,790603,3792879,0.8841,0.6139,0.7247
59,0.232283,5976366,846153,3589892,0.876,0.6247,0.7293
60,0.23622,5922316,900203,3407214,0.8681,0.6348,0.7333
61,0.240157,5872733,949786,3250756,0.8608,0.6437,0.7366
62,0.244094,5826742,995777,3114606,0.854,0.6517,0.7393
63,0.248031,5785970,1036549,3000835,0.8481,0.6585,0.7413
64,0.251968,5750452,1072067,2908670,0.8429,0.6641,0.7429
65,0.255905,5722137,1100382,2840015,0.8387,0.6683,0.7439
66,0.259842,5697749,1124770,2785083,0.8351,0.6717,0.7445
67,0.263779,5676773,1145746,2739814,0.8321,0.6745,0.745
68,0.267716,5657856,1164663,2700518,0.8293,0.6769,0.7454
69,0.271653,5641453,1181066,2666752,0.8269,0.679,0.7457
70,0.27559,5625606,1196913,2635151,0.8246,0.681,0.7459
71,0.279527,5611235,1211284,2606999,0.8225,0.6828,0.7461
72,0.283464,5597641,1224878,2580493,0.8205,0.6845,0.7463
73,0.287401,5584637,1237882,2555890,0.8186,0.686,0.7465
74,0.291338,5572394,1250125,2532738,0.8168,0.6875,0.7466
75,0.295275,5560316,1262203,2510313,0.815,0.689,0.7467
76,0.299212,5549309,1273210,2489524,0.8134,0.6903,0.7468
77,0.303149,5538280,1284239,2469083,0.8118,0.6916,0.7469
78,0.307086,5527628,1294891,2449743,0.8102,0.6929,0.747
79,0.311023,5517153,1305366,2430976,0.8087,0.6941,0.747
80,0.31496,5507198,1315321,2413521,0.8072,0.6953,0.7471
81,0.318897,5497094,1325425,2396016,0.8057,0.6964,0.7471
82,0.322834,5487567,1334952,2379446,0.8043,0.6975,0.7471
83,0.326771,5478125,1344394,2363106,0.8029,0.6986,0.7472
84,0.330708,5469143,1353376,2347471,0.8016,0.6997,0.7472
85,0.334645,5459942,1362577,2331422,0.8003,0.7008,0.7472
86,0.338582,5450906,1371613,2316406,0.799,0.7018,0.7472
87,0.342519,5442092,1380427,2301532,0.7977,0.7028,0.7472
88,0.346456,5433555,1388964,2286920,0.7964,0.7038,0.7472
89,0.350393,5425056,1397463,2272695,0.7952,0.7048,0.7472
90,0.35433,5416726,1405793,2259189,0.7939,0.7057,0.7472
91,0.358267,5408359,1414160,2245547,0.7927,0.7066,0.7472
92,0.362204,5400296,1422223,2232052,0.7915,0.7076,0.7472
93,0.366141,5392241,1430278,2219067,0.7904,0.7085,0.7472
94,0.370078,5384137,1438382,2206133,0.7892,0.7093,0.7471
95,0.374015,5376433,1446086,2193647,0.788,0.7102,0.7471
96,0.377952,5368613,1453906,2180996,0.7869,0.7111,0.7471
97,0.381889,5360787,1461732,2168547,0.7857,0.712,0.7471
98,0.385826,5352964,1469555,2156295,0.7846,0.7128,0.747
99,0.389763,5345134,1477385,2144454,0.7835,0.7137,0.7469
100,0.3937,5337214,1485305,2132680,0.7823,0.7145,0.7469
101,0.397637,5329308,1493211,2120669,0.7811,0.7153,0.7468
102,0.401574,5321469,1501050,2108970,0.78,0.7162,0.7467
103,0.405511,5313494,1509025,2097435,0.7788,0.717,0.7466
104,0.409448,5305757,1516762,2086038,0.7777,0.7178,0.7465
105,0.413385,5297886,1524633,2074525,0.7765,0.7186,0.7464
106,0.417322,5290102,1532417,2063034,0.7754,0.7194,0.7464
107,0.421259,5281986,1540533,2051112,0.7742,0.7203,0.7463
108,0.425196,5273958,1548561,2039762,0.773,0.7211,0.7462
109,0.429133,5265777,1556742,2028035,0.7718,0.722,0.7461
110,0.43307,5257544,1564975,2016814,0.7706,0.7228,0.7459
111,0.437007,5249219,1573300,2004917,0.7694,0.7236,0.7458
112,0.440944,5240709,1581810,1993138,0.7681,0.7245,0.7457
113,0.444881,5232280,1590239,1981331,0.7669,0.7253,0.7455
114,0.448818,5223768,1598751,1969419,0.7657,0.7262,0.7454
115,0.452755,5214707,1607812,1957136,0.7643,0.7271,0.7453
116,0.456692,5205550,1616969,1944735,0.763,0.728,0.7451
117,0.460629,5196246,1626273,1932209,0.7616,0.7289,0.7449
118,0.464566,5186727,1635792,1919465,0.7602,0.7299,0.7448
119,0.468503,5177002,1645517,1906195,0.7588,0.7309,0.7446
120,0.47244,5166359,1656160,1892466,0.7573,0.7319,0.7444
121,0.476377,5155414,1667105,1878059,0.7556,0.733,0.7441
122,0.480314,5143740,1678779,1862900,0.7539,0.7341,0.7439
123,0.484251,5130835,1691684,1846338,0.752,0.7354,0.7436
124,0.488188,5116401,1706118,1828169,0.7499,0.7367,0.7433
125,0.492125,5100298,1722221,1807929,0.7476,0.7383,0.7429
126,0.496062,5080928,1741591,1784375,0.7447,0.7401,0.7424
127,0.5,5055639,1766880,1753856,0.741,0.7424,0.7417
128,0.503937,5019377,1803142,1710020,0.7357,0.7459,0.7408
129,0.507874,4917152,1905367,1572439,0.7207,0.7577,0.7387
130,0.511811,4690576,2131943,1305266,0.6875,0.7823,0.7319
131,0.515748,4536442,2286077,1163386,0.6649,0.7959,0.7245
132,0.519685,4434801,2387718,1081358,0.65,0.804,0.7188
133,0.523622,4351989,2470530,1017925,0.6379,0.8104,0.7139
134,0.527559,4275794,2546725,962105,0.6267,0.8163,0.7091
135,0.531496,4202277,2620242,910925,0.6159,0.8218,0.7042
136,0.535433,4129796,2692723,863103,0.6053,0.8271,0.6991
137,0.53937,4060686,2761833,819819,0.5952,0.832,0.694
138,0.543307,3991186,2831333,778306,0.585,0.8368,0.6886
139,0.547244,3920743,2901776,738371,0.5747,0.8415,0.683
140,0.551181,3848408,2974111,699253,0.5641,0.8462,0.6769
141,0.555118,3772340,3050179,660288,0.5529,0.851,0.6703
142,0.559055,3694173,3128346,621939,0.5415,0.8559,0.6633
143,0.562992,3612972,3209547,584417,0.5296,0.8608,0.6557
144,0.566929,3527720,3294799,547524,0.5171,0.8656,0.6474
145,0.570866,3438963,3383556,511995,0.5041,0.8704,0.6384
146,0.574803,3347537,3474982,477516,0.4907,0.8752,0.6288
147,0.57874,3250060,3572459,443794,0.4764,0.8799,0.6181
148,0.582677,3150714,3671805,411700,0.4618,0.8844,0.6068
149,0.586614,3048102,3774417,380405,0.4468,0.889,0.5947
150,0.590551,2944639,3877880,351084,0.4316,0.8935,0.582
151,0.594488,2836703,3985816,322236,0.4158,0.898,0.5684
152,0.598425,2726132,4096387,294495,0.3996,0.9025,0.5539
153,0.602362,2614262,4208257,268326,0.3832,0.9069,0.5387
154,0.606299,2503156,4319363,244225,0.3669,0.9111,0.5231
155,0.610236,2389699,4432820,221804,0.3503,0.9151,0.5066
156,0.614173,2274298,4548221,201081,0.3334,0.9188,0.4892
157,0.61811,2158540,4663979,181939,0.3164,0.9223,0.4711
158,0.622047,2043279,4779240,164182,0.2995,0.9256,0.4526
159,0.625984,1926768,4895751,146812,0.2824,0.9292,0.4332
160,0.629921,1809218,5013301,130208,0.2652,0.9329,0.413
161,0.633858,1694796,5127723,115095,0.2484,0.9364,0.3927
162,0.637795,1580812,5241707,101592,0.2317,0.9396,0.3717
163,0.641732,1471403,5351116,89134,0.2157,0.9429,0.351
164,0.645669,1364607,5457912,77943,0.2,0.946,0.3302
165,0.649606,1260621,5561898,68320,0.1848,0.9486,0.3093
166,0.653543,1159648,5662871,59569,0.17,0.9511,0.2884
167,0.65748,1058892,5763627,51581,0.1552,0.9536,0.267
168,0.661417,964755,5857764,44433,0.1414,0.956,0.2464
169,0.665354,878099,5944420,37611,0.1287,0.9589,0.227
170,0.669291,796823,6025696,31581,0.1168,0.9619,0.2083
171,0.673228,720437,6102082,26249,0.1056,0.9648,0.1904
172,0.677165,653217,6169302,22107,0.0957,0.9673,0.1742
173,0.681102,591775,6230744,18593,0.0867,0.9695,0.1592
174,0.685039,535260,6287259,15667,0.0785,0.9716,0.1452
175,0.688976,481959,6340560,13296,0.0706,0.9732,0.1317
176,0.692913,434502,6388017,11306,0.0637,0.9746,0.1196
177,0.69685,390823,6431696,9442,0.0573,0.9764,0.1082
178,0.700787,350034,6472485,7771,0.0513,0.9783,0.0975
179,0.704724,309903,6512616,6147,0.0454,0.9806,0.0868
180,0.708661,273332,6549187,4888,0.0401,0.9824,0.077
181,0.712598,237968,6584551,3969,0.0349,0.9836,0.0674
182,0.716535,208086,6614433,3245,0.0305,0.9846,0.0592
183,0.720472,181248,6641271,2686,0.0266,0.9854,0.0517
184,0.724409,158557,6663962,2236,0.0232,0.9861,0.0454
185,0.728346,139050,6683469,1788,0.0204,0.9873,0.0399
186,0.732283,122401,6700118,1476,0.0179,0.9881,0.0352
187,0.73622,108185,6714334,1244,0.0159,0.9886,0.0312
188,0.740157,95606,6726913,1047,0.014,0.9892,0.0276
189,0.744094,84325,6738194,873,0.0124,0.9898,0.0244
190,0.748031,74743,6747776,752,0.011,0.99,0.0217
191,0.751968,65970,6756549,643,0.0097,0.9903,0.0192
192,0.755905,58013,6764506,544,0.0085,0.9907,0.0169
193,0.759842,51436,6771083,435,0.0075,0.9916,0.015
194,0.763779,45595,6776924,333,0.0067,0.9927,0.0133
195,0.767716,40420,6782099,225,0.0059,0.9945,0.0118
196,0.771653,35548,6786971,121,0.0052,0.9966,0.0104
197,0.77559,31208,6791311,84,0.0046,0.9973,0.0091
198,0.779527,27606,6794913,57,0.004,0.9979,0.0081
199,0.783464,24340,6798179,15,0.0036,0.9994,0.0071
200,0.787401,21562,6800957,1,0.0032,1.0,0.0063
201,0.791338,19128,6803391,0,0.0028,1.0,0.0056
202,0.795275,16731,6805788,0,0.0025,1.0,0.0049
203,0.799212,14707,6807812,0,0.0022,1.0,0.0043
204,0.803149,12884,6809635,0,0.0019,1.0,0.0038
205,0.807086,11215,6811304,0,0.0016,1.0,0.0033
206,0.811023,9608,6812911,0,0.0014,1.0,0.0028
207,0.81496,8229,6814290,0,0.0012,1.0,0.0024
208,0.818897,6910,6815609,0,0.001,1.0,0.002
209,0.822834,5723,6816796,0,0.0008,1.0,0.0017
210,0.826771,4691,6817828,0,0.0007,1.0,0.0014
211,0.830708,3852,6818667,0,0.0006,1.0,0.0011
212,0.834645,3123,6819396,0,0.0005,1.0,0.0009
213,0.838582,2531,6819988,0,0.0004,1.0,0.0007
214,0.842519,2006,6820513,0,0.0003,1.0,0.0006
215,0.846456,1533,6820986,0,0.0002,1.0,0.0004
216,0.850393,1111,6821408,0,0.0002,1.0,0.0003
217,0.85433,801,6821718,0,0.0001,1.0,0.0002
218,0.858267,503,6822016,0,0.0001,1.0,0.0001
219,0.862204,284,6822235,0,0.0,1.0,0.0001
220,0.866141,149,6822370,0,0.0,1.0,0.0
221,0.870078,44,6822475,0,0.0,1.0,0.0
222,0.874015,0,6822519,0,0.0,nan,
223,0.877952,0,6822519,0,0.0,nan,
224,0.881889,0,6822519,0,0.0,nan,
225,0.885826,0,6822519,0,0.0,nan,
226,0.889763,0,6822519,0,0.0,nan,
227,0.8937,0,6822519,0,0.0,nan,
228,0.897637,0,6822519,0,0.0,nan,
229,0.901574,0,6822519,0,0.0,nan,
230,0.905511,0,6822519,0,0.0,nan,
231,0.909448,0,6822519,0,0.0,nan,
232,0.913385,0,6822519,0,0.0,nan,
233,0.917322,0,6822519,0,0.0,nan,
234,0.921259,0,6822519,0,0.0,nan,
235,0.925196,0,6822519,0,0.0,nan,
236,0.929133,0,6822519,0,0.0,nan,
237,0.93307,0,6822519,0,0.0,nan,
238,0.937007,0,6822519,0,0.0,nan,
239,0.940944,0,6822519,0,0.0,nan,
240,0.944881,0,6822519,0,0.0,nan,
241,0.948818,0,6822519,0,0.0,nan,
242,0.952755,0,6822519,0,0.0,nan,
243,0.956692,0,6822519,0,0.0,nan,
244,0.960629,0,6822519,0,0.0,nan,
245,0.964566,0,6822519,0,0.0,nan,
246,0.968503,0,6822519,0,0.0,nan,
247,0.97244,0,6822519,0,0.0,nan,
248,0.976377,0,6822519,0,0.0,nan,
249,0.980314,0,6822519,0,0.0,nan,
250,0.984251,0,6822519,0,0.0,nan,
251,0.988188,0,6822519,0,0.0,nan,
252,0.992125,0,6822519,0,0.0,nan,
253,0.996062,0,6822519,0,0.0,nan,
254,1.0,0,6822519,0,0.0,nan,
