k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,3761880,0,5479590,1.0,0.4071,0.5786
2,0.007874,3761880,0,5479590,1.0,0.4071,0.5786
3,0.011811,3761880,0,5479590,1.0,0.4071,0.5786
4,0.015748,3761880,0,5479590,1.0,0.4071,0.5786
5,0.019685,3761880,0,5479590,1.0,0.4071,0.5786
6,0.023622,3761880,0,5479590,1.0,0.4071,0.5786
7,0.027559,3761880,0,5479590,1.0,0.4071,0.5786
8,0.031496,3761880,0,5479590,1.0,0.4071,0.5786
9,0.035433,3761880,0,5479590,1.0,0.4071,0.5786
10,0.03937,3761880,0,5479590,1.0,0.4071,0.5786
11,0.043307,3761880,0,5479590,1.0,0.4071,0.5786
12,0.047244,3761880,0,5479590,1.0,0.4071,0.5786
13,0.051181,3761880,0,5479590,1.0,0.4071,0.5786
14,0.055118,3761880,0,5479590,1.0,0.4071,0.5786
15,0.059055,3761880,0,5479590,1.0,0.4071,0.5786
16,0.062992,3761880,0,5479590,1.0,0.4071,0.5786
17,0.066929,3761880,0,5479590,1.0,0.4071,0.5786
18,0.070866,3761880,0,5479590,1.0,0.4071,0.5786
19,0.074803,3761880,0,5479590,1.0,0.4071,0.5786
20,0.07874,3761880,0,5479590,1.0,0.4071,0.5786
21,0.082677,3761880,0,5479590,1.0,0.4071,0.5786
22,0.086614,3761880,0,5479590,1.0,0.4071,0.5786
23,0.090551,3761880,0,5479590,1.0,0.4071,0.5786
24,0.094488,3761880,0,5479590,1.0,0.4071,0.5786
25,0.098425,3761880,0,5479562,1.0,0.4071,0.5786
26,0.102362,3761880,0,5478469,1.0,0.4071,0.5787
27,0.106299,3761867,13,5475323,1.0,0.4073,0.5788
28,0.110236,3761849,31,5468256,1.0,0.4076,0.5791
29,0.114173,3761738,142,5455367,1.0,0.4081,0.5797
30,0.11811,3761481,399,5434294,0.9999,0.409,0.5806
31,0.122047,3761021,859,5396651,0.9998,0.4107,0.5822
32,0.125984,3760126,1754,5338982,0.9995,0.4132,0.5847
33,0.129921,3758530,3350,5252659,0.9991,0.4171,0.5885
34,0.133858,3755455,6425,5125216,0.9983,0.4229,0.5941
35,0.137795,3749676,12204,4943586,0.9968,0.4313,0.6021
36,0.141732,3741028,20852,4715919,0.9945,0.4424,0.6123
37,0.145669,3729843,32037,4467260,0.9915,0.455,0.6238
38,0.149606,3715540,46340,4204813,0.9877,0.4691,0.6361
39,0.153543,3698092,63788,3942276,0.983,0.484,0.6487
40,0.15748,3677269,84611,3695015,0.9775,0.4988,0.6605
41,0.161417,3653668,108212,3465198,0.9712,0.5132,0.6716
42,0.165354,3627136,134744,3243853,0.9642,0.5279,0.6822
43,0.169291,3597135,164745,3031550,0.9562,0.5427,0.6924
44,0.173228,3561921,199959,2822284,0.9468,0.5579,0.7021
45,0.177165,3523778,238102,2628272,0.9367,0.5728,0.7109
46,0.181102,3481086,280794,2439737,0.9254,0.5879,0.719
47,0.185039,3437256,324624,2268088,0.9137,0.6025,0.7261
48,0.188976,3391998,369882,2108431,0.9017,0.6167,0.7324
49,0.192913,3346498,415382,1964789,0.8896,0.6301,0.7377
50,0.19685,3299071,462809,1833831,0.877,0.6427,0.7418
51,0.200787,3252176,509704,1717651,0.8645,0.6544,0.7449
52,0.204724,3203356,558524,1611130,0.8515,0.6654,0.747
53,0.208661,3154568,607312,1513938,0.8386,0.6757,0.7484
54,0.212598,3106596,655284,1425509,0.8258,0.6855,0.7491
55,0.216535,3062627,699253,1349337,0.8141,0.6942,0.7494
56,0.220472,3021665,740215,1280975,0.8032,0.7023,0.7494
57,0.224409,2985289,776591,1223428,0.7936,0.7093,0.7491
58,0.228346,2952579,809301,1174523,0.7849,0.7154,0.7485
59,0.232283,2923633,838247,1132966,0.7772,0.7207,0.7479
60,0.23622,2898398,863482,1098548,0.7705,0.7252,0.7471
61,0.240157,2877956,883924,1071795,0.765,0.7286,0.7464
62,0.244094,2860799,901081,1050463,0.7605,0.7314,0.7457
63,0.248031,2846120,915760,1032935,0.7566,0.7337,0.745
64,0.251968,2833275,928605,1017695,0.7532,0.7357,0.7443
65,0.255905,2822140,939740,1004820,0.7502,0.7374,0.7438
66,0.259842,2811887,949993,993446,0.7475,0.7389,0.7432
67,0.263779,2802374,959506,982929,0.7449,0.7403,0.7426
68,0.267716,2793309,968571,973048,0.7425,0.7416,0.7421
69,0.271653,2785202,976678,964167,0.7404,0.7428,0.7416
70,0.27559,2777268,984612,955664,0.7383,0.744,0.7411
71,0.279527,2769567,992313,947640,0.7362,0.7451,0.7406
72,0.283464,2762240,999640,939875,0.7343,0.7461,0.7402
73,0.287401,2755276,1006604,932633,0.7324,0.7471,0.7397
74,0.291338,2748604,1013276,925699,0.7306,0.7481,0.7393
75,0.295275,2742002,1019878,918887,0.7289,0.749,0.7388
76,0.299212,2735735,1026145,912758,0.7272,0.7498,0.7384
77,0.303149,2729544,1032336,906542,0.7256,0.7507,0.7379
78,0.307086,2723695,1038185,900700,0.724,0.7515,0.7375
79,0.311023,2717817,1044063,895003,0.7225,0.7523,0.7371
80,0.31496,2712190,1049690,889513,0.721,0.753,0.7366
81,0.318897,2706455,1055425,884125,0.7194,0.7538,0.7362
82,0.322834,2701097,1060783,878984,0.718,0.7545,0.7358
83,0.326771,2695642,1066238,873916,0.7166,0.7552,0.7354
84,0.330708,2690513,1071367,869050,0.7152,0.7559,0.735
85,0.334645,2685329,1076551,864174,0.7138,0.7565,0.7346
86,0.338582,2680223,1081657,859511,0.7125,0.7572,0.7341
87,0.342519,2675276,1086604,854887,0.7112,0.7578,0.7338
88,0.346456,2670217,1091663,850262,0.7098,0.7585,0.7333
89,0.350393,2665257,1096623,845805,0.7085,0.7591,0.7329
90,0.35433,2660524,1101356,841505,0.7072,0.7597,0.7325
91,0.358267,2655692,1106188,837159,0.7059,0.7603,0.7321
92,0.362204,2651006,1110874,832839,0.7047,0.7609,0.7317
93,0.366141,2646188,1115692,828526,0.7034,0.7616,0.7313
94,0.370078,2641425,1120455,824280,0.7022,0.7622,0.7309
95,0.374015,2636860,1125020,820304,0.7009,0.7627,0.7305
96,0.377952,2632166,1129714,816145,0.6997,0.7633,0.7301
97,0.381889,2627497,1134383,812039,0.6985,0.7639,0.7297
98,0.385826,2622779,1139101,808132,0.6972,0.7645,0.7293
99,0.389763,2618093,1143787,804147,0.696,0.765,0.7289
100,0.3937,2613321,1148559,800273,0.6947,0.7656,0.7284
101,0.397637,2608601,1153279,796294,0.6934,0.7661,0.728
102,0.401574,2604010,1157870,792336,0.6922,0.7667,0.7276
103,0.405511,2599316,1162564,788511,0.691,0.7673,0.7271
104,0.409448,2594575,1167305,784507,0.6897,0.7678,0.7267
105,0.413385,2589748,1172132,780503,0.6884,0.7684,0.7262
106,0.417322,2584980,1176900,776660,0.6872,0.769,0.7258
107,0.421259,2580102,1181778,772705,0.6859,0.7695,0.7253
108,0.425196,2575273,1186607,768862,0.6846,0.7701,0.7248
109,0.429133,2570309,1191571,764985,0.6833,0.7706,0.7243
110,0.43307,2565475,1196405,761084,0.682,0.7712,0.7238
111,0.437007,2560375,1201505,757023,0.6806,0.7718,0.7233
112,0.440944,2555359,1206521,753019,0.6793,0.7724,0.7228
113,0.444881,2550235,1211645,748986,0.6779,0.773,0.7223
114,0.448818,2544873,1217007,744861,0.6765,0.7736,0.7218
115,0.452755,2539476,1222404,740697,0.6751,0.7742,0.7212
116,0.456692,2533997,1227883,736492,0.6736,0.7748,0.7207
117,0.460629,2528235,1233645,732207,0.6721,0.7754,0.7201
118,0.464566,2522125,1239755,727780,0.6704,0.7761,0.7194
119,0.468503,2515804,1246076,723188,0.6688,0.7767,0.7187
120,0.47244,2509223,1252657,718300,0.667,0.7774,0.718
121,0.476377,2502233,1259647,713244,0.6652,0.7782,0.7172
122,0.480314,2494590,1267290,707642,0.6631,0.779,0.7164
123,0.484251,2486236,1275644,701615,0.6609,0.7799,0.7155
124,0.488188,2476758,1285122,695009,0.6584,0.7809,0.7144
125,0.492125,2465994,1295886,687549,0.6555,0.782,0.7132
