k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6816297,6101,12066359,0.9991,0.361,0.5303
2,0.007874,6774444,47954,9924489,0.993,0.4057,0.576
3,0.011811,6715478,106920,8314510,0.9843,0.4468,0.6146
4,0.015748,6636648,185750,7060501,0.9728,0.4845,0.6469
5,0.019685,6550240,272158,6143026,0.9601,0.516,0.6713
6,0.023622,6470390,352008,5497879,0.9484,0.5406,0.6887
7,0.027559,6396066,426332,5010302,0.9375,0.5607,0.7018
8,0.031496,6326677,495721,4623752,0.9273,0.5778,0.7119
9,0.035433,6259921,562477,4298640,0.9176,0.5929,0.7203
10,0.03937,6197955,624443,4023825,0.9085,0.6063,0.7273
11,0.043307,6140145,682253,3787633,0.9,0.6185,0.7331
12,0.047244,6083981,738417,3577269,0.8918,0.6297,0.7382
13,0.051181,6032418,789980,3394848,0.8842,0.6399,0.7425
14,0.055118,5981798,840600,3226873,0.8768,0.6496,0.7463
15,0.059055,5933964,888434,3077006,0.8698,0.6585,0.7496
16,0.062992,5888277,934121,2942797,0.8631,0.6668,0.7523
17,0.066929,5844171,978227,2820062,0.8566,0.6745,0.7547
18,0.070866,5800898,1021500,2709671,0.8503,0.6816,0.7567
19,0.074803,5758808,1063590,2606224,0.8441,0.6884,0.7584
20,0.07874,5719530,1102868,2513711,0.8383,0.6947,0.7598
21,0.082677,5681421,1140977,2428895,0.8328,0.7005,0.7609
22,0.086614,5645246,1177152,2350939,0.8275,0.706,0.7619
23,0.090551,5612092,1210306,2283253,0.8226,0.7108,0.7626
24,0.094488,5580823,1241575,2222067,0.818,0.7152,0.7632
25,0.098425,5549495,1272903,2164647,0.8134,0.7194,0.7635
26,0.102362,5519814,1302584,2112417,0.8091,0.7232,0.7637
27,0.106299,5491714,1330684,2064482,0.805,0.7268,0.7639
28,0.110236,5464623,1357775,2020476,0.801,0.7301,0.7639
29,0.114173,5439045,1383353,1979797,0.7972,0.7331,0.7638
30,0.11811,5413797,1408601,1939970,0.7935,0.7362,0.7638
31,0.122047,5389378,1433020,1902867,0.79,0.7391,0.7637
32,0.125984,5365494,1456904,1867294,0.7865,0.7418,0.7635
33,0.129921,5343076,1479322,1835014,0.7832,0.7444,0.7633
34,0.133858,5320728,1501670,1803886,0.7799,0.7468,0.763
35,0.137795,5299140,1523258,1774321,0.7767,0.7492,0.7627
