k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,3761329,0,5480139,1.0,0.407,0.5785
2,0.007874,3761329,0,5480139,1.0,0.407,0.5785
3,0.011811,3761329,0,5480139,1.0,0.407,0.5785
4,0.015748,3761329,0,5480139,1.0,0.407,0.5785
5,0.019685,3761329,0,5480139,1.0,0.407,0.5785
6,0.023622,3761329,0,5480139,1.0,0.407,0.5785
7,0.027559,3761329,0,5480139,1.0,0.407,0.5785
8,0.031496,3761329,0,5480139,1.0,0.407,0.5785
9,0.035433,3761329,0,5480139,1.0,0.407,0.5785
10,0.03937,3761329,0,5480139,1.0,0.407,0.5785
11,0.043307,3761329,0,5480139,1.0,0.407,0.5785
12,0.047244,3761329,0,5480120,1.0,0.407,0.5785
13,0.051181,3761329,0,5479590,1.0,0.407,0.5786
14,0.055118,3761329,0,5476052,1.0,0.4072,0.5787
15,0.059055,3761193,136,5464615,1.0,0.4077,0.5792
16,0.062992,3760972,357,5445637,0.9999,0.4085,0.58
17,0.066929,3760699,630,5417019,0.9998,0.4098,0.5813
18,0.070866,3760003,1326,5367366,0.9996,0.4119,0.5835
19,0.074803,3758597,2732,5280111,0.9993,0.4158,0.5873
20,0.07874,3756581,4748,5143728,0.9987,0.4221,0.5934
21,0.082677,3753551,7778,4960664,0.9979,0.4307,0.6017
22,0.086614,3748804,12525,4739624,0.9967,0.4416,0.6121
23,0.090551,3741214,20115,4499108,0.9947,0.454,0.6234
24,0.094488,3730390,30939,4236379,0.9918,0.4682,0.6361
25,0.098425,3714429,46900,3961552,0.9875,0.4839,0.6495
26,0.102362,3694746,66583,3679845,0.9823,0.501,0.6636
27,0.106299,3668257,93072,3399343,0.9753,0.519,0.6775
28,0.110236,3637057,124272,3131709,0.967,0.5373,0.6908
29,0.114173,3603315,158014,2886298,0.958,0.5552,0.703
30,0.11811,3564705,196624,2654610,0.9477,0.5732,0.7143
31,0.122047,3521437,239892,2445439,0.9362,0.5902,0.724
32,0.125984,3476117,285212,2264502,0.9242,0.6055,0.7317
33,0.129921,3431726,329603,2111728,0.9124,0.6191,0.7376
34,0.133858,3385483,375846,1974178,0.9001,0.6317,0.7423
35,0.137795,3340060,421269,1853061,0.888,0.6432,0.746
36,0.141732,3297038,464291,1746027,0.8766,0.6538,0.749
37,0.145669,3255279,506050,1649849,0.8655,0.6636,0.7512
38,0.149606,3215460,545869,1564400,0.8549,0.6727,0.7529
39,0.153543,3177119,584210,1486038,0.8447,0.6813,0.7543
40,0.15748,3141174,620155,1416942,0.8351,0.6891,0.7551
41,0.161417,3107277,654052,1356641,0.8261,0.6961,0.7555
42,0.165354,3075962,685367,1302909,0.8178,0.7025,0.7557
43,0.169291,3047592,713737,1256590,0.8102,0.7081,0.7557
44,0.173228,3021926,739403,1216122,0.8034,0.713,0.7555
45,0.177165,3000051,761278,1182632,0.7976,0.7173,0.7553
46,0.181102,2980674,780655,1153784,0.7925,0.7209,0.755
47,0.185039,2964144,797185,1129955,0.7881,0.724,0.7547
48,0.188976,2949381,811948,1109526,0.7841,0.7266,0.7543
49,0.192913,2936298,825031,1092280,0.7807,0.7289,0.7539
50,0.19685,2924395,836934,1076640,0.7775,0.7309,0.7535
51,0.200787,2913658,847671,1063330,0.7746,0.7326,0.753
52,0.204724,2903512,857817,1050684,0.7719,0.7343,0.7526
53,0.208661,2893754,867575,1038809,0.7693,0.7358,0.7522
54,0.212598,2884405,876924,1027655,0.7669,0.7373,0.7518
55,0.216535,2875897,885432,1017485,0.7646,0.7387,0.7514
56,0.220472,2867686,893643,1007792,0.7624,0.74,0.751
57,0.224409,2860145,901184,999051,0.7604,0.7411,0.7506
58,0.228346,2852749,908580,990516,0.7584,0.7423,0.7503
59,0.232283,2845407,915922,982326,0.7565,0.7434,0.7499
60,0.23622,2838409,922920,974296,0.7546,0.7445,0.7495
61,0.240157,2831731,929598,966856,0.7529,0.7455,0.7491
62,0.244094,2825194,936135,959457,0.7511,0.7465,0.7488
63,0.248031,2818762,942567,952471,0.7494,0.7474,0.7484
64,0.251968,2812413,948916,945568,0.7477,0.7484,0.7481
65,0.255905,2806462,954867,939229,0.7461,0.7493,0.7477
66,0.259842,2800656,960673,932903,0.7446,0.7501,0.7474
67,0.263779,2794955,966374,926651,0.7431,0.751,0.747
68,0.267716,2789370,971959,920734,0.7416,0.7518,0.7467
69,0.271653,2784110,977219,915121,0.7402,0.7526,0.7464
70,0.27559,2778500,982829,909432,0.7387,0.7534,0.746
71,0.279527,2773387,987942,904054,0.7373,0.7542,0.7457
72,0.283464,2768060,993269,898605,0.7359,0.7549,0.7453
73,0.287401,2762973,998356,893454,0.7346,0.7556,0.745
74,0.291338,2757962,1003367,888338,0.7332,0.7564,0.7446
75,0.295275,2752888,1008441,883207,0.7319,0.7571,0.7443
76,0.299212,2748196,1013133,878418,0.7306,0.7578,0.744
77,0.303149,2743395,1017934,873608,0.7294,0.7585,0.7436
78,0.307086,2738664,1022665,868928,0.7281,0.7591,0.7433
79,0.311023,2734051,1027278,864372,0.7269,0.7598,0.743
80,0.31496,2729578,1031751,860136,0.7257,0.7604,0.7426
81,0.318897,2724869,1036460,855806,0.7244,0.761,0.7423
82,0.322834,2720417,1040912,851503,0.7233,0.7616,0.7419
83,0.326771,2715947,1045382,847253,0.7221,0.7622,0.7416
84,0.330708,2711597,1049732,843133,0.7209,0.7628,0.7413
85,0.334645,2707151,1054178,838937,0.7197,0.7634,0.7409
86,0.338582,2702745,1058584,834834,0.7186,0.764,0.7406
87,0.342519,2698385,1062944,830853,0.7174,0.7646,0.7402
88,0.346456,2693969,1067360,826852,0.7162,0.7652,0.7399
89,0.350393,2689565,1071764,823001,0.7151,0.7657,0.7395
90,0.35433,2685373,1075956,819117,0.7139,0.7663,0.7392
91,0.358267,2681163,1080166,815171,0.7128,0.7668,0.7389
92,0.362204,2676883,1084446,811333,0.7117,0.7674,0.7385
93,0.366141,2672420,1088909,807478,0.7105,0.768,0.7381
94,0.370078,2668014,1093315,803560,0.7093,0.7685,0.7377
95,0.374015,2663680,1097649,799798,0.7082,0.7691,0.7374
96,0.377952,2659358,1101971,796009,0.707,0.7696,0.737
97,0.381889,2654941,1106388,792232,0.7059,0.7702,0.7366
98,0.385826,2650510,1110819,788407,0.7047,0.7707,0.7362
99,0.389763,2646081,1115248,784578,0.7035,0.7713,0.7358
100,0.3937,2641634,1119695,780830,0.7023,0.7719,0.7354
101,0.397637,2637228,1124101,777053,0.7011,0.7724,0.7351
102,0.401574,2632580,1128749,773287,0.6999,0.773,0.7346
103,0.405511,2628083,1133246,769620,0.6987,0.7735,0.7342
104,0.409448,2623595,1137734,765806,0.6975,0.7741,0.7338
105,0.413385,2618974,1142355,762054,0.6963,0.7746,0.7334
106,0.417322,2614299,1147030,758186,0.695,0.7752,0.7329
107,0.421259,2609394,1151935,754358,0.6937,0.7757,0.7325
108,0.425196,2604702,1156627,750530,0.6925,0.7763,0.732
109,0.429133,2599984,1161345,746686,0.6912,0.7769,0.7316
110,0.43307,2595145,1166184,742863,0.69,0.7775,0.7311
111,0.437007,2590134,1171195,738855,0.6886,0.7781,0.7306
112,0.440944,2585038,1176291,734961,0.6873,0.7786,0.7301
113,0.444881,2580000,1181329,731041,0.6859,0.7792,0.7296
114,0.448818,2574669,1186660,726993,0.6845,0.7798,0.7291
115,0.452755,2569370,1191959,722776,0.6831,0.7805,0.7285
116,0.456692,2563844,1197485,718524,0.6816,0.7811,0.728
117,0.460629,2557924,1203405,714124,0.6801,0.7818,0.7274
118,0.464566,2551842,1209487,709546,0.6784,0.7824,0.7267
119,0.468503,2545550,1215779,704834,0.6768,0.7832,0.7261
120,0.47244,2538794,1222535,699889,0.675,0.7839,0.7254
121,0.476377,2531742,1229587,694586,0.6731,0.7847,0.7246
122,0.480314,2523925,1237404,688938,0.671,0.7856,0.7238
123,0.484251,2515614,1245715,683027,0.6688,0.7865,0.7229
124,0.488188,2506481,1254848,676609,0.6664,0.7874,0.7219
125,0.492125,2496195,1265134,669377,0.6636,0.7885,0.7207
126,0.496062,2483584,1277745,660901,0.6603,0.7898,0.7193
127,0.5,2466911,1294418,649799,0.6559,0.7915,0.7173
128,0.503937,2443046,1318283,634651,0.6495,0.7938,0.7144
129,0.507874,2399470,1361859,607323,0.6379,0.798,0.7091
130,0.511811,2317973,1443356,557655,0.6163,0.8061,0.6985
131,0.515748,2240787,1520542,513857,0.5957,0.8135,0.6878
132,0.519685,2193043,1568286,488761,0.5831,0.8177,0.6807
133,0.523622,2153377,1607952,468413,0.5725,0.8213,0.6747
134,0.527559,2117326,1644003,450626,0.5629,0.8245,0.6691
135,0.531496,2084387,1676942,434914,0.5542,0.8274,0.6638
136,0.535433,2053758,1707571,420747,0.546,0.83,0.6587
137,0.53937,2024532,1736797,407775,0.5382,0.8324,0.6537
138,0.543307,1996810,1764519,395921,0.5309,0.8345,0.6489
139,0.547244,1970915,1790414,384843,0.524,0.8366,0.6444
140,0.551181,1945461,1815868,374690,0.5172,0.8385,0.6398
141,0.555118,1921042,1840287,364760,0.5107,0.8404,0.6354
142,0.559055,1896875,1864454,354992,0.5043,0.8424,0.6309
143,0.562992,1872732,1888597,345675,0.4979,0.8442,0.6264
144,0.566929,1848218,1913111,336744,0.4914,0.8459,0.6216
145,0.570866,1823440,1937889,328017,0.4848,0.8475,0.6168
146,0.574803,1798929,1962400,319566,0.4783,0.8492,0.6119
147,0.57874,1774000,1987329,311222,0.4716,0.8507,0.6069
148,0.582677,1748216,2013113,302876,0.4648,0.8523,0.6015
149,0.586614,1722249,2039080,294721,0.4579,0.8539,0.5961
150,0.590551,1696974,2064355,287030,0.4512,0.8553,0.5907
151,0.594488,1671632,2089697,279359,0.4444,0.8568,0.5853
152,0.598425,1646611,2114718,271782,0.4378,0.8583,0.5798
153,0.602362,1621975,2139354,264664,0.4312,0.8597,0.5744
154,0.606299,1597704,2163625,257741,0.4248,0.8611,0.5689
155,0.610236,1573355,2187974,250785,0.4183,0.8625,0.5634
156,0.614173,1548786,2212543,244101,0.4118,0.8639,0.5577
157,0.61811,1524090,2237239,237420,0.4052,0.8652,0.5519
158,0.622047,1499030,2262299,230813,0.3985,0.8666,0.546
159,0.625984,1473448,2287881,224377,0.3917,0.8678,0.5398
160,0.629921,1446035,2315294,217603,0.3844,0.8692,0.5331
161,0.633858,1419033,2342296,211177,0.3773,0.8705,0.5264
162,0.637795,1389619,2371710,204678,0.3694,0.8716,0.5189
163,0.641732,1359097,2402232,198228,0.3613,0.8727,0.5111
164,0.645669,1327253,2434076,191717,0.3529,0.8738,0.5027
165,0.649606,1294210,2467119,185197,0.3441,0.8748,0.4939
166,0.653543,1260131,2501198,178761,0.335,0.8758,0.4846
167,0.65748,1223117,2538212,172071,0.3252,0.8767,0.4744
168,0.661417,1184678,2576651,165386,0.315,0.8775,0.4635
169,0.665354,1144365,2616964,158626,0.3042,0.8783,0.4519
170,0.669291,1102461,2658868,151855,0.2931,0.8789,0.4396
171,0.673228,1057586,2703743,144993,0.2812,0.8794,0.4261
172,0.677165,1012615,2748714,138143,0.2692,0.88,0.4123
173,0.681102,964151,2797178,131137,0.2563,0.8803,0.397
174,0.685039,914416,2846913,124221,0.2431,0.8804,0.381
175,0.688976,863094,2898235,117014,0.2295,0.8806,0.3641
176,0.692913,812866,2948463,110334,0.2161,0.8805,0.347
177,0.69685,760980,3000349,103744,0.2023,0.88,0.329
178,0.700787,708351,3052978,97137,0.1883,0.8794,0.3102
179,0.704724,655895,3105434,90512,0.1744,0.8787,0.291
180,0.708661,605591,3155738,84236,0.161,0.8779,0.2721
181,0.712598,554736,3206593,78003,0.1475,0.8767,0.2525
182,0.716535,507257,3254072,72549,0.1349,0.8749,0.2337
183,0.720472,460707,3300622,67417,0.1225,0.8723,0.2148
184,0.724409,417637,3343692,62637,0.111,0.8696,0.1969
185,0.728346,377950,3383379,57908,0.1005,0.8671,0.1801
186,0.732283,339529,3421800,52938,0.0903,0.8651,0.1635
187,0.73622,304765,3456564,47877,0.081,0.8642,0.1482
188,0.740157,272243,3489086,43243,0.0724,0.8629,0.1336
189,0.744094,241271,3520058,39075,0.0641,0.8606,0.1194
190,0.748031,213597,3547732,35318,0.0568,0.8581,0.1065
191,0.751968,188538,3572791,32026,0.0501,0.8548,0.0947
192,0.755905,165304,3596025,28867,0.0439,0.8513,0.0836
193,0.759842,144645,3616684,25997,0.0385,0.8477,0.0736
194,0.763779,126762,3634567,23302,0.0337,0.8447,0.0648
195,0.767716,111689,3649640,20628,0.0297,0.8441,0.0574
196,0.771653,97694,3663635,17681,0.026,0.8468,0.0504
197,0.77559,86215,3675114,14863,0.0229,0.853,0.0446
198,0.779527,77167,3684162,12491,0.0205,0.8607,0.0401
199,0.783464,69749,3691580,10518,0.0185,0.869,0.0363
200,0.787401,63482,3697847,9029,0.0169,0.8755,0.0331
201,0.791338,58189,3703140,7747,0.0155,0.8825,0.0304
202,0.795275,53598,3707731,6801,0.0142,0.8874,0.028
203,0.799212,49653,3711676,6197,0.0132,0.889,0.026
204,0.803149,46122,3715207,5740,0.0123,0.8893,0.0242
205,0.807086,42677,3718652,5322,0.0113,0.8891,0.0224
206,0.811023,39816,3721513,4866,0.0106,0.8911,0.0209
207,0.81496,37301,3724028,4335,0.0099,0.8959,0.0196
208,0.818897,34985,3726344,3735,0.0093,0.9035,0.0184
209,0.822834,32851,3728478,3214,0.0087,0.9109,0.0173
210,0.826771,30837,3730492,2719,0.0082,0.919,0.0163
211,0.830708,28810,3732519,2207,0.0077,0.9288,0.0152
212,0.834645,26647,3734682,1751,0.0071,0.9383,0.0141
213,0.838582,24498,3736831,1340,0.0065,0.9481,0.0129
214,0.842519,22192,3739137,941,0.0059,0.9593,0.0117
215,0.846456,19906,3741423,658,0.0053,0.968,0.0105
216,0.850393,17769,3743560,416,0.0047,0.9771,0.0094
217,0.85433,15708,3745621,227,0.0042,0.9858,0.0083
218,0.858267,13649,3747680,79,0.0036,0.9942,0.0072
219,0.862204,11790,3749539,0,0.0031,1.0,0.0062
220,0.866141,9858,3751471,0,0.0026,1.0,0.0052
221,0.870078,7999,3753330,0,0.0021,1.0,0.0042
222,0.874015,6513,3754816,0,0.0017,1.0,0.0035
223,0.877952,5363,3755966,0,0.0014,1.0,0.0028
224,0.881889,4295,3757034,0,0.0011,1.0,0.0023
225,0.885826,3175,3758154,0,0.0008,1.0,0.0017
226,0.889763,2180,3759149,0,0.0006,1.0,0.0012
227,0.8937,1508,3759821,0,0.0004,1.0,0.0008
228,0.897637,927,3760402,0,0.0002,1.0,0.0005
229,0.901574,374,3760955,0,0.0001,1.0,0.0002
230,0.905511,4,3761325,0,0.0,1.0,0.0
231,0.909448,0,3761329,0,0.0,nan,
232,0.913385,0,3761329,0,0.0,nan,
233,0.917322,0,3761329,0,0.0,nan,
234,0.921259,0,3761329,0,0.0,nan,
235,0.925196,0,3761329,0,0.0,nan,
236,0.929133,0,3761329,0,0.0,nan,
237,0.93307,0,3761329,0,0.0,nan,
238,0.937007,0,3761329,0,0.0,nan,
239,0.940944,0,3761329,0,0.0,nan,
240,0.944881,0,3761329,0,0.0,nan,
241,0.948818,0,3761329,0,0.0,nan,
242,0.952755,0,3761329,0,0.0,nan,
243,0.956692,0,3761329,0,0.0,nan,
244,0.960629,0,3761329,0,0.0,nan,
245,0.964566,0,3761329,0,0.0,nan,
246,0.968503,0,3761329,0,0.0,nan,
247,0.97244,0,3761329,0,0.0,nan,
248,0.976377,0,3761329,0,0.0,nan,
249,0.980314,0,3761329,0,0.0,nan,
250,0.984251,0,3761329,0,0.0,nan,
251,0.988188,0,3761329,0,0.0,nan,
252,0.992125,0,3761329,0,0.0,nan,
253,0.996062,0,3761329,0,0.0,nan,
254,1.0,0,3761329,0,0.0,nan,
