k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,633822,0,1206891,1.0,0.3443,0.5123
2,0.007874,633780,42,1195795,0.9999,0.3464,0.5146
3,0.011811,632856,966,1145837,0.9985,0.3558,0.5246
4,0.015748,631282,2540,1055985,0.996,0.3741,0.544
5,0.019685,628430,5392,941469,0.9915,0.4003,0.5703
6,0.023622,624337,9485,836433,0.985,0.4274,0.5961
7,0.027559,619084,14738,743803,0.9767,0.4542,0.6201
8,0.031496,613427,20395,666583,0.9678,0.4792,0.641
9,0.035433,607671,26151,602143,0.9587,0.5023,0.6592
10,0.03937,602120,31702,549930,0.95,0.5227,0.6743
11,0.043307,596726,37096,506427,0.9415,0.5409,0.6871
12,0.047244,591112,42710,468580,0.9326,0.5578,0.6981
13,0.051181,585596,48226,437172,0.9239,0.5726,0.707
14,0.055118,580183,53639,409660,0.9154,0.5861,0.7147
15,0.059055,574811,59011,386321,0.9069,0.5981,0.7208
16,0.062992,569626,64196,366427,0.8987,0.6085,0.7257
17,0.066929,564561,69261,348510,0.8907,0.6183,0.7299
18,0.070866,559960,73862,332755,0.8835,0.6273,0.7336
19,0.074803,555270,78552,318335,0.8761,0.6356,0.7367
20,0.07874,551084,82738,305802,0.8695,0.6431,0.7394
21,0.082677,546911,86911,294280,0.8629,0.6502,0.7416
22,0.086614,542966,90856,283835,0.8567,0.6567,0.7435
23,0.090551,539386,94436,274663,0.851,0.6626,0.7451
24,0.094488,536036,97786,266254,0.8457,0.6681,0.7465
25,0.098425,532690,101132,258245,0.8404,0.6735,0.7478
26,0.102362,529459,104363,250789,0.8353,0.6786,0.7488
27,0.106299,526450,107372,244063,0.8306,0.6832,0.7497
28,0.110236,523628,110194,237933,0.8261,0.6876,0.7505
29,0.114173,520906,112916,232395,0.8218,0.6915,0.7511
30,0.11811,518260,115562,227110,0.8177,0.6953,0.7515
31,0.122047,515718,118104,221963,0.8137,0.6991,0.752
32,0.125984,513246,120576,217272,0.8098,0.7026,0.7524
33,0.129921,510953,122869,213058,0.8061,0.7057,0.7526
34,0.133858,508747,125075,208945,0.8027,0.7089,0.7529
35,0.137795,506614,127208,205155,0.7993,0.7118,0.753
36,0.141732,504648,129174,201587,0.7962,0.7146,0.7532
37,0.145669,502687,131135,198282,0.7931,0.7171,0.7532
38,0.149606,500849,132973,195058,0.7902,0.7197,0.7533
39,0.153543,498962,134860,191965,0.7872,0.7222,0.7533
40,0.15748,497195,136627,189166,0.7844,0.7244,0.7532
41,0.161417,495426,138396,186399,0.7816,0.7266,0.7531
42,0.165354,493732,140090,183759,0.779,0.7288,0.753
43,0.169291,492097,141725,181282,0.7764,0.7308,0.7529
44,0.173228,490465,143357,178839,0.7738,0.7328,0.7528
45,0.177165,488908,144914,176481,0.7714,0.7348,0.7526
46,0.181102,487326,146496,174243,0.7689,0.7366,0.7524
47,0.185039,485825,147997,172086,0.7665,0.7384,0.7522
48,0.188976,484439,149383,169950,0.7643,0.7403,0.7521
49,0.192913,482975,150847,167980,0.762,0.7419,0.7518
50,0.19685,481535,152287,165974,0.7597,0.7437,0.7516
51,0.200787,480225,153597,164144,0.7577,0.7453,0.7514
52,0.204724,478823,154999,162254,0.7555,0.7469,0.7512
53,0.208661,477464,156358,160480,0.7533,0.7484,0.7509
54,0.212598,476104,157718,158728,0.7512,0.75,0.7506
55,0.216535,474789,159033,157007,0.7491,0.7515,0.7503
56,0.220472,473509,160313,155438,0.7471,0.7529,0.75
57,0.224409,472241,161581,153835,0.7451,0.7543,0.7496
