k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,599799,0,1240914,1.0,0.3259,0.4915
2,0.007874,599631,168,1229944,0.9997,0.3277,0.4937
3,0.011811,597906,1893,1180787,0.9968,0.3361,0.5028
4,0.015748,595428,4371,1091839,0.9927,0.3529,0.5207
5,0.019685,591926,7873,977973,0.9869,0.377,0.5456
6,0.023622,587401,12398,873369,0.9793,0.4021,0.5701
7,0.027559,581951,17848,780936,0.9702,0.427,0.593
8,0.031496,576167,23632,703843,0.9606,0.4501,0.613
9,0.035433,570298,29501,639516,0.9508,0.4714,0.6303
10,0.03937,564466,35333,587584,0.9411,0.49,0.6444
11,0.043307,558837,40962,544316,0.9317,0.5066,0.6563
12,0.047244,553171,46628,506521,0.9223,0.522,0.6667
13,0.051181,547705,52094,475063,0.9131,0.5355,0.6751
14,0.055118,542298,57501,447545,0.9041,0.5479,0.6823
15,0.059055,537173,62626,423959,0.8956,0.5589,0.6883
16,0.062992,532223,67576,403830,0.8873,0.5686,0.6931
17,0.066929,527387,72412,385684,0.8793,0.5776,0.6972
18,0.070866,522954,76845,369761,0.8719,0.5858,0.7008
19,0.074803,518299,81500,355306,0.8641,0.5933,0.7035
20,0.07874,514250,85549,342636,0.8574,0.6001,0.7061
21,0.082677,510320,89479,330871,0.8508,0.6067,0.7083
22,0.086614,506608,93191,320193,0.8446,0.6127,0.7102
23,0.090551,503237,96562,310812,0.839,0.6182,0.7119
24,0.094488,500053,99746,302237,0.8337,0.6233,0.7133
25,0.098425,496923,102876,294012,0.8285,0.6283,0.7146
26,0.102362,493894,105905,286354,0.8234,0.633,0.7158
27,0.106299,491064,108735,279449,0.8187,0.6373,0.7167
28,0.110236,488443,111356,273118,0.8143,0.6414,0.7176
29,0.114173,485982,113817,267319,0.8102,0.6451,0.7183
30,0.11811,483612,116187,261758,0.8063,0.6488,0.719
31,0.122047,481281,118518,256400,0.8024,0.6524,0.7197
32,0.125984,479006,120793,251512,0.7986,0.6557,0.7201
33,0.129921,476901,122898,247110,0.7951,0.6587,0.7205
34,0.133858,474838,124961,242854,0.7917,0.6616,0.7208
35,0.137795,472867,126932,238902,0.7884,0.6644,0.7211
36,0.141732,470998,128801,235237,0.7853,0.6669,0.7213
37,0.145669,469208,130591,231761,0.7823,0.6694,0.7214
38,0.149606,467529,132270,228378,0.7795,0.6718,0.7217
39,0.153543,465827,133972,225100,0.7766,0.6742,0.7218
40,0.15748,464205,135594,222156,0.7739,0.6763,0.7218
41,0.161417,462611,137188,219214,0.7713,0.6785,0.7219
42,0.165354,461071,138728,216420,0.7687,0.6806,0.722
43,0.169291,459562,140237,213817,0.7662,0.6825,0.7219
44,0.173228,458066,141733,211238,0.7637,0.6844,0.7219
45,0.177165,456601,143198,208788,0.7613,0.6862,0.7218
46,0.181102,455127,144672,206442,0.7588,0.688,0.7216
47,0.185039,453766,146033,204145,0.7565,0.6897,0.7216
48,0.188976,452458,147341,201931,0.7543,0.6914,0.7215
49,0.192913,451177,148622,199778,0.7522,0.6931,0.7214
50,0.19685,449886,149913,197623,0.7501,0.6948,0.7214
51,0.200787,448656,151143,195713,0.748,0.6963,0.7212
52,0.204724,447393,152406,193684,0.7459,0.6979,0.7211
53,0.208661,446145,153654,191799,0.7438,0.6993,0.7209
54,0.212598,444902,154897,189930,0.7418,0.7008,0.7207
55,0.216535,443744,156055,188052,0.7398,0.7024,0.7206
56,0.220472,442602,157197,186345,0.7379,0.7037,0.7204
57,0.224409,441464,158335,184612,0.736,0.7051,0.7202
58,0.228346,440349,159450,182894,0.7342,0.7065,0.7201
59,0.232283,439227,160572,181381,0.7323,0.7077,0.7198
60,0.23622,438082,161717,179738,0.7304,0.7091,0.7196
61,0.240157,437009,162790,178244,0.7286,0.7103,0.7193
62,0.244094,435923,163876,176814,0.7268,0.7114,0.719
63,0.248031,434891,164908,175311,0.7251,0.7127,0.7188
64,0.251968,433765,166034,173807,0.7232,0.7139,0.7185
65,0.255905,432792,167007,172397,0.7216,0.7151,0.7183
66,0.259842,431763,168036,170933,0.7198,0.7164,0.7181
67,0.263779,430798,169001,169582,0.7182,0.7175,0.7179
68,0.267716,429790,170009,168259,0.7166,0.7187,0.7176
69,0.271653,428826,170973,166908,0.7149,0.7198,0.7174
70,0.27559,427864,171935,165594,0.7133,0.721,0.7171
71,0.279527,426949,172850,164393,0.7118,0.722,0.7169
72,0.283464,425999,173800,163147,0.7102,0.7231,0.7166
73,0.287401,425062,174737,161942,0.7087,0.7241,0.7163
74,0.291338,424170,175629,160797,0.7072,0.7251,0.716
75,0.295275,423193,176606,159671,0.7056,0.7261,0.7157
76,0.299212,422261,177538,158550,0.704,0.727,0.7153
77,0.303149,421391,178408,157411,0.7026,0.728,0.7151
78,0.307086,420511,179288,156279,0.7011,0.7291,0.7148
79,0.311023,419613,180186,155156,0.6996,0.7301,0.7145
80,0.31496,418707,181092,154100,0.6981,0.731,0.7141
81,0.318897,417774,182025,153025,0.6965,0.7319,0.7138
82,0.322834,416885,182914,151941,0.695,0.7329,0.7135
83,0.326771,416015,183784,150882,0.6936,0.7338,0.7132
84,0.330708,415190,184609,149810,0.6922,0.7348,0.7129
85,0.334645,414309,185490,148764,0.6907,0.7358,0.7126
86,0.338582,413512,186287,147775,0.6894,0.7367,0.7123
87,0.342519,412672,187127,146824,0.688,0.7376,0.7119
88,0.346456,411850,187949,145834,0.6866,0.7385,0.7116
89,0.350393,410981,188818,144859,0.6852,0.7394,0.7113
90,0.35433,410129,189670,143890,0.6838,0.7403,0.7109
91,0.358267,409284,190515,142902,0.6824,0.7412,0.7106
92,0.362204,408444,191355,141989,0.681,0.742,0.7102
93,0.366141,407659,192140,141065,0.6797,0.7429,0.7099
94,0.370078,406809,192990,140119,0.6782,0.7438,0.7095
95,0.374015,405926,193873,139166,0.6768,0.7447,0.7091
96,0.377952,405121,194678,138234,0.6754,0.7456,0.7088
97,0.381889,404319,195480,137330,0.6741,0.7465,0.7084
98,0.385826,403486,196313,136473,0.6727,0.7473,0.708
99,0.389763,402617,197182,135591,0.6713,0.7481,0.7076
100,0.3937,401753,198046,134688,0.6698,0.7489,0.7072
101,0.397637,400942,198857,133824,0.6685,0.7498,0.7068
102,0.401574,400108,199691,132919,0.6671,0.7506,0.7064
103,0.405511,399267,200532,132087,0.6657,0.7514,0.7059
104,0.409448,398402,201397,131207,0.6642,0.7523,0.7055
105,0.413385,397553,202246,130317,0.6628,0.7531,0.7051
106,0.417322,396733,203066,129438,0.6614,0.754,0.7047
107,0.421259,395871,203928,128621,0.66,0.7548,0.7042
