k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6802044,20473,11514962,0.997,0.3714,0.5411
2,0.007874,6763667,58850,10218956,0.9914,0.3983,0.5683
3,0.011811,6730203,92314,9461072,0.9865,0.4157,0.5849
4,0.015748,6701388,121129,8894666,0.9822,0.4297,0.5978
5,0.019685,6672901,149616,8407484,0.9781,0.4425,0.6093
6,0.023622,6644532,177985,7993046,0.9739,0.4539,0.6192
7,0.027559,6615826,206691,7617983,0.9697,0.4648,0.6284
8,0.031496,6587138,235379,7283006,0.9655,0.4749,0.6367
9,0.035433,6558347,264170,6977558,0.9613,0.4845,0.6443
10,0.03937,6529413,293104,6711623,0.957,0.4931,0.6509
11,0.043307,6501114,321403,6471851,0.9529,0.5011,0.6568
12,0.047244,6473024,349493,6253937,0.9488,0.5086,0.6622
13,0.051181,6445994,376523,6061469,0.9448,0.5154,0.6669
14,0.055118,6418824,403693,5877904,0.9408,0.522,0.6715
15,0.059055,6391985,430532,5705620,0.9369,0.5284,0.6757
16,0.062992,6366443,456074,5548005,0.9332,0.5343,0.6796
17,0.066929,6341645,480872,5399582,0.9295,0.5401,0.6832
18,0.070866,6316774,505743,5262557,0.9259,0.5455,0.6865
19,0.074803,6291259,531258,5131360,0.9221,0.5508,0.6896
20,0.07874,6265966,556551,5008664,0.9184,0.5558,0.6925
21,0.082677,6240478,582039,4890002,0.9147,0.5607,0.6952
22,0.086614,6214739,607778,4776039,0.9109,0.5655,0.6978
23,0.090551,6190118,632399,4670558,0.9073,0.57,0.7001
24,0.094488,6165200,657317,4569250,0.9037,0.5743,0.7023
25,0.098425,6138344,684173,4466166,0.8997,0.5788,0.7045
26,0.102362,6111282,711235,4367045,0.8958,0.5832,0.7065
27,0.106299,6084097,738420,4272251,0.8918,0.5875,0.7083
28,0.110236,6057163,765354,4180927,0.8878,0.5916,0.7101
29,0.114173,6030501,792016,4093397,0.8839,0.5957,0.7117
30,0.11811,6002847,819670,4004806,0.8799,0.5998,0.7133
31,0.122047,5975118,847399,3920904,0.8758,0.6038,0.7148
32,0.125984,5946992,875525,3838285,0.8717,0.6077,0.7162
33,0.129921,5919667,902850,3760272,0.8677,0.6115,0.7174
34,0.133858,5891634,930883,3682709,0.8636,0.6154,0.7186
35,0.137795,5863633,958884,3606996,0.8595,0.6191,0.7198
36,0.141732,5835089,987428,3533447,0.8553,0.6228,0.7208
37,0.145669,5806792,1015725,3461566,0.8511,0.6265,0.7217
38,0.149606,5777845,1044672,3390615,0.8469,0.6302,0.7226
39,0.153543,5747749,1074768,3319485,0.8425,0.6339,0.7235
40,0.15748,5717428,1105089,3250433,0.838,0.6375,0.7242
41,0.161417,5687251,1135266,3183220,0.8336,0.6411,0.7248
42,0.165354,5656084,1166433,3114372,0.829,0.6449,0.7255
43,0.169291,5624718,1197799,3046310,0.8244,0.6487,0.7261
44,0.173228,5592162,1230355,2977860,0.8197,0.6525,0.7266
45,0.177165,5560411,1262106,2913400,0.815,0.6562,0.727
46,0.181102,5528278,1294239,2850180,0.8103,0.6598,0.7274
47,0.185039,5496554,1325963,2789866,0.8056,0.6633,0.7276
48,0.188976,5463704,1358813,2731218,0.8008,0.6667,0.7276
49,0.192913,5431065,1391452,2675671,0.7961,0.6699,0.7276
