k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,251926780,58543,478965383,0.9998,0.3447,0.5126
2,0.007874,251655981,329342,476447527,0.9987,0.3456,0.5135
3,0.011811,251196060,789263,471363277,0.9969,0.3476,0.5155
4,0.015748,247495688,4489635,429588199,0.9822,0.3655,0.5328
5,0.019685,232895321,19090002,265932185,0.9242,0.4669,0.6204
6,0.023622,213406357,38578966,136068977,0.8469,0.6106,0.7096
7,0.027559,198469055,53516268,84960181,0.7876,0.7002,0.7414
8,0.031496,188456752,63528571,60990351,0.7479,0.7555,0.7517
9,0.035433,182477875,69507448,51857201,0.7242,0.7787,0.7504
10,0.03937,178348489,73636834,47137178,0.7078,0.791,0.7471
11,0.043307,175200085,76785238,44035969,0.6953,0.7991,0.7436
12,0.047244,172671634,79313689,41785206,0.6852,0.8052,0.7404
13,0.051181,170642142,81343181,40148906,0.6772,0.8095,0.7375
14,0.055118,168947611,83037712,38893048,0.6705,0.8129,0.7348
15,0.059055,167587247,84398076,37928198,0.6651,0.8154,0.7326
16,0.062992,166472392,85512931,37155744,0.6606,0.8175,0.7308
17,0.066929,165505827,86479496,36503715,0.6568,0.8193,0.7291
18,0.070866,164651141,87334182,35940929,0.6534,0.8208,0.7276
19,0.074803,163863364,88121959,35438662,0.6503,0.8222,0.7262
20,0.07874,163155809,88829514,34997534,0.6475,0.8234,0.7249
21,0.082677,162496147,89489176,34595039,0.6449,0.8245,0.7237
22,0.086614,161881990,90103333,34225139,0.6424,0.8255,0.7225
23,0.090551,161330719,90654604,33898585,0.6402,0.8264,0.7215
24,0.094488,160815107,91170216,33594987,0.6382,0.8272,0.7205
25,0.098425,160315381,91669942,33300983,0.6362,0.828,0.7195
26,0.102362,159847380,92137943,33026911,0.6344,0.8288,0.7186
27,0.106299,159407641,92577682,32770317,0.6326,0.8295,0.7178
28,0.110236,158994656,92990667,32531112,0.631,0.8301,0.717
29,0.114173,158607664,93377659,32306521,0.6294,0.8308,0.7162
30,0.11811,158223916,93761407,32085785,0.6279,0.8314,0.7155
31,0.122047,157837682,94147641,31867087,0.6264,0.832,0.7147
32,0.125984,157477919,94507404,31665896,0.6249,0.8326,0.714
33,0.129921,157139572,94845751,31478157,0.6236,0.8331,0.7133
34,0.133858,156800981,95184342,31292915,0.6223,0.8336,0.7126
35,0.137795,156471263,95514060,31114775,0.621,0.8341,0.7119
36,0.141732,156150521,95834802,30944205,0.6197,0.8346,0.7113
37,0.145669,155837969,96147354,30779631,0.6184,0.8351,0.7106
38,0.149606,155530671,96454652,30621315,0.6172,0.8355,0.71
39,0.153543,155220350,96764973,30463196,0.616,0.8359,0.7093
40,0.15748,154915201,97070122,30310586,0.6148,0.8364,0.7087
41,0.161417,154615963,97369360,30163843,0.6136,0.8368,0.708
42,0.165354,154313533,97671790,30016161,0.6124,0.8372,0.7073
43,0.169291,154018256,97967067,29872173,0.6112,0.8376,0.7067
44,0.173228,153719569,98265754,29727946,0.61,0.8379,0.7061
45,0.177165,153427802,98557521,29589069,0.6089,0.8383,0.7054
46,0.181102,153135227,98850096,29450268,0.6077,0.8387,0.7048
47,0.185039,152853375,99131948,29316412,0.6066,0.8391,0.7041
48,0.188976,152571599,99413724,29183100,0.6055,0.8394,0.7035
49,0.192913,152301478,99683845,29056342,0.6044,0.8398,0.7029
50,0.19685,152032553,99952770,28929792,0.6033,0.8401,0.7023
51,0.200787,151776605,100208718,28809341,0.6023,0.8405,0.7017
52,0.204724,151523076,100462247,28690377,0.6013,0.8408,0.7012
53,0.208661,151269661,100715662,28572755,0.6003,0.8411,0.7006
54,0.212598,151017815,100967508,28455903,0.5993,0.8414,0.7
55,0.216535,150776525,101208798,28344986,0.5984,0.8418,0.6995
56,0.220472,150534995,101450328,28235331,0.5974,0.8421,0.6989
57,0.224409,150303420,101681903,28130685,0.5965,0.8423,0.6984
58,0.228346,150070457,101914866,28026591,0.5956,0.8426,0.6979
59,0.232283,149837336,102147987,27923118,0.5946,0.8429,0.6973
60,0.23622,149602897,102382426,27820011,0.5937,0.8432,0.6968
61,0.240157,149378304,102607019,27721906,0.5928,0.8435,0.6963
62,0.244094,149152903,102832420,27624315,0.5919,0.8437,0.6957
63,0.248031,148926452,103058871,27526535,0.591,0.844,0.6952
64,0.251968,148697582,103287741,27428745,0.5901,0.8443,0.6947
65,0.255905,148477975,103507348,27335474,0.5892,0.8445,0.6941
66,0.259842,148256956,103728367,27242274,0.5884,0.8448,0.6936
67,0.263779,148034864,103950459,27148993,0.5875,0.845,0.6931
68,0.267716,147812795,104172528,27055331,0.5866,0.8453,0.6926
69,0.271653,147596449,104388874,26965590,0.5857,0.8455,0.6921
70,0.27559,147377152,104608171,26874168,0.5849,0.8458,0.6915
71,0.279527,147161804,104823519,26784589,0.584,0.846,0.691
72,0.283464,146945969,105039354,26695182,0.5832,0.8463,0.6905
73,0.287401,146729115,105256208,26605113,0.5823,0.8465,0.69
74,0.291338,146516634,105468689,26517162,0.5814,0.8468,0.6895
75,0.295275,146296370,105688953,26426215,0.5806,0.847,0.6889
76,0.299212,146085130,105900193,26339858,0.5797,0.8472,0.6884
77,0.303149,145866389,106118934,26250437,0.5789,0.8475,0.6879
78,0.307086,145650407,106334916,26162934,0.578,0.8477,0.6874
79,0.311023,145431224,106554099,26075263,0.5771,0.848,0.6868
80,0.31496,145215916,106769407,25989764,0.5763,0.8482,0.6863
81,0.318897,144993187,106992136,25901748,0.5754,0.8484,0.6857
82,0.322834,144774245,107211078,25815752,0.5745,0.8487,0.6852
83,0.326771,144552067,107433256,25729228,0.5737,0.8489,0.6846
84,0.330708,144334797,107650526,25645987,0.5728,0.8491,0.6841
85,0.334645,144108158,107877165,25558982,0.5719,0.8494,0.6835
86,0.338582,143885645,108099678,25473990,0.571,0.8496,0.683
87,0.342519,143661364,108323959,25388770,0.5701,0.8498,0.6824
88,0.346456,143435434,108549889,25303446,0.5692,0.85,0.6819
89,0.350393,143206710,108778613,25218340,0.5683,0.8503,0.6813
90,0.35433,142980624,109004699,25134415,0.5674,0.8505,0.6807
91,0.358267,142751893,109233430,25049908,0.5665,0.8507,0.6801
92,0.362204,142518657,109466666,24965106,0.5656,0.8509,0.6795
93,0.366141,142281202,109704121,24878961,0.5646,0.8512,0.6789
94,0.370078,142038511,109946812,24791844,0.5637,0.8514,0.6783
95,0.374015,141796541,110188782,24706596,0.5627,0.8516,0.6777
96,0.377952,141544151,110441172,24618318,0.5617,0.8518,0.677
97,0.381889,141291215,110694108,24530656,0.5607,0.8521,0.6763
98,0.385826,141034714,110950609,24442661,0.5597,0.8523,0.6757
99,0.389763,140774609,111210714,24354102,0.5587,0.8525,0.675
100,0.3937,140510962,111474361,24264780,0.5576,0.8527,0.6743
101,0.397637,140245013,111740310,24174639,0.5566,0.853,0.6736
102,0.401574,139981379,112003944,24085444,0.5555,0.8532,0.6729
103,0.405511,139716762,112268561,23995540,0.5545,0.8534,0.6722
104,0.409448,139452001,112533322,23905281,0.5534,0.8537,0.6715
105,0.413385,139185307,112800016,23815545,0.5524,0.8539,0.6708
106,0.417322,138923236,113062087,23725753,0.5513,0.8541,0.6701
107,0.421259,138657696,113327627,23634905,0.5503,0.8544,0.6694
108,0.425196,138396117,113589206,23544897,0.5492,0.8546,0.6687
109,0.429133,138134364,113850959,23454781,0.5482,0.8548,0.668
110,0.43307,137876164,114109159,23365709,0.5472,0.8551,0.6673
111,0.437007,137613936,114371387,23274572,0.5461,0.8553,0.6666
112,0.440944,137351124,114634199,23183108,0.5451,0.8556,0.6659
113,0.444881,137089919,114895404,23092550,0.544,0.8558,0.6652
114,0.448818,136830560,115154763,23002342,0.543,0.8561,0.6645
115,0.452755,136567713,115417610,22911135,0.542,0.8563,0.6638
116,0.456692,136305236,115680087,22820040,0.5409,0.8566,0.6631
117,0.460629,136040254,115945069,22728113,0.5399,0.8568,0.6624
118,0.464566,135775023,116210300,22635541,0.5388,0.8571,0.6617
119,0.468503,135509302,116476021,22542635,0.5378,0.8574,0.661
120,0.47244,135238456,116746867,22448552,0.5367,0.8576,0.6602
121,0.476377,134965017,117020306,22353574,0.5356,0.8579,0.6595
122,0.480314,134687212,117298111,22258001,0.5345,0.8582,0.6587
123,0.484251,134406501,117578822,22161045,0.5334,0.8585,0.658
124,0.488188,134119562,117865761,22062996,0.5323,0.8587,0.6572
125,0.492125,133826862,118158461,21963299,0.5311,0.859,0.6564
126,0.496062,133527472,118457851,21861608,0.5299,0.8593,0.6556
127,0.5,133217996,118767327,21758588,0.5287,0.8596,0.6547
128,0.503937,132897856,119087467,21652854,0.5274,0.8599,0.6538
129,0.507874,132566579,119418744,21544259,0.5261,0.8602,0.6529
130,0.511811,132222729,119762594,21432919,0.5247,0.8605,0.6519
131,0.515748,131865730,120119593,21317935,0.5233,0.8608,0.6509
132,0.519685,131491003,120494320,21199431,0.5218,0.8612,0.6499
133,0.523622,131100141,120885182,21076316,0.5203,0.8615,0.6488
134,0.527559,130689135,121296188,20948677,0.5186,0.8619,0.6476
135,0.531496,130258042,121727281,20816380,0.5169,0.8622,0.6463
136,0.535433,129804599,122180724,20679407,0.5151,0.8626,0.645
137,0.53937,129336707,122648616,20537768,0.5133,0.863,0.6437
138,0.543307,128849245,123136078,20389719,0.5113,0.8634,0.6423
139,0.547244,128344969,123640354,20237655,0.5093,0.8638,0.6408
140,0.551181,127828260,124157063,20081124,0.5073,0.8642,0.6393
141,0.555118,127294725,124690598,19919192,0.5052,0.8647,0.6378
142,0.559055,126751830,125233493,19753696,0.503,0.8652,0.6362
143,0.562992,126188865,125796458,19582761,0.5008,0.8657,0.6345
144,0.566929,125618598,126366725,19408778,0.4985,0.8662,0.6328
145,0.570866,125026447,126958876,19227784,0.4962,0.8667,0.6311
146,0.574803,124430492,127554831,19045869,0.4938,0.8673,0.6293
147,0.57874,123813007,128172316,18858253,0.4914,0.8678,0.6274
148,0.582677,123184200,128801123,18668213,0.4889,0.8684,0.6256
149,0.586614,122534956,129450367,18472057,0.4863,0.869,0.6236
150,0.590551,121886880,130098443,18277646,0.4837,0.8696,0.6216
151,0.594488,121219121,130766202,18078430,0.4811,0.8702,0.6196
152,0.598425,120545583,131439740,17879211,0.4784,0.8708,0.6175
153,0.602362,119866400,132118923,17679253,0.4757,0.8715,0.6154
154,0.606299,119183168,132802155,17477990,0.473,0.8721,0.6133
155,0.610236,118486917,133498406,17276091,0.4702,0.8727,0.6112
156,0.614173,117784681,134200642,17074719,0.4674,0.8734,0.609
157,0.61811,117080522,134904801,16873366,0.4646,0.874,0.6067
158,0.622047,116376556,135608767,16674476,0.4618,0.8747,0.6045
159,0.625984,115637858,136347465,16467698,0.4589,0.8753,0.6021
160,0.629921,114891316,137094007,16259607,0.4559,0.876,0.5997
161,0.633858,114156641,137828682,16057532,0.453,0.8767,0.5974
162,0.637795,113390411,138594912,15848476,0.45,0.8774,0.5949
163,0.641732,112614648,139370675,15638048,0.4469,0.8781,0.5923
164,0.645669,111826476,140158847,15426901,0.4438,0.8788,0.5897
165,0.649606,111026157,140959166,15214418,0.4406,0.8795,0.5871
166,0.653543,110214311,141771012,15000253,0.4374,0.8802,0.5844
167,0.65748,109369223,142616100,14778962,0.434,0.881,0.5815
168,0.661417,108515258,143470065,14555332,0.4306,0.8817,0.5787
169,0.665354,107654880,144330443,14329456,0.4272,0.8825,0.5757
170,0.669291,106788046,145197277,14102010,0.4238,0.8833,0.5728
171,0.673228,105893846,146091477,13867660,0.4202,0.8842,0.5697
172,0.677165,105016543,146968780,13638655,0.4168,0.8851,0.5667
173,0.681102,104111234,147874089,13403858,0.4132,0.8859,0.5635
174,0.685039,103203744,148781579,13168097,0.4096,0.8868,0.5603
175,0.688976,102267081,149718242,12927653,0.4058,0.8878,0.557
176,0.692913,101348819,150636504,12695437,0.4022,0.8887,0.5538
177,0.69685,100400325,151584998,12456578,0.3984,0.8896,0.5504
178,0.700787,99443472,152541851,12219897,0.3946,0.8906,0.5469
179,0.704724,98451291,153534032,11977019,0.3907,0.8915,0.5433
180,0.708661,97475891,154509432,11741204,0.3868,0.8925,0.5397
181,0.712598,96438036,155547287,11492730,0.3827,0.8935,0.5359
182,0.716535,95413042,156572281,11249257,0.3786,0.8945,0.5321
