k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6457455,0,13355735,1.0,0.3259,0.4916
2,0.007874,6457455,0,13355735,1.0,0.3259,0.4916
3,0.011811,6457455,0,13355735,1.0,0.3259,0.4916
4,0.015748,6457455,0,13355735,1.0,0.3259,0.4916
5,0.019685,6457455,0,13355735,1.0,0.3259,0.4916
6,0.023622,6457455,0,13355735,1.0,0.3259,0.4916
7,0.027559,6457455,0,13355735,1.0,0.3259,0.4916
8,0.031496,6457455,0,13355735,1.0,0.3259,0.4916
9,0.035433,6457455,0,13355735,1.0,0.3259,0.4916
10,0.03937,6457455,0,13355735,1.0,0.3259,0.4916
11,0.043307,6457455,0,13355735,1.0,0.3259,0.4916
12,0.047244,6457455,0,13355735,1.0,0.3259,0.4916
13,0.051181,6457455,0,13355556,1.0,0.3259,0.4916
14,0.055118,6457455,0,13352242,1.0,0.326,0.4917
15,0.059055,6457421,34,13326206,1.0,0.3264,0.4922
16,0.062992,6457322,133,13254157,1.0,0.3276,0.4935
17,0.066929,6456795,660,13101287,0.9999,0.3301,0.4964
18,0.070866,6455469,1986,12854352,0.9997,0.3343,0.5011
19,0.074803,6452887,4568,12536894,0.9993,0.3398,0.5072
20,0.07874,6449030,8425,12128118,0.9987,0.3471,0.5152
21,0.082677,6441685,15770,11560215,0.9976,0.3578,0.5267
22,0.086614,6430030,27425,10799750,0.9958,0.3732,0.5429
23,0.090551,6413157,44298,9934765,0.9931,0.3923,0.5624
24,0.094488,6391781,65674,9040366,0.9898,0.4142,0.584
25,0.098425,6361872,95583,8160281,0.9852,0.4381,0.6065
26,0.102362,6323857,133598,7368224,0.9793,0.4619,0.6277
27,0.106299,6277534,179921,6663423,0.9721,0.4851,0.6472
28,0.110236,6223347,234108,6046120,0.9637,0.5072,0.6646
29,0.114173,6162086,295369,5501280,0.9543,0.5283,0.6801
30,0.11811,6093365,364090,5000829,0.9436,0.5492,0.6943
31,0.122047,6018400,439055,4553140,0.932,0.5693,0.7068
32,0.125984,5942088,515367,4170628,0.9202,0.5876,0.7172
33,0.129921,5867442,590013,3856280,0.9086,0.6034,0.7252
34,0.133858,5791912,665543,3578567,0.8969,0.6181,0.7319
35,0.137795,5717766,739689,3337508,0.8855,0.6314,0.7372
36,0.141732,5647266,810189,3127543,0.8745,0.6436,0.7415
37,0.145669,5580361,877094,2944927,0.8642,0.6546,0.7449
38,0.149606,5516799,940656,2785192,0.8543,0.6645,0.7476
39,0.153543,5454783,1002672,2640273,0.8447,0.6738,0.7497
40,0.15748,5397846,1059609,2515040,0.8359,0.6822,0.7512
41,0.161417,5345126,1112329,2406551,0.8277,0.6895,0.7524
42,0.165354,5296277,1161178,2310134,0.8202,0.6963,0.7532
43,0.169291,5252735,1204720,2228045,0.8134,0.7022,0.7537
44,0.173228,5213801,1243654,2156537,0.8074,0.7074,0.7541
45,0.177165,5180296,1277159,2098260,0.8022,0.7117,0.7543
46,0.181102,5150964,1306491,2047880,0.7977,0.7155,0.7544
47,0.185039,5125474,1331981,2007160,0.7937,0.7186,0.7543
48,0.188976,5103011,1354444,1971416,0.7903,0.7213,0.7542
49,0.192913,5083525,1373930,1940685,0.7872,0.7237,0.7541
50,0.19685,5065127,1392328,1913003,0.7844,0.7259,0.754
51,0.200787,5048895,1408560,1888719,0.7819,0.7278,0.7538
52,0.204724,5033509,1423946,1866167,0.7795,0.7295,0.7537
53,0.208661,5018930,1438525,1844810,0.7772,0.7312,0.7535
54,0.212598,5005028,1452427,1824611,0.7751,0.7328,0.7534
55,0.216535,4992125,1465330,1806271,0.7731,0.7343,0.7532
56,0.220472,4979801,1477654,1788968,0.7712,0.7357,0.753
57,0.224409,4968380,1489075,1773197,0.7694,0.737,0.7528
58,0.228346,4957451,1500004,1758081,0.7677,0.7382,0.7527
59,0.232283,4946648,1510807,1743528,0.766,0.7394,0.7525
60,0.23622,4936016,1521439,1729123,0.7644,0.7406,0.7523
61,0.240157,4926111,1531344,1715867,0.7629,0.7417,0.7521
62,0.244094,4916337,1541118,1703073,0.7613,0.7427,0.7519
63,0.248031,4906745,1550710,1690564,0.7599,0.7437,0.7517
64,0.251968,4897228,1560227,1678333,0.7584,0.7448,0.7515
65,0.255905,4888350,1569105,1666997,0.757,0.7457,0.7513
66,0.259842,4879545,1577910,1655767,0.7556,0.7466,0.7511
67,0.263779,4871131,1586324,1644790,0.7543,0.7476,0.7509
68,0.267716,4862680,1594775,1634097,0.753,0.7485,0.7507
69,0.271653,4854587,1602868,1624212,0.7518,0.7493,0.7505
70,0.27559,4846524,1610931,1614081,0.7505,0.7502,0.7503
71,0.279527,4838961,1618494,1604528,0.7494,0.751,0.7502
72,0.283464,4831336,1626119,1595161,0.7482,0.7518,0.75
73,0.287401,4823724,1633731,1586065,0.747,0.7526,0.7498
74,0.291338,4816385,1641070,1577054,0.7459,0.7533,0.7496
75,0.295275,4808996,1648459,1567909,0.7447,0.7541,0.7494
76,0.299212,4801769,1655686,1559598,0.7436,0.7548,0.7492
77,0.303149,4794508,1662947,1551019,0.7425,0.7556,0.749
78,0.307086,4787532,1669923,1542868,0.7414,0.7563,0.7488
79,0.311023,4780540,1676915,1534618,0.7403,0.757,0.7486
80,0.31496,4773837,1683618,1526676,0.7393,0.7577,0.7484
81,0.318897,4767054,1690401,1518632,0.7382,0.7584,0.7482
82,0.322834,4760406,1697049,1511039,0.7372,0.7591,0.748
83,0.326771,4753734,1703721,1503442,0.7362,0.7597,0.7478
84,0.330708,4747344,1710111,1495959,0.7352,0.7604,0.7476
85,0.334645,4740708,1716747,1488527,0.7341,0.761,0.7474
86,0.338582,4734292,1723163,1481186,0.7332,0.7617,0.7472
87,0.342519,4727765,1729690,1474091,0.7321,0.7623,0.7469
88,0.346456,4721323,1736132,1466867,0.7311,0.763,0.7467
89,0.350393,4714892,1742563,1459617,0.7301,0.7636,0.7465
90,0.35433,4708403,1749052,1452660,0.7291,0.7642,0.7463
91,0.358267,4702050,1755405,1445852,0.7282,0.7648,0.746
92,0.362204,4695644,1761811,1438787,0.7272,0.7655,0.7458
93,0.366141,4689205,1768250,1431780,0.7262,0.7661,0.7456
94,0.370078,4682799,1774656,1424850,0.7252,0.7667,0.7454
95,0.374015,4676502,1780953,1418063,0.7242,0.7673,0.7451
96,0.377952,4669903,1787552,1410958,0.7232,0.768,0.7449
97,0.381889,4663367,1794088,1404049,0.7222,0.7686,0.7447
98,0.385826,4656800,1800655,1397115,0.7212,0.7692,0.7444
99,0.389763,4650274,1807181,1390269,0.7201,0.7698,0.7442
100,0.3937,4643715,1813740,1383448,0.7191,0.7705,0.7439
