k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,11121426,0,30613998,1.0,0.2665,0.4208
2,0.007874,11121426,0,30613998,1.0,0.2665,0.4208
3,0.011811,11121426,0,30613998,1.0,0.2665,0.4208
4,0.015748,11121426,0,30613998,1.0,0.2665,0.4208
5,0.019685,11121426,0,30613998,1.0,0.2665,0.4208
6,0.023622,11121426,0,30613998,1.0,0.2665,0.4208
7,0.027559,11121426,0,30613998,1.0,0.2665,0.4208
8,0.031496,11121426,0,30613998,1.0,0.2665,0.4208
9,0.035433,11121426,0,30613998,1.0,0.2665,0.4208
10,0.03937,11121426,0,30613998,1.0,0.2665,0.4208
11,0.043307,11121426,0,30613998,1.0,0.2665,0.4208
12,0.047244,11121426,0,30613998,1.0,0.2665,0.4208
13,0.051181,11121426,0,30613998,1.0,0.2665,0.4208
14,0.055118,11121426,0,30613998,1.0,0.2665,0.4208
15,0.059055,11121426,0,30613998,1.0,0.2665,0.4208
16,0.062992,11121426,0,30613998,1.0,0.2665,0.4208
17,0.066929,11121426,0,30613998,1.0,0.2665,0.4208
18,0.070866,11121426,0,30613998,1.0,0.2665,0.4208
19,0.074803,11121426,0,30613998,1.0,0.2665,0.4208
20,0.07874,11121426,0,30613998,1.0,0.2665,0.4208
21,0.082677,11121426,0,30613998,1.0,0.2665,0.4208
22,0.086614,11121426,0,30613998,1.0,0.2665,0.4208
23,0.090551,11121426,0,30613998,1.0,0.2665,0.4208
24,0.094488,11121426,0,30613998,1.0,0.2665,0.4208
25,0.098425,11121426,0,30613998,1.0,0.2665,0.4208
26,0.102362,11121426,0,30613998,1.0,0.2665,0.4208
27,0.106299,11121426,0,30613998,1.0,0.2665,0.4208
28,0.110236,11121426,0,30613971,1.0,0.2665,0.4208
29,0.114173,11121226,200,30567054,1.0,0.2668,0.4212
30,0.11811,11119715,1711,30232236,0.9998,0.2689,0.4238
31,0.122047,11116871,4555,29899043,0.9996,0.271,0.4264
32,0.125984,11109059,12367,29352504,0.9989,0.2746,0.4307
33,0.129921,11089114,32312,28490740,0.9971,0.2802,0.4374
34,0.133858,11045068,76358,27050103,0.9931,0.2899,0.4488
35,0.137795,10961314,160112,24836200,0.9856,0.3062,0.4672
36,0.141732,10829034,292392,22400931,0.9737,0.3259,0.4883
37,0.145669,10651022,470404,20324885,0.9577,0.3438,0.506
38,0.149606,10440340,681086,18659620,0.9388,0.3588,0.5191
39,0.153543,10209507,911919,17313037,0.918,0.371,0.5284
40,0.15748,9989203,1132223,9972051,0.8982,0.5004,0.6428
41,0.161417,9796423,1325003,7408462,0.8809,0.5694,0.6917
42,0.165354,9640084,1481342,6785668,0.8668,0.5869,0.6999
43,0.169291,9526155,1595271,6404722,0.8566,0.598,0.7043
44,0.173228,9439706,1681720,6146924,0.8488,0.6056,0.7069
45,0.177165,9370284,1751142,5961472,0.8425,0.6112,0.7084
46,0.181102,9309567,1811859,5807393,0.8371,0.6158,0.7096
47,0.185039,9256866,1864560,5679698,0.8323,0.6197,0.7105
48,0.188976,9208381,1913045,5565423,0.828,0.6233,0.7112
49,0.192913,9164874,1956552,5466850,0.8241,0.6264,0.7117
50,0.19685,9124188,1997238,5376222,0.8204,0.6292,0.7122
51,0.200787,9087224,2034202,5295512,0.8171,0.6318,0.7126
52,0.204724,9051984,2069442,5220750,0.8139,0.6342,0.7129
53,0.208661,9018321,2103105,5150337,0.8109,0.6365,0.7132
54,0.212598,8985965,2135461,5083621,0.808,0.6387,0.7134
55,0.216535,8956376,2165050,5023610,0.8053,0.6407,0.7136
56,0.220472,8927268,2194158,4966124,0.8027,0.6426,0.7138
57,0.224409,8900159,2221267,4912943,0.8003,0.6443,0.7139
58,0.228346,8873778,2247648,4861921,0.7979,0.646,0.714
59,0.232283,8848313,2273113,4813126,0.7956,0.6477,0.7141
60,0.23622,8823027,2298399,4766028,0.7933,0.6493,0.7141
61,0.240157,8799676,2321750,4722436,0.7912,0.6508,0.7142
62,0.244094,8776470,2344956,4680206,0.7891,0.6522,0.7142
63,0.248031,8753578,2367848,4639118,0.7871,0.6536,0.7142
64,0.251968,8730908,2390518,4598909,0.7851,0.655,0.7141
65,0.255905,8709699,2411727,4561701,0.7831,0.6563,0.7141
66,0.259842,8689023,2432403,4525137,0.7813,0.6576,0.7141
67,0.263779,8668276,2453150,4489756,0.7794,0.6588,0.714
68,0.267716,8647740,2473686,4454842,0.7776,0.66,0.714
69,0.271653,8627599,2493827,4420537,0.7758,0.6612,0.7139
70,0.27559,8608151,2513275,4388032,0.774,0.6624,0.7138
71,0.279527,8589091,2532335,4356408,0.7723,0.6635,0.7138
72,0.283464,8570008,2551418,4325004,0.7706,0.6646,0.7137
73,0.287401,8551134,2570292,4294533,0.7689,0.6657,0.7136
74,0.291338,8532784,2588642,4264934,0.7672,0.6667,0.7135
75,0.295275,8513792,2607634,4234775,0.7655,0.6678,0.7133
