k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,6818400,4117,12102316,0.9994,0.3604,0.5297
2,0.007874,6779064,43453,10176369,0.9936,0.3998,0.5702
3,0.011811,6736762,85755,8847662,0.9874,0.4323,0.6013
4,0.015748,6688432,134085,7851419,0.9803,0.46,0.6262
5,0.019685,6633661,188856,7066362,0.9723,0.4842,0.6465
6,0.023622,6576218,246299,6405296,0.9639,0.5066,0.6641
7,0.027559,6511846,310671,5816185,0.9545,0.5282,0.6801
8,0.031496,6443254,379263,5291485,0.9444,0.5491,0.6944
9,0.035433,6370520,451997,4818607,0.9337,0.5693,0.7074
10,0.03937,6295537,526980,4400898,0.9228,0.5886,0.7187
11,0.043307,6220068,602449,4037443,0.9117,0.6064,0.7283
12,0.047244,6145323,677194,3712968,0.9007,0.6234,0.7368
13,0.051181,6074686,747831,3436007,0.8904,0.6387,0.7438
14,0.055118,6004040,818477,3186688,0.88,0.6533,0.7499
15,0.059055,5936637,885880,2968476,0.8702,0.6667,0.7549
16,0.062992,5872320,950197,2776877,0.8607,0.6789,0.7591
17,0.066929,5810487,1012030,2605045,0.8517,0.6904,0.7626
18,0.070866,5750723,1071794,2450947,0.8429,0.7012,0.7655
19,0.074803,5691104,1131413,2308697,0.8342,0.7114,0.7679
20,0.07874,5634391,1188126,2183445,0.8259,0.7207,0.7697
21,0.082677,5578710,1243807,2069929,0.8177,0.7294,0.771
22,0.086614,5525259,1297258,1966832,0.8099,0.7375,0.772
23,0.090551,5475739,1346778,1876864,0.8026,0.7447,0.7726
24,0.094488,5428905,1393612,1795436,0.7957,0.7515,0.773
25,0.098425,5383142,1439375,1719324,0.789,0.7579,0.7732
26,0.102362,5340464,1482053,1650037,0.7828,0.764,0.7733
27,0.106299,5300325,1522192,1587693,0.7769,0.7695,0.7732
28,0.110236,5262665,1559852,1531764,0.7714,0.7746,0.773
29,0.114173,5227373,1595144,1481134,0.7662,0.7792,0.7727
30,0.11811,5192543,1629974,1432954,0.7611,0.7837,0.7722
31,0.122047,5159584,1662933,1388992,0.7563,0.7879,0.7718
32,0.125984,5127277,1695240,1347602,0.7515,0.7919,0.7712
33,0.129921,5097036,1725481,1309754,0.7471,0.7956,0.7706
34,0.133858,5067034,1755483,1272983,0.7427,0.7992,0.7699
35,0.137795,5038329,1784188,1238664,0.7385,0.8027,0.7692
36,0.141732,5010676,1811841,1206206,0.7344,0.806,0.7685
37,0.145669,4983898,1838619,1175505,0.7305,0.8092,0.7678
38,0.149606,4957826,1864691,1146823,0.7267,0.8121,0.767
39,0.153543,4932318,1890199,1118913,0.7229,0.8151,0.7663
40,0.15748,4907770,1914747,1092759,0.7193,0.8179,0.7655
41,0.161417,4884311,1938206,1068639,0.7159,0.8205,0.7646
42,0.165354,4861256,1961261,1045144,0.7125,0.823,0.7638
43,0.169291,4839378,1983139,1023489,0.7093,0.8254,0.763
44,0.173228,4817849,2004668,1002552,0.7062,0.8278,0.7621
45,0.177165,4797291,2025226,982877,0.7032,0.83,0.7613
46,0.181102,4777002,2045515,963981,0.7002,0.8321,0.7605
47,0.185039,4757803,2064714,946585,0.6974,0.8341,0.7596
48,0.188976,4739130,2083387,929409,0.6946,0.836,0.7588
49,0.192913,4721339,2101178,913525,0.692,0.8379,0.758
50,0.19685,4703977,2118540,897869,0.6895,0.8397,0.7572
51,0.200787,4687190,2135327,883395,0.687,0.8414,0.7564
52,0.204724,4670888,2151629,869059,0.6846,0.8431,0.7557
53,0.208661,4654690,2167827,855285,0.6823,0.8448,0.7549
54,0.212598,4638511,2184006,842074,0.6799,0.8464,0.754
55,0.216535,4623181,2199336,829763,0.6776,0.8478,0.7532
56,0.220472,4608220,2214297,817557,0.6754,0.8493,0.7525
57,0.224409,4593752,2228765,806027,0.6733,0.8507,0.7517
58,0.228346,4579489,2243028,794780,0.6712,0.8521,0.7509
59,0.232283,4565356,2257161,783475,0.6692,0.8535,0.7502
60,0.23622,4551382,2271135,772592,0.6671,0.8549,0.7494
61,0.240157,4537975,2284542,762375,0.6651,0.8562,0.7487
62,0.244094,4524659,2297858,752245,0.6632,0.8574,0.7479
63,0.248031,4511661,2310856,742383,0.6613,0.8587,0.7472
64,0.251968,4498508,2324009,732642,0.6594,0.8599,0.7464
65,0.255905,4486091,2336426,723538,0.6575,0.8611,0.7457
66,0.259842,4473793,2348724,714523,0.6557,0.8623,0.745
67,0.263779,4461398,2361119,705882,0.6539,0.8634,0.7442
68,0.267716,4449315,2373202,697103,0.6522,0.8645,0.7435
69,0.271653,4437624,2384893,688878,0.6504,0.8656,0.7428
70,0.27559,4425658,2396859,680868,0.6487,0.8667,0.742
71,0.279527,4414154,2408363,673050,0.647,0.8677,0.7413
72,0.283464,4402689,2419828,665522,0.6453,0.8687,0.7405
73,0.287401,4391309,2431208,657929,0.6436,0.8697,0.7398
74,0.291338,4380214,2442303,650693,0.642,0.8707,0.7391
75,0.295275,4368768,2453749,643297,0.6403,0.8717,0.7383
76,0.299212,4358094,2464423,636250,0.6388,0.8726,0.7376
77,0.303149,4346866,2475651,629245,0.6371,0.8735,0.7368
78,0.307086,4336007,2486510,622460,0.6355,0.8745,0.7361
79,0.311023,4325540,2496977,615902,0.634,0.8754,0.7354
80,0.31496,4315402,2507115,609643,0.6325,0.8762,0.7347
81,0.318897,4304946,2517571,603316,0.631,0.8771,0.734
82,0.322834,4294798,2527719,597295,0.6295,0.8779,0.7332
83,0.326771,4284822,2537695,591150,0.628,0.8788,0.7325
84,0.330708,4274955,2547562,585279,0.6266,0.8796,0.7318
85,0.334645,4264887,2557630,579424,0.6251,0.8804,0.7311
86,0.338582,4255293,2567224,573685,0.6237,0.8812,0.7304
87,0.342519,4245494,2577023,568008,0.6223,0.882,0.7297
88,0.346456,4235778,2586739,562395,0.6209,0.8828,0.729
89,0.350393,4225995,2596522,556776,0.6194,0.8836,0.7283
90,0.35433,4216587,2605930,551514,0.618,0.8843,0.7276
91,0.358267,4207079,2615438,546172,0.6166,0.8851,0.7269
92,0.362204,4197587,2624930,540661,0.6153,0.8859,0.7262
93,0.366141,4188070,2634447,535471,0.6139,0.8866,0.7255
94,0.370078,4178562,2643955,530224,0.6125,0.8874,0.7247
95,0.374015,4169342,2653175,525149,0.6111,0.8881,0.724
96,0.377952,4159561,2662956,519939,0.6097,0.8889,0.7233
97,0.381889,4150145,2672372,514876,0.6083,0.8896,0.7225
98,0.385826,4140797,2681720,509999,0.6069,0.8903,0.7218
99,0.389763,4131594,2690923,505098,0.6056,0.8911,0.7211
100,0.3937,4122467,2700050,500111,0.6042,0.8918,0.7204
101,0.397637,4113221,2709296,495355,0.6029,0.8925,0.7197
102,0.401574,4104270,2718247,490607,0.6016,0.8932,0.719
103,0.405511,4095171,2727346,485917,0.6002,0.8939,0.7182
104,0.409448,4085984,2736533,481180,0.5989,0.8946,0.7175
105,0.413385,4076658,2745859,476528,0.5975,0.8953,0.7167
106,0.417322,4067650,2754867,471954,0.5962,0.896,0.716
107,0.421259,4058681,2763836,467393,0.5949,0.8967,0.7153
108,0.425196,4049676,2772841,462972,0.5936,0.8974,0.7145
109,0.429133,4040504,2782013,458459,0.5922,0.8981,0.7138
110,0.43307,4031675,2790842,454148,0.5909,0.8988,0.713
111,0.437007,4022803,2799714,449732,0.5896,0.8994,0.7123
112,0.440944,4013626,2808891,445334,0.5883,0.9001,0.7115
113,0.444881,4004729,2817788,441110,0.587,0.9008,0.7108
114,0.448818,3995606,2826911,436890,0.5856,0.9014,0.71
115,0.452755,3986649,2835868,432687,0.5843,0.9021,0.7093
116,0.456692,3977679,2844838,428479,0.583,0.9028,0.7085
117,0.460629,3968583,2853934,424322,0.5817,0.9034,0.7077
118,0.464566,3959488,2863029,420209,0.5804,0.9041,0.7069
119,0.468503,3950549,2871968,416209,0.579,0.9047,0.7061
120,0.47244,3941544,2880973,412157,0.5777,0.9053,0.7053
121,0.476377,3932463,2890054,408170,0.5764,0.906,0.7045
122,0.480314,3923359,2899158,404147,0.5751,0.9066,0.7037
123,0.484251,3914154,2908363,400184,0.5737,0.9072,0.7029
124,0.488188,3904981,2917536,396225,0.5724,0.9079,0.7021
125,0.492125,3895788,2926729,392295,0.571,0.9085,0.7013
126,0.496062,3886675,2935842,388426,0.5697,0.9091,0.7005
127,0.5,3877428,2945089,384598,0.5683,0.9098,0.6996
128,0.503937,3868141,2954376,380822,0.567,0.9104,0.6988
129,0.507874,3858834,2963683,377072,0.5656,0.911,0.6979
130,0.511811,3849533,2972984,373465,0.5642,0.9116,0.697
131,0.515748,3840073,2982444,369773,0.5629,0.9122,0.6961
132,0.519685,3830735,2991782,366100,0.5615,0.9128,0.6953
133,0.523622,3821327,3001190,362345,0.5601,0.9134,0.6944
134,0.527559,3811814,3010703,358662,0.5587,0.914,0.6935
135,0.531496,3802203,3020314,354885,0.5573,0.9146,0.6926
136,0.535433,3792709,3029808,351189,0.5559,0.9153,0.6917
137,0.53937,3783132,3039385,347503,0.5545,0.9159,0.6908
138,0.543307,3773397,3049120,343974,0.5531,0.9165,0.6898
139,0.547244,3763545,3058972,340460,0.5516,0.917,0.6889
140,0.551181,3753503,3069014,336824,0.5502,0.9177,0.6879
141,0.555118,3743253,3079264,333162,0.5487,0.9183,0.6869
142,0.559055,3732928,3089589,329562,0.5471,0.9189,0.6859
