k,thresh,tp,fn,fp,recall,precision,f1
1,0.003937,633817,5,1205134,1.0,0.3447,0.5126
2,0.007874,632581,1241,1137188,0.998,0.3574,0.5264
3,0.011811,629981,3841,1014732,0.9939,0.383,0.553
4,0.015748,625023,8799,876677,0.9861,0.4162,0.5854
5,0.019685,617891,15931,751157,0.9749,0.4513,0.617
6,0.023622,610052,23770,654322,0.9625,0.4825,0.6428
7,0.027559,602004,31818,577817,0.9498,0.5103,0.6639
8,0.031496,594300,39522,519058,0.9376,0.5338,0.6803
9,0.035433,586740,47082,472521,0.9257,0.5539,0.6931
10,0.03937,579464,54358,435218,0.9142,0.5711,0.703
11,0.043307,572584,61238,404445,0.9034,0.586,0.7109
12,0.047244,565765,68057,378346,0.8926,0.5993,0.7171
13,0.051181,559386,74436,356807,0.8826,0.6106,0.7218
14,0.055118,553204,80618,338028,0.8728,0.6207,0.7255
15,0.059055,547423,86399,321446,0.8637,0.63,0.7286
16,0.062992,542096,91726,307620,0.8553,0.638,0.7308
17,0.066929,537203,96619,295479,0.8476,0.6451,0.7326
18,0.070866,532559,101263,284709,0.8402,0.6516,0.734
19,0.074803,528222,105600,274680,0.8334,0.6579,0.7353
20,0.07874,524233,109589,265782,0.8271,0.6636,0.7364
21,0.082677,520513,113309,257546,0.8212,0.669,0.7373
22,0.086614,516915,116907,249886,0.8156,0.6741,0.7381
23,0.090551,513475,120347,243270,0.8101,0.6785,0.7385
24,0.094488,510279,123543,237157,0.8051,0.6827,0.7389
25,0.098425,507180,126642,231313,0.8002,0.6868,0.7392
26,0.102362,504169,129653,226003,0.7954,0.6905,0.7393
27,0.106299,501366,132456,221119,0.791,0.6939,0.7393
28,0.110236,498704,135118,216592,0.7868,0.6972,0.7393
29,0.114173,496206,137616,212385,0.7829,0.7003,0.7393
30,0.11811,493756,140066,208285,0.779,0.7033,0.7392
31,0.122047,491231,142591,204268,0.775,0.7063,0.7391
32,0.125984,488987,144835,200653,0.7715,0.709,0.739
33,0.129921,486850,146972,197294,0.7681,0.7116,0.7388
34,0.133858,484692,149130,194032,0.7647,0.7141,0.7386
35,0.137795,482700,151122,190973,0.7616,0.7165,0.7384
36,0.141732,480750,153072,188078,0.7585,0.7188,0.7381
37,0.145669,478829,154993,185325,0.7555,0.721,0.7378
38,0.149606,477053,156769,182641,0.7527,0.7231,0.7376
39,0.153543,475258,158564,180135,0.7498,0.7251,0.7373
40,0.15748,473462,160360,177747,0.747,0.7271,0.7369
41,0.161417,471806,162016,175479,0.7444,0.7289,0.7366
42,0.165354,470094,163728,173262,0.7417,0.7307,0.7361
43,0.169291,468423,165399,171096,0.739,0.7325,0.7357
44,0.173228,466851,166971,169003,0.7366,0.7342,0.7354
45,0.177165,465300,168522,167032,0.7341,0.7358,0.735
46,0.181102,463717,170105,165112,0.7316,0.7374,0.7345
47,0.185039,462226,171596,163261,0.7293,0.739,0.7341
48,0.188976,460683,173139,161502,0.7268,0.7404,0.7336
49,0.192913,459270,174552,159846,0.7246,0.7418,0.7331
50,0.19685,457856,175966,158156,0.7224,0.7433,0.7327
51,0.200787,456504,177318,156661,0.7202,0.7445,0.7322
52,0.204724,455166,178656,155115,0.7181,0.7458,0.7317
53,0.208661,453839,179983,153602,0.716,0.7471,0.7313
54,0.212598,452469,181353,152064,0.7139,0.7485,0.7308
